"","YQ","p","d","revenue","cost_of_revenue","cost_of_goods_services","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","other_abnormal_items","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","long_term_investments","long_term_receivables","other_long_term_assets","intangible_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"25","2016_Q2",12.0546875,"Up",2207309000,-1862573000,-1648052000,344736000,-666751000,-187255000,-49610000,-429886000,-322015000,-322015000,20052000,20052000,-301963000,83361000,-218602000,-218602000,-3262000,-221864000,-222880000,2604066000,2604066000,679812000,3283878000,721060000,27616266000,7894392000,4178419000,11513161000,2622351000,1843470000,5401048000,39850487000,43134365000,311885000,18465894000,18465894000,18777779000,8649030000,8649030000,5124603000,5124603000,13773633000,32551412000,5330776000,362329000,4968447000,4366525000,394004000,10091305000,491648000,10582953000,43134365000,-218602000,35167000,29772000,-769130000,-922793000,-85424000,-90722000,-90722000,-284820000,51057000,-512457000,348332000,-9093000,94786000,411024000,-1024226000,-1024226000,-1034582000,-286848000,8960915000,-1224763000,0.15618,-0.14589,-0.10097,-0.02106,-0.00517,5.49517,0.17488,3.07583,0.20774,-0.53579,-0.53579,5.30627,24.25902,-2.94427,-0.0081,-0.04965,-22.16104,-19.74085
"26","2016_Q3",13.119375,"Up",2841316000,-2015034000,-1776370000,826282000,-738710000,-186259000,-50769000,-501682000,87572000.0000001,87572000,51890000,51890000,139462000,-68850000,70612000,70612000.0000001,-12308000,58304000,57289000,3030936000,3030936000,836871000,3867807000,702727000,29448040000,8101266000,4397127000,11023353000,2621633000,1737337000,5079429000,41174120000,45041927000,397206000,19421693000,19421693000,19818899000,8143432000,8143432000,6456251000,6456251000,14599683000,34418582000,5272985000,360405000,4912580000,4400261000,413272000,10086518000,536827000,10623345000,45041927000,70612000,43165000,-65165000,848044000,896656000,-49798000,-69144000,-69144000,-54693000,97904000,32930000,-473331000,-24530000,13600000,-507159000,422427000,422427000,426870000,130737000,8540638000,997833000,0.29081,0.03082,0.02016,0.00538999999999999,0.00127,17.41753,0.19516,3.2399,0.18962,0.13765,0.13765,6.82692,24.23521,2.39753,0.00313,0.03895,42.1434,62.91625
"27","2016_Q4",14.8420634920635,"Up",2883710000,-1919549000,-1689093000,964161000,-750755000,-239160000,-52691000,-458904000,213406000,213406000,36503000,36503000,249909000,-73703000,176206000,176206000,-20832000,155374000,154358000,3278975000,3278975000,1026865000,4305840000,715198000,29134755000,9017707000,4169139000,11950222000,2594329000,2105088000,5737642000,41800175000,46106015000,432235000,19059966000,19059966000,19492201000,8139518000,8139518000,7765740000,7765740000,15905258000,35397459000,5167660000,359671000,4807989000,4531329000,360681000,10059670000,648886000,10708556000,46106015000,176206000,42126000,-46623000,185359000,357068000,-61495000,-95501000,-95501000,-201043000,162855000,-79019000,41332000,-25267000,-11664000,-18333000,259716000,259716000,248039000,255532000,8571753000,453099000,0.33435,0.074,0.05353,0.01441,0.00335,2.93538,0.2209,3.30553,0.18591,0.37304,0.36889,6.96904,24.31113,1.095,0.00655,0.01675,20.71278,24.80145
"28","2017_Q1",17.806935483871,"Up",2942919000,-1974991000,-1737292000,967928000,-785059000,-219218000,-58523000,-507318000,182869000,182869000,46153000,46153000,229022000,-62917000,166105000,166105000,-27918000,138187000,137171000,3807558000,3807558000,857337000,4664895000,709242000,27970344000,8258880000,4425178000,11726826000,2513678000,2125098000,5626235000,40406412000,45071307000,525842000,17999427000,17999427000,18525269000,8406872000,8406872000,7373708000,7373708000,15780580000,34305849000,5172012000,359425000,4812587000,4645391000,310697000,10128100000,637358000,10765458000,45071307000,-162917000,-48845000,231833000,-263374000,241483000,-13276000,-1301000.00000001,-1301000.00000001,-232971000,175256000,-77669000,579900000,-35068000,40556000,345374000,509188000,503982000,494074000,134024000,8932714000,-79709000,0.3289,0.06214,0.04661,0.01274,0.00304,-0.581090000000002,0.25181,3.18666,0.19819,0.3323,0.33496,7.1292,24.53526,-0.19309,0.0059,-0.00294,38.24058,28.02638
"29","2017_Q2",18.1857142857143,"Up",3080369000,-1772865000,-1533094000,1307504000,-780833000,-182138000,-49510000,-549185000,526671000,526671000,-128574000,-128574000,398097000,-104174000,293923000,293923000,-11499000,282424000,281408000,4261427000,4261427000,705313000,4966740000,718439000,28007574000,7384965000,5553667000,12287244000,2499103000,2122479000,6304883000,41013257000,45979997000,422924000,18602298000,18602298000,19025222000,9035623000,9035623000,6859832000,6859832000,15895455000,34920677000,5179097000,359816000,4819281000,4903424000,315637000,10398158000,661162000,11059320000,45979997000,293923000,38023000,55298000,-729563000,-342319000,-29697000,-46985000,-46985000,-936413000,1208336000,125381000,532652000,-3455000,19218000,525705000,308767000,305631000,305081000,564694000,9458547000,-90392000,0.42446,0.17098,0.09136,0.02545,0.00612,-0.32121,0.26106,3.15758,0.20571,0.68217,0.67045,7.46723,25.20652,-0.21912,0.01111,-0.0033,9.20343,9.86787
"30","2017_Q3",17.9357142857143,"Down",2989715000,-2105720000,-1820551000,883995000,-773417000,-185836000,-50717000,-536864000,110578000,110578000,14104000,14104000,124682000,-50620000,74062000,74062000,-14854000,59208000,58193000,4661937000,4661937000,919011000,5580948000,728409000,29863385000,8403689000,5874580000,12203360000,2488543000,2239423000,6152951000,42795154000,48376102000,439140000,21190846000,21190846000,21629986000,8847929000,8847929000,6785079000,6785079000,15633008000,37262994000,5202611000,358645000,4843966000,4938254000,350442000,10491307000,621801000,11113108000,48376102000,-61113999.9999999,-7460999.99999999,30798000,776010000,815811000,-12648000,-16589000,-16589000,-1530094000,1518454000,70418000,-216322000,-28671000,-2997000,-282437000,603792000,603792000,609237000,103117000,9287069000,917099000,0.29568,0.03699,0.01946,0.00524,0.0012,15.75961,0.25802,3.35307,0.19198,0.14109,0.1402,7.24855,25.43612,2.2235,0.00298,0.03374,44.85324,41.82687
"31","2017_Q4",18.5433333333333,"Up",-2334382000,2875897000,3142811000,541515000,-681552000,-184181000,18098000,-515469000,-140037000,-140037000,30057000,30057000,-109980000,27596000,-82384000,136767000,-36244000,100523000,99351000,5016932000,5016932000,903744000,5920676000,727685000,29833216000,8299807000,5507847000,11185367000,2473292000,2350980000,5098447000,41746268000,47666944000,417122000,20004382000,20004382000,20421504000,8985334000,8985334000,7104957000,7104957000,16090291000,36511795000,5088001000,356190000,4731811000,5000423000,363486000,10451910000,703239000,11155149000,47666944000,-38064000,17811000,89298000,241668000,587424000,-22610000,-26594000,-26594000,-287526000,261945000,-224553000,243955000,-42516000,-299000,-25285000,337586000,337586000,338241000,-122226000,9402456000,69236000,-0.23197,0.05999,-0.04256,0.00891,0.00208,0.69688,0.28992,3.27309,0.19725,0.24178,0.24023,-5.68099,25.43595,0.16849,0.00489,0.0025,-35.88045,-31.31689
"32","2018_Q1",18.2875409836066,"Down",8672152000,-7121639000,-6834173000,1550513000,-959010000,-265465000,-126781000,-566764000,591503000,591503000,9512000,9512000,601015000,-633769000,-32754000,-251905000,-18524000,-270429000,-271601000,5275480000,5275480000,578014000,5853494000,750403000,29940055000,7721803000,5419015000,10625156000,2463180000,2066829000,5351336000,41315614000,47169108000,436215000,19959387000,19959387000,20395602000,8915268000,8915268000,7167666000,7167666000,16082934000,36478536000,5032265000,356227000,4676038000,4700968000,372724000,10105957000,584615000,10690572000,47169108000,-349210000,16386000,583661000,-723001000,-272622000,-30030000,-32859000,-32859000,-110015000,342141000,-25880000.0000001,230978000,-24334000,11933000,216818000,-81684000,-81684000,-75166999.9999999,607889000,9351483000,488627000,0.17879,0.06821,-0.03132,-0.02541,-0.00576,-1.79906,0.287,3.41222,0.19825,-0.6634,-0.66549,21.18227,24.68443,1.1935,-0.00866,0.01796,6.70518,6.89093
"33","2018_Q2",16.97375,"Down",2946469000,-2041994000,-1752711000,904475000,-829921000,-234200000,-53679000,-542042000,74554000,74554000,32100000,32100000,106654000,32495000,139149000,139149000,-13452000,125697000,124525000,5144625000,5144625000,802693000,5947318000,754668000,32048195000,7300171000,6710631000,10251313000,2450957000,2233070000,4790148000,43054176000,49001494000,468046000,20614826000,20614826000,21082872000,9754617000,9754617000,7336062000,7336062000,17090679000,38173551000,5068434000,357216000,4711218000,4833329000,357317000,10259080000,568863000,10827943000,49001494000,70258000,16395000,56076000,-536230000,-405253000,-38739000,-42336000,-42336000,-1790110000,1651866000,-256761000,888872000,-2700000,1013000,874508000,212494000,212494000,215077000,90949000,10222663000,-516515000,0.30697,0.0253,0.04226,0.0115,0.00254,-4.14788,0.28209,3.52547,0.20862,0.31261,0.29848,7.39685,25.75451,-1.29667,0.00565,-0.0182,55.83391,68.11221
"34","2018_Q3",16.9712698412698,"Down",-541532000,1225249000,1580086000,683717000,-748446000,-228706000,-6386000,-513354000,-64728999.9999999,-64729000,33353000,33353000,-31376000.0000001,6335999.99999988,-25040000,748944000,-22244000,726700000,725529000,4741057000,4741057000,709646000,5450703000,353553000,33036899000,7599043000,5876389000,10560643000,1901352000,2522944000,5599284000,43951095000,49401798000,506218000,21512449000,21512449000,22018667000,9179541000,9179541000,7496897000,7496897000,16676438000,38695105000,4699942000,333311000,4366631000,5523277000,314973000,10538192000,168501000,10706693000,49401798000,-232747000,20373000,215813000,-298702000,-118861000,-193987000,-198528000,-198528000,-131561000,285024000,264882000,-179256000,-559729000,381000,-675655000,-529634000,-529634000,-541799000,-44356000,9685759000,-543381000,-1.26256,0.11953,-1.33977,0.06776,0.01469,-0.74894,0.24755,3.6141,0.19606,1.8448,1.82394,-1.37695,26.79539,-1.38165,0.02724,-0.01948,-111.47764,-76.39083
