"","YQ","p","d","revenue","cost_of_revenue","cost_of_goods_services","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","other_abnormal_items","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","long_term_investments","long_term_receivables","other_long_term_assets","intangible_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"35","2018_Q4",15.0092063492063,"Down",1458977000,-421844000,-84876000,1037133000,-783308000,-245178000,-32295000,-505835000,253825000,253825000,18867000,18867000,272692000,-90391000,182301000,182301000,11610000,193911000,192635000,4895788000,4895788000,913456000,5809244000,346896000,32812388000,7369908000,5864815000,9980141000,1894898000,2450901000,5166045000,43139425000,48948669000,382006000,21875200000,21875200000,22257206000,9218103000,9218103000,6680224000,6680224000,15898327000,38155533000,4661077000,331416000,4329661000,5672363000,287745000,10621185000,171951000,10793136000,48948669000,182301000,17083000,-94648000,619286000,724022000,-37677000,-41533000,-41533000,464305000,41292000,-126662000,-123821000,-73406000,2661000,-236292000,361068000,361068000,354181000,270908000,9600109000,942908000,0.71086,0.17397,0.13203,0.01785,0.00394,4.89479,0.26101,3.53517,0.19613,0.50504,0.49225,3.82506,27.84603,2.47206,0.00866,0.03483,17.36501,18.53372
"36","2019_Q1",14.5629508196721,"Down",1145814000,931518000,-49570000,2077332000,-766962000,-253244000,-27957000,-485761000,1310370000,-24573000,-27297000,-27297000,-51870000.0000001,32552000,-19318000,-19317999.9999999,-202000,-19520000,-20371000,5258809000,5258809000,707960000,5966769000,295307202.614046,31698755000,6538212000,6287401000,9465571000,1890131000,2417332000,4645319000,41164326000,47131095000,387492000,19960703000,19960703000,20348195000,9151834000,9151834000,7407030000,7407030000,16558864000,36907059000,4162362000,307515000,3854847000,5610218000,288286000,10060866000,163170000,10224036000,47131095000,-19318000,13556000,-593253000,1090210000,491195000,-41211000,-43269000,-43269000,-20543000.0000001,-3562909000,260984000,3880000,-495019000,-7282999.99999999,-538404000,213775000,213775000,210698000,1323926000,9539326000,2340373000,1.81297,1.14361,-0.01778,-0.00199000000000001,-0.000429999999999998,-114.88749,0.29323,3.60983,0.2024,-0.05379,-0.0560600000000001,3.02573,26.56758,6.18019,0.00072,0.08614,3.2332,3.26665
"37","2019_Q2",14.2406349206349,"Down",1195012000,-89939000,-66921000,1105073000,-716500000,-221106000,-33934000,-461460000,388573000,22004000,27313000,27313000,49317000,-2302000,47015000,47015000,-928000,46087000,44811000,5517121000,5517121000,763213000,6280334000,129712271.620013,32408932000,7231073000,7228766000,10270079000,1890948000,2381026000,5498278000,42679011000,48959345000,530484000,21820395000,21820395000,22350879000,9213301000,9213301000,7293843000,7293843000,16507144000,38858023000,3979398000,298313000,3681085000,5614935000,338619000,9932952000,168370000,10101322000,48959345000,47015000,21446000,107152000,-959568000,-783955000,-43746000,-46059000,-46059000,-45448000,-29204000,1074852000,209930000,-214661000,4211000,-38337000,252560000,252560000,265754000,410019000,9743785000,-590993000,0.92474,0.32516,0.0375,0.00444,0.00092,-13.18857,0.28099,3.84683,0.19902,0.12727,0.12584,3.39404,28.21133,-1.67852,0.00304,-0.02178,10.30846,10.8774
"38","2019_Q3",14.91,"Up",1510371000,-103553000,-80415000,1406818000,-836795000,-229062000,-36786000,-570947000,570023000,161309000,22170000,22170000,183479000,488797000,672276000,672276000,-236000,672040000,670764000,5393737000,5393737000,543429000,5937166000,-6274960.68104357,31803784000,7713886000,6911314000,10782990000,1882930000,2415894000,6012660000,42586774000,48523940000,510435000,21302652000,21302652000,21813087000,9660553000,9660553000,7029001000,7029001000,16689554000,38502641000,3849843000,290687000,3559156000,6246852000,-242824000,9853871000,167428000,10021299000,48523940000,672276000,29313000,-524136000,-833859000,-656406000,-52909000,-56456000,-56456000,-28657000,-13211000,127930000,392357000,-150047000,593999.99999994,206158000,-322318000,-322318000,-339404000,599336000,10170988000,-776229000,0.93144,0.37741,0.44411,0.06693,0.01382,-1.15723000000001,0.27218,3.84208,0.20961,1.95556,1.89579,4.40336,28.72814,-2.26303,0.02599,-0.02852,7.97091,8.3808
"39","2019_Q4",17.03796875,"Up",1223156000,-109436000,-85773000,1113720000,-806362000,-268742000,-39880000,-497740000,307358000,-59020000,72283000,72283000,13263000,36131000,49394000,49394000,358000,49752000,48477000,6011350000,6011350000,658335000,6669685000,30959338.0119334,30917415000,7895149000,5826350000,11676108000,1921793000,2346297000,6898246000,42593523000,49263208000,518914000,20716161000,20716161000,21235075000,10477374000,10477374000,7350914000,7350914000,17828288000,39063363000,4031580000,299868000,3731712000,6255314000,-266452000,10020442000,179403000,10199845000,49263208000,962563000,129766000,-1837015000,-83151000,-827837000,-220927000,-232229000,-232229000,890789000,-139783000,1707095000,687009000,-509914000,1562130000,1589578000,2468836000,2468836000,2467773000,437124000,10996288000,96915000,0.91053,0.25128,0.03963,0.00475,0.00098,1.9992,0.31409,3.8298,0.22322,0.17294,0.16985,4.36351,35.74711,0.34574,0.00694,0.00339,11.40394,16.21867
"40","2020_Q1",17.3033870967742,"Up",1430117000,-16713000,-86532000,1413404000,-850888000,-290733000,-42271000,-517884000,562516000,151320000,81229000,81229000,232549000,-38670999.9999999,193878000,193878000,2939000,196817000,195541000,7678821000,7678821000,796797000,8475618000,385029000,30273989000,7634142000,5744106000,10325598000,1922934000,1652957000,6749707000,40984616000,49460234000,548490000,19562270000,19562270000,20110760000,11407672000,11407672000,8188513000,8188513000,19596185000,39706945000,3919355000,291644000,3627711000,5933389000,-273039000,9579705000,173584000,9753289000,49460234000,-719291000,-50759000,-686724000,2897135000,1440361000,85352999.9999999,102515000,102515000,-193158000,53717000,-1202782000,957977000,364708000,-1565069000,-167821000,69758000.0000005,69758000,73650000.0000005,511757000,11956162000,3532916000,0.98831,0.39334,0.13673,0.02005,0.00395,18.06739,0.42145,4.07113,0.24173,0.602530000000001,0.59049,4.40668,29.51834,10.88612,0.00405,0.11817,8.35815,7.60395
"41","2020_Q2",12.2625396825397,"Down",1692264000,-72443000,-72443000,1619821000,-1066682000,-297838000,-39470000,-729374000,553139000,225649000,-67855000,-67855000,157794000,-45773000,112021000,112021000,2411000,114432000,113010000,6710659000,6710659000,742134000,7452793000,928643000,32354802000,6723792000,7234029000,11041885000,1918068000,1562628000,7561189000,44325330000,51778123000,623156000,20784856000,20784856000,21408012000,11372213000,11372213000,9462234000,9462234000,20834447000,42242459000,3606742000,277109000,3329633000,6000613000,-258400000,9348955000,186709000,9535664000,51778123000,112021000,39386000,-2281164000,1211674000,-918083000,-60982000,-60982000,-60982000,-864422000,876094000,-49310000,19399000,-310187000,17416000,-316165000,-1283558000,-1283558000,-1286485000,592525000,11995369000,1788990000,0.95719,0.32686,0.06678,0.01185,0.00218,15.83037,0.34813,4.42994,0.23167,0.35727,0.35046,5.3499,29.55568,5.65569,0.00503,0.05772,8.91897,9.55404
"42","2020_Q3",15.12578125,"Up",1377531000,-80771000,-80771000,1296760000,-963430000,-249118000,-40366000,-673946000,333330000,82228000,-6720999.99999999,-6721000.00000001,75507000,-31962000,43545000,43545000,2778000,46323000,44919000,6883881000,6883881000,668925000,7552806000,917686000,31548916000,6466944000,6539495000,10263807000,1910204000,1559793000,6793810000,42730409000,50283215000,656855000,20816191000,20816191000,21473046000,10767029000,10767029000,8534765000,8534765000,19301794000,40774840000,3459004000,267111000,3191893000,6002078000,-134528000,9326554000,181821000,9508375000,50283215000,43545000,39783000,1860741000,-865026000,1079043000,-59726000,-59726000,-59726000,-518405000,464023000,-114108000,-427993000,-185066000,447000,-653255000,311680000,311680000,301060000,373113000,11423884000,-519677000,0.94137,0.24198,0.03261,0.00472,0.00089,-11.5692,0.35173,4.28831,0.22719,0.14975,0.15211,4.59233,31.09229,-1.73247,0.0029,-0.01764,12.1679,13.62015
"43","2020_Q4",19.54609375,"Up",1825499000,-82657000,-82657000,1742842000,-1104812000,-237712000,-39520000,-827580000,638030000,407189000,5053000,5053000,412242000,-107403000,304839000,304839000,974000,305813000,304409000,8426832000,8426832000,986117000,9412949000,915896000,30288683000,7272826000,5029136000,11156460000,1914542000,1539356000,7702562000,42361039000,51773988000,805381000,20781628000,20781628000,21587009000,11796094000,11796094000,8797161000,8797161000,20593255000,42180264000,3342383000,259246000,3083137000,6264689000,-196407000,9410665000,183059000,9593724000,51773988000,304839000,38650000,-861509000,1664918000,1146898000,-25708000,-25708000,-25708000,-7952000,8674000,-24986000,915555000,-128216000,-203000,747701000,1869613000,1869613000,1902883000,676680000,12601475000,2423293000,0.95472,0.34951,0.16675,0.03173,0.00588,7.96065,0.43605,4.39665,0.24339,0.98789,0.98551,5.92425,30.54022,7.86426,0.01109,0.07819,6.1693,6.54302
"44","2021_Q1",25.5740983606557,"Up",955227000,-79644870.2378113,-77457509.2312734,2449156394.57871,-1577717000,784668000,-39083000,-2323302000,-386619000,422814000,-1274000,-4664061.34749083,421540000,-113535000,308005000,308005000,666000,308671000,307267000,27179725000,9055148000,604321000,34392813000,897204000,6942279000,6942279000,5960404379.04255,10886056000,1913467000,1686563000,7286026000,18725539000,53118352000,764715000,20144617000,20144617000,20909332000,11640423000,11640423000,10980396000,10395589000,22620819000,43530151000,3160974000,249751000,2911223000,6531836000,-288917000,9403893000,184308000,9588201000,53118352000,308005000,18656000,2609131000,-2188211000,747581000,-30542000,-19257032.3710447,-19257032.3710447,1570433000,-1586491000,22721000,-271632000,-193402000,1297000,-501806000,268496000,268496000,267079000,-367963000,12405138000,-2473181000,0.97010211516006,-0.40474,0.32167,0.03205,0.00578,-8.04896,1.64485,4.53997,0.23354,1.10274,1.07649,3.42818,33.74929,-8.87591,0.01047,-0.075,40.15237,38.21485
"45","2021_Q2",28.7879365079365,"Up",2703588000,-95559000,-95559000,2608029000,-1559663000,-271937000,-38767000,-1248959000,1048366000,811353000,-10568000,-10568000,800785000,-218236000,582549000,582549000,1512000,584061000,582435000,8648961000,8648961000,615115000,9264076000,896317000,34118352000,7150657000,7870542000,12590174000,1914322000,1689048000,8986804000,47604843000,56868919000,882941000,22096967000,22096967000,22979908000,12751575000,12751575000,11203099000,11203099000,23954674000,46934582000,3050946000,246703000,2804243000,7041460000,-346544000,9745862000,188475000,9934337000,56868919000,582549000,42333000,-2854408000,733588000,-1495938000,-24243000,-24243000,-24243000,-914484000,906387000,-32340000,1250134000,-130097000,-616000,1069653000,-458625000,-458625000,-454739000,1090699000,13634516000,2018280000,0.96465,0.38777,0.21543,0.05863,0.01024,3.46525,0.40314,4.72448,0.23975,2.09028,2.04053,9.70281,34.97657,7.24333,0.01818,0.05804,4.57097,4.75555
"46","2021_Q3",31.7940625,"Up",2166329000,-143847000,-143847000,2022482000,-1289052000,-341560000,-39440000,-908052000,733430000,497665000,-23526000,-20416845.3756201,474139000,-120820000,353319000,353319000,903000,354222000,352596000,8443206000,8443206000,901381000,9344587000,903010000,34790456000,6720683000,8131943000,12940916000,1912480000,1728115000,9300321000,48634382000,57978969000,475834000,21328715000,21328715000,21804549000,12954842000,12954842000,12964703000,12394362000,25919545000,47724094000,3096519000,247032000,2849487000,7340113000,-363998000,10072634000,182241000,10254875000,57978969000,353319000,41307000,-563526000,683252000,514351999.999999,-32523000,-32523000,-32523000,-1073674000,1009725000,-96472000,-235924000,0,-8009000,-293666000,124214000,124214000,125083000,774737000,13430676000,1546286000,0.9336,0.33856,0.16276,0.03438,0.00608,4.38543,0.42856,4.6538,0.23165,1.26542,1.2353,7.77466,36.14931,5.54941,0.01098,0.04219,6.43762999999999,6.80020000000001
"47","2021_Q4",36.818125,"Up",2140594000,-151510000,-145557330.332445,1989084000,-1187164000,-277262000,-38677000,-871225000,801920000,580792000,-27176000,-30947889.0722554,553616000,-145700000,407916000,407916000,1392000,409308000,407459000,29216017000,9480914000,514519000,36798177000,914537000,6222344000,6222344000,4582940606.46808,14102341000,1905163000,1744965000,10452213000,21239222000,58037399000,307297000,22085103000,22085103000,22392400000,13012076000,13012076000,12068961000,11506839000,25081037000,47473437000,3058368000,245557000,2812811000,7681488000,-357973000,10381883000,182079000,10563962000,58037399000,407916000,42317000,-329103000,947001000,1068131000,-59232000,-29500559.4631714,-29500559.4631714,-303630000,235008000,-127854000,-84390000,-51769000,-2151000,-200139000,740138000,740138000,737087000,844237000,13319373000,1877706000,0.92922,0.37462,0.19035,0.03857,0.00702,4.60833,1.64333,4.4939,0.2295,1.48886,1.43878,7.82174,37.93545,6.86115,0.01305,0.05223,-18.8296,-19.82323
"48","2022_Q1",32.686935483871,"Down",1003315000,-119875564.663509,-114841301.120647,2006971785.15537,-1614070000,890759000,-40536000,-2464293000,-219839000,474067000,-48502000,-36143238.232763,425565000,-91973000,333592000,333592000,-6831000,326761000,324913000,35189174000,10755133000,11695265000,48500261000,911230000,7289000.00000191,6192402203.67545,-4821647180.59576,6688531000,1899865917.44157,1587409000,3356024000,7607050000,56107311000,221863000,19238910000,19238910000,23922254000,13737969000,12899345683.6108,3889955000,3889955000,17627924000,41550178000,2985785000,242926770.725401,2663492292.86686,7940113000,-372143000,10553755000,4003378000,14557133000,56107311000,333592000,18298000,4404729000,-3260874000,1495745000,-49607000,-23087946.9311091,-23087946.9311091,2291788000,-2398654000,-153199000,566806000,-87534000,642000.000000002,418446000,1760992000,1760992000,1755901000,-201541000,13959832000,-3420049000,0.944420196214759,-0.21911,0.32384,0.02232,0.00579,-10.52605,2.02741,2.85428,0.24881,1.18723,1.1473,3.66612,38.56348,-12.49688,0.01192,-0.10553,105.3351,96.56768
"49","2022_Q2",28.7096774193548,"Down",1942800000,-95671000,-95671000,1847129000,-1204839000,-285257000,-45937000,-873645000,642290000,422317000,-29985000,-29985000,392332000,-64357000,327975000,327975000,1542000,329517000,327447000,30133718000,8500782000,838092000,39247187000,909565000,7111730000,7111730000,-22127002361.1915,12767969000,1894721000,1803397000,9069851000,20789264000,60036451000,467853000,25456411000,25456411000,25924264000,12449264000,12449264000,10974977000,10431887000,23424241000,49348505000,2630956000,240169000,2390787000,8189652000,-330308000,10490300000,197646000,10687946000,60036451000,327975000,47404000,-1410386000,-180321000,-1215328000,-27630000,-27630000,-27630000,-301062000,223614000,-105078000,-707726000,-338058000,34735000,-1083380000,-2403786000,-2403786000,-2404253000,689694000,12917117000,546100000,0.95076,0.3306,0.16854,0.03064,0.00545,1.66775,1.51392,4.61721,0.21515,1.19649,1.15625,7.099,38.33161,1.99545,0.01156,0.01579,-24.96267,-26.80503
"50","2022_Q3",29.67734375,"Up",1618147000,-130449000,-130449000,1487698000,-1041081000,-328281000,-40307000,-672493000,446617000,188241000,-21700000,-6455281.51682364,166541000,-49683000,116858000,116858000,-773000,116085000,114014000,28771072000,8523117000,962590000,39050183000,891126000,6313642000,9503117138.97365,-49378306935.3192,10958859000,1885043000,1803542000,7270274000,18163627000,57213810000,354181000,23705361000,23705361000,24059542000,11548117000,11602035699.1677,11094171000,10577727000,22642288000,46701830000,2388687000,238027187.823796,1968967121.39942,8228467000,-316977000,10300177000,211803000,10511980000,57213810000,116858000,41566000,3948260000,-2881938000,1224746000,-57133000,-57133000,-57133000,-43361000,-27904000,-128398000,-648451000,-284165000,30045000,-972759000,123589000,123589000,114261000,488183000,11902298000,-2401205000,0.91938,0.27601,0.07046,0.01085,0.00199,-21.06062,1.62306,4.44272,0.20803,0.42322,0.4089,6.0065,38.23385,-8.91318,0.0055,-0.07166,-34.5542,-37.77011
