"","YQ","p","d","revenue","cost_of_revenue","cost_of_goods_services","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","notes_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","long_term_receivables","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","short_term_borrowings","current_portion_of_long_term_debt","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","pension_liabilities","other_post_retirement_benefits","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"27","2016_Q4",48.8180952380952,"Up",1274813000,-767184000,-724611000,507629000,-292710000,-292710000,214919000,-5406000,-7706000,2300000,209513000,-36543000,172970000,-58905000,114065000,114065000,114065000,114065000,795322000,790284000,2551820000,346176000,2205644000,426547000,328655000,205046000,4102344000,954475000,4944322000,4944322000,211085000,54663000,75591000,6109882000,10212226000,798127000,291594000,506533000,1755580000,1055428000,700152000,2553707000,5170609000,5170609000,495542000,303319000,182825000,192223000,5666151000,8219858000,1992368000,10212226000,471519000,-55195000,-207757000,-262938000,-62587000,-136365000,-116184000,-100746000,4077000,-104823000,-285749000,-77168000,-77168000,-74386000,6926189000,0.3982,0.16859,0.08948,0.05725,0.01117,1.60643,4.12567,0.67823,0.63924,0.6361,7.14429,0.35075,4,0.01876,0.5487,28.52641
"28","2017_Q1",50.6825806451613,"Up",1110600000,-694870000,-652501000,415730000,-309472000,-309472000,106258000,-4169000,-7702000,3533000,102089000,-39490000,62599000,-15420000,47179000,47179000,47179000,47179000,765503000,759984000,2361367000,285106000,2076261000,499917000,227065000,227065000,3853852000,981593000,4759197000,4759197000,295598000,53391000,74478000,6036388000,9890240000,721970000,235318000,486652000,2140592000,1055708000,1084884000,2862562000,4666975000,4666975000,440545000,257709000,173267000,182836000,5107520000,7970082000,1920158000,9890240000,246530000,-93537000,79709000,-13827999.9999999,-61934000,-116630000,-129268000,-81769000,9338000,-91107000,-246859000,-14157000,-14157000,-30300000,6807567000,0.37433,0.09568,0.04248,0.02457,0.00477,1.34629,4.15074,0.68831,0.26768,0.26613,6.30128,0.3514,6,0.0119,1.31275,56.8622
"29","2017_Q2",48.3014285714286,"Down",1501932000,-897177000,-853888000,604755000,-271984000,-271984000,332771000,-4498000,-7673000,3175000,328273000,-43589000,284684000,-98315000,186369000,186369000,186369000,186369000,844704000,839700000,2689673000,335578000,2354095000,485476000,218067000,218067000,4237920000,953044000,4792027000,4792027000,298864000,53967000,79701000,6043935000,10281855000,906321000,358684000,547637000,1650418000,953357000,697061000,2556739000,5320797000,5320797000,410910000,223702000,171143000,187208000,5731707000,8288446000,1993409000,10281855000,159939000,-23967000,-63486000,-87453000,-64611000,160171000,-115655000,-72417000,7336000,-79753000,23143000,95629000,95629000,102848000,6971215000,0.40265,0.22156,0.12409,0.09349,0.01813,1.65755,4.15793,0.67801,1.05891,1.05252,8.53366,0.36711,4,0.02677,0.34668,18.41059
"30","2017_Q3",42.4901587301587,"Down",1765169000,-1048581000,-1004173000,716588000,-291084000,-291084000,425504000,-4854000,-7726000,2872000,420650000,-26217000,394433000,-135566000,258867000,258867000,258867000,258867000,988476000,988476000,2669466000,330933000,2338533000,372012000,214648000,214648000,4244602000,946326000,4994002000,4994002000,302841000,54630000,77853000,6243169000,10487771000,860758000,327346000,533412000,2494003000,928445000,1565558000,3354761000,4678350000,4678350000,408493000,217820000,166023000,190673000,5086843000,8441604000,2046167000,10487771000,467129000,-45849000,-259523000,-305372000,-63841000,192944000,204877000,-163206000,96000,-163302000,-34103000,127654000,127654000,132892000,7172353000,0.40596,0.24106,0.14665,0.12651,0.02468,1.26525,4.12557,0.68388,1.48425,1.47651,10.12086,0.36604,5,0.03352,0.24662,14.53306
"31","2017_Q4",42.7514285714286,"Up",1151195000,-733992000,-687823000,417203000,-293538000,-293538000,123665000,-4517000,-7896000,3379000,119148000,-29253000,89895000,-21686000,68209000,68209000,68209000,68209000,683134000,683134000,2401292000,343124000,2058168000,469091000,234625000,234625000,3788142000,934615000,5042857000,5042857000,322745000,55898000,86272000,6300217000,10088359000,851075000,277117000,573958000,2365276000,834875000,1530401000,3216351000,4607791000,4607791000,407397000,215396000,162925000,192001000,5015188000,8231539000,1856820000,10088359000,322007000,-44206000,-116969000,-161175000,-61669000,-210220000,-187890000,-221660000,452000,-222112000,-493549000,-332717000,-332717000,-316357000,6973067000,0.36241,0.10742,0.05925,0.03673,0.00676,1.17778,4.43314,0.6912,0.40158,0.39961,6.77772,0.36308,5,0.01406,0.90412,50.86268
"32","2018_Q1",42.4860655737705,"Down",1228928000,-772773000,-726446000,456155000,-323570000,-323570000,132585000,-4373000,-7709000,3336000,128212000,-33385000,94827000,-86513000,8314000,8314000,8314000,8314000,687521000,687521000,2435648000,329986000,2105662000,538202000,223371000,223371000,3884742000,967781000,4859424000,4859424000,260725000,55947000,95705000,6087930000,9972672000,757419000,227597000,529822000,2400751000,1273482000,1127269000,3158170000,4587258000,4587258000,382967000,173359000,118753000,209608000,4970225000,8128395000,1844277000,9972672000,55986000,-92272000,76888000,-8468000,-61741000,12616000.0000001,-39526000,3373000.00000003,3469000,-96000,-37293999.9999999,10224000,10223999.9999999,8154000,6988009000,0.37118,0.10789,0.00677,0.00450999999999999,0.000829999999999999,1.23006,4.40736,0.70072,0.0495700000000001,0.0493000000000001,7.32726,0.36812,6,0.0076,7.42615,47.52037
"33","2018_Q2",37.69625,"Down",1542121000,-938624000,-890174000,603497000,-290186000,-290186000,313311000,-6267000,-7690000,1423000,307044000,-76894000,230150000,-55387000,174763000,174763000,174763000,174763000,753517000,753517000,2697025000,355107000,2341918000,564571000,205041000,205041000,4220154000,934645000,4784524000,4784524000,338298000,56524000,204150000,6057467000,10277621000,885448000,319040000,566408000,2909655000,1036976000,1872679000,3795103000,4108511000,4108511000,378058000,167952000,113031000,210106000,4486569000,8281672000,1995949000,10277621000,191594000,-28436000,6785000,-21651000,-62731000,35050000,45453000,-71249000,1719000,-72968000,-98930000,71013000,71013000,73047000,7018166000,0.39134,0.20317,0.11333,0.08756,0.017,1.112,4.14924,0.68286,1.0394,1.03304,9.1717,0.37309,6,0.02529,0.35895,19.99499
"34","2018_Q3",39.0850793650794,"Up",1713223000,-1044979000,-993036000,668244000,-313047000,-313047000,355197000,-4550000,-7728000,3178000,350647000,-31250000,319397000,-77059000,242338000,242338000,242338000,242338000,978749000,978749000,2588550000,335594000,2252956000,465373000,210748000,210748000,4243420000,904113000,5060246000,5060246000,338243000,55451000,215287000,6302602000,10546022000,859654000,287214000,572440000,2272770000,1327307000,945463000,3132424000,4868346000,4868346000,383726000,169283000,113464000,214443000,5252072000,8384496000,2161526000,10546022000,544265000,-40857000,-305445000,-346302000,-61949000,124550000,93904000,-38013000,246000,-38259000,24588000,222551000,222551000,210426000,7141116000,0.39005,0.20733,0.14145,0.11211,0.02298,1.35468,3.87897,0.67714,1.45471,1.44936,10.28413,0.37187,5,0.03141,0.255629999999998,17.34915
"35","2018_Q4",35.6152380952381,"Down",1315669000,-821226000,-776530000,494443000,-306665000,-306665000,187778000,-8224000,-7762000,-462000,179554000,-38362000,141192000,-27337000,113855000,113855000,113855000,113855000,937003000,926992000,2448695000,332309000,2116386000,516247000,187513000,187513000,4089458000,884960000,5187176000,5187176000,342206000,55318000,223329000,6414342000,10503800000,875799000,310967000,564832000,2900015000,1373859000,1526156000,3775814000,4196517000,4196517000,378497000,166936000,112798000,211561000,4575014000,8350828000,2152972000,10503800000,386696000,-50552000,-197558000,-248110000,-61425000,-50778000,4820000,-83579000,1192000,-84771000,-195782000,-57196000,-57196000,-59672000,7096532000,0.37581,0.14272,0.08654,0.05288,0.01084,1.08307,3.87874,0.67562,0.68618,0.68314,7.9292,0.37019,8,0.01821,0.5395,32.80219
"36","2019_Q1",33.4232786885246,"Down",1145862000,-740154000,-692056000,405708000,-348200000,-348200000,57508000,-7853000,-7704000,-1100000,49655000,-53765000,-4110000,4605000,495000,495000,495000,495000,1213773000,1203766000,2520898000,306474000,2214424000,556128000,193643000,193643000,4484442000,904132000,5007507000,5007507000,269583000,55048000,73071000,6181222000,10665664000,885991000,284861000,601130000,2711609000,1135810000,1575799000,3597600000,4887667000,4887667000,406448000,202229000,94453000,204219000,5294115000,8891715000,1773949000,10665664000,83366000,-93671000,57472000,-46206000,-59705000,509306000,176938000,-194240000,368000,-194608000,255361000,292521000,292521000,289737000,7599276000,0.35406,0.05019,0.000430000000000014,0.000280000000000002,5.00000000000014e-05,1.24651,5.01238,0.7125,0.00305,0.00304000000000004,7.07178,0.36847,6,0.00616,120.61616,111.03678
