"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","piotroski_f_score","return_on_invested_capital","net_debt_ebit"
"11","2012_Q4",38.6770967741936,"Up",2772874000,-2339793000,433081000,-279715000,-279715000,153366000,-1995000,-665000,-1330000,151371000,151371000,-50381000,100990000,100990000,-3090000,97900000,97900000,898588000,898588000,2208374000,198507000,60370000,3305469000,311311000,2865787000,1993090000,872697000,3177098000,6482567000,1333702000,345340000,954762000,1800000,235674000,235674000,1571176000,510645000,701867000,701867000,1212512000,2783688000,1064803000,129655000,935148000,2812306000,-220423000,3656686000,42193000,3698879000,6482567000,100990000,6857000,-112861000,19659000,-32492000,-4144000,-36723000,-11909000,12738000,-2673000,-1844000,-18908000,-18908000,-4011000,-22919000,512445000,0.15618,0.05531,0.03531,0.02647,0.0151,2.10382,0.75258,0.07905,0.7653,0.75999,21.67595,28.58483,5,0.01993,-2.51779
"12","2013_Q1",46.687,"Up",2786285000,-2339623000,446662000,-279045000,-279045000,167617000,-3813000,-1772000,-2041000,163804000,170096000,-59014000,111082000,111082000,-3671000,107411000,107411000,1032457000,1032457000,2348892000,230728000,88359000,3612077000,331131000,2896225000,2010340000,885885000,3227356000,6839433000,1483777000,376694000,1061969000,0,263275000,263275000,1747052000,528260000,796338000,796338000,1324598000,3071650000,1083919000,129936000,953983000,2920441000,-281887000,3722473000,45310000,3767783000,6839433000,111082000,2538000,18847000,158110000,-19467000,-18147000,-36869000,-1898000,10111000,203000,8416000,129657000,129657000,4212000,133869000,528260000,0.16031,0.06016,0.03855,0.02851,0.0157,2.06753,0.81524,0.07724,0.83712,0.83099,21.71526,29.01156,6,0.02109,-3.00803
"13","2013_Q2",51.11953125,"Up",2759641000,-2323918000,435723000,-275454000,-275454000,160269000,-3958000,-2604000,-1354000,156311000,156311000,-51788000,104523000,104523000,-5513000,99010000,99010000,1241745000,1241745000,2223859000,229768000,86953000,3695372000,340956000,2900350000,2011523000,888827000,3241306000,6936678000,1449511000,343569000,1038153000,5124000,296165000,296165000,1750800000,513113000,795833000,795833000,1308946000,3059746000,1103064000,130240000,972824000,3017617000,-291605000,3829076000,47856000,3876932000,6936678000,104523000,9931000,107758000,246687000,-24956000,11000,-25353000,-16054000,9461000,-3919000,-10512000,210822000,210822000,-1534000,209288000,518237000,0.15789,0.05808,0.03588,0.02554,0.01427,2.11068,0.78922,0.07471,0.76964,0.76356,21.45177,29.7649,4,0.01907,-4.51434
"14","2013_Q3",55.9640625,"Up",2835084000,-2370183000,464901000,-299698000,-299698000,165203000,-3295000,-1936000,-1359000,161908000,161908000,-54819000,107089000,107089000,-2688000,104401000,104401000,1166207000,1166207000,2274362000,200932000,84395000,3641501000,358846000,2871384000,2005235000,866149000,3230230000,6871731000,1392869000,350777000,1038333000,3600000,257775000,257775000,1654244000,447213000,772248000,772248000,1219461000,2873705000,1157914000,130720000,1027194000,3085322000,-287689000,3955547000,42479000,3998026000,6871731000,107089000,3660000,-124674000,9372000,-37633000,0,-37227000,-49466000,14340000,-4620000,-39746000,-67601000,-67601000,-7937000,-75538000,450813000,0.16398,0.05827,0.03682,0.02611,0.01519,2.20131,0.71878,0.0656,0.80863,0.7986,21.95901,30.63751,5,0.02,-4.33039
"15","2013_Q4",57.0271875,"Up",3080995000,-2613991000,467004000,-298645000,-298645000,168359000,64000,-1454000,1518000,168423000,168423000,-56334000,112089000,112089000,-3218000,108871000,108871000,1295517000,1295517000,2317917000,186823000,79300000,3800257000,361266000,2888226000,2015371000,872855000,3249492000,7049749000,1431841000,344524000,1082571000,12275000,289207000,289207000,1733323000,432701000,761884000,761884000,1194585000,2927908000,1201330000,131410000,1069920000,3190981000,-300705000,4091606000,30235000,4121841000,7049749000,112089000,9311000,39687000,185470000,-25370000,-22313000,-47688000,-9621000,11426000,-2727000,-922000,136860000,136860000,-7550000,129310000,444976000,0.15158,0.05464,0.03534,0.02641,0.01544,2.19247,0.71034,0.06312,0.84051,0.82921,23.78596,31.5881,7,0.02043,-5.05195
"16","2014_Q1",59.302131147541,"Up",3142656000,-2667965000,474691000,-299543000,-299543000,175148000,-242000,-1517000,1275000,174906000,174906000,-58425000,116481000,116481000,-5670000,110811000,110811000,1256405000,1256405000,2548990000,234163000,103077000,4039558000,379296000,2855290000,2022831000,614555000,3234586000,7274144000,1519739000,457893000,1029816000,22783000,345097000,345097000,1887619000,415086000,723104000,723104000,1138190000,3025809000,1216263000,131639000,1084624000,3300961000,-304127000,4213097000,35238000,4248335000,7274144000,116481000,5860000,-136729000,12331000,-35035000,-17116000,-52158999.9999999,-19458000,10852000,79000.0000000005,-8526999.99999997,-48355000,-48355000,9243000,-39112000,437869000,0.15105,0.05573,0.03526,0.02608,0.01523,2.14003,0.71223,0.0602,0.85325,0.83893,24.19848,32.44088,5,0.02049,-4.6734
"17","2014_Q2",54.8044444444444,"Down",3068891000,-2615200000,453691000,-308644000,-308644000,145047000,1874000,1987000,-113000,146921000,146921000,-47972000,98949000,98949000,-5217000,93732000,93732000,1011236000,1011236000,2690289000,242719000,110640000,3944244000,468335000,4028573000,2778981000,680432000,4496908000,8441152000,1659116000,406630000,1188781000,53075000,449928000,449928000,2162119000,1041480000,876474000,876474000,1917954000,4080073000,1243143000,131863000,1111280000,3394616000,-314766000,4322993000,38086000,4361079000,8441152000,98949000,16032000,183213000,326480000,-37877000,-1132933000,-1196286000,620550000,9587000,-2053000,628084000,-241722000,-241722000,-3447000,-245169000,1094555000,0.14784,0.04726,0.03054,0.02149,0.0111,1.82425,0.93557,0.12967,0.72034,0.70912,23.5849,33.22287,3,0.0148,0.57443
"18","2014_Q3",50.19390625,"Down",3176033000,-2659478000,516555000,-394120000,-394120000,122435000,-2188000,-2111000,-77000.0000000002,120247000,132394000,-41593000,90801000,90801000,-7341000,83460000,83460000,691256000,691256000,2718216000,239301000,104768000,3648773000,471902000,4115374000,2910998000,718151000,4587276000,8236049000,1540116000,321388000,1214384000,64183000,378504000,378504000,1982803000,932154000,857258000,857258000,1789412000,3772215000,1278373000,132179000,1146194000,3460619000,-319513000,4419479000,44355000,4463834000,8236049000,90801000,-14896000,-245069000,-130745000,-27590000,-64604000,-92158000.0000002,-100904000,12532000,-1335000,-89707000,-312610000,-312610000,-7370000,-319980000,996337000,0.16264,0.03855,0.02628,0.0187,0.01013,1.84021,0.84506,0.12097,0.64011,0.62951,24.35907,33.89587,1,0.01321,2.49178
"19","2014_Q4",43.8953125,"Down",3231791000,-2670053000,561738000,-437801000,-437801000,123937000,-5890000,-2941000,-2949000,118047000,118047000,-46739000,71308000,71308000,-6466000,64842000,64842000,772613000,772613000,2736010000,244493000,96537000,3753116000,455626000,4123837000,2938686000,707029000,4579463000,8332579000,1761607000,421132000,1319652000,41351000,366980000,366980000,2169938000,789416000,840567000,840567000,1629983000,3799921000,1300231000,133010000,1167221000,3504788000,-303992000,4501027000,31631000,4532658000,8332579000,71308000,3532000,175313000,289478000,-25600000,-28815000,-54514000,-167467000,12056000,-2795000,-158206000,76758000,76758000,4599000,81357000,830767000,0.17382,0.03835,0.02006,0.01431,0.00778,1.7296,0.83834,0.0997,0.49597,0.48896,24.7196,34.42784,4,0.01045,0.46922
"20","2015_Q1",40.4127868852459,"Down",3218442000,-2676642000,541800000,-405151000,-405151000,136649000,8155000,1321000,6834000,144804000,144804000,-53750000,91054000,91054000,-4980000,86074000,86074000,732647000,732647000,2867555000,291869000,121976000,3892071000,456797000,4104791000,3026349000,638250000,4561588000,8453659000,1902431000,622875000,1279556000,36732000,410683000,410683000,2349846000,764075000,834078000,834078000,1598153000,3947999000,1305611000,131753000,1173858000,3527193000,-363549000,4469255000,36405000,4505660000,8453659000,91054000,55406000,50661000.0000001,236503000,-18294000,-157932000,-175824000,-6139000,-67870000,-1242000,-75251000,-14572000,-14572000,-25394000,-39966000.0000001,800807000,0.16834,0.04246,0.02674,0.0191,0.01018,1.65631,0.87623,0.09473,0.65862,0.65151,24.62672,34.19764,4,0.01402,0.4988
"21","2015_Q2",42.0555555555556,"Up",3187005000,-2667559000,519446000,-361223000,-361223000,158223000,-3528000,-3042000,-486000,154695000,154695000,-48500000,106195000,106195000,-6116000,100079000,100079000,670081000,670081000,2733511000,282192000,113766000,3685784000,447144000,4109720000,3046706000,648900000,4556864000,8242648000,1776916000,532964000,1226985000,44332000,417407000,417407000,2238655000,706610000,824700000,824700000,1531310000,3769965000,1300197000,129476000,1170721000,3539510000,-401504000,4438203000,34480000,4472683000,8242648000,106195000,9014000,-15225000,138971000,-30401000,13000,-30388000,-27763000,-105679000,-6951000,-140393000,-31810000,-31810000,-30756000,-62566000,750942000,0.16299,0.04965,0.0314,0.02238,0.01214,1.64643,0.84289,0.0911,0.7779,0.77,24.77229,34.49774,7,0.01655,0.51106
"22","2015_Q3",38.4946875,"Down",2903332000,-2412388000,490944000,-357899000,-357899000,133045000,-4083000,-2968000,-1115000,128962000,128962000,-40852000,88110000,88110000,-6143000,81967000,81967000,464950000,464950000,2700104000,250896000,93917000,3415950000,433836000,4081524000,3046547000,638575000,4515360000,7931310000,1618824000,470817000,1148007000,42714000,3.43e+08,3.43e+08,2004538000,712712000,805182000,805182000,1517894000,3522432000,1282983000,126474000,1156509000,3514557000,-428902000,4368638000,40240000,4408878000,7931310000,88110000,28686000,-189289000,-34790000,-23738000,0,-23738000,36920000,-131373000,-9.31322574615479e-10,-94453000,-152981000,-152981000,-52150000,-205131000,755426000,0.1691,0.04582,0.02823,0.01859,0.01033,1.70411,0.79894,0.09525,0.65057,0.64457,23.04378,34.67393,5,0.01373,2.18329
"23","2015_Q4",39.4621875,"Up",2907541000,-2422944000,484597000,-384164000,-384164000,100433000,-3244000,-3811000,567000,97189000,97189000,119000,97308000,97308000,-6246000,91062000,91062000,553561000,553561000,2679176000,241104000,82243000,3473841000,421314000,4063906000,3033786000,647154000,4485220000,7959061000,1678196000,510748000,1167448000,38359000,376083000,376083000,2092638000,646391000,820501000,820501000,1466892000,3559530000,1260086000,124143000,1135943000,3513867000,-420966000,4352987000,46544000,4399531000,7959061000,97308000,7922000,140224000,282572000,-9620000,0,-9620000,-81898000,-110836000,453000,-192281000,80671000,80671000,7940000,88611000,684750000,0.16667,0.03454,0.03132,0.0207,0.01144,1.66003,0.80907,0.08603,0.73799,0.73083,23.56345,35.27771,6,0.01542,1.30623
"24","2016_Q1",37.6098360655738,"Down",3116954000,-2643603000,473351000,-419525000,-419525000,53826000,-1626000,-2420000,794000,52200000,49291000,-12022000,37269000,37269000,-7406000,29863000,29863000,460859000,460859000,2548743000,113076000,113076000,3122678000,381238000,4282010000,3048778000,879813000,4663248000,7785926000,1657851000,566866000,1090985000,13364000,309951000,309951000,1981166000,584434000,863868000,863868000,1448302000,3429468000,1260297000,123153000,1137144000,3496212000,-464764000,4291745000,64713000,4356458000,7785926000,37269000,31058000,-5991999.99999994,97819000,-24276000,-8101000,-32377000,-85486000,-41206000,505000,-126187000,-60745000,-60745000,-31957000,-92702000,597798000,0.15186,0.01727,0.00958,0.00685,0.00384,1.57618,0.78721,0.07678,0.24479,0.24338,25.55048,35.18054,5,0.00513,2.54411
"25","2016_Q2",45.363125,"Up",2847934000,-2407460000,440474000,-381024000,-381024000,59450000,-1663000,-1323000,-340000,57787000,57787000,-7481000,50306000,50306000,-3792000,46514000,46514000,443725000,443725000,2424447000,244124000,104404000,3112296000,361006000,4142549000,3059279000,737500000,4503555000,7615851000,1455112000,421206000,1033906000,2833000,327031000,327031000,1784976000,621899000,838717000,838717000,1460616000,3245592000,1264787000,122777000,1142010000,3511197000,-470476000,4305508000,64751000,4370259000,7615851000,50306000,7314000,-64796000,26717000,-15854000,-10500000,-26354000,32533000,-33327000,-2704000,-3498000,-3135000,-3135000,-13999000,-17134000,624732000,0.15466,0.02087,0.01633,0.01064,0.00611,1.74361,0.74265,0.08203,0.38477,0.38139,23.55845,35.61568,5,0.00797,3.04469
"26","2016_Q3",49.92171875,"Up",2781763000,-2337547000,444216000,-357435000,-357435000,86781000,3675000,63999.9999999998,3611000,90456000,90456000,-27067000,63389000,63389000,1861000,65250000,65250000,559722000,559722000,2415092000,98014000,98014000,3072828000,343550000,4300427000,3054798000,528018000,4643977000,7716805000,1542039000,487810000,1054229000,2727000,373649000,373649000,1918415000,5.3e+08,829416000,829416000,1359416000,3277831000,1271923000,122146000,1149777000,3554291000,-450196000,4376018000,62956000,4438974000,7716805000,63389000,418000.000000004,140992000,237583000,-13205000,0,-16611000,-96071000,-23229000,24000,-119276000,101696000,101696000,14301000,115997000,532727000,0.15969,0.0312,0.02346,0.0147,0.00846,1.60175,0.73842,0.06903,0.54277,0.53862,23.13971,36.40129,5,0.01125,-0.31107
"27","2016_Q4",53.0195238095238,"Up",2693873000,-2242424000,451449000,-341893000,-341893000,109556000,-6749000,-3948000,-2801000,102807000,102807000,-31870000,70937000,70937000,-1882000,69055000,69055000,616391000,616391000,2234178000,78020000,78020000,2928589000,325130000,4167073000,3079821000,397200000,4492203000,7420792000,1499979000,479217000,1020762000,8941000,297520000,297520000,1806440000,4.79e+08,646070000,646070000,1125070000,2931510000,1277768000,121704000,1156064000,3600121000,-453263000,4424626000,64656000,4489282000,7420792000,70937000,-6443000,84685000,181448000,-10609000,-39214000,-49823000,-39116000,-19385000,148000,-58353000,73272000,73272000,-16603000,56669000,487941000,0.16758,0.04067,0.02563,0.01538,0.00931,1.62119,0.653,0.06575,0.57618,0.56861,22.47704,36.91803,6,0.01228,-1.17246
"28","2017_Q1",54.5111290322581,"Up",2640587000,-2208895000,431692000,-348881000,-348881000,82811000,-5728000,-2205000,-3523000,77083000,35673000,-5790000,29883000,29883000,-239000,29644000,29644000,655716000,655716000,2115663000,93091000,93091000,2864470000,319673000,4175879000,3079628000,759329000,4495552000,7360022000,1460805000,522427000,938378000,2421000,319460000,319460000,1782686000,385330000,861824000,861824000,1247154000,3029840000,1289223000,120951000,1168272000,3586647000,-610594000,4265276000,64906000,4330182000,7360022000,29883000,44212000,129305000,234425000,-27568000,-228999.999999993,-46833000,-99484000,-33469000,-2946000,-135899000,51693000,51693000,-12368000,39325000,387751000,0.16348,0.03136,0.01123,0.00685,0.00403,1.60683,0.6997,0.05268,0.24791,0.24422,22.08255,35.6694,8,0.00531,-3.23586
"29","2017_Q2",51.4050793650794,"Down",2551604000,-2132292000,419312000,-330684000,-330684000,88628000,-2748000,-2032000,-716000,85880000,85880000,-24727000,61153000,61153000,-617000,60536000,60536000,736546000,736546000,2092854000,93998000,93998000,2923398000,314406000,3872229000,2821995000,731968000,4186635000,7110033000,1336860000,502832000,834028000,2899000,409907000,409907000,1749666000,3.87e+08,837674000,837674000,1224674000,2974340000,1327609000,121166000,1206443000,3621528000,-878911000,4070226000,65467000,4135693000,7110033000,61153000,11202000,9537000,110427000,-21050000,11660678.2283052,-23086000,12001000,7175000,-3848000,15328000,102669000,102669000,-21839000,80830000,389899000,0.16433,0.03473,0.02372,0.01464,0.00851,1.67083,0.71919,0.05484,0.50684,0.4968,21.36342,34.07815,7,0.01129,-3.91126
"30","2017_Q3",51.8328571428571,"Up",2302567000,-1883283000,419284000,-351111000,-351111000,68173000,-7682000,-1667000,-6015000,60491000,60491000,-16326000,44165000,44165000,5853000,50018000,50018000,674596000,674596000,2058005000,88545000,88545000,2821146000,316077000,3948780000,2862364000,766595000,4264857000,7086003000,1340996000,468138000,872858000,2941000,389279000,389279000,1733216000,334925000,843606000,843606000,1178531000,2911747000,1337702000,120454000,1217248000,3611953000,-835008000,4114647000,59609000,4174256000,7086003000,44165000,-14635000,31935000,90622000,-24661000,-26818000,-49443000,-54145000,-41438000,5281000,-108406000,-67227000,-67227000,5277000,-61950000,337866000,0.18209,0.02961,0.02172,0.01198,0.00706,1.62769,0.69755,0.04768,0.41862,0.41095,19.27092,34.4368,6,0.01272,-4.93935
"31","2017_Q4",59.6746031746032,"Up",2514751000,-2055386000,459365000,-330890000,-330890000,128475000,-1079000,-1931000,852000,127396000,127396000,-38767000,88629000,88629000,403000,89032000,89032000,758296000,758296000,2086331000,95608000,95608000,2940235000,329128000,3975396000,2900819000,764161000,4304524000,7244759000,1439959000,553744000,886215000,3020000,396823000,396823000,1839802000,2.82e+08,838028000,838028000,1120028000,2959830000,1344072000,120267000,1223805000,3664970000,-783387000,4225655000,59274000,4284929000,7244759000,88629000,2306000,58686000,179538000,-26567000,0,-26567000,-61684000,-9627000,1309000,-92609000,60362000,60362000,23338000,83700000,285020000,0.18267,0.05109,0.0354,0.02078,0.01229,1.59813,0.69075,0.03934,0.74688,0.73532,21.09584,35.44834,7,0.02064,-3.6838
"32","2018_Q1",61.663606557377,"Up",2653866000,-2179575000,474291000,-367298000,-367298000,106993000,1577000,2343000,-765999.999999999,108570000,119450000,-26022000,93428000,93428000,713000.000000001,94141000,94141000,774151000,774151000,2102543000,119486000,119486000,2996180000,349911000,4034768000,3009826000,692022000,4384679000,7380859000,1623292000,683605000,939687000,3071000,299864000,299864000,1926227000,2.35e+08,732281000,732281000,967281000,2893508000,1360168000,120386000,1239782000,3721698000,-653514000,4428352000,58999000,4487351000,7380859000,93428000,60752000,5210000,194294000,-43395000,-125408000,-137102000,-48301000,9354999.99999999,134999.999999999,-56892999.9999999,299000,299000,15556000,15855000,238071000,0.17872,0.04032,0.03547,0.02098,0.01275,1.55547,0.64481,0.03226,0.78877,0.81195,22.23562,37.10329,8,0.02056,-5.01042
"33","2018_Q2",60.06578125,"Down",2750311000,-2263131000,487180000,-439536000,-439536000,47644000,-5728000,-3258000,-2470000,41916000,41916000,-39355000,2561000,2561000,-398000,2163000,2163000,1059839000,1059839000,3293502000,193614000,193614000,4546955000,574034000,7570768000,5720875000,928893000,8144802000,12691757000,2420064000,947199000,1472865000,5450000,637542000,637542000,3063056000,2587933000,1079021000,1079021000,3666954000,6730010000,2769569000,141557000,2628012000,3728527000,-628985000,5869111000,92636000,5961747000,12691757000,2561000,12610000,-7812000,46886000,-22583000,-1365809000,-1388762000,1643146000,14454000,-13780000,1625677000,283801000,283801000,1887000,285688000,2593383000,0.17714,0.01732,0.00079,0.00036,0.00017,1.48445,1.12887,0.20434,0.01743,0.01728,22.15813,47.28502,4,0.00211,32.18756
"34","2018_Q3",68.7333333333333,"Up",3935027000,-3161663000,773364000,-627079000,-627079000,146285000,-24118000,-17442000,-6676000,122167000,122167000,-70235000,51932000,51932000,-3345000,48587000,48587000,835415000,835415000,3421230000,200626000,200626000,4457271000,504412000,7640183000,5916827000,977409000,8144595000,12601866000,2395312000,964280000,1431032000,5559000,582362000,582362000,2983233000,2511800000,1081357000,1081357000,3593157000,6576390000,2797980000,141715000,2656265000,3755651000,-617064000,5936567000,88909000,6025476000,12601866000,51932000,49594000,-149868000,7318000,-21834000,-115605000,-144765000,-80945000,9200000,-3329000,-101164000,-238611000,-238611000,14187000,-224424000,2517359000,0.19653,0.03718,0.01235,0.00806,0.00386,1.49411,1.09143,0.19976,0.34268,0.34017,27.75348,41.8702,4,0.00776,11.49772
"35","2018_Q4",67.1253968253968,"Down",4156663000,-3380254000,776409000,-563679000,-563679000,212730000,-19946000,-22510000,2564000,192784000,192784000,-42712000,150072000,150072000,150000,150222000,150222000,824370000,824370000,3463697000,187978000,187978000,4476045000,471104000,7604663000,5955048000,968951000,8075767000,12551812000,2527323000,1072057000,1455266000,8964000,559898000,559898000,3096185000,2336473000,1066237000,1066237000,3402710000,6498895000,2812481000,141861000,2670620000,3880886000,-728176000,5965191000,87726000,6052917000,12551812000,150072000,-2714000,15365000,214746000,-18563000,-3729000,-6982000,-159814000,6952000,-10866000,-184727000,23037000,23037000,-34082000,-11045000,2345437000,0.18679,0.05118,0.03614,0.02482,0.01197,1.44566,1.07368,0.18686,1.05779,1.05029,29.26918,42.00395,5,0.01809,7.15022
"36","2019_Q1",66.222131147541,"Down",-262228000,383825000,121597000,-140813000,-140813000,-19216000,-6670000,-24566000,17896000,-25886000,-25886000,-173330000,-199216000,-31423000,-6118000,-37541000,-37541000,793358000,793358000,3554930000,208296000,208296000,4556584000,457706000,7631505000,6103856000,871692000,8089211000,12645795000,2616300000,1127671000,1488629000,4954000,524439000,524439000,3145693000,2146877000,1408871000,1408871000,3555748000,6701441000,2851057000,142218000,2708839000,3809991000,-806703000,5854345000,90009000,5944354000,12645795000,-31423000,362996000,-170748000,212202000,-28611000,-3192999.99999997,-37098000,-192893000,19997000,-3133000,-197366000,-22262000,-22262000,-8749999.99999999,-31012000,2151831000,-0.46371,0.07328,0.14316,-0.00632000000000001,-0.00297,1.44852,1.12736,0.17016,-0.26396,-0.26099,-1.84379,41.16343,2,-0.0017,-70.69489
"37","2019_Q2",76.0628571428571,"Up",3083788000,-2515268000,568520000,-455390000,-455390000,113130000,-20939000,-23221000,2282000,92191000,92191000,-22758000,69433000,129591000,-5295000,124296000,124296000,886707000,886707000,2681908000,1330247000,128977000,4898862000,256488000,7789909000,4771086000,2466793000,8046397000,12945259000,1889545000,895434000,994111000,3136000,1202043000,1202043000,3094724000,2668993000,1340508000,1340508000,4009501000,7104225000,2812790000,140400000,2672390000,3796864000,-856552000,5753102000,87932000,5841034000,12945259000,129591000,-22180000,-371718000,-224701000,-20516000,0,-22595000,527057000,-134217000,-18512000,345725000,98429000,98429000,22115000,120544000,2672129000,0.18436,0.03669,0.04031,0.02128,0.0096,1.58297,1.21626,0.20642,0.87438,0.8657,21.69329,40.47091,4,0.01552,15.78204
"38","2019_Q3",84.52921875,"Up",3091596000,-2474755000,616841000,-514161000,-514161000,102680000,9150000,-27754000,36904000,111830000,111830000,7947000.00000003,119777000,62772000.0000001,-5855000,56917000.0000001,56917000.0000001,674548000,674548000,2747172000,1424750000,127320000,4846470000,268800000,7830575000,4774849000,2522088000,8099375000,12945845000,2006154000,828522000,1177632000,24000.0000000075,1182022000,1182022000,3188200000,2841536000,1360528000,1360528000,4202064000,7390264000,2705241000,136432000,2568809000,3620873000,-860260000,5465854000,89727000,5555581000,12945845000,62772000.0000001,-46795000,111323000,169469000,-33724000,-5.96046447753906e-08,-36662000,168514000,-328273000,-5546000,-193092000,-60285000,-60285000,-2979000,-63264000,2841560000,0.19952,0.03321,0.01841,0.01025,0.0044,1.52013,1.33024,0.2195,0.41144,0.40855,22.34846,39.51144,7,0.00868,21.10452
"39","2019_Q4",89.6290625,"Up",3169621000,-2543488000,626133000,-536180000,-536180000,89953000,3445000,-15580000,19025000,93398000,93398000,1982000,95380000,531064000,-6623000,524441000,524441000,998242000,998242000,2779189000,698514000,695810000,4475945000,305266000,6860051000,5370741000,795193000,7165317000,11641262000,2558264000,884992000,1673272000,222687000,508497000,508497000,3289448000,1025198000,1218499000,1218499000,2243697000,5533145000,2770026000,135849000,2634177000,4053626000,-763589000,6060063000,48054000,6108117000,11641262000,531064000,-801050000,60671000,-165081000,-45130000,-575110000,2241202000,-1895959000,-15985000,-5870000,-1943681000,132440000,132440000,15164000,147604000,1247885000,0.19754,0.02838,0.16546,0.08586,0.04505,1.3607,0.90587,0.10719,3.83899,3.80518,23.20214,44.36064,5,0.06418,2.77526
