"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","investment_income_loss","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","other_interbank_assets","short_long_term_investments","investment_securities_available_for_sale","investment_securities_held_to_maturity","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","intangible_assets","goodwill","customer_acceptances_liabilities","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","long_term_debt","other_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_investments","net_change_in_loans_interbank","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",5.90238095238095,"Up",1.643e+09,5.61e+08,9.45e+08,-3.84e+08,1.082e+09,3.02e+08,5.72e+08,1.88e+08,-7.7e+08,8.73e+08,-1.23e+09,-1.23e+09,-3.57e+08,-3.57e+08,-3.57e+08,1.61e+08,-1.96e+08,-1.96e+08,-1.96e+08,-5.9e+07,-2.55e+08,2.252e+09,4.619e+09,4.295e+09,2.5487e+10,2.4219e+10,3e+07,8.499e+10,-3.184e+09,8.8174e+10,2.637e+09,4.72e+08,5.559e+09,5.03e+08,1.0711e+10,1.3723e+11,9.8332e+10,7.4941e+10,2.3391e+10,1.5683e+10,2.893e+09,1.19592e+11,3.61e+09,1.8793e+10,1.2e+07,1.8781e+10,-1.407e+09,-3.502e+09,1.44e+08,1.7638e+10,1.7638e+10,1.3723e+11,-1.96e+08,1.13e+08,7.7e+08,1.606e+09,-5.66e+08,1.727e+09,-8.4e+07,1.524e+09,-4.3e+07,1.397e+09,-6.3e+07,-3.854e+09,-3.48e+08,-4.264e+09,-1.14e+09,-1.14e+09,-1.14e+09,-2.44e+08,1.8367e+10,-0.21729,-0.1552,-0.01446,-0.00186,6.78036,0.13384,-0.21357,-0.21357,1.37605,11.74874,0.05276,-0.0014,-0.24706,-66.04508,-45.14006
"2","2010_Q3",5.2146875,"Down",1.593e+09,6.06e+08,9.3e+08,-3.24e+08,9.87e+08,2.24e+08,6.05e+08,1.4e+08,-6.51e+08,9.42e+08,-1.126e+09,-1.126e+09,-1.84e+08,-1.84e+08,-3.65e+08,8.8e+07,-2.77e+08,-2.77e+08,-2.77e+08,-5.8e+07,-3.35e+08,2.097e+09,5.314e+09,4.562e+09,2.5455e+10,2.4166e+10,2.8e+07,8.276e+10,-3.185e+09,8.5945e+10,2.588e+09,4.43e+08,5.561e+09,4.66e+08,1.0656e+10,1.3534e+11,9.625e+10,7.3257e+10,2.2993e+10,1.5415e+10,3.248e+09,1.17877e+11,3.36e+09,1.9051e+10,1.3e+07,1.9038e+10,-1.405e+09,-3.849e+09,3.06e+08,1.7463e+10,1.7463e+10,1.3534e+11,-2.77e+08,1.24e+08,6.51e+08,1.248e+09,-6.78e+08,1.068e+09,3.34e+08,1.315e+09,-2.8e+07,1.621e+09,-5.8e+07,-8e+06,-2.082e+09,-2.149e+09,539999999.999999,539999999.999999,539999999.999999,-59999999.9999999,1.8379e+10,-0.11551,-0.2103,-0.01918,-0.00248,6.7501,0.1358,-0.27917,-0.27917,1.3275,11.7525,0.04833,-0.00205,-0.17313,-271.36667,-88.4891300000002
"3","2010_Q4",4.84984375,"Down",1.618e+09,6.29e+08,9.19e+08,-2.9e+08,9.89e+08,2.16e+08,6e+08,1.55e+08,-7.6e+08,8.58e+08,-1.163e+09,-1.163e+09,-3.05e+08,-3.05e+08,-3.05e+08,1.5e+08,-1.55e+08,-1.55e+08,-1.55e+08,-5.4e+07,-2.09e+08,1.898e+09,4.989e+09,3.852e+09,2.5161e+10,2.3555e+10,2.6e+07,8.1235e+10,-3.185e+09,8.442e+10,2.564e+09,4.14e+08,5.561e+09,5.12e+08,1.1164e+10,1.33498e+11,9.4978e+10,6.9678e+10,2.53e+10,1.4335e+10,3.361e+09,1.16335e+11,3.37e+09,1.906e+10,1.3e+07,1.9047e+10,-1.405e+09,-4.07e+09,2.08e+08,1.7163e+10,1.7163e+10,1.33498e+11,-1.55e+08,1.3e+08,7.6e+08,1.338e+09,-1.534e+09,5.39e+08,4.09e+08,2.95e+08,-4.7e+07,6.57e+08,-5.6e+07,-3.92e+08,-1.272e+09,-1.72e+09,-5.24e+08,-5.24e+08,-5.24e+08,-1.75e+08,1.7996e+10,-0.1885,-0.12917,-0.01218,-0.00157,6.77824,0.1348,-0.16627,-0.16627,1.28719,10.97295,0.04455,-0.00115,-0.26794,-91.98857,-52.78033
"4","2011_Q1",5.53983870967742,"Up",9.46e+08,6.61e+08,9.11e+08,-2.5e+08,2.85e+08,5.26e+08,-4.07e+08,1.79e+08,-6.82e+08,2.64e+08,-2.65e+08,-2.65e+08,-1e+06,-1e+06,1.83e+08,-2.3e+07,1.6e+08,8.9e+07,8.9e+07,-5.3e+07,3.6e+07,1.643e+09,5.276e+09,4.88e+09,2.4429e+10,2.3289e+10,2.4e+07,7.9679e+10,-3.185e+09,8.2864e+10,2.569e+09,3.85e+08,5.561e+09,4.21e+08,1.2388e+10,1.32351e+11,9.4614e+10,6.8881e+10,2.5733e+10,1.319e+10,3.876e+09,1.15617e+11,3.38e+09,1.9063e+10,1.3e+07,1.905e+10,-1.402e+09,-4.047e+09,-2.6e+08,1.6734e+10,1.6734e+10,1.32351e+11,8.9e+07,3.65e+08,6.82e+08,1.503e+09,-1.746e+09,8.93e+08,-2e+06,4.84e+08,-7.3e+07,4.09e+08,-5.6e+07,-8.5e+08,-3.64e+08,-1.27e+09,31999999.9999999,31999999.9999999,31999999.9999999,3.64e+08,1.7127e+10,-0.00106000000000003,0.03805,0.00215,0.00027,6.90911,0.12941,0.02864,0.02864,0.75259,10.62371,0.04455,7e-04,1.55556,42.53846,-15484
"5","2011_Q2",5.12777777777778,"Down",1.435e+09,6.32e+08,8.67e+08,-2.35e+08,8.03e+08,2.89e+08,3.37e+08,1.64e+08,-4.82e+08,9.53e+08,-9.32e+08,-9.32e+08,2.1e+07,2.1e+07,2.1e+07,2.9e+07,5e+07,6.9e+07,6.9e+07,-5.2e+07,1.7e+07,2.042e+09,5.278e+09,4.937e+09,2.6008e+10,2.4702e+10,2.2e+07,7.8185e+10,-3.186e+09,8.1371e+10,2.528e+09,3.58e+08,5.561e+09,4.41e+08,1.1355e+10,1.31756e+11,9.6369e+10,6.8889e+10,2.748e+10,1.2197e+10,3.389e+09,1.15137e+11,3.389e+09,1.906e+10,1.3e+07,1.9047e+10,-1.4e+09,-4.043e+09,-3.87e+08,1.6619e+10,1.6619e+10,1.31756e+11,6.9e+07,1.18e+08,4.82e+08,1.554e+09,-8.91e+08,1.332e+09,-1.539e+09,6.42e+08,-2.8e+07,-9.25e+08,-5.6e+07,-1.705e+09,1.755e+09,-6e+06,4.01e+08,4.01e+08,4.01e+08,1.39e+08,1.5379e+10,0.01463,0.01185,0.00102,0.00013,6.92803,0.11672,0.01352,0.0135,1.14161,10.52506,0.04455,0.00055,3.29412,95.94964,635.09524
"6","2011_Q3",3.613125,"Down",1.399e+09,6.36e+08,8.56e+08,-2.2e+08,7.63e+08,2.32e+08,3.59e+08,1.63e+08,-3.98e+08,1.001e+09,-9.56e+08,-9.56e+08,4.5e+07,4.5e+07,4.5e+07,3.4e+07,7.9e+07,1.09e+08,1.09e+08,-5.4e+07,5.5e+07,2.271e+09,5.703e+09,5.452e+09,2.5072e+10,2.3828e+10,2.1e+07,7.8056e+10,-3.12e+09,8.1176e+10,2.481e+09,4.2e+08,5.561e+09,3.54e+08,1.099e+10,1.30908e+11,9.6331e+10,6.8183e+10,2.8148e+10,1.1646e+10,3.321e+09,1.1402e+11,3.399e+09,1.9065e+10,1.3e+07,1.9052e+10,-1.399e+09,-4e+09,-1.77e+08,1.6888e+10,1.6888e+10,1.30908e+11,1.09e+08,1.12e+08,3.98e+08,1.987e+09,-1.096e+09,1.51e+09,1.135e+09,-7.86e+08,-1e+08,2.49e+08,-5.6e+07,-1.011e+09,-38000000.0000002,-1.105e+09,6.54e+08,6.54e+08,6.54e+08,1.57e+08,1.4368e+10,0.03217,0.03931,0.00326,0.00042,6.75154,0.10976,0.04375,0.04369,1.11297,10.73111,0.04455,0.00085,1.01818,77.05096,268.822220000001
"7","2011_Q4",2.97142857142857,"Down",1.365e+09,6.62e+08,8.67e+08,-2.05e+08,7.03e+08,1.76e+08,3.59e+08,1.61e+08,-3.55e+08,1.01e+09,-8.5e+08,-8.5e+08,1.6e+08,1.6e+08,1.58e+08,-1.7e+07,1.41e+08,1.55e+08,1.55e+08,-5.4e+07,1.01e+08,2e+09,6.263e+09,6.009e+09,2.6115e+10,2.4635e+10,1.8e+07,7.6483e+10,-2.964e+09,7.9447e+10,2.399e+09,4.78e+08,5.561e+09,4.22e+08,1.0041e+10,1.29762e+11,9.5938e+10,6.7642e+10,2.8296e+10,1.014e+10,3.478e+09,1.12499e+11,3.409e+09,1.9072e+10,1.3e+07,1.9059e+10,-1.397e+09,-3.913e+09,9.2e+07,1.7263e+10,1.7263e+10,1.29762e+11,1.55e+08,2.74e+08,3.55e+08,1.012e+09,-2.2e+07,1.774e+09,-5.84e+08,8.65e+08,-3.5e+07,2.46e+08,-5.8e+07,-1.28e+09,-3.93e+08,-1.731e+09,2.89e+08,2.89e+08,2.89e+08,4.34e+08,1.3083e+10,0.11722,0.07399,0.00585,0.00078,6.51677,0.10082,0.08016,0.08003,1.08333,10.99524,0.04603,0.00123,0.57426,25.53687,69.26875
"8","2012_Q1",4.24822580645161,"Up",1.354e+09,6.72e+08,8.54e+08,-1.82e+08,6.82e+08,1.73e+08,3.12e+08,1.89e+08,-2.95e+08,1.059e+09,-8.71e+08,-8.71e+08,1.88e+08,1.88e+08,-6.3e+07,-1.8e+07,-8.1e+07,-5.48e+08,-5.48e+08,-5.4e+07,-6.02e+08,2.132e+09,5.113e+09,4.913e+09,2.5753e+10,2.4471e+10,1.6e+07,7.4849e+10,-2.745e+09,7.7594e+10,2.375e+09,4.49e+08,4.816e+09,3.61e+08,1.1202e+10,1.2705e+11,9.5627e+10,6.7418e+10,2.8209e+10,8.11e+09,3.747e+09,1.10551e+11,3.419e+09,1.8868e+10,1.3e+07,1.8855e+10,-1.397e+09,-4.322e+09,-68999999.9999999,1.6499e+10,1.6499e+10,1.2705e+11,-5.48e+08,1.79e+08,2.95e+08,8.82e+08,-6.71e+08,1.37e+08,1.12e+08,1.015e+09,-3.8e+07,1.089e+09,-5.6e+07,-1.877e+09,-3.11e+08,-2.244e+09,-1.018e+09,-1.018e+09,-1.018e+09,3.67e+08,1.1177e+10,0.13885,-0.44461,-0.03649,-0.00474,6.70047,0.08797,-0.47854,-0.48083,1.07631,10.39746,0.04452,-0.0043,-0.0930200000000001,24.64578,48.1116999999997
"9","2012_Q2",4.83920634920635,"Up",1.351e+09,6.42e+08,8.12e+08,-1.7e+08,7.09e+08,1.86e+08,3.03e+08,2.12e+08,-1.17e+08,1.234e+09,-9.13e+08,-9.13e+08,3.21e+08,3.21e+08,3.21e+08,-8.2e+07,2.39e+08,1.99e+08,1.99e+08,-5.4e+07,1.45e+08,2.036e+09,5.437e+09,5.27e+09,2.8319e+10,2.7177e+10,1.5e+07,7.419e+10,-2.53e+09,7.672e+10,2.35e+09,4.2e+08,4.816e+09,3.97e+08,1.0317e+10,1.28282e+11,9.7138e+10,6.7431e+10,2.9707e+10,7.196e+09,3.506e+09,1.10748e+11,3.429e+09,1.9954e+10,1.5e+07,1.9939e+10,-1.394e+09,-4.395e+09,-6e+07,1.7534e+10,1.7534e+10,1.28282e+11,1.99e+08,1.71e+08,1.17e+08,1.333e+09,-1.065e+09,7.55e+08,-2.082e+09,3.22e+08,-3.7e+07,-1.797e+09,-5.7e+07,-1.059e+09,1.511e+09,1.27e+09,2.28e+08,2.28e+08,2.28e+08,4.92e+08,1.0104e+10,0.2376,0.10733,0.00827,0.00113,6.31619,0.07876,0.1131,0.11302,1.05382,11.00234,0.04446,0.00157,0.3931,16.39837,25.13396
"10","2012_Q3",5.33126984126984,"Up",1.345e+09,6.5e+08,8.06e+08,-1.56e+08,6.95e+08,1.91e+08,2.83e+08,2.14e+08,-2.6e+07,1.319e+09,-8.42e+08,-8.42e+08,4.77e+08,4.77e+08,4.77e+08,-1.26e+08,3.51e+08,3.55e+08,3.55e+08,-7.1e+07,2.84e+08,2e+09,1.766e+09,1.766e+09,2.7355e+10,2.7232e+10,1.3e+07,7.3911e+10,-2.291e+09,7.6202e+10,2.3e+09,3.91e+08,4.816e+09,3.41e+08,9.465e+09,1.22345e+11,9.5098e+10,6.5404e+10,2.9694e+10,6.23e+09,3.256e+09,1.0789e+11,2590415710.74017,1.9913e+10,1.5e+07,1.9898e+10,-1.376e+09,-4.136e+09,5.4e+07,1.4455e+10,1.4455e+10,1.22345e+11,3.55e+08,1.77e+08,2.6e+07,1.525e+09,-1.801e+09,2.82e+08,-6e+06,4.28e+08,8.13e+08,1.235e+09,-1.4e+07,3.74e+08,-2.04e+09,-5.224e+09,-3.707e+09,-3.707e+09,-3.707e+09,6.54e+08,9.536e+09,0.35465,0.21115,0.01965,0.00232,7.46385,0.07794,0.20085,0.20042,0.9512,10.22277,0.0099,0.00244,0.0493,11.52294,15.79874
