"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","short_term_debt","current_portion_of_long_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",22.7053968253968,"Up",1760310000,-1247277000,513033000,-396989000,-396989000,116044000,-5814000,-5699000,-115000,110230000,-12285000,97945000,-32224000,1531000,67252000,67252000,-6352000,60900000,60900000,619049918.917469,558245176.879677,368428105.815094,368428105.815094,631141435.56911,134496355.842594,62054849.447016,1753115816.14427,202682484.564908,25463402.9821021,1394467222.33321,1100253350.52389,1622613109.88022,3375728926.02449,565445503.574377,619109884.087904,-53664380.513527,-43409509.6236725,-43409509.6236725,-754065651.256407,-754065651.256407,-232029657.305702,969697694.186598,228670858.78407,170318381.563274,58352477.2207956,1198368552.97067,966338895.664966,882531182.553222,867170.244513585,1499813267.62471,-305828032.82216,2076516417.35577,332873613.003747,2409390030.35952,3375728926.02449,67252000,67252000,24572000,8786000,-78935000,21675000,-9062000,-9062000,-9062000,-108946000,-720000,-144412000,-2774000,15280000,596910298.286017,-6866000,5640000,-117097000,-117097000,1331000,-115766000,140616000,0,84843000,0.29144,0.06592,0.0346,0.0439672460606316,0.0290191435221589,1.39315,3.80086128065703,0.429257800009872,0.230627836907877,0.26682,0.25757,7.71236,9.08268502159066,0.37172,0.0310684699541435,0.35249567180734,1.46349034138904,1.61913657565937
"2","2010_Q3",21.43984375,"Down",1849401000,-1303757000,545644000,-407638000,-407638000,138006000,-5203000,-5677000,474000,132803000,0,132803000,-41435000,1795000,93163000,93163000,-9162000,84001000,84001000,336105000,321116000,829917000,829917000,797603000,248920000,205986000,2212545000,248233000,181953000,1774934000,1368106000,2205120000,4417665000,595969000,504248000,91721000,25215000,25215000,405013000,405013000,1026197000,523421000,259950000,187602000,72348000,783371000,1809568000,633155000,915000,1637508000,-3849000,2266814000,341283000,2608097000,4417665000,93163000,93163000,25772000,3162000,-14784000,107313000,-8480000,-8480000,-8480000,-95652000,1027000,-91009000,-48069000,5756000,185911432.762006,-4699000,-47012000,-30708000,-30708000,-3564000,-34272000,163778000,548636000,181949000,0.29504,0.07462,0.04542,0.03221,0.01901,2.16603,2.15606,0.69383,0.12419,0.36593,0.35287,8.05651,9.87488,0.79262,0.02459,0.05325,1.29768,1.54001
"3","2010_Q4",23.15109375,"Up",1893511000,-1356055000,537456000,-400088000,-400088000,137368000,-4373000,-4402000,29000,132995000,0,132995000,-42226000,3721000,94490000,94490000,-6597000,87893000,87893000,203730000,203730000,923026000,923026000,849541000,271477000,230617000,2247774000,254004000,263329000,1839352000,1425651000,2356685000,4604459000,639314000,532274000,107040000,25122000,25122000,623211000,623211000,1287647000,383495000,266147000,190565000,75582000,649642000,1937289000,593570000,924000,1722146000,50932000,2366648000,300522000,2667170000,4604459000,94490000,94490000,25166000,16614000,-88433000,47837000,-9384000,-9384000,-9384000,-101730000,12000,-91564000,59362000,-505000,-4819000,-140702000,-81845000,-125572000,-125572000,8186000,-117386000,162534000,408617000,106943000,0.28384,0.07255,0.04642,0.03295,0.01909,1.21674,1.74564,0.72635,0.08874,0.38159,0.36955,8.22081,10.27497,0.4643,0.0263,0.032,1.26058,1.49152
"4","2011_Q1",26.1114516129032,"Up",2023568000,-1448825000,574743000,-432745000,-432745000,141998000,-3706000,-3765000,59000,138292000,0,138292000,-44184000,3118000,97226000,97226000,-4231000,92995000,92995000,150348000,150348000,885784000,885784000,870206000,262964000,214013000,2169302000,252573000,295334000,1830262000,1424794000,2378169000,4547471000,681610000,590029000,91581000,4487000,4487000,481990000,481990000,1168087000,395309000,266978000,190225000,76753000,662287000,1830374000,601933000,919000,1779178000,30514000,2411625000,305472000,2717097000,4547471000,97226000,97226000,25704000,10732000,84993000,218655000,-12074000,-12074000,-12074000,-46270000,-2344000,-60638000,-171047000,-39829000,-52916000,3450000,-207426000,-49409000,-49409000,-3973000,-53382000,167702000,399796000,284805000,0.28402,0.07017,0.04596,0.03423,0.02045,3.06258,1.85714,0.67365,0.08792,0.40282,0.38909,8.76538,10.4463,1.23367,0.02748,0.08417,1.48745,1.7567
"5","2011_Q2",27.808253968254,"Up",1947761000,-1381939000,565822000,-441522000,-441522000,124300000,-3829000,-4152000,323000,120471000,0,120471000,-39153000,1653000,82971000,82971000,-6476000,76495000,76495000,116712000,116712000,934952000,934952000,930341000,279506000,228143000,2261511000,271750000,303564000,1958169000,1499689000,2533483000,4794994000,710861000,579474000,131387000,8357000,8357000,514985000,514985000,1234203000,407462000,279069000,196358000,82711000,686531000,1920734000,519765000,923000,1837229000,89836000,2446830000,427430000,2874260000,4794994000,82971000,82971000,28348000,4378000,-67223000,48474000,-10458000,-10458000,-10458000,-133614000,413000,-141559000,57134000,-8284000,-27098000,4279000,53129000,-39956000,-39956000,6320000,-33636000,152648000,415819000,114120000,0.2905,0.06382,0.03927,0.02661,0.01595,1.49186,1.83237,0.66825,0.08672,0.33105,0.322,8.42938,10.58921,0.49388,0.02143,0.03197,1.95946,2.40633
"6","2011_Q3",25.91578125,"Down",2130640000,-1518416000,612224000,-461009000,-461009000,151215000,-2952000,-3710000,758000,148263000,5.82076609134674e-11,148263000,-47340000,4133000,105056000,105056000,-10581000,94475000,94475000,161789000,161789000,963073000,963073000,926722000,297426000,243248000,2349010000,270021000,304525000,1960203000,1512702000,2534749000,4883759000,731506000,605785000,125721000,21186000,21186000,484253000,484253000,1236945000,372924000,274906000,197538000,77368000,647830000,1884775000,542297000,924000,1928138000,102921000,2573356000,425628000,2998984000,4883759000,105056000,105056000,29121000,3675000,145999.999999985,137998000,-10306000,-10306000,-10306000,-10022000,1484000,-18794000,-70278000,4124000,-5000000.00000001,-10147000,-76300999.9999999,42903000,42903000,2174000,45077000,180336000,394110000,217516000,0.28734,0.07097,0.04434,0.0315,0.01934,2.30237,1.89904,0.62847,0.0807,0.40801,0.39625,9.20153,11.11348,0.93938,0.02576,0.0593,1.28827,1.53636
"7","2011_Q4",25.0712698412698,"Down",2111693000,-1524273000,587420000,-444159000,-444159000,143261000,-2751000,-2983000,232000,140510000,0,140510000,-44261000,4559000,100808000,100808000,-8847000,91961000,91961000,106872000,106872000,983060000,983060000,923687000,303513000,249405000,2317132000,262502000,297345000,1921317000,1495256000,2481164000,4798296000,722813000,595476000,127337000,20076000,20076000,458463000,458463000,1201352000,371864000,267458000,190726000,76732000,639322000,1840674000,538938000,909000,1950593000,49623000,2539154000,418468000,2957622000,4798296000,100808000,100808000,28571000,17439000,-56491000,90327000,-11783000,-11783000,-11783000,0,-877000,-12360000,-10012000,-98065000,-100377000,-12721000,-120798000,-42831000,-42831000,-12086000,-54917000,171832000,391940000,147819000,0.27817,0.06784,0.04355,0.03109,0.01917,1.60741,1.92877,0.62235,0.08168,0.39959,0.38832,9.17569,11.03308,0.6423,0.02542,0.04087,1.65899,1.98985
"8","2012_Q1",28.3677419354839,"Up",2340148000,-1687559000,652589000,-489216000,-489216000,163373000,-3310000,-3939000,629000,160063000,4.65661287307739e-10,160063000,-49458000,5216000,115821000,115821000,-11091000,104730000,104730000,147284000,147284000,888248000,888248000,947849000,289127000,234157000,2272508000,262088000,298828000,1906720000,1497108000,2467636000,4740144000,742702000,621468000,121234000,22819000,22819000,506119000,506119000,1271640000,363524000,269307000,188739000,80568000,632831000,1904471000,402161000,899000,2007477000,22584000,2432222000,403451000,2835673000,4740144000,115821000,115821000,29856000,9749000,122400000,277826000,-12629000,-12629000,-12629000,-5767000,-2263000,-20509000,5851000,-63258000,-67527000,-155837000,-213244000,44073000,44073000,-3661000,40412000,193229000,386343000,352458000,0.27887,0.06981,0.04475,0.03693,0.02209,3.3654,1.78707,0.67161,0.0815,0.46246,0.45157,10.33347,10.74004,1.55636,0.03,0.10095,1.23718,1.46327
"9","2012_Q2",29.6061904761905,"Up",2099019000,-1488440000,610579000,-465452000,-465452000,145127000,-3785000,-4310000,525000,141342000,-11832000,129510000,-41840000,1391000,89061000,89061000,-8309000,80752000,80752000,101813000,101813000,957470000,957470000,975797000,271930000,217377000,2307010000,259760000,300627000,1892236000,1483094000,2452623000,4759633000,703152000,571341000,131811000,23028000,23028000,412956000,412956000,1139136000,453058000,270925000,186844000,84081000,723983000,1863119000,411042000,902000,2061263000,53744000,2526049000,370465000,2896514000,4759633000,89061000,89061000,30420000,6550000,-174636000,-48605000,-12223000,-12223000,-12223000,-18980000,-2051000,-32104000,39334000,-8526000,-38565000,101000,30909000,-49800000,-49800000,4329000,-45471000,175547000,476086000,30528000,0.29089,0.06914,0.03847,0.02788,0.01697,0.37805,2.02523,0.64323,0.10003,0.35898,0.34928,9.33101,11.22934,0.13571,0.02216,0.00837999999999997,2.13204,2.57893
"10","2012_Q3",30.3869841269841,"Up",2201452000,-1577057000,624395000,-466333000,-466333000,158062000,-3272000,-4102000,830000,154790000,-3360000,151430000,-47201000,3073000,107302000,107302000,-9216000,98086000,98086000,87896000,87896000,972292000,972292000,976996000,293960000,233267000,2331144000,255715000,299913000,1948484000,1523446000,2504112000,4835256000,746639000,619936000,126703000,17129000,17129000,519686000,519686000,1283454000,434417000,268227000,185247000,82980000,702644000,1986098000,399708000,889000,2076060000,12880000,2488648000,360510000,2849158000,4835256000,107302000,107302000,30969000,13823000,26404000,178498000,-9149000,-9149000,-9149000,-101368000,-2334000,-109976000,51725000,-107650000,-118326000,-18871000,-74796000,-6274000,-6274000,-7643000,-13917000,189031000,451546000,253487000,0.28363,0.0718,0.04456,0.03443,0.02029,2.58433,1.81631,0.69708,0.09339,0.43468,0.42478,9.75607,11.02882,1.12337,0.02748,0.07103,1.92376,2.30068
