"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","notes_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",12.9092063492063,"Up",146624000,-51877000,94747000,-85206000,-13361000,-70360000,-1485000,9541000,-35870000,-35133000,-737000,0,-26329000,-967000,-27296000,53459570.8910202,-27296000,-25026000,970000,-24056000,-2379000,-26435000,-91948796.2456201,-1275976.57855617,7717701.37255014,7717701.37255014,-3408647.86604033,-3408647.86604033,-87639742.7391104,3674549515.54951,4603553197.44379,-929003681.894277,501741707.502993,441341397.340838,60400310.1621548,4176291223.0525,4088651480.31339,166503741.159829,201108414.708508,23531617.4405765,-58136290.9892553,43618253.7232017,14347723.2910558,210121994.883031,3553929495.05949,3553929495.05949,3764051489.94252,131253984.047299,846055801.738651,-768224642.356048,209085143.429902,115514846.940966,324599990.370868,4088651480.31339,-25026000,73430000,7913000,-14807000,41510000,-12843000,-148000,-44378000,-57369000,-30433000,-13415000,-3110000,29794000,13935000,13935000,13935000,82971000,0,-206358027.736836,0.64619,0.06507,-0.18029,-0.0423637812438358,-0.0101006424483035,301.20621294087,-0.340220060617794,4.05043248368252,0.820073862225303,-0.16931,-0.16931,0.93911,-0.989835436520774,-0.343434425556585,0.19492,-0.00148377379632737,-0.0231186957990482,-1.15124,39.9974601149555,934.572750030474
"2","2010_Q3",13.4859375,"Up",147875000,-51366000,96509000,-86714000,-14093000,-71164000,-1457000,9795000,-36398000,-35213000,-1185000,0,-26603000,-1958000,-28561000,26556785.4455101,-28561000,-27640000,1019000,-26621000,-2347000,-28968000,45952000,8074000,7800000,7800000,9744000,9744000,63496000,4915867000,6404573000,-1488706000,100006000,17477000,82529000,5015873000,5079369000,127093000,59585000,20002000,47506000,53756000,24920000,180849000,3411658000,3411658000,3592507000,131710000,2063441000,-825662000,1369489000,117373000,1486862000,5079369000,-27640000,75034000,7641000,5234000,60269000,-26234000,-5533000,-33055000,-64822000.0000001,-31410000,-4247999.99999999,-2703000,-7293000,-11846000,-11846000,-11846000,84829000,3411658000,-107727013.868418,0.65264,0.06624,-0.1959,-0.01948,-0.0057,124.124986470435,0.3511,2.41617,0.67167,-0.18002,-0.18002,0.91897,7.69222,-0.197657212778292,0.1952,5e-04,-0.0116043478995241,-1.0843,39.67636,343.6147
"3","2010_Q4",14.8390625,"Up",146372000,-51443000,94929000,-86347000,-15655000,-69292000,-1400000,8582000,-36167000,-35332000,-835000,0,-27585000,-950000,-28535000,10483261.81517,-28535000,-24605000,839000,-23766000,-2368000,-26134000,51980000,10107000,7800000,7800000,14879000,14879000,74659000,5292468000,6852707000,-1560239000,110231000,16391000,93840000,5402699000,5477358000,149158000,63766000,19939000,65453000,55861000,27037000,205019000,3479670000,3479670000,3684689000,131710000,2439105000,-898810000,1672005000,120664000,1792669000,5477358000,-24605000,76782000,1318000,2215000,55710000,-16936000,-342713000,2992000,-356657000,-32483000,-26247000,-2933000,302980000,2033000,2033000,2033000,85364000,3479670000,-2521671.28947265,0.64855,0.05863,-0.17855,-0.01458,-0.00477,31.422755490145,0.36416,2.05542,0.63528,-0.15793,-0.15793,0.88454,9.3081,0.118887595740569,0.1963,0.0012,0.00269855070015864,-1.24294,40.15381,399.40457
"4","2011_Q1",15.6195161290323,"Up",84181000,-22954000,61227000,-55143000,-14097000,-39615000,-1431000,6084000,-34493000,-33046000,-1447000,-7.27595761418343e-12,-28409000,-7662000,-36071000,2533000,-33538000,-29317000,861000,-28456000,-2369000,-30825000,13352000,9486000,7800000,7800000,15447000,15447000,36599000,5243021000,6748647000,-1505626000,249920000,148057000,101863000,5492941000,5529540000,177960000,105925000,20889000,51146000,54989000,26046000,232949000,3567504000,3567504000,3800453000,131710000,2451966000,-977333000,1606343000,122744000,1729087000,5529540000,-29317000,83043000,228000,2737000,56691000,-22306000,-110109000,-11979000,-104906000,-35891000,87386000,-4449000,47594000,-621000.000000002,-621000.000000002,-621000.000000002,89127000,3567504000,67025000,0.72733,0.07227,-0.36618,-0.01783,-0.00557,-2.17437,0.15711,2.19795,0.64517,-0.17039,-0.17039,0.46533,8.15142,0.3705,0.1984,0.00096,0.01265,-1.16435,39.87739,584.18014
"5","2011_Q2",16.6687301587302,"Up",142348000,-48279000,94069000,-86427000,-13733000,-71258000,-1436000,7642000,-36111000,-34779000,-1332000,0,-28469000,-4378000,-32847000,0,-32847000,-28656000,781000,-27875000,-2368000,-30243000,11692000,11692000,7800000,7800000,15355000,15355000,34847000,5200271000,6847304000,-1647033000,266759000,149095000,117664000,5467030000,5501877000,166509000,90622000,20837000,55050000,55896000,26965000,222405000,3518786000,3518786000,3741191000,131710000,2550691000,-1048813000,1633588000,127098000,1760686000,5501877000,-28656000,85158000,9202000,-17751000,47953000,-16369000,-2341000,-38624000,-56858000,-36018000,-49138000,-1563000,11111000,2206000,2206000,2206000,92800000,3518786000,58680000,0.66084,0.05369,-0.21246,-0.01718,-0.0055,-1.94028,0.15668,2.12485,0.63956,-0.16569,-0.16569,0.77986,8.22807,0.32148,0.19733,0.00109,0.01111,-1.19095,37.79196,458.92358
"6","2011_Q3",17.060625,"Up",153490000,-49847000,103643000,-98765000,-16329000,-80894000,-1542000,4878000,-38609000,-37261000,-1348000,-1.16415321826935e-10,-33731000,-399000,-34130000,0,-34130000,14909000,-258000,14651000,-2502000,12149000,21634000,21634000,7800000,7800000,20220000,20220000,49654000,5572548000,7298806000,-1726258000,339575000,177404000,162171000,5912123000,5961777000,184699000,104179000,23341000,57179000,59535000,30524000,244234000,3699586000,3699586000,3943820000,128180000,2784477000,-1085784000,1826873000,191084000,2017957000,5961777000,14909000,92147000,-37995000,-1939000,67122000,-23799000,-140052000,-48372000,-209202000,-36590000,-34130000,-8366000,152022000,9942000,9942000,9942000,97025000,3699586000,71287000,0.67524,0.03178,0.07915,0.00602,0.00204,5.86773,0.20331,1.95436,0.62055,0.06377,0.06377,0.80562,8.91595,0.37416,0.19205,0.00852,0.01247,3.01177,37.90726,753.9877
"7","2011_Q4",16.1406349206349,"Down",169088000,-54376000,114712000,-103017000,-14704000,-86818000,-1495000,11695000,-41196000,-39616000,-1580000,0,-29501000,-352000,-29853000,-173000,-30026000,-13786000,535000,-13251000,-2308000,-15559000,13482000,13482000,7800000,7800000,19641000,19641000,40923000,6423164000,8217314000,-1794150000,340816000,187176000,153640000,6763980000,6804903000,209208000,109066000,23924000,76218000,66791000,37685000,275999000,3989345000,3989345000,4265344000,128180000,3324695000,-1126783000,2326092000,213467000,2539559000,6804903000,-13786000,98703000,-9330000,-7741000,67846000,-40217000,-848161000,66610000,-820724000,-41329000,253428000,-6577000,744726000,-8152000,-8152000,-8152000,110398000,3989345000,62613000,0.67842,0.06917,-0.09202,-0.00613,-0.00229,-4.02423,0.14827,1.67956,0.58625,-0.07277,-0.07277,0.79081,10.27946,0.29284,0.19329,0.00395,0.00959000000000001,-2.65628,36.0139,339.96263
"8","2012_Q1",17.5037096774194,"Up",158431000,-66471000,91960000,-93727000,-2491000,-89591000,-1645000,-1767000,-39048000,-44710000,-2092000,7754000,-40815000,5129000,-35686000,5820000,-29866000,48118000,-1620000,46498000,-2308000,44190000,12503000,12503000,0,0,24634000,24634000,37137000,6242744000,7847834000,-1605090000,441473000,213040000,228433000,6684217000,6721354000,183109000,95485000,23208000,64416000,64616000,35516000,247725000,3918370000,3918370000,4166095000,128180000,3342667000,-1156797000,2314050000,241209000,2555259000,6721354000,48118000,98266000,-64643000,-13251000,68490000,-1013387000,886243000,153987000,32101000,-45820000,-50592999.9999999,-16769000,-101570000,-979000,-979000,-979000,96499000,3918370000,-935959000,0.58044,-0.01115,0.27892,0.01729,0.00657,-21.18033,0.14991,1.6304,0.58297,0.20242,0.20242,0.72573,10.01287,-4.28737,0.20989,0.0139,-0.14458,1.03689,40.47573,-2210.45105
"9","2012_Q2",18.1174603174603,"Up",175231000,-60037000,115194000,-99587000,-9379000,-88825000,-1383000,15607000,-36742000,-34745000,-2691000,694000,-21135000,0,-21135000,22876000,1741000,86628000,-3472000,83156000,-2308000,80848000,3558000.00000001,3557999.99999999,13200000,13200000,24218000,24218000,40976000,6189374000,7877282000,-1687908000,712165000,548961000,163204000,6901539000,6942515000,176572000,75440000,31127000,70005000,62931000,33482000,239503000,3913404000,3913404000,4152907000,128180000,3545499000,-1140500000,2533179000,256429000,2789608000,6942515000,86628000,95165000,-99564000,-12215000,70014000,-26989000,-259156000,61792000,-224353000,-49622000,-365000,-5242000,145394000,-8945000,-8945000,-8945000,110772000,3913404000,48691999.9999999,0.65738,0.08907,0.46138,0.02898,0.01165,0.602269999999997,0.17109,1.48871,0.56369,0.365,0.365,0.79111,10.85778,0.21983,0.22403,0.01946,0.00726000000000002,0.61377,35.29634,250.51874
"10","2012_Q3",18.0892063492063,"Down",180192000,-62022000,118170000,-100663000,-13738000,-85491000,-1434000,17507000,-43448000,-41542000,-2412000,505999.999999999,-25941000,-9.31322574615479e-10,-25941000,2818000,-23123000,156306000,-5954000,150352000,-4631000,145721000,184112000,184112000,39409000,39409000,24580000,24580000,248101000,5991715000,7761245000,-1769530000,732805000,580098000,152707000,6724520000,6972621000,204349000,102793000,31156000,70400000,64964000,35534000,269313000,3345068000,3345068000,3614381000,46571000,4101287000,-1037752000,3110106000,248134000,3358240000,6972621000,156306000,85491000,-159384000,-694000,81719000,-41714999.9999999,-51414000,392981000,299852000,-53490000,-606199000,-97146000,-201017000,180554000,180554000,180554000,102998000,3345068000,57771000,0.6558,0.09716,0.8087,0.04339,0.0209,0.39645,0.92124,1.07627,0.47974,0.62266,0.62266,0.76995,13.0903,0.24685,0.22856,0.02972,0.00862,0.36707,30.68949,180.55384
