"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","free_cash_flow_to_net_income","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","dividends_per_share","dividend_payout_ratio"
"1","2018_Q2",7.01984375,"Down",1116448000,-248394000,868054000,-788646000,-304970000,79408000,-174793000,-174333000,-460000,-95385000,-69620000,-165005000,7568000,-157437000,-157437000,-157437000,-157437000,-157437000,483676000,115112000,63223000,504574000,-330810000,213000,-366811000,0,-661873000,1409793000,747920000,885683000,885683000,885296000,563084000,9576471000,287929000,0.77751,0.07113,-0.14102,-1.82885,-0.21609,-0.21609,1.53236,0.39519,0,0
"2","2018_Q3",7.5668253968254,"Up",1131459000,-246225000,885234000,-810858000,-322538000,74376000,-145197000,-174479000,29282000,-70821000,-455000,-71276000,4571000,-66705000,-66705000,-66705000,-66705000,-66705000,488320000,53364000.0000001,-16791000,458188000,-342675000,13339000,-329336000,-26265000,-12055000,-4190000,-42510000,86342000,86342000,86092999.9999999,562696000,10306437000,198659000,0.78238,0.06573,-0.05895,-2.97817,-0.08892,-0.08892,1.50835,0.26483,0.03501,-0.39375
"3","2018_Q4",6.42349206349206,"Down",1148316000,-263286000,885030000,-769891000,-295119000,115139000,-151853000,-152405000,552000,-36714000,-206531000,-243245000,7701000,-235544000,-235544000,-235544000,-235544000,-235544000,474772000,228905000,-24931000,443202000,-375612000,-2000,-387873000,-26694000,-865174000,-1025000,-892893000,-837564000,-837564000,-837369000,589911000,9567831000,181667000,0.77072,0.10027,-0.20512,-0.77127,-0.31179,-0.31179,1.52004,0.24047,0.03534,-0.11333
"4","2019_Q1",6.18262295081967,"Down",1185450000,-283431000,902019000,-808484000,-324323000,93535000,-163779000,-161987000,-1792000,-70244000,-82848000,-153092000,3623000,-149469000,-149469000,-149469000,-149469000,-149469000,484161000,135154000,-88203000,381643000,228773000,-578617000,-654190000,-26480000,409571000,-1408626000,380484000,107937000,107937000,106360000,577696000,10002296000,714643000,0.76091,0.0789,-0.12609,-4.78121,-0.19753,-0.19753,1.56665,0.94445,0.03499,-0.17716
"5","2019_Q2",5.48904761904762,"Down",1243060000,-325958000,917102000,-820387000,-324509000,96715000,-157706000,-158905000,1199000,-60991000,-27840000,-88831000,22361000,-66470000,-66470000,-66470000,-66470000,-66470000,495878000,58441000,21413000,509262000,-345928000,-244000,-400065000,-26481000,-331689000,-140000,-380164000,-270967000,-270967000,-270304000,592593000,9714076000,245717000,0.73778,0.0778,-0.05347,-3.69666,-0.08789,-0.08789,1.64371,0.32491,0.03502,-0.39839
"6","2019_Q3",4.9171875,"Down",1283744000,-338089000,945655000,-845528000,-344664000,100127000,-153131000,-154641000,1510000,-53004000,-73901000,-126905000,22848000,-104057000,-104057000,-104057000,-104057000,-104057000,500864000,111282000,-38179000,469910000,-366352000,1396000.00000012,-387574000,-3926000.00000001,38441000,-41772000,-135271000,-52935000,-52935000,-52805999.9999999,600991000,9810943000,173612000,0.73664,0.078,-0.08106,-1.66843,-0.13883,-0.13883,1.71271,0.23163,0.00523999999999999,-0.03773
"7","2019_Q4",7.001875,"Up",1300570000,-356556000,944014000,-884477000,-378645000,59537000,-152231000,-152431000,2e+05,-92694000,-125303000,-217997000,36367000,-181630000,-181630000,-181630000,-181630000,-181630000,505832000,139209000,16666000,480077000,77653000,-428134000,-369282000,-3448000,21188000,-12021000,5719000,116514000,116514000,116543000,565369000,9850995000,623321000,0.72585,0.04578,-0.13965,-3.43182,-0.24554,-0.24554,1.75822,0.84266,0.00466,-0.01898
"8","2020_Q1",5.73322580645161,"Down",1298283000,-369681000,928602000,-845222000,-358714000,83380000,-151493000,-153596000,2103000,-68113000,-20346000,-88459000,16466000,-71993000,-71993000,-71993000,-71993000,-71993000,486508000,36385000,-37032000,413868000,-193902000,-110348000,178744000,-530912000,-170113000,-3463000,-704488000,-111876000,-111876000,-111859000,569888000,9692275000,322488000,0.71525,0.06422,-0.05545,-4.47944,-0.09684,-0.09684,1.74629,0.43377,0.71412,-7.37449
"9","2020_Q2",6.18206349206349,"Up",1369752000,-407986000,961766000,-942328000,-453304000,19438000,-223058000,-225367000,2309000,-203620000,-174637000,-378257000,77964000,-300293000,-300293000,-300293000,-300293000,-300293000,489024000,163896000,-102398000,250229000,-96818000,-62048000,-338435000,-26291000,201956000,-18054000,157611000,69405000,69405000,69405000,508462000,9957863000,231282000,0.70215,0.01419,-0.21923,-0.77019,-0.3956,-0.3956,1.80446,0.30468,0.03463,-0.08755
"10","2020_Q3",9.34234375,"Up",1331387000,-376347000,955040000,-892580000,-414711000,62460000,-184994000,-187265000,2271000,-122534000,-12038000,-134572000,27831000,-106741000,-106741000,-106741000,-106741000,-106741000,477869000,75128000,-67478000,378778000,-123890000,-73446000,-197139000,-27032000,-216134000,-10472000,-253638000,-71999000.0000001,-71999000.0000001,-71999000,540329000,9748351000,321130000,0.71733,0.04691,-0.08017,-3.0085,-0.14034,-0.14034,1.75044999999999,0.422210000000002,0.0355400000000006,-0.253249999999999
"11","2020_Q4",7.56859375,"Down",1298924000,-357895000,941029000,-884260000,-410914000,56769000,-154767000,-156759000,1992000,-97998000,-42799000,-140797000,27699000,-113098000,-113098000,-113098000,-113098000,-113098000,473346000,75662000,-71648000,364262000,-156740000,-105179000,-264701000,-26975000,-52625000,-25217000,345183000,444744000,444744000,444744000,530115000,9744465000,274028000,0.72447,0.0437,-0.08707,-2.42293,-40.43547,-0.14863,464.399,97.97211,9.64426,-0.23851
"12","2021_Q1",8.37901639344262,"Up",1314724000,-374300000,940424000,-917505000,-443977000,22919000,-137077000,-138798000,1721000,-114158000,-11135000,-125293000,13232000,-112061000,-112061000,-112061000,-112061000,-112061000,473528000,24906000,-12893000,373480000,-160459000,-131832000,-337202000,-29030000,-272220000,-15974000,-319417000,-283139000,-283139000,-283139000,496447000,9492544000,309863000,0.7153,0.01743,-0.08524,-2.76513,-2.0364,-6.24504,23.89148,5.6309,0.52754,-0.25906
"13","2021_Q2",9.76015873015873,"Up",1304704000,-381166000,923538000,-919411000,-449602000,4127000,-45921000,-47724000,1803000,-41794000,-20663000,-62457000,14563000,-47894000,-47894000,-47894000,-47894000,-47894000,469809000,-49726000,-12855000,359334000,-240266000,-142937000,-399112000,-28980000,15095000,-26800000,-40685000,-80463000,-80463000,-80463000,473936000,9525990000,206252000,0.70785,0.00316,-0.03671,-4.30643,-0.87486,-0.87486,23.83239,3.7675,0.52936,-0.60509
"14","2021_Q3",8.98078125,"Down",1304417000,-381585000,922832000,-919907000,-445636000,2925000,-164992000,-166525000,1533000,-162067000,-4804000,-166871000,41021000,-125850000,-125850000,-125850000,-125850000,-125850000,474271000,13028000,64877000,426326000,-183380000,-221736000,-405618000,-29069000,3756999.99999997,33825000,8512999.99999994,29221000,29221000,29221000,477196000,9561972000,317672000,0.70747,0.00224,-0.09648,-2.52421,-2.29884,-2.29884,23.82714,5.80276,0.53099,-0.23098
"15","2021_Q4",8.3459375,"Down",1317002000,-371985000,945017000,-928644000,-448634000,16373000,-131764000,-133275000,1511000,-115391000,-30234000,-145625000,36496000,-109129000,-109129000,-109129000,-109129000,-109129000,480010000,18155000,-19343000,369693000,-215336000,-150583000,-365919000,-29115000,6895000,-69689000,-91909000,-88135000,-88135000,-88135000,496383000,9609699000,225208000,0.71755,0.01243,-0.08286,-2.06369,-1.99341,-0.14262,24.05703,4.11376,0.53183,-0.26679
"16","2022_Q1",7.48,"Down",1380988000,-415437000,965551000,-935826000,-445137000,29725000,-106677000,-110143000,3466000,-76952000,-19284000,-96236000,38289000,-57947000,-57947000,-57947000,-57947000,-57947000,490689000,-19666000,81294000,494370000,-204374000,-175437000,-525096000,-29184000,41990000,-17173000,-4367000.00000001,-35093000,-35093000,-35093000,520414000,9692690000,359045000,0.69917,0.02152,-0.04196,-6.19609,-0.0199600000000002,-0.0584900000000002,0.475709999999996,0.12368,0.01005,-0.50363
"17","2022_Q2",6.88370967741935,"Down",1544747000,-509768000,1034979000,-958471000,-482348000,76508000,-4811000,-6307000,1496000,71697000,-528000,71169000,-19524000,51645000,51645000,51645000,51645000,51645000,476123000,-44822000,-174874000,308072000,-223387000,-181768000,-405123000,-31596000,152731000,-29290000,91845000,-5206000,-5206000,-5206000,552631000,9861667000,173894000,0.67,0.04953,0.03343,3.3671,0.06562,0.06134,1.96283,0.22096,0.04015,0.61179
"18","2022_Q3",7.48609375,"Up",1601030000,-507813000,1093217000,-886485000,-487069000,206732000,-80188000,-81651000,1463000,126544000,3845000,130389000,-37924000,91517000,91517000,91517000,91517000,91517000,399416000,12007000,11624000,514564000,-205820000,-234895000,-427220000,-31692000,-42333000,14156000,-59869000,27475000,27475000,27475000,606148000,9842930000,449876000,0.68282,0.12912,0.05716,4.91576,0.10845,0.09473,1.89734,0.53314,0.03756,0.3463
