"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",20.7769841269841,"Down",541957000,-472174000,69783000,-38666000,-38666000,31117000,-256000,-256000,-256000,30861000,30861000,-12152000,18709000,18709000,-10090739.9262707,18709000,18709000,81112000,81112000,490212000,490212000,68469000,53452000,15017000,639793000,70091000,376330000,31334000,326998000,-52587140.702653,17998000,446421000,1086214000,197710000,140371000,57339000,4326000,186011000,171216000,388047000,6300000,18648000,7303000,11345000,24948000,412995000,355284000,301777000,16158000,673219000,268675418.249587,673219000,1086214000,18709000,7897000,10538000,-42302000,-5158000,-3781000,139000,139000,-3920000,-3920000,-5196000,-251000,1433000,1433000,701000,1883000,-8471000,-8471000,398000,-8073000,39014000,10626000,5083000,0.12876,0.05742,0.03452,0.02779,0.01722,0.27169,1.64875,0.61346,0.00978,0.3059,0.30133,8.86115,11.00732,0.08311,5,0.02663,0.00724,-1.80668,-2.26519
"2","2010_Q3",18.188125,"Down",469528000,-406024000,63504000,-39978000,-39978000,23526000,-351000,-351000,-351000,23175000,23175000,-8846000,14329000,14329000,-5276843.95576243,14329000,14329000,112573000,112573000,449665000,449665000,71831000,54106000,17725000,634069000,70047000,383605000,31483000,335717000,-25018070.3513265,16405000,453652000,1087721000,188606000,118727000,69879000,4625000,172090000,153607000,365321000,5580000,18908000,7696000,11212000,24488000,389809000,363858000,316106000,17948000,697912000,141016050.949752,697912000,1087721000,14329000,8060000,11108000,11737000,45234000,-4074000,1501000,1501000,-5575000,-5575000,-14903000,-298999.999999993,1123000,1123000,42000,866000,31197000,31197000,264000,31461000,31586000,10205000,48095000,0.13525,0.05011,0.03052,0.02053,0.01317,3.35648,1.73565,0.55854,0.00938,0.23329,0.23083,7.64442,11.36276,0.78304,6,0.01971,0.06615,-3.24093,-4.35127
"3","2010_Q4",21.4246875,"Up",562365000,-489966000,72399000,-39693000,-39693000,32706000,-336000,-336000,-336000,32370000,32370000,-11730000,20640000,20640000,-2359921.97788122,20640000,20640000,120294000,120294000,517240000,517240000,58664000,51051000,7613000,696198000,70659000,388799000,29806000,342502000,-8332023.45044217,16491000,459458000,1155656000,225472000,152856000,72616000,5174000,178525000,161054000,409171000,4297000,21601000,8816000,12785000,25898000,435069000,366768000,336746000,17073000,720587000,64005025.4748761,720587000,1155656000,20640000,8156000,2542000,-6851000,24487000,-5811000,549000,549000,-6360000,-6360000,-17039000,-274000,609000,609000,12000,347000,7795000,7795000,-74000,7721000,40862000,9471000,39930000,0.12874,0.05816,0.0367,0.02864,0.01786,1.93459,1.70148,0.60377,0.0082,0.33529,0.33194,9.13553,11.70582,0.64866,5,0.02746,0.05312,-2.71213,-3.38846
"4","2011_Q1",22.055,"Up",627382000,-545380000,82002000,-45142000,-45142000,36860000,-444000,-444000,-1245000,36416000,36681000,-13540000,23141000,23141000,-898973.992627072,23141000,23141000,220933000,220933000,566642000,566642000,57138000,49889000,7249000,844713000,79383000,457593000,45995000,394422000,140000,17036000,536976000,1381689000,259693000,166450000,93243000,5002000,202512000,180661000,467207000,122510000,43839000,12506000,31333000,166349000,633556000,369483000,359887000,18763000,748133000,25374341.8249587,748133000,1381689000,23141000,9378000,2639000,7121000,42279000,-4790000,939000,939000,-5729000,-5729000,-60251000,118151000,188000,188000,-1000.00000000003,118338000,100366000,100366000,273000,100639000,46238000,127512000,62109000,0.13071,0.05875,0.03689,0.03093,0.01675,2.68394,1.80801,0.84685,0.09229,0.37579,0.37322,10.18808,12.14896,1.00859,5,0.02517,0.06755,-2.02044,-2.53448
"5","2011_Q2",21.5874603174603,"Down",611124000,-535471000,75653000,-41328000,-41328000,34325000,-1305000,-1305000,-1305000,33020000,33020000,-10266000,22754000,22754000,-453000,22301000,22301000,81546000,81546000,600312000,600312000,76113000,59187000,16926000,757971000,84378000,632976000,75505000,535125000,3067000,19279000,717354000,1475325000,242347000,151528000,90819000,4284000,209505000,186333000,456136000,142122000,80800000,29602000,51198000,222922000,679058000,375286000,382188000,25937000,783411000,12856000,796267000,1475325000,22754000,13553000,5681000,-33055000,8933000,-4092000,144000,144000,-4236000,-4236000,-170969000,19713000,3270000,3270000,-417000,22566000,-139470000,-139470000,83000,-139387000,47878000,146406000,20997000,0.12379,0.05617,0.03649,0.02801,0.01512,0.94153,1.66172,0.8528,0.09924,0.36165,0.35714,9.91039,12.70431,0.3405,3,0.02179,0.02052,1.35469,1.88958
"6","2011_Q3",18.825,"Down",612566000,-537706000,74860000,-45604000,-45604000,29256000,-1471000,-1471000,-1471000,27785000,27785000,-9704000,18081000,18081000,-581000,17500000,17500000,90941000,90941000,598908000,598908000,61468000,53435000,8033000,751317000,83895000,664973000,78479000,561237000,3273000,21984000,748868000,1500185000,231208000,136260000,94948000,4383000,201051000,188644000,436642000,141653000,84463000,33955000,50508000,226116000,662758000,385282000,399688000,38275000,823245000,14182000,837427000,1500185000,18081000,13823000,-3656000,5459000.00000001,33707000,-5044000,196000,196000,-5240000,-5240000,-26491000,-249000.000000015,2103000,2103000,5999.99999999988,1860000,9076000.00000006,9076000.00000006,319000,9395000,43079000,146036000,53198000,0.12221,0.04776,0.02857,0.0209,0.01167,3.03989,1.72067,0.79142,0.09735,0.28223,0.27852,9.87898,13.27665,0.85794,4,0.01639,0.04981,1.27893,1.8832
"7","2011_Q4",19.7736507936508,"Up",673792000,-584704000,89088000,-49680000,-49680000,39408000,-1702000,-1702000,-1702000,37706000,37706000,-12958000,24748000,24748000,-910000,23838000,23838000,98366000,98366000,669131000,669131000,62414000,53022000,9392000,829911000,80551000,661365000,71703000,564126000,3427000,22109000,741916000,1571827000,304858000,184391000,120467000,2830000,203676000,185531000,511364000,112744000,79614000,27663000,51951000,192358000,703722000,390259000,423526000,40159000,853944000,14161000,868105000,1571827000,24748000,14186000,2700000,14125000,55759000,-3770000,336000,336000,-4106000,-4106000,-22335000,-28042000,2639000,2639000,-992000,-26395000,7029000,7029000,396000,7425000,53594000,115574000,76907000,0.13222,0.05849,0.03538,0.02746,0.01517,3.22624,1.62294,0.81064,0.07353,0.38307,0.37863,10.82762,13.72261,1.23587,4,0.02242,0.07233,0.32108,0.43666
"8","2012_Q1",22.1412903225806,"Up",675662000,-577310000,98352000,-56674000,-56674000,41678000,-1452000,-1452000,-2331000,40226000,41981000,-14582000,27399000,27399000,-999000,26400000,26400000,90494000,90494000,657179000,657179000,91429000,84612000,6817000,839102000,77536000,677350000,81053000,569414000,3454000,23429000,754886000,1593988000,275756000,164819000,110937000,2556000,253397000,230527000,531709000,144868000,62161000,25394000,36767000,207029000,738738000,400045000,449926000,4754000,854725000,524999.999999998,855250000,1593988000,27399000,14122000,12007000,-20304000,33224000,-5116000,203000,203000,-5319000,-5319000,-74046000,33149000,366000,366000,-195000,33320000,-7501999.99999999,-7501999.99999999,-370000,-7872000,55800000,147424000,44962000,0.14556,0.06168,0.03907,0.03087,0.01656,1.70311,1.57812,0.86377,0.09249,0.42368,0.41995,10.84338,13.71708,0.72157,4,0.02479,0.04222,1.02025,1.36595
"9","2012_Q2",24.0230158730159,"Up",682627000,-597907000,84720000,-48627000,-48627000,36093000,-1311000,-1311000,-1311000,34782000,34782000,-12079000,22703000,22703000,-93000,22610000,22610000,105720000,105720000,664970000,664970000,75613000,71351000,4262000,846303000,75307000,679017000,74569000,577406000,3410000,23632000,754324000,1600627000,247528000,145595000,101933000,2259000,254600000,233832000,504387000,134570000,67613000,30194000,37419000,202183000,706570000,405523000,472536000,15380000,893439000,618000,894057000,1600627000,22703000,15206000,6266000,-5862000,38313000,-4216000,377000,377000,-4593000,-4593000,-6790000,-10466000,2990000,2990000,-10071000,-17547000,13976000,13976000,1250000,15226000,51299000,136829000,53300000,0.12411,0.05287,0.03312,0.02529,0.01413,2.35736,1.67788,0.7903,0.08548,0.36215,0.3585,10.93375,14.31036,0.85372,6,0.02058,0.04852,0.60643,0.86191
"10","2012_Q3",24.568253968254,"Up",624345000,-536368000,87977000,-52435000,-52435000,35542000,-1452000,-1452000,-1452000,34090000,34090000,-11769000,22321000,22321000,-37000.0000000001,22284000,22284000,106027000,106027000,642420000,642420000,74247000,62325000,11922000,822694000,72393000,680997000,68875000,584141000,3550000,24431000,753390000,1576084000,238586000,141426000,97160000,2249000,223849000,204970000,464684000,107901000,63997000,28269000,35728000,171898000,636582000,419301000,494820000,24711000,938832000,670000,939502000,1576084000,22321000,13865000,468000,-3578000,33076000,-3270000,120000,120000,-3390000,-3390000,-3813000,-28346000,5892000,5892000,-7837000,-30291000,-1028000,-1028000,1335000,307000,49407000,110150000,54328000,0.14091,0.05693,0.03569,0.02372,0.01414,2.43798,1.77044,0.67757,0.06989,0.35227,0.34859,9.86966,14.84108,0.85882,7,0.02001,0.04878,0.08345,0.116
