"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",19.7649206349206,"Up",363506000,-244326000,119180000,-122800000,-122800000,-3620000,-2635000,-2635000,-6255000,-1834000,-8089000,3947000,-4142000,-5853000,-133000,-5986000,-5986000,-636598469.069808,-666728043.072308,30129574.0024993,-166131053.16725,-166131053.16725,395652377.285458,60389164.9038118,60389164.9038118,-346687980.047789,253524870.639933,456323671.438738,149417504.630198,709848542.07867,363160562.030882,-221559900.975235,-221559900.975235,59069902.0323175,-162164273.656049,170408017.455243,142704910.420441,69923319.2282828,72781591.1921581,313112927.875684,150948654.219635,211176413.849872,1035493.9613743,212211907.811247,363160562.030882,-5853000,16060000,7954000,-43563000,-25402000,-3379000,-2805000,1410000,-4774000,-9745000,-1729000,-2683000,608000,-3291000,-1285994.24932499,-14157000,-44333000,-44333000,-44333000,12440000,0,-38449000,0.32786,-0.00996,-0.01647,-0.34922205825239,-0.14618092902812,6.42315,0.628658627433581,1.03715624271692,0.364628374361987,-0.13253,-0.13253,8.04822,4.55546002283127,-0.85128,0.21576,-0.178818790575114,-1.38999584293698,-1.62797,102.309650151128,862.273485362304
"2","2010_Q3",17.70203125,"Down",398222000,-256905000,141317000,-128032000,-128032000,13285000,-2962000,-2962000,10323000,-1238000,9085000,-3493000,5592000,4765000,-62000,4703000,4703000,-130463156.356603,-144794681.024103,14331524.6674998,99674315.6109166,99674315.6109166,180467792.428486,32355721.634604,32355721.634604,182034673.317404,244489956.879978,406611223.812913,120764501.543399,651101180.69289,833135854.010294,183022366.341588,183022366.341588,52665634.0107725,235956575.447984,155650339.151748,95166636.8068136,42027106.4094276,53139530.397386,250816975.958561,486773551.406545,345764804.616624,597497.987124767,346362302.603749,833135854.010294,4765000,15045000,3210000,3923000,26943000,-7252000,-2e+06,1635000,-7617000,-9729000,-2352000,-5963000,1043000,-7006000,-498997.124662493,-18044000,1282000,1282000,1282000,28330000,0,28494000,0.35487,0.03336,0.01181,-0.06155068608413,-0.0265336430093734,6.05869,0.887146209144527,1.40528541423897,0.243809458120662,0.10406,0.10221,8.81159,7.67695334094376,0.6305,0.21528,-0.0185162635250379,-0.310131947645659,2.06868,30.034840050376,237.640011787435
"3","2010_Q4",19.34765625,"Up",458853000,-297635000,161218000,-130514000,-130514000,30704000,-2677000,-2677000,28027000,251000,28278000,-12630000,15648000,15635000,46000,15681000,15681000,81364000,72239000,9125000,194070000,194070000,85529000,21344000,21344000,382307000,237434000,383025000,104646000,620459000,1002766000,323131000,323131000,50030000,373412000,150118000,77255000,30809000,46446000,227373000,600785000,401528000,453000,401981000,1002766000,15635000,14256000,13489000,4198000,47578000,-4986000,-6404000,7877000,-3513000,-9624000,393000,-6918000,591000,-7509000,-106665.708220831,-16149000,27916000,27916000,27916000,44960000,200148000,56802000,0.35135,0.06691,0.03417,0.03901,0.01564,3.62235,1.02382,1.49456,0.1996,0.35001,0.34387,10.24203,8.96248,1.26787,0.21482,0.03725,0.08361,0.61374,2.64199,3.86868
"4","2011_Q1",21.5709677419355,"Up",466147000,-302246000,163901000,-136911000,-136911000,26990000,-3158000,-3158000,23832000,-6628000,17204000,-4621000,12583000,12576000,-33000,12543000,12543000,109663000,99096000,10567000,190118000,190118000,68956000,20957000,20957000,389694000,231781000,376405000,97304000,608186000,997880000,311066000,311066000,50029000,361351000,150111000,77962000,30525000,47437000,228073000,589424000,407985000,471000,408456000,997880000,12576000,13269000,7186000,12234000,45265000,-7777000,-3831000,2608000,-9149000,-9639000,-396000,750999.999999998,762000,-11000,25000,-9259000,26857000,26857000,26857000,40259000,200140000,49337000,0.35161,0.0579,0.02691,0.03071,0.01257,3.93343,1.07844,1.44305,0.20057,0.27988,0.27,10.40141,9.10361,1.10089,0.21508,0.03231,0.07186,0.76848,2.24737,3.35223999999998
"5","2011_Q2",18.2231746031746,"Down",396151000,-261427000,134724000,-132413000,-132413000,2311000,-3456000,-3456000,-1145000,-1390000,-2535000,738000,-1797000,-1797000,42000,-1755000,-1755000,65606000,52363000,13243000,171109000,171109000,88087000,25988000,25988000,350790000,227453000,378063000,95748000,605516000,956306000,272840000,272840000,50432000,323537000,151437000,85609000,35017000,50592000,237046000,560583000,395226000,497000,395723000,956306000,-1797000,12148000,8289000,-40623000,-21983000,-3777000,-4435000,1763000,-6449000,-10348000,570000,-8553000,1447000,-1e+07,30000,-18301000,-46733000,-46733000,-46733000,14459000,201869000,-30679000,0.34008,0.00583,-0.00443,-0.00443,-0.00184,17.48091,1.08423,1.4166,0.21109,-0.03913,-0.03913,8.83221,8.81158,-0.68399,0.23071,0.01258,-0.0449,-5.8963,9.4241,58.96279
"6","2011_Q3",14.17484375,"Down",432810000,-285880000,146930000,-136197000,-136197000,10733000,-2923000,-2923000,7810000,-463000,7347000,-2744000,4603000,4603000,54000,4657000,4657000,59973000,46763000,13210000,210105000,210105000,101042000,30040000,30040000,401160000,223874000,378839000,96220000,602713000,1003873000,320753000,320753000,50105000,371119000,150396000,89188000,38541000,50647000,239584000,610703000,392770000,4e+05,393170000,1003873000,4603000,11614000,5596000,-8189000,13624000,-7368000,-1920000,-368000,-9656000,-10290000,135000,587000,587000,0,0,-9568000,-5600000,-5600000,-5600000,22347000,200501000,9534000,0.33948,0.0248,0.01076,0.01184,0.00464,2.04724,1.08095,1.55328,0.19973,0.10408,0.10198,9.67281,8.77796,0.21307,0.22997,0.02189,0.01396,2.20958,6.28845,13.09308
"7","2011_Q4",16.9796825396825,"Up",504220000,-324825000,179395000,-138671000,-138671000,40724000,-2345000,-2345000,38379000,-277000,38102000,-13186000,24916000,24916000,31000,24947000,24947000,121038000,101534000,19504000,220484000,220484000,95725000,20564000,20564000,457811000,219711000,377662000,95692000,597373000,1055184000,352222000,352222000,50378000,402861000,150552000,92086000,41022000,51064000,242638000,645499000,409328000,357000,409685000,1055184000,24916000,11373000,4352000,34690000,75331000,-3095000,-8200000,1618000,-9677000,-10302000,-1223000,573000,573000,0,69000,-10883000,54771000,54771000,54771000,52097000,200930000,96878000,0.35579,0.08077,0.04948,0.06089,0.02364,3.88335,1.1364,1.5756,0.19042,0.55701,0.54664,11.25818,9.13944,2.16308,0.23002,0.05016,0.13787,0.41296,1.53352,1.96179
"8","2012_Q1",19.11,"Up",500269000,-322255000,178014000,-147034000,-147034000,30980000,-2604000,-2604000,28376000,-1131000,27245000,-9219000,18026000,18026000,111000,18137000,18137000,81969000,72812000,9157000,204036000,204036000,101873000,27365000,27365000,415243000,229727000,406752000,119730000,636479000,1051722000,351650000,351650000,30345000,382270000,150540000,99590000,40234000,59356000,250130000,632400000,419057000,265000,419322000,1051722000,18026000,11152000,8923000,29205000,67306000,-10300000,-999999.999999999,531000,-65759000,-10310000,-20550000,591000,591000,0,0,-30269000,-28722000,-28722000,-28722000,42132000,180885000,70256000,0.35584,0.06193,0.03625,0.04325,0.01725,3.87362999999998,1.08626,1.50815,0.17199,0.40459,0.38904,11.15975,9.34811,1.56724,0.22999,0.04065,0.10039,0.56845,2.34776,3.1929
"9","2012_Q2",17.4846031746032,"Down",445212000,-298385000,146827000,-143734000,-143734000,3093000,-2435000,-2435000,658000,-897000,-239000,86000,-153000,-153000,12000,-141000,-141000,65676000,56519000,9157000,197460000,197460000,99909000,33913000,33913000,396958000,227528000,412504000,122262000,640032000,1036990000,306110000,306110000,65345000,371716000,150500000,97726000,43485000,54241000,248226000,619942000,416795000,253000,417048000,1036990000,-153000,10821000,6032000,-44398000,-27698000,-8314000,-1438000,-3513000,-13265000,-10467000,34943000,2017000,2017000,0,-1823000,24670000,-16293000,-16293000,-16293000,13914000,215845000,-38884000,0.32979,0.00695,-0.00032,-0.00034,-0.00014,275.77305,1.06791,1.4865,0.20815,-0.00312,-0.00312,9.86029,9.23093,-0.86118,0.23182,0.01413,-0.05322,-74.23404,10.79265,48.55124
"10","2012_Q3",19.8922222222222,"Up",480400000,-315287000,165113000,-151455000,-151455000,13658000,-2633000,-2633000,11025000,-292000,10733000,-3835000,6898000,6898000,127000,7025000,7025000,62308000,55058000,7250000,219822000,219822000,113651000,34218000,34218000,429999000,227641000,417998000,127291000,645639000,1075638000,354648000,354648000,60345000,415334000,150459000,101031000,43771000,57260000,251490000,666824000,408688000,126000,408814000,1075638000,6898000,10537000,2837000,13110000,33382000,-6812000,-1753000,-3887000,-12452000,-10914000,-5924000.00000001,-5537000,624000,-6161000,-16000,-22391000,-1461000,-1461000,-1461000,24195000,210804000,34328000,0.3437,0.02843,0.01462,0.01718,0.00653,4.88655,1.03531,1.63112,0.19598,0.15467,0.1529,10.57684,8.99797,0.75579,0.24029,0.02489,0.04763,1.55359000000001,6.13747,10.87246
