"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2015_Q2",25.3234920634921,"Up",131604000,-32107000,99497000,-60945000,-52289000,-8656000,38552000,-347000,52000,38205000,-32000,38173000,-13525000,24648000,24648000,24648000,24648000,213280000,75006000,73174000,73174000,98947000,70294000,5054000,529000,455695000,87916000,129005000,34342000,93573000,1090000,288434000,744129000,86758000,19384000,9557000,57817000,6553000,6553000,93311000,36654000,7520000,29134000,36654000,129965000,179577000,436422000,-1835000,614164000,614164000,744129000,24648000,5674000,2446000,1902000,34670000,-7228000,11464000,-43779000,1425000,1425000,384000,1809000,-7300000,-7300000,41000,-7259000,44226000,0,52425000,0.75603,0.29294,0.18729,0.04013,0.03312,2.12695,4.88362,0.21161,0,0.26003,0.257,1.3884,6.47934,0.55308,0.03787,0.08055,-4.8225,-5.53227
"12","2015_Q3",25.32671875,"Up",133570000,-32579000,100991000,-63587000,-54506000,-9081000,37404000,441000,150000,37845000,-374000,37471000,-13417000,24054000,24054000,24054000,24054000,199806000,41559000,73045000,73045000,101046000,80859000,6811000,6921000,454756000,99913000,128614000,33951000,93561000,1102000,309907000,764663000,79434000,18326000,601000.000000002,60507000,12299000,12299000,91733000,29805000,5787000,24018000,29805000,121538000,184338000,460476000,-1689000,643125000,643125000,764663000,24054000,5905000,2676000,-19474000,13161000,-17898000,-30626000,-48525000,1590000,1590000,333000,1923000,-33441000,-33441000,-6000,-33447000,43309000,0,19354000,0.75609,0.28003,0.18009,0.0374,0.03146,0.80461,4.95739,0.18898,0,0.25326,0.25043,1.40631,6.77123,0.20377,0.03575,0.02876,-4.6135,-5.34184
"13","2015_Q4",25.10609375,"Down",136992000,-32707000,104285000,-60719000,-50644000,-8903000,43566000,253000,116000,43819000,-2891000,40928000,-14447000,26481000,26481000,26481000,26481000,238602000,50501000,77596000,77596000,105705000,84405000,7107000,7995000,506308000,106180000,126648000,33635000,91964000,1049000,294353000,800661000,81077000,16358000,550000,64169000,13342000,13342000,94419000,32325000,8193000,24132000,32325000,126744000,188698000,486957000,-1738000,673917000,673917000,800661000,26481000,6090000,6156000,-8681000,30046000,-11480000,-10863000,-22840000,1298000,1298000,356000,1654000,8860000,8860000,82000,8942000,49656000,0,43942000,0.76125,0.31802,0.1933,0.03929,0.03307,1.65938,5.36235,0.18807,0,0.27834,0.2755,1.43993,7.08357,0.46188,0.0375,0.06222,-4.8051,-5.47679
"14","2016_Q1",24.4454098360656,"Down",142587000,-34940000,107647000,-62863000,-52802000,-9672000,44784000,236000,120000,45020000,11213000,56233000,-18632000,37601000,37601000,37601000,37601000,281029000,60152000,77681000,77681000,105260000,80829000,7351000,8672000,544799000,114743000,125796000,33242000,91964000,590000,289301000,834100000,70503000,15971000,763000,53769000,12188000,12188000,82691000,36085000,13260000,22825000,36085000,118776000,192724000,524558000,-1958000,715324000,715324000,834100000,37601000,6415000,14052000,-11938000,46130000,-14154000,-23752000,-37906000,1164000,1164000,-2273000,-1109000,7115000.00000001,7115000.00000001,36000,7150999.99999999,51199000,0,43739000,0.75496,0.31408,0.26371,0.05256,0.04508,1.16324,6.58837,0.16605,0,0.39464,0.39079,1.49652,7.50768,0.45906,0.05004,0.05821,-5.48895,-6.27521
"15","2016_Q2",23.98375,"Down",139264000,-31519000,107745000,-64220000,-53798000,-10030000,43525000,760000,156000,44285000,-674000,43611000,-15601000,28010000,28010000,28010000,28010000,318131000,81275000,75527000,75527000,105147000,16693000,5961000,281000,515498000,115105000,150442000,32849000,91964000,306000,324490000,839988000,60704000,12124000,6390000,42190000,11633000,11633000,72337000,18766000,0,18766000,18766000,91103000,197970000,552568000,-1653000,748885000,748885000,839988000,28010000,6676000,6427000,14444000,55557000,-9366000,-26754000,-36120000,1895000,1895000,-3e+05,1595000,21032000,21032000,91000,21123000,50201000,0,70880000,0.77367,0.31254,0.20113,0.0374,0.03335,2.53052,7.12634,0.12165,0,0.29361,0.29088,1.45982,7.85011,0.74299,0.03649,0.09233,-6.33714,-7.30916
"16","2016_Q3",23.5025,"Down",137489000,-32731000,104758000,-64303000,-53312000,-10594000,40455000,418000,125000,40873000,-2537000,38336000,-12530000,25806000,25806000,25806000,25806000,324512000,95342000,74713000,74713000,104417000,31787000,5420000,15132000,535429000,119077000,149345000,32993000,91964000,302000.000000001,334047000,869476000,60179000,11628000,663999.999999999,47887000,10101000,10101000,70280000,19665000,0,19665000,19665000,89945000,202893000,578374000,-1736000,779531000,779531000,869476000,25806000,7022000,7657000,-17215000,23270000,-10776000,-35000,-10811000,1680000,1680000,-1e+05,1580000,14039000,14039000,28000,14067000,47477000,0,32016000,0.76194,0.29424,0.1877,0.0331,0.02968,1.24064,7.61851,0.11538,0,0.26998,0.26762,1.4384,8.15537,0.33495,0.03229,0.04006,-6.83514,-8.02155
"17","2016_Q4",22.7247619047619,"Down",135651000,-31453000,104198000,-65356000,-54207000,-10265000,38842000,1205000,126000,40047000,-1192000,38855000,-12628000,26227000,26227000,26227000,26227000,257919000,90192000,86708000,86708000,115606000,17977000,11605000,5895000,478210000,127084000,231998000,67438000,110250000,26015000,423533000,901743000,60919000,13936000,3696000,43287000,4888000,4888000,65807000,25817000,9013000,16804000,25817000,91624000,207278000,604601000,-1760000,810119000,810119000,901743000,26227000,7838000,3303000,5286000,42654000,-6559000,61413000,-46214000,853000,853000,0,853000,-2707000,-2707000,-2443000,-5150000,46680000,0,58035000,0.76813,0.28634,0.19334,0.03237,0.02908,2.2128,7.26686,0.1131,0,0.27394,0.2718,1.41688,8.46174,0.60618,0.03137,0.06943,-5.52526,-6.64021
"18","2017_Q1",27.2922580645161,"Up",151590000,-39002000,112588000,-76287000,-60839000,-13643000,36301000,755000,156000,37056000,-579000,36477000,-12179000,24298000,24298000,24298000,24298000,290312000,66954000,91983000,91983000,112692000,18779000,14502000,3800000,513766000,124229000,229198000,61706000,105926000,30928000,413871000,927637000,65784000,17472000,1911000,46401000,14108000,14108000,79892000,15667000,7876000,7791000,15667000,95559000,211821000,628899000,-8642000,832078000,832078000,927637000,24298000,17235000,9480000,970000,51983000,-14208000,-50385000,-69593000,1446000,1446000,-5004000,-3558000,-21168000,-21168000,430000,-20738000,53536000,0,52477000,0.74271,0.23947,0.16029,0.0292,0.02619,2.15973,6.43076,0.11484,0,0.25346,0.25175,1.58127,8.67959,0.5474,0.02866,0.0619,-5.42274,-7.99736
"19","2017_Q2",31.4090476190476,"Up",155809000,-35600000,120209000,-79507000,-67059000,-10666000,40702000,2100000,134000,42802000,-388000,42414000,-13700000,28714000,28714000,28714000,28714000,326098000,182435000,94232000,94232000,113037000,7532000,7008000,47000,540899000,124840000,231616000,61343000,106215000,30954000,419522000,960421000,66130000,17013000,11708000,37409000,9239000,9239000,75369000,16167000,8261000,7906000,16167000,91536000,217353000,657613000,-6081000,868885000,868885000,960421000,28714000,12240000,5043000,7452000,53449000,-11533000,605000,-10928000,1990000,1990000,-5001000,-3011000,39510000,39510000,321000,39831000,52942000,0,62561000,0.77152,0.26123,0.18429,0.03305,0.0299,2.17876,7.17668,0.10535,0,0.29912,0.29557,1.62308,9.05126,0.6517,0.03244,0.07069,-6.15953,-8.01184
"20","2017_Q3",30.5333333333333,"Down",152390000,-37199000,115191000,-76960000,-64438000,-10713000,38231000,2186000,148000,40417000,-860000,39557000,-10890000,28667000,28667000,28667000,28667000,312189000,149669000,95489000,95489000,111108000,16343000,5879000,9986000,535129000,130123000,268830000,90036000,112769000,31051000,459885000,995014000,59398000,16291000,1400000,41707000,9663000,9663000,69061000,20653000,8175000,12478000,20653000,89714000,224892000,686280000,-5872000,905300000,905300000,995014000,28667000,10695000,6367000,-19752000,25977000,-13528000,-2805000,-47834000,3921000,3921000,-233000,3688000,-18169000,-18169000,129000,-18040000,48926000,0,26536000,0.7559,0.25088,0.18812,0.03167,0.02881,0.92566,7.74864,0.0991,0,0.29811,0.29306,1.58474,9.41442,0.27595,0.03096,0.02866,-6.38084,-8.16586
