"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2017_Q4",35.0085714285714,"Up",151744000,-36798000,114946000,-76329000,-63362000,-10887000,38617000,1562000,139000,40179000,-2822000,37357000,-11766000,25591000,25591000,25591000,25591000,337659000,154855000,94484000,94484000,111462000,19957000,9430000,10527000,563562000,134214000,280500000,87653000,119273000,37447000,473598000,1037160000,65185000,16553000,2023000,46609000,9742000,9742000,74927000,26969000,14405000,12564000,26969000,101896000,229571000,711871000,-6178000,935264000,935264000,1037160000,25591000,10838000,12626000,-14260000,34795000,-12817000,-22330000,-35147000,1032000,1032000,0,1032000,680000,680000,328000,1008000,49455000,0,34144000,0.7575,0.25449,0.16865,0.02736,0.02467,1.33422,7.52148,0.10895,0,0.26569,0.26154,1.57545,9.71017,0.35449,0.0266,0.03548,-6.8276,-8.74379
"22","2018_Q1",47,"Up",176034000,-40856000,135178000,-86609000,-72958000,-11413000,48569000,2240000,150000,50809000,-209000,50600000,-26224000,24376000,24376000,24376000,24376000,373707000,118817000,116676000,116676000,108409000,21550000,11166000,8717000,620342000,143167000,258860000,78659000,123890000,36280000,458160000,1078502000,80907000,25039000,3274000,52594000,12166000,11411000,93073000,17651000,10669000,6982000,17651000,110724000,238438000,736247000,-6907000,967778000,967778000,1078502000,24376000,8294000,16606000,-3962000,45314000,-13425000,-5500000,-17368000,4792000,4792000,-4875000,-83000,27863000,27863000,1201000,29064000,56863000,0,65700000,0.76791,0.27591,0.13847,0.02519,0.0226,2.69527,6.66511,0.11441,0,0.25261,0.24689,1.82424,10.0291,0.68085,0.02474,0.06667,-6.57206,-7.69435
"23","2018_Q2",52.14671875,"Up",174411000,-37970000,136441000,-90570000,-75694000,-12689000,45871000,2444000,158000,48315000,-238000,48077000,-8539000,39538000,39538000,39538000,39538000,369177000,119836000,122581000,122581000,107580000,15587000,12998000,89000,614925000,149193000,259143000,78935000,124780000,34954000,512735000,1127660000,74314000,28161000,2178000,43975000,8238000,6659000,82552000,18240000,11504000,6736000,18240000,100792000,253855000,775785000,-2772000,1026868000,1026868000,1127660000,39538000,9476000,9648000,-6367000,52295000,-12374000,-43740000,-56114000,9307000,9307000,-5440000,3867000,48000,48000,971000,1019000,55347000,0,45145000,0.7823,0.26301,0.22669,0.0385,0.03506,1.14181,7.44894,0.09815,0,0.40828,0.39343,1.80102,10.60376,0.46618,0.03783,0.0432,-6.67023,-8.04816
"24","2018_Q3",52.6236507936508,"Up",173384000,-37637000,135747000,-92824000,-77125000,-13521000,42923000,8165000,4850000,51088000,-783000,50305000,-5327000,44978000,44978000,44978000,44978000,360920000,119944000,118561000,118561000,114758000,38985000,16943000,18709000,633224000,154342000,250408000,74973000,123750000,33869000,560609000,1193833000,71684000,20727000,2979000,47978000,8596000,6507000,80280000,16367000,9991000,6376000,16367000,96647000,283230000,820763000,-6807000,1097186000,1097186000,1193833000,44978000,9757000,6978000,-28444000,33269000,-14793000,-43640000,-55433000,23824000,23824000,-510000,23314000,1150000,1150000,-1042000,108000.000000004,52680000,0,14770000,0.78293,0.24756,0.25941,0.04099,0.03768,0.32838,7.88769,0.08809,0,0.45976,0.44309,1.7723,11.21523,0.15098,0.04039,0.01326,-6.85118,-8.40855
"25","2018_Q4",49.8946031746032,"Down",169236000,-37849000,131387000,-92818000,-75130000,-15528000,38569000,4295000,470000,42864000,-268000,42596000,-7388000,35208000,35208000,35208000,35208000,372761000,145295000,118847000,118847000,124372000,30421000,13951000,13137000,646401000,161768000,261487000,89522000,124015000,32559000,592105000,1238506000,73147000,23061000,2322000,47764000,8571000,6693000,81718000,15671000,9623000,6048000,15671000,97389000,291974000,855971000,-6828000,1141117000,1141117000,1238506000,35208000,10461000,9478000,-3359000,51788000,-15371000,333000,-28863000,3114000,3114000,-563000,2551000,25476000,25476000,-125000,25351000,49030000,0,37688000,0.77635,0.2279,0.20804,0.03085,0.02843,1.07044,7.91014,0.08535,0,0.35807,0.34584,1.72114,11.60521,0.38329,0.03044,0.03258,-7.60271,-9.66478
"26","2019_Q1",45.236393442623,"Down",195938000,-45954000,149984000,-100463000,-83642000,-13758000,49521000,4376000,164000,53897000,-6270000,47627000,-10877000,36750000,36750000,36750000,36750000,339684000,139747000,137067000,137067000,131254000,22676000,15387000,7289000,630681000,171873000,234999000,87323000,123734000,10364000,669989000,1300670000,86690000,25895000,917000,59878000,9428000,6830000,96118000,19036000,8114000,10922000,19036000,115154000,299967000,892721000,-7172000,1185516000,1185516000,1300670000,36750000,11936000,7303000,-11698000,44291000,-12159000,-66458000,-52617000,3064000,3064000,-226000,2838000,-5487999.99999999,-5487999.99999999,-60000.0000000001,-5547999.99999999,61457000,0,48477000,0.76547,0.25274,0.18756,0.031,0.02825,1.3191,6.56153,0.09713,0,0.37295,0.36223,1.98845,12.03105,0.49196,0.03051,0.04024,-5.52718,-6.85939
"27","2019_Q2",43.4250793650794,"Down",182947000,-41838000,141109000,-103451000,-85784000,-14324000,37658000,4572000,224000,42230000,-579000,41651000,-8441000,33210000,33210000,33210000,33210000,320664000,129976000,139616000,139616000,143380000,13908000,12915000,993000,617568000,184288000,233261000,84269000,123680000,12962000,718351000,1335919000,74704000,25031000,1068000,48605000,4788000,2e+06,79492000,19213000,7938000,11275000,19213000,98705000,316764000,925930000,-5480000,1237214000,1237214000,1335919000,33210000,12254000,9984000,-16245000,39203000,-28155000,-25684000,-53839000,10255000,10255000,-5350000,4905000,-9731000,-9731000,-40000,-9771000,49912000,0,13953000,0.77131,0.20584,0.18153,0.02684,0.02486,0.42014,7.76893,0.07978,0,0.33638,0.32762,1.85306,12.53167,0.14133,0.02643,0.01111,-6.42459,-8.51516
"28","2019_Q3",47.62828125,"Up",194539000,-43990000,150549000,-107573000,-88379000,-15745000,42976000,4223000,17000,47199000,-106000,47093000,-8929000,38164000,38164000,38164000,38164000,240427000,117790000,144681000,144681000,173040000,25785000,13512000,12273000,583933000,194133000,243015000,85465000,129901000,15671000,806813000,1390746000,74783000,23745000,431000,50607000,9401000,6016000,84184000,19036000,8097000,10939000,19036000,103220000,325160000,964094000,-1728000,1287526000,1287526000,1390746000,38164000,12859000,8024000,-36450000,22597000,-14740000,2136000,-36739000,2013000,2013000,-283000,1730000,-12412000,-12412000,226000,-12186000,55835000,0,13574000,0.77388,0.22091,0.19618,0.02964,0.02744,0.35568,6.93639,0.08017,0,0.38541,0.37569,1.96458,13.00229,0.13708,0.02921,0.01039,-4.30603,-5.59445
"29","2019_Q4",54.2896875,"Up",196215000,-45386000,150829000,-106583000,-88455000,-14508000,44246000,4692000,169000,48938000,-2185000,46753000,-8446000,38307000,38307000,38307000,38307000,277592000,166190000,141545000,141545000,187060000,30866000,14835000,16031000,637063000,197098000,234922000,81969000,129004000,15212000,815119000,1452182000,85189000,24137000,357000,60695000,9732000,5603000,94921000,18466000,7023000,11443000,18466000,113387000,339219000,1002402000,-2826000,1338795000,1338795000,1452182000,38307000,13575000,8833000,-4849000,55866000,-12062000,-1606000,-13668000,7082000,7082000,-463000,6619000,48817000,48817000,-417000,48400000,57821000,0,49356000,0.76869,0.2255,0.19523,0.02861,0.02638,1.28843,6.71151,0.08469,0,0.38599,0.37517,1.9771,13.48993,0.49732,0.02822,0.03636,-4.80089,-6.27383
"30","2020_Q1",49.4058064516129,"Down",211667000,-48761000,162906000,-111032000,-92139000,-15496000,51874000,4470000,65999.9999999999,56344000,-1895000,54449000,-8920000,45529000,45529000,45529000,45529000,311487000,195724000,154326000,154326000,196314000,25341000,17243000,8098000,687468000,199841000,235254000,78812000,128775000,21741000,844609000,1532077000,99274000,24614000,1057000,73603000,12129000,6727000,111403000,18222000,6023000,12199000,18222000,129625000,357419000,1047931000,-2898000,1402452000,1402452000,1532077000,45529000,14046000,10634000,-15900000,54309000,-15793000,-20578000,-36035000,11686000,11686000,-501000,11185000,29459000,29459000,74999.9999999999,29534000,65920000,0,43147000,0.76963,0.24507,0.2151,0.03246,0.02972,0.94768,6.171,0.09243,0,0.45709,0.4423,2.12504,14.08,0.43318,0.03205,0.03037,-4.72523,-6.00468
"31","2020_Q2",48.2412698412698,"Down",190577000,-48864000,141713000,-112717000,-93539000,-15402000,28996000,4050000,194000,33046000,-548000,32498000,-6549000,25949000,25949000,25949000,25949000,276953000,166742000,138602000,138602000,208451000,17794000,17713000,81000,641800000,212605000,244899000,88691000,128952000,20568000,837565000,1479365000,85177000,24227000,898000,60052000,12785000,6333000,97962000,18037000,5860000,12177000,18037000,115999000,370082000,999550000,-6266000,1363366000,1363366000,1479365000,25949000,14568000,6080000,-4304000,42293000,-22314000,19722000,-2592000,-68101000,5763000,-566000,-68667000,-28966000,-28966000,-16000,-28982000,43564000,0,23495000,0.7436,0.15215,0.13616,0.01903,0.01754,0.90543,6.55152,0.08508,0,0.26044,0.25404,1.91275,13.68361,0.23581,0.01878,0.01701,-6.35738,-9.55142
"32","2020_Q3",51.5790625,"Up",148922000,-50643000,98279000,-123589000,-80019000,-39455000,-25310000,3621000,199000,-21689000,-253000,-21942000,1105000,-20837000,-20837000,-20837000,-20837000,316735000,165554000,132092000,132092000,224457000,23607000,19625000,3982000,696891000,211902000,237526000,85226000,129184000,21070000,768911000,1465802000,98948000,27715000,1990000,69243000,7178000,665000,106126000,22761000,5046000,17715000,22761000,128887000,387708000,947909000,1298000,1336915000,1336915000,1465802000,-20837000,15101000,42192000,-13388000,23068000,-9956000,28648000,-3299000,-20604000,10201000,-287000,-20891000,-1122000,-1122000,-66000,-1188000,-10209000,0,-34658000,0.65994,-0.16995,-0.13992,-0.01559,-0.01422,1.66329,6.56664,0.09641,0,-0.21369,-0.20871,1.52726,13.71068,-0.35543,-0.01532,-0.02549,31.02508,12.51422
"33","2020_Q4",57.4878125,"Up",216098000,-57097000,159001000,-107725000,-89152000,-14421000,51276000,3117000,202000,54393000,-1263000,53130000,-8914000,44216000,44216000,44216000,44216000,409637000,250607000,143268000,143268000,231858000,27188000,19091000,8097000,811951000,215274000,238927000,81794000,129662000,22851000,729788000,1541739000,92804000,30022000,979000,61803000,7176000,997000,99980000,24555000,4128000,20427000,24555000,124535000,422872000,992125000,2207000,1417204000,1417204000,1541739000,44216000,16301000,9234000,-16503000,53248000,-17325000,34986000,7661000,28157000,28157000,-4474000,23683000,84592000,84592000,461000,85053000,67577000,0,42663000,0.73578,0.23728,0.20461,0.0312,0.02868,0.96488,8.12113,0.08787,0,0.4502,0.44003,2.20025,14.42961,0.43438,0.03067,0.02959,-6.06178,-7.98886
"34","2021_Q1",63.3280327868852,"Up",233445000,-60859000,172586000,-112076000,-92047000,-15241000,60510000,3678000,198000,64188000,-1975000,62213000,-9256000,52957000,52957000,52957000,52957000,426741000,239397000,141676000,141676000,229153000,24195000,17771000,6424000,821765000,216879000,282319000,86949000,156716000,32039000,857720000,1679485000,106890000,18205000,1101000,87584000,13902000,5777000,120792000,52396000,6202000,46194000,52396000,173188000,457260000,1045082000,3955000,1506297000,1506297000,1679485000,52957000,16904000,13718000,-3395000,80184000,-14063000,-103537000,-119092000,28201000,28201000,-989000,27212000,-11696000,-11696000,486000,-11210000,77414000,0,69212000,0.7393,0.2592,0.22685,0.03516,0.03153,1.30695,6.80314,0.11498,0,0.53513,0.52218,2.35896,15.22112,0.69939,0.03398,0.0444,-5.51245,-7.0524
"35","2021_Q2",71.0993650793651,"Up",227344000,-55027000,172317000,-117589000,-97891000,-14924000,54728000,2646000,214000,57374000,-180000,57194000,-11865000,45329000,45329000,45329000,45329000,403559000,184848000,160939000,160939000,232007000,17868000,16132000,1736000,814373000,216186000,272454000,80414000,155373000,28693000,923517000,1737890000,108976000,22409000,8434000,78133000,14701000,6048000,123677000,51219000,5925000,45294000,51219000,174896000,474407000,1090411000,-1824000,1562994000,1562994000,1737890000,45329000,17157000,9401000,-8317000,63570000,-13672000,-111442000,-125114000,9101000,9101000,-1537000,7564000,-53980000,-53980000,-569000,-54549000,71885000,0,61761000,0.75796,0.24073,0.19939,0.029,0.02608,1.36251,6.58468,0.1119,0,0.4539,0.44258,2.27649,15.65091,0.61844,0.02808,0.03826,-5.61395,-7.3739
"36","2021_Q3",80.29140625,"Up",251016000,-63846000,187170000,-127424000,-107254000,-15547000,59746000,3057000,307000,62803000,-13870000,48933000,-7388000,41545000,41545000,41545000,41545000,460427000,268783000,165852000,165852000,231208000,34511000,15200000,19311000,891998000,210749000,273740000,76153000,155777000,33147000,938215000,1830213000,112855000,21270000,3427000,88158000,17187000,8182000,130042000,60898000,5474000,55424000,60898000,190940000,508889000,1131956000,-1572000,1639273000,1639273000,1830213000,41545000,19130000,25186000,-26672000,59189000,-8386000,8243000,-143000,26496000,26496000,-1568000,24928000,83974000,83974000,-38999.9999999999,83935000,78876000,0,51206000,0.74565,0.23802,0.16551,0.02534,0.0227,1.23254,6.85931,0.11648,0,0.41601,0.40563,2.51353,16.41473,0.51275,0.02444,0.03012,-5.83735,-7.70641
"37","2021_Q4",72.59234375,"Down",229721000,-58554000,171167000,-116870000,-96444000,-15853000,54297000,1123000,-84000,55420000,-968000,54452000,-7241000,47211000,47211000,47211000,47211000,553195000,361876000,159576000,159576000,234368000,33375000,16207000,17168000,980514000,215665000,282585000,73095000,166578000,33574000,930064000,1910578000,104129000,20678000,1971000,81480000,18396000,8729000,122525000,69784000,4792000,64992000,69784000,192309000,542156000,1179167000,-3054000,1718269000,1718269000,1910578000,47211000,16751000,7998000,5302000,77262000,-17795000,10910000,-6885000,24336000,24336000,-1658000,22678000,93055000,93055000,38000,93093000,71048000,0,65796000,0.74511,0.23636,0.20551,0.02748,0.02471,1.39366,8.00256,0.11192,0,0.46987,0.45645,2.2863,17.10112,0.65484,0.0264,0.0368,-7.78621,-10.18832
"38","2022_Q1",69.51,"Down",250021000,-61796000,188225000,-162138000,-106560000,-51022000,26087000,1628000,143000,27715000,-7887000,19828000,-4722000,15106000,15106000,15106000,15106000,443447000,193069000,164436000,164436000,237001000,19632000,18417000,1215000,864516000,221076000,309196000,68660000,179708000,36334000,1092747000,1957263000,116369000,21955000,1046000,93368000,23795000,11770000,140164000,75711000,4314000,71397000,75711000,215875000,553888000,1194272000,-6772000,1741388000,1741388000,1957263000,15106000,16829000,31883000,12435000,76253000,-17045000,-192264000,-243797000,3563000,3563000,-4586000,-1023000,-168567000,-168567000,-240000,-168807000,42916000,0,43028000,0.75284,0.10434,0.06042,0.00867,0.00772,2.8484,6.16789,0.12397,0,0.14668,0.14068,2.42774,16.90914,0.41781,0.00831,0.02368,-10.33291,-16.99877
"39","2022_Q2",65.7301612903226,"Down",230549000,-59167000,171382000,-122672000,-100748000,-17412000,48710000,2453000,301000,51163000,-2265000,48898000,-10814000,38084000,38084000,38084000,38084000,473294000,229789000,166222000,166222000,253886000,23196000,19587000,3609000,916598000,227541000,307674000,64385000,179045000,34307000,1082096000,1998694000,118149000,26093000,16525000,75531000,23342000,11535000,141491000,71831000,3811000,68020000,71831000,213322000,570183000,1232356000,-17167000,1785372000,1785372000,1998694000,38084000,16837000,7063000,-17294000,44690000,-19971000,7077000,-13894000,7746000,7746000,-1699000,6047000,36843000,36843000,-123000,36720000,65547000,0,39096000,0.74336,0.21128,0.16519,0.02133,0.01905,1.02657,6.47814,0.11948,0,0.37523,0.36552,2.27153,17.59074,0.3852,0.02051,0.02105,-7.22068,-9.71657
"40","2022_Q3",60.219375,"Down",263648000,-68470000,195178000,-128506000,-106718000,-17395000,66672000,2764000,1395000,69436000,1104000,70540000,-15950000,54590000,54590000,54590000,54590000,408010000,150772000,192814000,192814000,266043000,24301000,18579000,5722000,891168000,238882000,310999000,59131000,182702000,34007000,1023544000,1914712000,120209000,34195000,3471000,82543000,25808000,12623000,146017000,69602000,2511000,67091000,69602000,215619000,582006000,1142455000,-25368000,1699093000,1699093000,1914712000,54590000,16927000,5446000,-40080000,36883000,-23753000,51054000,27126000,-140908000,3585000,-1854000,-142762000,-78753000,-78753000,-264000,-79017000,83599000,0,35716000,0.7403,0.25288,0.20706,0.03213,0.02851,0.65426,6.10318,0.1269,0,0.54226,0.5306,2.61891,16.87768,0.35478,0.03086,0.02019,-4.88056,-6.11966
