"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",13.7015873015873,"Up",164841000,-82460000,82381000,-76770000,-76770000,5611000,183000,183000,5794000,5569000,-1756000,3813000,3813000,3813000,3813000,-322422237.554537,-363442580.940227,-43777510.4264513,-43777510.4264513,-37962376.732781,-66510778.4987077,-66510778.4987077,-470672903.212477,276796610.85957,32896898.3506407,45127999.9999996,-12231101.6493593,309693509.21021,-160979394.002267,-78887787.9924441,39553898.8127027,-118441686.805147,-312081129.434277,-312081129.434277,-392704984.333247,210693155.442717,210693155.442717,135183873.18463,-257521111.148617,369339028.920777,-566658593.399868,286686198.659964,59702.079071233,89426336.2599439,96541717.147697,-160979394.00092,3813000,5607000,415000,-10716000,-881000,-1447000,57000,57000,-1504000,-1504000,-1053000,-1438000,-2296000,-203524.173546699,-9111000,-11045000,-11045000,-79000,-11124000,11218000,0,811000,0.49976,0.03404,0.02313,-0.546554194848855,-0.272400805851863,0.21269,3.86747644214949,-0.27788849223437,0.191727745210141,0.13249,0.13171,5.72782,2.60358420861352,0.02818,0.04997,-0.381229608892441,0.625733752597003,0.37713,6.33131480064075,-5.56624055115177
"2","2011_Q3",10.56625,"Down",173345000,-83484000,89861000,-79327000,-79327000,10534000,-1734000,-1734000,8800000,8741000,6003000,14744000,14744000,14744000,14744000,-82718618.7772684,-109207290.470114,-9194255.21322563,-9194255.21322563,67314811.6336095,-16898889.2493539,-16898889.2493539,-41496951.6062385,291152805.429785,53002449.1753204,45127999.9999998,7874449.17532036,344155254.605105,302658302.998867,19398606.003778,36728449.4063514,-17329843.4025734,-89856564.7171384,-89856564.7171384,-71133992.1666237,104029577.721358,104029577.721358,168713436.592315,97579444.4256916,363904014.460388,-575098296.699934,410105099.329982,3142351.03953562,202053168.129972,205078858.573849,302658302.99954,14744000,5322000,581000,-16994000,3653000,-2611000,42000,42000,-2653000,-2653000,-7600000,-1438000,-4359000,-237174.724515566,-5797000,-9744000,-9744000,47000,-9697000,15856000,0,-9751999.99999999,0.51839,0.06077,0.08506,-0.210447097424428,-0.105765402925931,-0.661419999999995,2.58838822107474,0.611390753882815,0.231598872605071,0.51325,0.50978,6.03422,6.80058710430676,-0.33947,0.05006,-0.14801480444622,0.324441876298501,0.09753,6.32908240032038,3.19348972442411
"3","2011_Q4",12.2180952380952,"Up",162822000,-79753000,83069000,-78203000,-78203000,4866000,-1645000,-1645000,3221000,3112000,406000,3518000,3518000,3518000,3518000,44462793.7409105,26885569.8432955,8750248.26225813,8750248.26225813,122156603.87787,9858036.91688204,9858036.91688204,185227682.797921,295948601.809928,62520483.0584401,45127999.9999999,17392483.0584401,358469084.868368,543696767.666289,72129202.0012593,32021816.4687838,40107385.5324755,24251478.4276205,24251478.4276205,96232002.6111254,47831192.5737861,47831192.5737861,186403812.197438,282635814.808564,361110004.820129,-580160098.899978,475784366.443327,3495450.34651187,260229722.709991,261060952.85795,543696767.666513,3518000,5191000,203000,28902000,37814000,-1528000,46000,46000,-1574000,-1574000,808000,-1437000,-19415000,-125000,-20948000,17674000,17674000,107000,17781000,10057000,0,37025000,0.51018,0.02989,0.02161,-0.0361956991414759,-0.0193084676419771,10.52445,1.94018274035825,1.07571025129427,0.253956290868357,0.12235,0.12136,5.66278,8.97973903476892,1.28769,0.04998,-0.0261049348154068,0.146313958766167,0.40847,5.65840746677346,6.6648932414747
"4","2012_Q1",15.6822580645161,"Up",177952000,-83803000,94149000,-83227000,-83227000,10922000,-2366000,-2366000,8556000,8949000,-1774000,7175000,7175000,7175000,7175000,91428000,78519000,15036000,15036000,141692000,20372000,20372000,268528000,294853000,64944000,45128000,19816000,359797000,628325000,91948000,26958000,64990000,62649000,62649000,154616000,27009000,27009000,192022000,346638000,360212000,-582691000,501908000,2258000,281687000,281687000,628325000,7175000,4696000,-138000,10843000,22576000,-312000,3051000,3051000,-3363000,-3363000,-1798000,-1441000,-11817000,64000,-13223000,7555000,7555000,152000,7707000,15618000,165032000,27923000,0.52907,0.06138,0.04032,0.02547,0.01142,3.89171,1.73674,1.23058,0.26265,0.24937,0.24737,6.18469,9.78998,0.97046,0.05008,0.01819,0.05894,0.20084,4.71277,6.73906
"5","2012_Q2",13.9626984126984,"Down",184921000,-87036000,97885000,-84247000,-84247000,13638000,-2291000,-2291000,11347000,11347000,-4577000,6770000,6770000,6770000,6770000,90483000,79376000,14643000,14643000,141050000,21255000,21255000,267431000,291535000,63766000,45128000,18638000,355301000,622732000,91499000,23061000,68438000,57742000,57742000,149241000,26474000,26474000,189335000,338576000,360465000,-583538000,506660000,569000,284156000,284156000,622732000,6770000,4989000,231000,-5738000,6252000,-3305000,70000,70000,-3375000,-3375000,-353000,-2017000,-2190000,248390.797177771,-5054000,845000,845000,12000,857000,18627000,162861000,14161000,0.52933,0.07375,0.03661,0.02382,0.01087,2.09173,1.79194,1.19151,0.26153,0.2354,0.23384,6.4298,9.88025,0.49239,0.07013,0.01856,0.02991,0.29793,3.88565,5.30708
"6","2012_Q3",13.8247619047619,"Down",183275000,-85056000,98219000,-84281000,-84281000,13938000,-2129000,-2129000,11809000,11809000,-3732000,8077000,8077000,8077000,8077000,77368000,66352000,13828000,13828000,136197000,20330000,20330000,247723000,291098000,63550000,45128000,18422000,354648000,602371000,84045000,22452000,61593000,46561000,46561000,130606000,28407000,28407000,181331000,311937000,360977000,-583538000,512704000,45000,290188000,290434000,602371000,8077000,4593000,2297000,-10254000,4713000,-6295000,1722000,1722000,-8017000,-8017000,-5772000,-2014000,-9938000,297000,-11655000,-12714000,-12714000,-310000,-13024000,18531000,152924000,5714000,0.53591,0.07605,0.04407,0.02781,0.01341,0.70744,1.89672,1.07404,0.25387,0.28024,0.27786,6.35886,10.06828,0.19825,0.06988,0.02139,0.01211,0.24935,4.07728,5.42086
"7","2012_Q4",16.8995161290323,"Up",175861000,-81586000,94275000,-86488000,-86488000,7787000,-2032000,-2032000,5755000,5755000,21793000,27548000,27548000,27548000,27548000,84389000,73130000,17571000,17571000,142262000,24209000,24209000,268431000,297211000,67789000,45128000,22661000,3.65e+08,633431000,82230000,26655000,55575000,61512000,61512000,143934000,17719000,17719000,171777000,315711000,361003000,-583538000,538224000,1825000,317514000,317720000,633431000,27548000,4510000,-19973000,4783000,16868000,-8444000,0,0,-8444000,-8444000,-9300000,-2015000,-17000,203000,-1829000,5739000,5739000,1039000,6778000,12297000,154250000,-13157000,0.53608,0.04428,0.15665,0.08671,0.04349,-0.4776,1.86496,0.99368,0.24352,0.95464,0.9423,6.09422,11.00301,-0.45594,0.06983,0.06037,-0.02687,0.07315,5.68114,8.97149
"8","2013_Q1",18.3336666666667,"Up",185316000,-85407000,99909000,-85575000,-85575000,14334000,-2006000,-2006000,12328000,12328000,-5029000,7299000,7299000,7299000,7299000,88726000,79721000,14919000,14919000,155739000,23408000,23408000,282792000,295695000,66301000,45128000,21173000,361996000,644788000,85362000,27315000,58047000,65465000,65465000,151077000,17593000,17593000,171843000,322920000,361650000,-584041000,542918000,1141000,321668000,321868000,644788000,7299000,4489000,1231000,-3151000,9868000,-2967000,80999.9999999998,80999.9999999998,-3048000,-3048000,-732000,-2016000,-58999.9999999991,238000,-2340000,6796000,6796000,-205000,6591000,18823000,154500000,17734000,0.53913,0.07735,0.03939,0.02268,0.01132,2.42965,1.87184,1.00327,0.23961,0.25294,0.25013,6.42187,11.14697,0.61455,0.06986,0.01886,0.0359,0.2762,3.49434,4.58867
"9","2013_Q2",19.7353125,"Up",187437000,-83184000,104253000,-86299000,-86299000,17954000,-2125000,-2125000,15829000,15829000,-5765000,10064000,10064000,10064000,10064000,84583000,73913000,14644000,14644000,157951000,23791000,23791000,280969000,297322000,66423000,45128000,21295000,363745000,644714000,82159000,20831000,61328000,60924000,60924000,143336000,17496000,17496000,171712000,315048000,361805000,-584041000,550376000,1312000,329452000,329666000,644714000,10064000,4606000,1961000,-9942000,6689000,-7607000,711000,711000,-8318000,-8318000,-9943000,-2594000,-62000,47000,-2609000,-5863000,-5863000,55000,-5808000,22560000,154469000,10776000,0.5562,0.09579,0.05369,0.03053,0.01561,1.07075,1.96021,0.95566,0.23959,0.34901,0.34536,6.5001,11.42502,0.3737,0.08996,0.02523,0.02148,0.25775,3.09778,3.8925
"10","2013_Q3",18.20109375,"Down",191251000,-87284000,103967000,-86610000,-86610000,17357000,-2070000,-2070000,15287000,15287000,-5441000,9846000,9846000,9846000,9846000,75136000,57267000,11137000,11137000,142385000,20258000,20258000,248916000,299153000,67307000,45128000,22179000,366460000,615376000,69216000,16334000,52882000,46676000,46676000,116358000,18486000,18486000,173357000,289715000,362441000,-584041000,545740000,1301000,325441000,325661000,615376000,9846000,4360000,-111000,-2604000,11491000,-4692000,555000,555000,-5247000,-5247000,-11390000,-17023000,-61999.9999999995,286000,-16799000,-16698000,-16698000,51999.9999999999,-16646000,21717000,155337000,19862000,0.54362,0.09076,0.05148,0.03023,0.016,2.01727,2.13923,0.88962,0.25243,0.34133,0.33693,6.63007,11.28201,0.68855,0.59013,0.05379,0.03977,1.72893,3.69301,4.62067
