"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2012_Q1",72.5182258064516,"Up",-6105000,-2126000,-3979000,-5804000,-6000,-10000,4000,-5810000,-5810000,-5810000,-5810000,-5810000,-5810000,39490000,39490000,3298000,409000,42788000,5591000,5591000,48379000,9537000,1670000,1867000,913000,913000,10664000,0,0,942000,11606000,118249000,36773000,36773000,48379000,-5810000,167000,1135000,2889000,-1619000,-187000,-2677000,37569000,37556000,37499000,33203000,33203000,33203000,-5637000,1156000,-0.158,-0.12009,4.01238,0.31561,0.02389,-3.92702,-3.92702,24.8551,-0.15318,6.80043,6.60476
"2","2012_Q2",110.568571428571,"Up",-5288000,-1458000,-3830000,-4817000,-25000,-4000,-21000,-4842000,-4842000,-4842000,-4842000,-4842000,-4842000,33269000,33269000,3949000,292000,37218000,6229000,6229000,43447000,2029000,803000,1226000,64999.9999999999,64999.9999999999,2310000,7454000,6e+06,8339000,10649000,119116000,32798000,32798000,43447000,-4842000,175000,756000,-1729000,-5640000,-659000,-659000,131000,134999.999999993,78000,-6221000,-6221000,-6221000,-4642000,1101000,-0.14763,-0.11145,16.11169,0.32468,0.02534,-2.1143,-2.1143,14.32152,-0.11709,6.92977,6.67802
"3","2012_Q3",127.513650793651,"Up",-6891000,-2151000,-4740000,-6301000,-8000,-8000,0,-6309000,-6309000,-6309000,-6309000,-6309000,-6309000,30327000,30327000,2544000,254000,32871000,6265000,6265000,39136000,2341000,575000,1766000,71000,71000,2616000,7434000,6e+06,8288000,10904000,120859000,28232000,28232000,39136000,-6309000,197000,1169000,134000,-4809000,-405000,1338000,574000,574000,529000,-2942000,-2942000,-2942000,-6104000,1058000,-0.22347,-0.16121,12.56537,0.38623,0.02703,-2.74531,-2.74531,12.28495,-0.1718,4.79505,4.64514
"4","2012_Q4",117.087096774194,"Down",-6175000,-1396000,-4779000,-5848000,-3000,-3000,0,-5851000,-5851000,-5851000,-5851000,-5851000,-5851000,25557000,25557000,3364000,145000,28921000,6087000,6087000,35008000,2844000,708000,2136000,76000,76000,3150000,7414000,6e+06,8635000,11785000,121701000,23223000,23223000,35008000,-5851000,201000,629000,1660000,-3361000,-23000,-2015000,213000,213000,606000,-4770000,-4770000,-4770000,-5647000,1451000,-0.25195,-0.16713,9.18127,0.50747,0.04145,-2.52131,-2.52131,10.00723,-0.18234,4.26882,4.12209
"5","2013_Q1",108.657,"Down",-6592000,-2103000,-4489000,-6293000,-26000,-9000,-17000,-6319000,-6319000,-6319000,-6319000,-6319000,-6319000,20250000,20250000,3139000,907000,23389000,6040000,6040000,29429000,2631000,972000,1659000,84000,84000,2919000,7405000,6e+06,8583000,11502000,122724000,17927000,17927000,29429000,-6319000,215000,679000,-1236000,-6661000,-186000,1059000,363000,363000,295000,-5307000,-5307000,-5307000,-6078000,1382000,-0.35249,-0.21472,8.01268,0.6416,0.04696,-2.71721,-2.71721,7.70872,-0.23654,3.10431,2.99825
"6","2013_Q2",141.60796875,"Up",-8344000,-2001000,-6343000,-8042000,108000,-6000,114000,-7934000,-7934000,-7934000,-7934000,-7934000,-7934000,63278000,63278000,2488000,657000,65766000,5889000,5889000,71655000,2880000,865000,2015000,84000,84000,3141000,7384000,6e+06,8520000,11661000,172725000,59994000,59994000,71655000,-7934000,212000,966000,133000,-6623000,-62000,685000,49035000,49035000,48966000,43028000,43028000,43028000,-7830000,1313000,-0.13225,-0.11073,20.93792,0.19437,0.01832,-2.99295,-2.99295,22.63158,-0.1155,7.91379,7.70517
"7","2013_Q3",160.9509375,"Up",-7301000,-2264000,-5037000,-7069000,-8000,-8000,0,-7077000,-7077000,-7077000,-7077000,-7077000,-7077000,59039000,59039000,2032000,535000,61071000,5942000,5942000,67013000,3893000,1076000,2817000,84000,84000,4163000,7363000,6e+06,8492000,12655000,174166000,54358000,54358000,67013000,-7077000,213000,1061000,949000,-4854000,-212000,286000,381000,381000,329000,-4239000,-4239000,-4239000,-6856000,1315000,-0.13019,-0.10561,14.66995,0.23281,0.01962,-2.48626,-2.48626,19.0968,-0.11227,8.41949,8.16579
"8","2013_Q4",177.82875,"Up",-8382000,-2257000,-6125000,-8117000,-6000,-6000,1.45519152283669e-11,-8123000,-8123000,-8123000,-8123000,-8123000,-8123000,51964000,51964000,2185000,405000,54149000,6738000,6738000,60887000,4842000,973000,3869000,84000,84000,5114000,7342000,6e+06,8423000,13537000,175281000,47350000,47350000,60887000,-8123000,210000,1107000,527000,-6279000,-1006000,-757000,6999.99999999255,7000,-39000,-7075000,-7075000,-7075000,-7907000,1269000,-0.17155,-0.13341,10.58838,0.28589,0.02084,-2.84245,-2.84245,16.56901,-0.14515,6.41141,6.24553
"9","2014_Q1",305.706393442623,"Up",-8207000,-2999000,-5208000,-7913000,-3000,-1000,-2000,-7916000,-7916000,-8046000,-8046000,-8046000,-8046000,61291000,61291000,2679000,773000,63970000,6587000,6587000,70557000,3603000,612000,2861000,84000,84000,3876000,7321000,6e+06,8354000,12230000,194304000,58327000,58327000,70557000,-8046000,256000,1233000,-1505000,-8062000,-106000,-355000,17792000,17792000,17744000,9327000,9327000,9327000,-7657000,1222000,-0.13795,-0.11404,16.50413,0.20968,0.01732,-2.79647,-2.79647,20.27213,-0.12032,7.84498,7.59118
"10","2014_Q2",203.344126984127,"Down",-9638000,-3251000,-6387000,-9304000,68000,18000,50000,-9236000,-9236000,-9236000,-9236000,-9236000,-9236000,83713000,83713000,1596000,679000,85309000,6434000,6434000,91743000,3358000,972000,2381000,84000,84000,3632000,7300000,6e+06,8286000,11918000,225220000,79825000,79825000,91743000,-9236000,256000,2105000,808000,-6067000,-93000.0000000001,-92999.9999999998,28629000,28811000,28582000,22422000,22422000,22422000,-9048000,1176000,-0.1157,-0.10067,23.48816,0.1493,0.01282,-3.0114,-3.0114,26.02692,-0.1046,9.12213,8.87113
