"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q1",6.97491803278688,"Down",77116000,-37574000,39542000,-46206000,-33613000,-12593000,-6664000,3173000,-156000,3329000,-3491000,-5317000,-1e+05,-5417000,-5417000,-5417000,-107974000,113935000,76864000,7091000,7091000,3283000,2134000,1149000,124309000,18964000,159778000,3311000,49545000,106922000,203062000,327371000,25348000,4078000,21270000,22804000,22804000,48152000,4979000,4979000,4979000,53131000,479361000,-205115000,-6000,274240000,274240000,327371000,-5417000,1998000,45710000,-50726000,-8435000,-15920000,-61420000,-71949000,472000,472000,161849000,141321000,60937000,60937000,60937000,-4666000,0,-71212000,0.51276,-0.08642,-1.40015,-0.39372,-0.32982,0.65953,2.5816,0.19374,0,-2.33994,-2.33994,1.6712,5.94313,-1.54326,-0.3867,-0.25504,24.41813,17.09709
"2","2014_Q2",6.09555555555556,"Down",74393000,-65485000,8908000,-36187000,-24867000,-11320000,-27279000,59000,-61000,120000,-27220000,-25542000,-217000,-25759000,-25759000,-25759000,-25759000,93816000,39440000,9345000,9345000,5245000,3025000,2181000,108406000,18994000,168694000,3150000,49605000,115939000,224359000,332765000,23568000,3742000,19826000,52116000,52116000,75684000,5153000,5153000,5153000,80837000,482801000,-230874000,1000,251928000,251928000,332765000,-25759000,2035000,29737000,23129000,29142000,-44248000,-29729000,-63201000,89000,89000.0000000005,-3454000.00000003,-3365000,-37424000,-37424000,-37424000,-25244000,0,-46146000,0.11974,-0.36669,-0.34626,-0.10225,-0.07741,1.79145,1.43235,0.32087,0,-0.31344,-0.31344,0.90523,3.06553,-0.56152,-0.1002,-0.1795,3.71637,3.43913000000001
"3","2014_Q3",6.58765625,"Up",64492000,-38596000,25896000,-37660000,-25471000,-12189000,-11764000,29000,-127000,156000,-11735000,-9613000,1367000,-8246000,-8246000,-8246000,-8246000,59213000,30783000,9913000,9913000,5426000,3652000,1774000,74552000,18933000,201742000,12664000,86685000,102393000,239970000,314522000,29804000,9813000,19991000,24175000,24175000,53979000,5187000,5187000,5187000,59166000,494448000,-239120000,28000,255356000,255356000,314522000,-8246000,2509000,25479000,-26286000,-6544000,-11029000,43307000,-3633000,1654000,1654000,-134000,1520000,-8657000,-8657000,-8657000,-9255000,0,-47937000,0.40154,-0.18241,-0.12786,-0.03229,-0.02622,5.81336,1.38113,0.2317,0,-0.09912,-0.09912,0.77523,3.06951,-0.57623,-0.03165,-0.18399,6.39795,5.03341
"4","2014_Q4",6.48421875,"Down",81532000,-68281000,13251000,-47929000,-34439000,-13490000,-34678000,474000,-67000,541000,-34204000,-32160000,-281000,-32441000,-32441000,-32441000,-32441000,83221000,53186000,15758000,15758000,12070000,3391000,8679000,111049000,18298000,204662000,10972000,86685000,107005000,237084000,348133000,35626000,6063000,29563000,72462000,72462000,108088000,5315000,5315000,5315000,113403000,506292000,-271561000,-1000,234730000,234730000,348133000,-32441000,3279000,29522000,45044000,45404000,-47999000,3487999.99999999,-23073000,258000,258000,-186000,71999.9999999981,22403000,22403000,22403000,-31399000,0,-34073000,0.16253,-0.42533,-0.39789,-0.13821,-0.09319,1.05031,1.02739,0.48312,0,-0.38844,-0.38844,0.97623,2.81057,-0.40798,-0.13515,-0.14194,2.65043,2.39982
"5","2015_Q1",7.42491803278689,"Up",84417000,-38623000,45794000,-41762000,-29375000,-12387000,4032000,0,-62000,62000,4032000,2743000,-1055000,1688000,1688000,1688000,1688000,89463000,56117000,14396000,14396000,6955000,3091000,3864000,110814000,18369000,187493000,13626000,91301000,82566000,207313000,318127000,42128000,10945000,31183000,24591000,24591000,66719000,4365000,4365000,4365000,71084000,516929000,-269873000,-13000,247043000,247043000,318127000,1688000,3336000,28937000,-33488000,473000,-14621000,9286000,2557000,711000,711000,-810000,-99000,2931000,2931000,2931000,7368000,0,-39686000,0.54247,0.04776,0.02,0.00683,0.00531,-23.51066,1.66091,0.28774,0,0.02011,0.02011,1.00579,2.94341,-0.47284,0.00671,-0.15785,-12.1421,-22.18824
"6","2015_Q2",7.91396825396825,"Up",84872000,-65493000,19379000,-49313000,-33169000,-16144000,-29934000,15000,-61000,76000.0000000001,-29919000,-28248000,-294000,-28542000,-28542000,-28542000,-28542000,78895000,50028000,10674000,10674000,12597000,8611000,3986000,102166000,17892000,189670000,12066000,91301000,86303000,207562000,309728000,25033000,4846000,20187000,44969000,44969000,70002000,4285000,4285000,4285000,74287000,533825000,-298415000,31000,235441000,235441000,309728000,-28542000,3172000,28066000,3995000,6691000,-30628000,5897000,-12752000,6626000,6626000,-6654000,-28000,-6089000,-6089000,-6089000,-26762000,-8.88178419700125e-16,-53101000,0.22833,-0.3527,-0.33629,-0.12123,-0.09215,1.86045,1.45947,0.31552,1.65436122510606e-24,-0.3366,-0.3366,1.00092,2.77662,-0.62624,-0.11906,-0.22151,2.94802,2.63563
"7","2015_Q3",7.91625,"Up",67061000,-36256000,30805000,-37593000,-24325000,-13268000,-6788000,-4000,-60000,56000,-6792000,-9701000,-430000,-10131000,-10131000,-10131000,-10131000,62496000,35087000,12131000,12131000,24529000,7657000,16872000,99156000,18569000,165112000,10629000,91301000,63182000,188408000,287564000,27735000,3832000,23903000,19752000,19752000,47487000,4732000,4732000,4732000,52219000,543877000,-308546000,14000,235345000,235345000,287564000,-10131000,3241000,24851000,-37711000,-19750000,-4793000,-3334000,2587000,5303000,5303000,-3081000,2222000,-14941000,-14941000,-14941000,-3547000,0,-45621000,0.45936,-0.10122,-0.15107,-0.04305,-0.03523,4.50311,2.08807,0.22188,0,-0.11679,-0.11679,0.77306,2.71297,-0.5259,-0.0422,-0.19003,17.6194,9.20684
"8","2015_Q4",7.16765625,"Down",81286000,-61720000,19566000,-43935000,-28271000,-15664000,-24369000,24000,-61000,85000,-24345000,-23778000,-389000,-24167000,-24167000,-24167000,-24167000,102306000,80941000,9323000,9323000,39620000,5786000,33834000,151249000,18537000,149336000,9511000,91301000,48524000,170808000,322057000,51656000,11982000,39674000,46081000,46081000,97737000,4261000,4261000,4261000,101998000,552861000,-332713000,-89000,220059000,220059000,322057000,-24167000,2767000,18380000,34193000,31173000,-2689000,7801000,14630000,659000,659000,-608000,51000.0000000005,45854000,45854000,45854000,-21602000,-1.4210854715202e-14,10291000,0.24071,-0.29979,-0.29731,-0.10982,-0.07504,-0.42583,1.54751,0.4635,-2.64697796016969e-23,-0.27552,-0.27552,0.92671,2.5088,0.11732,-0.10773,0.04588,4.73595,4.1982
"9","2016_Q1",5.07360655737705,"Down",68154000,-26380000,41774000,-37841000,-23526000,-14315000,3933000,-66000,-65000,-1000,3867000,3996000,-366000,3630000,3630000,3630000,3630000,84829000,67029000,13157000,13157000,34849000,3117000,31732000,132835000,19971000,134321000,8865000,91301000,34155000,158521000,291356000,41140000,5860000,35280000,14971000,14971000,56111000,4170000,4170000,4170000,60281000,560330000,-329083000,-172000,231075000,231075000,291356000,3630000,2331000,13043000,-37200000,-18196000,-2440000,2216000,3806000,1108000,1108000,-630000,478000,-13912000,-13912000,-13912000,6264000,0,-33010000,0.61294,0.05771,0.05326,0.01571,0.01246,-9.09366,2.36736,0.26087,0,0.04124,0.04124,0.77435,2.6254,-0.37505,0.01543,-0.14032,-13.54231,-21.56852
"10","2016_Q2",4.64171875,"Down",66654000,-38923000,27731000,-44070000,-27112000,-16958000,-16339000,4999.99999999999,-60000,65000,-16334000,-15285000,-4e+05,-15685000,-15685000,-15685000,-15685000,61506000,41504000,10955000,10955000,51669000,8477000,43192000,124130000,23361000,124347000,8237000,91301000,24809000,150586000,274716000,23581000,4307000,19274000,26769000,26769000,50350000,3969000,3969000,3969000,54319000,565269000,-344768000,-104000,220397000,220397000,274716000,-15685000,2577000,15008000,-21133000,-19233000,-5242000,-839000,38999.9999999991,-4.65661287307739e-10,2.3283064365387e-10,-6331000,-6331000,-25525000,-25525000,-25525000,-13762000,2.27373675443232e-13,-39737000,0.41604,-0.24513,-0.23532,-0.07117,-0.0571,2.53344,2.46534,0.24646,0,-0.176,-0.176,0.74793,2.47309,-0.44589,-0.06991,-0.17711,4.46926,3.76437
