"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q1",15.9852459016393,"Up",712977000,-285480000,427497000,-392790000,-50102000,-342688000,34707000,-25408000,-34609000,-1322000,9292000,1231000,9299000,-931000,8368000,274243000,282611000,279617000,279617000,279617000,546454000,546454000,106148000,106148000,190921000,80824000,843523000,1179754000,3023447000,234319000,2289800000,96824000,402504000,4203201000,5046724000,439083000,268163000,170920000,16080000,202833000,202833000,657996000,2178930000,700859000,700859000,2879789000,3537785000,1163593000,321730000,24204000,1508939000,1508939000,5046724000,279617000,50102000,-255559000,78517000,152677000,-86228000,-766000,-85462000,-252000,-2026000,-88506000,-3732000,423000,351683000,415854000,415854000,-28000,415826000,84809000,2195010000,-197145000,0.59959,0.04868,0.39218,0.18531,0.05541,-0.70505,1.28196,2.34455,0.43494,3.57988,3.57988,9.12809,19.31862,-2.52401,0.06348,-0.04476,19.43846,47.49924
"2","2014_Q2",16.712380952381,"Up",622758000,-237223000,385535000,-367634000,-54777000,-312857000,17901000,-25481000,-32183000,7857000,-5384000,4229000,-7580000,-362000,-7942000.00000001,3100000,-4841999.99999994,-4508000,-4508000,-4508000,353277000,353277000,53316000,53316000,194893000,83066000,601486000,1192034000,3019508000,232118000,2289800000,96824000,400766000,4211542000,4813028000,359726000,223984000,135742000,24201000,169881000,169881000,553808000,2039521000,707096000,707096000,2746617000,3300425000,1169950000,317222000,26019000,1512603000,1512603000,4813028000,-4508000,54777000,23201000,-75045000,-1574999.99999994,-55727000,-128000,-55599000,-721000,-1783000,-58231000,-125513000,-7849000,-133362000,-193168000,-193168000,-9000,-193177000,72678000,2063722000,-61194000,0.61908,0.02874,-0.00724000000000002,-0.00298000000000004,-0.00094000000000001,13.57453,1.08609,2.18195,0.42878,-0.0462900000000004,-0.0462899999999999,6.39447,15.53139,-0.62834,-0.00104999999999998,-0.01429,23.53456,95.55025
"3","2014_Q3",17.16921875,"Up",726573000,-287561000,439012000,-370043000,-51750000,-318293000,68969000,-16893000,-30475000,-172000,9597000,4157000,52076000,-572000,51504000,-20090000,31414000,31393000,31393000,31393000,235305000,235305000,63550000,63550000,176063000,82658000,474918000,1207608000,3027170000,229917000,2289800000,96824000,410629000,4234778000,4709696000,400199000,258690000,141509000,22947000,159944000,159944000,583090000,1889214000,711494000,711494000,2600708000,3183798000,1171270000,329039000,26177000,1525898000,1525898000,4709696000,31393000,51750000,23641000,1039000,107823000,-59472000,137000,-59609000,-339000,3323000,-56488000,-149530000,-306000,-169325000,-117990000,-117990000,18000,-117972000,120719000,1912161000,82376000,0.60422,0.09492,0.04321,0.02057,0.00667,2.62402,0.81448,2.08651,0.40601,0.32158,0.32078,7.44281,15.63087,0.84384,0.01226,0.01985,13.89057,24.31318
"4","2014_Q4",18.14296875,"Up",633904000,-247817000,386087000,-357495000,-54327000,-303168000,28592000,-16428000,-29345000,-180999.999999999,13087000,11000,12164000,-78000,12086000,-4710000,7376000,7375999.99999999,7376000,7376000,155506000,155506000,42938000,42938000,170844000,80735000,369288000,1214036000,3029591000,227716000,2289800000,96824000,415251000,4243627000,4612915000,330118000,181727000,148391000,23144000,150065000,150065000,503327000,1883795000,715214000,715214000,2599009000,3102336000,1169683000,316839000,24737000,1510579000,1510579000,4612915000,7375999.99999999,54327000,18422000,-67783000,12342000,-67760000,-5.82076609134674e-11,-67760000,-411000,-601000,-68772000,-3694000,-78000,-23378000,-79808000,-79808000,9000,-79799000,82919000,1906939000,-47914000,0.60906,0.0451,0.01164,0.00488,0.0016,-6.49593,0.73369,2.05374,0.41339,0.07565,0.0755499999999999,6.5011,15.49199,-0.49139,0.00651,-0.01159,21.12222,61.25605
"5","2015_Q1",23.0650819672131,"Up",712155000,-273636000,438519000,-374599000,-55467000,-319132000,63920000,-19033000,-28936000,641000,9315000,-53000,44887000,-3298000,41589000,-11770000,29819000,29819000,29819000,29819000,218206000,218206000,99252000,99252000,84343000,84343000,401801000,1247230000,3114701000,225515000,2289800000,181782000,417604000,4361931000,4763732000,398897000,262635000,136262000,23598000,213882000,213882000,636377000,1876665000,736532000,736532000,2613197000,3249574000,1174913000,327081000,12844000,1514158000,1514158000,4763732000,29819000,55467000,41274000,52152000,178712000,-87537000,229000,-87766000,-51000,-612000,-88200000,-8298000,0,-27799000,62713000,62713000,-13000,62700000,119387000,1900263000,95772000,0.61576,0.08976,0.04187,0.01969,0.00626,3.21178,0.63139,2.14613,0.3989,0.30582,0.30454,7.3037,15.52887,0.98222,0.01188,0.02307,14.08911,26.31503
"6","2015_Q2",22.8898412698413,"Down",653124000,-251596000,401528000,-367897000,-57777000,-310120000,33631000,-21985000,-28452000,5143000,1324000,-6779354.26394984,11646000,-1578000,10068000,-3930000,6138000,6138000.00000001,6138000,6138000,144804000,144804000,48211000,48211000,194838000,86767000,387853000,1266860000,3008042000,223314000,2289800000,75828000,419100000,4274902000,4662755000,346785000,210326000,136459000,23901000,183374000,183374000,554060000,1871418000,739469000,739469000,2610887000,3164947000,1180678000,313582000,4228000,1497808000,1497808000,4662755000,6138000.00000001,57777000,9709000,-52061000,21563000,-69590000,592228.645534268,-69590000,-152000,-1636000,-71378000,-3823999.99999999,1831998.62956766,-23645000,-73460000,-73460000,58000,-73402000,91408000,1895319000,-26313000,0.61478,0.05149,0.0094,0.0041,0.00132,-4.2869,0.70002,2.11305,0.40648,0.0626799999999999,0.06268,6.67004,15.2964,-0.26872,0.00628,-0.00637,19.15057,52.05064
"7","2015_Q3",21.94671875,"Down",821079000,-331223000,489856000,-395422000,-57249000,-338173000,94434000,-26900000,-27048000,59000,9362000,-9273000,67534000,-261000,67273000,-23350000,43923000,43923000,43923000,43923000,179340000,179340000,81849000,81849000,201362000,93291000,462551000,1278216000,2998558000,221112000,2289800000,51445000,436201000,4276774000,4739325000,422495000,268891000,153604000,17615000,176806000,176806000,616916000,1846582000,753411000,753411000,2599993000,3216909000,1182118000,337870000,3108000,1522416000,1522416000,4739325000,43923000,57249000,34792000,35388000,171352000,-73563000,604000,-74167000,-40000,721000,-72882000,-33348000,-11009000,-63837000,34633000,34633000,-97000,34536000,151683000,1864197000,136858000,0.5966,0.11501,0.05349,0.02885,0.00927,3.11586,0.74978,2.11303,0.39335,0.44829,0.44794,8.38015,15.53819,1.39681,0.01531,0.03306,11.10775,17.84164
"8","2015_Q4",19.29171875,"Down",688840000,-264470000,424370000,-388080000,-58008000,-330072000,36290000,-14281000,-24968000,-163000,10850000,0,22009000,-751000,21258000,-9080000,12178000,12178000,12178000,12178000,97939000,97939000,56794000,56794000,193258000,84400000,347991000,1313526000,3005643000,219017000,2289800000,62953000,433873000,4319169000,4667160000,372532000,212195000,160337000,17803000,167938000,167938000,558273000,1842485000,751104000,751104000,2593589000,3151862000,1184406000,330426000,1146000,1515298000,1515298000,4667160000,12178000,58008000,9986999.99999999,-63863000,16310000,-71817000,0,-71817000,-766000,-243000,-72826000,-3923000,-969000,-24603000,-81119000,-81119000,-282000,-81401000,94298000,1860288000,-32302000,0.61606,0.05268,0.01768,0.00803999999999999,0.00261,-2.65249,0.62333,2.08003,0.39859,0.12429,0.12414,7.03049,15.46554,-0.32968,0.00773,-0.00783,18.68915,48.56294
"9","2016_Q1",18.2504918032787,"Down",783857000,-302711000,481146000,-403301000,-59966000,-343335000,77845000,-10334000,-25532000,1061000,15564000,-1427000,67511000,-2510000,65001000,-23340000,41661000,41661000,41661000,41661000,211250000,211250000,105509000,105509000,97608000,97608000,414367000,1401928000,3272022000,237376000,2406691000,126198000,501757000,4673950000,5088317000,471689000,313025000,158664000,18786000,221679000,221679000,712154000,1995871000,840225000,840225000,2836096000,3548250000,1185259000,352684000,2804000,1540067000,1540067000,5088317000,41661000,59966000,74412000,82236000,258275000,-117830000,-4000,-117826000,-173842000,-642000,-292314000,51895000,115078000,147385000,113346000,113346000,-79000,113267000,137811000,2014657000,125557000,0.61382,0.09931,0.05315,0.02705,0.00819,3.01378,0.58185,2.30396,0.39594,0.42522,0.42492,8.00058,15.71898,1.28152,0.01394,0.02857,13.08609,23.16664
"10","2016_Q2",21.47265625,"Up",7.66e+08,-296300000,469700000,-405800000,-60400000,-345400000,63900000,-12900000,-27100000,1e+07,4200000,-1670648.05217718,5.1e+07,-4600000,46400000,-18100000,28300000,28300000,28300000,28300000,107927000,107927000,85048000,85048000,93698000,93698000,286673000,1409634000,3234764000,235508000,2410580000,105609000,483067000,4644398000,4931071000,381844000,240807000,141037000,18991000,183072000,183072000,583907000,1942152000,857678000,857678000,2799830000,3383737000,1186174000,360918000,921999.999999999,1547334000,1547334000,4931071000,28300000,60400000,42600000,-108400000,22900000.0000001,-52300000,5400000,-57700000,4e+05,3e+05,-51600000,-54300000,-5e+05,-74600000,-103300000,-103300000,-23247.9451815214,-103300000,124300000,1961143000,-18300000,0.61319,0.08342,0.03695,0.01829,0.00574,-0.64664,0.49096,2.18682,0.39771,0.28819,0.28817,7.80041,15.75697,-0.18635,0.01102,-0.00418999999999999,14.90922,29.00182
