"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","trading_account_profits_losses","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","other_interbank_assets","short_long_term_investments","trading_securities","investment_securities_available_for_sale","investment_securities_held_to_maturity","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","property_plant_equipment_net","goodwill","other_intangible_assets","other_assets","total_assets","total_deposits","interest_bearing_deposits","saving_deposits","time_deposits","other_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","trading_assets_liabilities","net_change_in_operating_loans","accrued_interest_receivable","other_operating_assets_liabilities","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","capital_expenditures","net_change_in_investments","decrease_in_investments","decrease_in_htm_investments","decrease_in_afs_investments","increase_in_investments","increase_in_afs_investments","net_change_in_other_investments","net_change_in_loans_interbank","net_change_in_customer_loans","net_change_in_interbank_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","net_change_in_deposits","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",59.8425396825397,"Up",819754000,556334000,676386000,-120052000,263420000,4699000,133401000,151663000,-1.05e+08,714754000,-489362000,-489362000,225392000,219678000,219678000,-68723000,150955000,150955000,150955000,150955000,1033269000,131705000,121305000,8508122000,403476000,6097266000,1509805000,50552776000,-891265000,51444041000,427883000,427883000,3524625000,167545000,4093297000,68439222000,47538405000,31813477000,24867761000,6945716000,15724928000,1870763000,10065894000,1048473000,60523535000,732769000,2471600000,60198000,2411402000,5131600000,-251108000,7915687000,7915687000,68439222000,150955000,48327000,1.05e+08,-8702000,-10163000,1461000,358019000,-2664000,252227000,98000,108358000,653599000,-10570000,-10570000,-579264000,413723000,29828000,383895000,-1004037000,-34084000,11050000,558739000,546709000,12030000,-16560000,-47655000,-93359000,-824707000,-571827000,-252880000,-252880000,93998000,15451000,-808617000,-202673000,-202673000,-202673000,273719000,11936657000,689891000,0.27495,0.18415,0.01907,0.00221,4.57018,7.64602,0.17441,1.28183,1.27651,6.96093,60.99366,5.8582,0.79276,0.00357,0.01008,0.61846,39.83424,48.37522
"2","2010_Q3",62.48015625,"Up",846963000,567227000,684784000,-117557000,279736000,3797000,141764000,156545000,-8.5e+07,761963000,-476068000,-476068000,285895000,279716000,279716000,-90967000,188749000,188749000,188749000,188749000,1045886000,127826000,117826000,8585264000,487692000,6150088000,1481541000,50166619000,-894667000,51061286000,422557000,422557000,3524625000,152712000,4128127000,68153616000,47522671000,31664848000,25131281000,6533567000,15857823000,2158957000,9255529000,1114615000,60051772000,735350000,2469805000,60198000,2409607000,5223834000,-193120000,8101844000,8101844000,68153616000,188749000,45934000,8.5e+07,-12801000,-12760000,-41000,68289000,-3427000,-24493000,-2346000,98555000,375171000,-12833000,-12833000,54663000,408233000,47696000,360537000,-385202000,-367162000,31632000,213802000,210323000,3479000,36036000,291668000,-93844000,-565295000,288211000,-853506000,-853506000,-11533999.9999998,16051000,-654622000,12217000,12217000,12217000,331829000,11414486000,478252000,0.33755,0.22285,0.0233,0.00277,2.5338,7.41211,0.16748,1.59882,1.5877,7.17431,62.39883,4.05109,0.79492,0.00415,0.00702,0.49719,31.24682,36.26716
"3","2010_Q4",57.66609375,"Down",866227000,569868000,685900000,-116032000,296359000,6035000,129860000,168556000,-9.3e+07,773227000,-480133000,-480133000,293094000,286634000,286634000,-94619000,192015000,192015000,192015000,192015000,1070625000,420324000,401624000,8624417000,536702000,5783496000,1425717000,49896838000,-894720000,50791558000,421352000,421352000,3524625000,139186000,4149470000,68246837000,48654623000,32083652000,25964136000,6119516000,16570971000,1211683000,8991508000,1157250000,60015064000,737979000,2468935000,60198000,2408737000,5319198000,-188408000,8231773000,8231773000,68246837000,192015000,44706000,9.3e+07,67608000,72034000,-4426000,-176696000,-4391000,-160562000,7012000,-18755000,220633000,-15977000,-15977000,429875000,436350000,62031000,374319000,-18915000,-13746000,12440000,-315437000,330752000,-708798000,-88767000,9694000,-94091000,-1239989000,-947274000,-292715000,-292715000,1135047000,2145000,-196888000,33439000,33439000,33439000,337800000,10203191000,239746000,0.33836,0.22167,0.02333,0.00281,1.24858,7.29066,0.1495,1.62279,1.6114,7.32081,63.33283,2.02618,0.7952,0.00419,0.00351,0.49002,27.03542,31.15917
"4","2011_Q1",63.7,"Up",868450000,574097000,682725000,-108628000,294353000,12755000,122777000,185527000,-8.5e+07,783450000,-469274000,-469274000,314176000,306761000,306761000,-102319000,204442000,204442000,204442000,204442000,908755000,126222000,101222000,7674374000,523834000,5413492000,1324339000,51087441000,-902941000,51990382000,435837000,435837000,3524625000,125917000,4138092000,68021263000,49805284000,32248451000,26431281000,5817170000,17556833000,947432000,7840151000,1070701000,59663568000,740657000,2458813000,60198000,2398615000,5426701000,-201031000,8357695000,8357695000,68021263000,204442000,43395000,8.5e+07,-5462999.99999999,1957000,-7420000,98870000.0000001,-78994000,134917000,-14706000,57653000,426244000,-31078000,-31078000,561031000,552682000,108532000,444150000,-36202000,-25568000,44551000,-537639000,-1289638000,725402000,16185000,221703000,-94234000,-1406997000,-291756000,-1115241000,-1115241000,661980000,35734000,-803517000,-155570000,-155570000,-155570000,357571000,8787583000,527682000,0.36177,0.23541,0.02446,0.00301,2.58108,7.13876,0.12919,1.7235,1.71693,7.32128,64.21378,4.44851,0.79442,0.00439,0.00776,0.46093,22.0343,25.07775
"5","2011_Q2",63.8525396825397,"Up",889902000,568804000,667483000,-98679000,321098000,8279000,124027000,165480000,-7.5e+07,814902000,-499571000,-499571000,315331000,308653000,308653000,-102380000,206273000,206273000,206273000,206273000,972005000,110401000,100101000,6920902000,413737000,4854984000,1262089000,51214978000,-903703000,52118681000,431292000,431292000,3524625000,113603000,4593402000,67881208000,50548099000,32840019000,27331587000,5508432000,17708080000,504676000,7305420000,1015495000,59373690000,743385000,2427754000,60198000,2367556000,5534909000,-193632000,8507518000,8507518000,67881208000,206273000,43770000,7.5e+07,-33066000,11438000,-44504000,478676000,80805000,373020000,5068000,19783000,770653000,-8854000,-8854000,149732000,488419000,66465000,421954000,-361304000,-353508000,22617000,-560967000,-579845000,1121000,7510000,-412579000,-94774000,-971262000,-442751000,-528511000,-528511000,745021000,11491000,-309524000,48550000,48550000,48550000,359101000,7810096000,931303000,0.35434,0.23179,0.02425,0.00304,4.51491,6.97897,0.11506,1.73046,1.72106,7.46556,65.1348,7.81288,0.79508,0.00443,0.01372,0.45946,19.04225,21.68544
"6","2011_Q3",57.73265625,"Down",1093081000,586202000,688253000,-102051000,506879000,6798000,134642000,281225000,-6.3e+07,1030081000,-576895000,-576895000,453186000,447963000,447963000,-125605000,322358000,322358000,322358000,322358000,1297335000,2311030000,2275450000,7375251000,502986000,4890489000,1219686000,57633640000,-907589000,58541229000,567107000,567107000,3524625000,275057000,4743109000,77727154000,59229215000,38391650000,30712851000,7678799000,20837565000,567144000,7128916000,1557685000,68482960000,860901000,2862779000,62777000,2800002000,5745253000,-224739000,9244194000,9244194000,77727154000,322358000,48396000,6.3e+07,-166453000,-29639000,-136814000,-174776000,-20595000,-205163000,-1033000,52015000,92525000,-5122000,-5122000,1073775000,2287031000,48448000,2238583000,-1261119000,-1255764000,47863000,334736000,125063000,65916000,563000,1252892000,-98407000,-888089000,-85284000,-802805000,-802805000,-178705000,45394000,-994807000,350610000,350610000,350610000,501582000,7696060000,447289000,0.4146,0.29491,0.03487,0.00415,1.38755,7.40821,0.09901,2.63802,2.62481,8.94524,68.60474,3.66039,0.80531,0.00541,0.00575,0.30527,12.75709,14.11942
"7","2011_Q4",54.6873015873016,"Down",992012000,616719000,720351000,-103632000,375293000,4176000,135484000,245186000,-5.8e+07,934012000,-662019000,-662019000,271993000,265082000,265082000,-81974000,183108000,183108000,183108000,183108000,1349057000,2231779000,2226779000,7779354000,605557000,5635878000,1161837000,57492739000,-908525000,58401264000,569495000,569495000,3524625000,257656000,4659186000,77863891000,59482389000,37575154000,30797655000,6777499000,21907235000,694398000,6748857000,1563121000,68488765000,862717000,2876948000,62805000,2814143000,5823928000,-188467000,9375126000,9375126000,77863891000,183108000,52404000,5.8e+07,30188000,32731000,-2543000,98619000,-10834000,148766000,-10241000,-29072000,422319000,-24054000,-24054000,-638060000,322064000,65562000,256502000,-966131000,-959896000,6007000,380678000,-67789000,428671000,55810000,-225626000,-93223000,-291596000,127283000,-418879000,-418879000,259118000,-49850000,-175551000,21142000,21142000,21142000,324397000,7443255000,480936000,0.27418,0.18458,0.01953,0.00235,2.62652,7.30537,0.09559,1.46937,1.46605,7.96049,68.30857,3.85931,0.74808,0.00355,0.00618,0.50911,18.78623,22.40572
"8","2012_Q1",61.7840322580645,"Up",1021904000,618031000,7.16e+08,-97969000,403873000,7971000,117412000,303311000,-7.4e+07,947904000,-739583000,-739583000,208321000,202902000,202902000,-55162000,147740000,147740000,147740000,147740000,1449547000,157810000,154960000,8234988000,561834000,6228560000,1077708000,59187715000,-908290000,60096005000,581435000,581435000,3524625000,176394000,4611773000,77924287000,59394649000,37108613000,31001083000,6107530000,22286036000,782082000,6686226000,1790121000,68653078000,864585000,2891828000,62842000,2828986000,5867165000,-352369000,9271209000,9271209000,77924287000,147740000,53210000,7.4e+07,16135000,19394000,-3259000,195664000,20062000,-78467000.0000001,-21302000,275371000,486749000,-31978000,-31978000,-529740000,392723000,92366000,300357000,-931659000,-922591000,9196000,235178000,-1711029000,2071819000,80785000,-245755000,-111928000,27913000.0000001,87702000,-59789000,-59789000,-82780999.9999998,24142000,-142654000,98340000,98340000,98340000,261531000,7468308000,480379000,0.20386,0.14457,0.01594,0.0019,3.25152,7.40498,0.09584,1.18536,1.18426,8.19904,67.44886,3.85422,0.89803,0.00333,0.00616,0.7576,23.01357,28.89176
"9","2012_Q2",63.222380952381,"Up",1001864000,620389000,714095000,-93706000,381475000,10571000,122790000,259555000,-4.9e+07,952864000,-639695000,-639695000,313169000,308417000,308417000,-101954000,206463000,206463000,206463000,206463000,1344092000,1282040000,1282040000,7712916000,517620000,5838022000,1000294000,60012744000,-909006000,60921750000,580033000,580033000,3524625000,159619000,4570818000,79186887000,60912943000,37993321000,32225733000,5767588000,22919622000,511981000,6476526000,1856749000,69758199000,866489000,2920794000,63238000,2857556000,5969236000,-327831000,9428688000,9428688000,79186887000,206463000,52272000,4.9e+07,12754000,15225000,-2471000,218523000,7840000,154436000,7725000,48522000,539012000,-19377000,-19377000,494396000,501063000,82670000,418393000,-16573000,-10286000,9906000,-2135449000,-1042144000,-1127080000,-23424000,-1683854000,-93810000,-472433000,-270081000,-202352000,-202352000,1522583000,80197000,1036537000,-108305000,-108305000,-108305000,365441000,6988507000,666541000,0.31259,0.20608,0.0219,0.00261,3.22838,7.39851,0.08825,1.6488,1.6436,8.00083,68.37725,5.32296,0.74916,0.00379,0.00842,0.45437,15.44549,18.02354
"10","2012_Q3",67.3893650793651,"Up",1046268000,647983000,737386000,-89403000,398285000,6238000,127154000,281474000,-6e+07,986268000,-627392000,-627392000,358876000,352241000,352241000,-118861000,233380000,233380000,233380000,233380000,1421831000,1070717000,1069717000,7602238000,544938000,5534054000,1188465000,61934244000,-917028000,62851272000,592498000,592498000,3524625000,143713000,4517712000,80807578000,62548807000,37622651000,32292412000,5330239000,24926156000,975575000,5687868000,1965421000,71177671000,868433000,2937810000,63294000,2874516000,6098084000,-274420000,9629907000,9629907000,80807578000,233380000,50944000,6e+07,-4475999.99999999,-3161000,-1315000,-234232000,4598000,-188400000,-5994000,-44436000,105616000,-27515000,-27515000,196340000,447230000,75179000,372051000,-273089000,-9522000,22199000,-1520213000,-1763496000,212323000,-20861000,-1372249000,-112361000,-340591000,463596000,-804187000,-804187000,1639769000,158555000,1345372000,78739000,78739000,78739000,409820000,6663443000,266934000,0.34301,0.22306,0.02423,0.00289,1.14377,7.39131,0.08246,1.85978,1.85375,8.33759,69.81922,2.12717,0.89539,0.00428,0.0033,0.48145,12.79003,14.60564
