"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"24","2017_Q1",3.76354838709677,"Up",1571000,-1669000,-98000,-2768000,-1722000,-1046000,-2866000,-191000,-168000,-23000,-3057000,-3057000,1000,-3056000,-3056000,-3056000,-3056000,939000,939000,522000,522000,7033000,254000,254000,8748000,1204000,94000,94000,1298000,10046000,2966000,1413000,1553000,1714000,1714000,4680000,127000,6089000,10769000,58184000,-61124000,2237000,-703000,-723000,10046000,-3056000,80000,262000,1140000,-1574000,-29000,-29000,52000.0000000001,52000.0000000001,46000.0000000002,-1557000,-1557000,24000,-1533000,-2786000,5962000,-1676000,-0.06238,-1.82432,-1.94526,4.22683,-0.3042,0.54843,1.86923,-14.89488,0.59347,-0.23169,-0.23169,0.11911,-0.0533,-0.12707,-0.56951,-0.31234,-1.80294,-1.75262
"25","2017_Q2",4.22111111111111,"Up",5318000,-3112000,2206000,-2776000,-1716000,-1060000,-570000,-181000,-178000,-3000,-751000,-751000,-4000,-755000,-755000,-755000,-755000,2342000,2342000,1774000,1774000,6031000,305000,305000,10452000,789000,95000,95000,884000,11336000,3278000,1906000,1372000,2724000,2724000,6002000,63000,6069000,12071000,58920000,-61879000,2245000,-714000,-735000,11336000,-755000,68000,383000,1548000,1244000,-21000,-21000,94000,94000,94000,1317000,1317000,86000,1403000,-502000,6006000,1029000,0.41482,-0.10718,-0.14197,1.02721,-0.0666,-1.36291,1.74142,-16.42313,0.52982,-0.05669,-0.05669,0.39934,-0.05362,0.07727,-0.14154,0.19291,-7.2988,-6.42807
"26","2017_Q3",3.58666666666667,"Down",4216000,-2753000,1463000,-2747000,-1707000,-1040000,-1284000,-138000,-181000,43000,-1422000,-1422000,-30000,-1452000,-1452000,-1452000,-1452000,5154000,5154000,1429000,1429000,6069000,390000,390000,13042000,793000,95000,95000,888000,13930000,3136000,1770000,1366000,1055000,1055000,4191000,47000,6098000,10289000,64803000,-63331000,2188000,3660000,3641000,13930000,-1452000,61000,252000,-1521000,-2660000,-67000,-67000,5668000,5668000,5668000,2941000,2941000,-129000,2812000,-1223000,6051000,-2781000,0.34701,-0.30455,-0.3444,-0.39879,-0.10424,1.91529,3.11191,2.82587,0.43439,-0.09059,-0.09059,0.26302,0.22834,-0.1735,-0.14909,-0.28555,-0.73344,-0.6986
"27","2017_Q4",3.16746031746032,"Down",2681000,-2178000,503000,-2972000,-1724000,-1248000,-2469000,-180000,-178000,-2000,-2649000,-2649000,-2000,-2651000,-2651000,-2651000,-2651000,2039000,2039000,1596000,1596000,7207000,354000,354000,11196000,861000,96000,96000,957000,12153000,3718000,1821000,1897000,1012000,1012000,4730000,32000,6127000,10857000,65107000,-65982000,2190000,1315000,1296000,12153000,-2651000,66000,305000,-772000,-3052000,-131000,-131000,47000,47000,47000,-3136000,-3136000,21000,-3115000,-2403000,6095000,-3304000,0.18762,-0.92093,-0.98881,-2.04552,-0.21814,1.24632,2.36702,8.37731,0.50152,-0.15698,-0.15698,0.15876,0.0778699999999999,-0.19565,-0.35713,-0.4451,-1.68789,-1.64277
"28","2018_Q1",2.5344262295082,"Down",6683000,-4075000,2608000,-3214000,-1905000,-1309000,-606000,-2e+05,-141000,-59000,-806000,-806000,11000,-795000,-795000,-795000,-795000,17803000,17803000,4010000,4010000,6604000,961000,961000,29378000,1419000,95000,95000,1514000,30892000,4417000,2808000,1609000,3467000,3467000,7884000,104000,6214000,14098000,81341000,-66777000,2249000,16813000,16794000,30892000,-795000,76000,260000,432000,-27000,-258000,-258000,194000.000000001,194000.000000001,16026000,15741000,15741000,23000,15764000,-530000,6110000,-367000,0.39024,-0.0906799999999999,-0.11896,-0.04734,-0.02573,0.461640000000006,3.72628,0.83947,0.19779,-0.04221,-0.04221,0.35482,0.89265,-0.01949,-0.03455,-0.01595,22.06226,19.29538
"29","2018_Q2",2.4675,"Down",6970000,-4052000,2918000,-2746000,-1791000,-955000,172000,-167000,-107000,-60000,5000,5000,5000,10000,10000,10000,10000,13993000,13993000,5301000,5301000,9020000,2050000,2050000,30364000,1140000,95000,95000,1235000,31599000,5045000,3473000,1572000,3034000,3034000,8079000,97000,6207000,14286000,81791000,-66767000,2308000,17332000,17313000,31599000,10000,89000,247000,-4223000,-3877000,-184000,-184000,234000,234000,234000,-3827000,-3827000,17000,-3810000,261000,6110000,-4151000,0.41865,0.02468,0.00143,0.000580000000000185,0.000320000000000018,-415.1,3.75839,0.825159999999999,0.19336,0.00047,0.00043,0.32544,0.80926,-0.19382,0.000430000000000014,-0.17649,-30.20307,-45.8314
"30","2018_Q3",2.47460317460317,"Up",7923000,-4792000,3131000,-2944000,-1854000,-1090000,187000,-112000,-105000,-7000,75000,75000,-15000,60000,60000,60000,60000,15928000,9959000,3490000,3490000,8225000,2098000,2098000,29741000,1166000,94000,94000,1260000,31001000,3396000,1789000,1607000,3142000,3142000,6538000,251000,6361000,12899000,82522000,-66707000,2306000,18121000,18102000,31001000,60000,101000,319000,1244000,1724000,-129000,-6101000,367000,367000,366999.999999998,-4010000,-4010000,-24000,-4034000,288000,6110000,1418000,0.39518,0.0236,0.00757000000000001,0.00331,0.00194,23.63333,4.54894,0.71257,0.19709,0.00277,0.00262,0.36604,0.83719,0.06551,0.00245,0.05797,-34.09028,-52.50267
"31","2018_Q4",1.86825396825397,"Down",7393000,-4217000,3176000,-2869000,-1829000,-1040000,307000,-131000,-98000,-33000,176000,176000,91000,267000,267000,267000,267000,15063000,9077000,4673000,4673000,9368000,1339000,1339000,30443000,1205000,324000,324000,1529000,31972000,4281000,2638000,1643000,2310000,2310000,6591000,497000,6607000,13198000,82890000,-66440000,2344000,18794000,18774000,31972000,267000,110000,229000,-1549000,-943000,-145000,-138000,126000,126000,126000,-955000,-955000,73000,-882000,417000,6110000,-1368000,0.4296,0.04153,0.03612,0.01422,0.00835,-5.1236,4.61887,0.70299,0.1911,0.01223,0.01179,0.33865,0.86089,-0.06266,0.01052,-0.0538999999999999,-21.47002,-29.16287
"32","2019_Q1",1.35147540983607,"Down",7269000,-4108000,3161000,-2912000,-1816000,-1096000,249000,-50000,-89000,39000,199000,199000,-8000.00000000001,191000,191000,191000,191000,16848000,16848000,2856000,2856000,9049000,703000,703000,29456000,1203000,296000,296000,1499000,30955000,3408000,1762000,1646000,1630000,1630000,11148000,522000,522000,11670000,83262000,-66249000,2292000,19305000,19285000,30955000,191000,117000,143000,1294000,1745000,-114000,5851000,198000,198000,198000,7794000,7794000,-23000,7771000,366000,6110000,1554000,0.43486,0.03426,0.02628,0.0099,0.00617,8.13612999999999,2.64227,0.60513,0.19738,0.00867,0.00845,0.32988,0.87611,0.07052,0.00737,0.05996,-29.3388,-43.1245
"33","2019_Q2",1.64761904761905,"Up",4740000,-3187000,1553000,-2995000,-1879000,-1116000,-1442000,-69000,-78000,9000,-1511000,-1511000,-4000,-1515000,-1515000,-1515000,-1515000,15864000,15864000,2272000,2272000,9585000,727000,727000,28448000,1174000,266000,266000,1440000,29888000,2815000,1317000,1498000,2339000,2339000,11264000,504000,504000,11768000,83627000,-67764000,2276000,18139000,18120000,29888000,-1515000,111000,256000,177000,-971000,-84000,-84000,109000,109000,109000,-946000,-946000,-38000,-984000,-1331000,6110000,-1234000,0.32764,-0.30422,-0.31962,-0.08361,-0.05069,0.81452,2.52557,0.64945,0.20443,-0.06827,-0.06827,0.21361,0.81744,-0.05561,-0.06125,-0.04989,7.32832,6.76422
