"","YQ","p","d","revenue","cost_of_revenue","cost_of_goods_services","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","short_term_debt","current_portion_of_long_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","change_in_working_capital","change_in_accounts_receivable","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","acquisition_of_intangible_assets","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",23.1306349206349,"Up",1.302e+09,-5.49e+08,-5.49e+08,7.53e+08,-6.79e+08,-5.43e+08,-1.36e+08,7.4e+07,-3.62e+08,-1.39e+08,-1.4e+08,-2.88e+08,-2.4e+07,-3.12e+08,1.34e+08,-1.8e+08,-1.81e+08,-1e+06,-1.82e+08,-1.82e+08,38583033.2784105,38583033.2784105,1514334721.93607,1514334721.93607,313654655.968747,313654655.968747,1866572411.18323,870447992.049766,13231853617.8196,7716572956.45393,4749499455.21706,373453336.457102,392327869.691521,14102301609.8694,15968874021.0526,1459307429.10315,1470462875.93646,-11155446.8333111,-83929315.7848329,-83929315.7848329,666695722.494426,666695722.494426,2042073835.81275,6912833806.53188,1954128627.10498,1306856549.7102,647272077.394783,8866962433.63685,10909036269.4496,6435742397.28245,29997619.9920432,6405744777.2904,-1752442520.07273,375231302.599162,5058531090.90301,1306660.70000382,5059837751.60302,15968874021.0526,-1.81e+08,1.36e+08,2.34e+08,4e+06,-2.41e+08,5.7e+07,-1.55e+08,-1.43e+08,-5.2e+07,-5.2e+07,-5.2e+07,-2e+07,-3.2e+07,-6e+07,-1.13e+08,-1.462e+09,-1.474e+09,-1.751e+09,1.799e+09,1.799e+09,-2.12e+08,1.25e+08,-4e+07,-4e+07,1.5e+07,-2.5e+07,2.1e+08,0,-2.17e+08,0.57834,0.05684,-0.13978,0.00602349296181943,0.00224969351131325,1.19231,0.897123585139777,2.14836522988133,0.42201910310903,-0.54944,-0.54944,3.93058,14.1156074803174,-0.6551,0.00271252912050311,0.0344388080943231,25.8816137638691,51.687659898008
"2","2011_Q3",22.29375,"Down",1.396e+09,-5.7e+08,-5.7e+08,8.26e+08,-5.85e+08,-4.5e+08,-1.35e+08,2.41e+08,-1.13e+08,-1.12e+08,-1.14e+08,1.28e+08,-2.3e+07,1.05e+08,-38999999.9999999,6.9e+07,6.9e+07,0,6.9e+07,6.9e+07,3.74e+08,3.74e+08,1.136e+09,1.136e+09,2.54e+08,2.54e+08,1.764e+09,5.95e+08,1.2511e+10,7.3e+09,4.633e+09,2.26e+08,3.52e+08,1.3106e+10,1.487e+10,1.082e+09,9.66e+08,1.16e+08,2.25e+08,2.25e+08,4.65e+08,4.65e+08,1.772e+09,6.963e+09,1.484e+09,9.43e+08,5.41e+08,8.447e+09,1.0219e+10,6.402e+09,3e+07,6.372e+09,-1.722e+09,-4e+07,4.64e+09,1.1e+07,4.651e+09,1.487e+10,6.9e+07,1.35e+08,6e+06,6e+06,-8.8e+07,-1.28e+08,66999999.9999999,-2.7e+07,1.22e+08,-9e+07,-9e+07,-4.6e+07,-4.4e+07,-3.3e+07,-1.21e+08,-27000000.0000002,-2.7e+07,-2.7e+07,1999999.99999976,2e+06,-3e+06,-2.8e+07,-2.7e+07,-2.7e+07,5e+06,-2.2e+07,3.76e+08,7.188e+09,2.37e+08,0.59169,0.17264,0.04943,0.01484,0.00464,3.43478,0.99549,2.19716,0.48339,0.19223,0.19223,3.88909,12.92648,0.66025,0.00518,0.01779,18.12234,28.27386
"3","2011_Q4",22.3279365079365,"Up",1.413e+09,-5.54e+08,-5.54e+08,8.59e+08,-5.85e+08,-4.6e+08,-1.25e+08,2.74e+08,-1.16e+08,-1.12e+08,-1.14e+08,1.58e+08,-9e+06,1.49e+08,-4.4e+07,1.03e+08,1.03e+08,-1e+06,1.02e+08,1.02e+08,4.04e+08,4.04e+08,1.052e+09,1.052e+09,2.44e+08,2.44e+08,1.7e+09,5.57e+08,1.2241e+10,7.143e+09,4.581e+09,1.91e+08,3.26e+08,1.2798e+10,1.4498e+10,1.059e+09,9.39e+08,1.2e+08,2.04e+08,2.04e+08,4.25e+08,4.25e+08,1.688e+09,6.807e+09,1.449e+09,9.16e+08,5.33e+08,8.256e+09,9.944e+09,6.421e+09,3e+07,6.391e+09,-1.62e+09,-2.58e+08,4.543e+09,1.1e+07,4.554e+09,1.4498e+10,1.03e+08,1.25e+08,1.7e+07,8e+06,2.4e+07,3.3e+07,-6e+07,5.1e+07,2.69e+08,-7.1e+07,-7.1e+07,-1.8e+07,-5.3e+07,-1.8e+07,-9.2e+07,-1.26e+08,-1.12e+08,-1.12e+08,3e+06,3e+06,-1e+06,-1.24e+08,5.3e+07,5.3e+07,-2.3e+07,3e+07,3.99e+08,7.011e+09,3.96e+08,0.60793,0.19391,0.07219,0.0224,0.00704,3.88235,1.00711,2.18357,0.48358,0.2837,0.2837,3.93014,12.63596,1.10144,0.00784,0.03043,16.5589,24.11314
"4","2012_Q1",22.6440322580645,"Up",1.217e+09,-5.15e+08,-5.15e+08,7.02e+08,-4.82e+08,-3.76e+08,-1.06e+08,2.2e+08,-7.1e+07,-8e+07,-8.1e+07,1.49e+08,-2.7e+07,1.22e+08,-5.7e+07,6.9e+07,9.6e+07,-1e+06,9.5e+07,9.5e+07,3.19e+08,3.19e+08,1.08e+09,1.08e+09,2.66e+08,2.66e+08,1.665e+09,6.09e+08,1.223e+10,7.155e+09,4.561e+09,1.98e+08,3.16e+08,1.2839e+10,1.4504e+10,1.105e+09,1.025e+09,8e+07,1.44e+08,1.44e+08,4.43e+08,4.43e+08,1.692e+09,6.619e+09,1.552e+09,9.96e+08,5.56e+08,8.171e+09,9.863e+09,6.457e+09,3e+07,6.427e+09,-1.525e+09,-2.99e+08,4.633e+09,8e+06,4.641e+09,1.4504e+10,9.6e+07,1.33e+08,-1.35e+08,9e+06,2.08e+08,-3.3e+07,1.16e+08,1.25e+08,3.02e+08,-1.54e+08,-1.54e+08,-9.3e+07,-6.1e+07,-7e+06,-1.6e+08,-2.24e+08,-2.2e+08,-2.2e+08,5e+06,5000000.00000003,-4e+06,-2.23e+08,-8.1e+07,-8.1e+07,-4e+06,-8.5e+07,3.53e+08,6.763e+09,4.64e+08,0.57683,0.18077,0.07806,0.02047,0.00655,4.88421,0.98404,2.12519,0.46629,0.26378,0.24982,3.37919,12.86424,1.28837,0.00733,0.03581,18.25496,29.29091
"5","2012_Q2",21.8977777777778,"Down",1.334e+09,-5.64e+08,-5.64e+08,7.7e+08,-5.76e+08,-4.47e+08,-1.29e+08,1.94e+08,-1.2e+08,-1.05e+08,-1.06e+08,7.4e+07,-3.7e+07,3.7e+07,-8e+06,2.7e+07,2.5e+07,-644588.008943685,2.5e+07,2.5e+07,2.95e+08,2.95e+08,1.057e+09,1.057e+09,2.97e+08,2.97e+08,1.649e+09,6.11e+08,1.2277e+10,7.232e+09,4.544e+09,1.79e+08,3.22e+08,1.2888e+10,1.4537e+10,9.65e+08,8.98e+08,6.7e+07,2.93e+08,2.93e+08,4.24e+08,4.24e+08,1.682e+09,6.563e+09,1.52e+09,9.72e+08,5.48e+08,8.083e+09,9.765e+09,6.475e+09,3e+07,6.445e+09,-1.5e+09,-2.11e+08,4.764e+09,8e+06,4.772e+09,1.4537e+10,2.5e+07,1.31e+08,2.8e+07,8e+06,-1.87e+08,5.1e+07,-2.27e+08,-1.1e+07,-3e+06,-8.2e+07,-8.2e+07,-4.2e+07,-4e+07,-1.6e+07,-9.8e+07,6.4e+07,-6.2e+07,-1.271e+09,1e+07,1e+07,-4e+06,7e+07,-3.1e+07,-3.1e+07,7e+06,-2.4e+07,3.25e+08,6.856e+09,6.4e+07,0.57721,0.14543,0.01874,0.00524,0.00172,2.56,0.98038,2.04631,0.47162,0.06927,0.06836,3.6965,13.201,0.17734,0.0019,0.00487,20.18769,33.81959
"6","2012_Q3",21.8661904761905,"Down",1.281e+09,-5.35e+08,-5.35e+08,7.46e+08,-5.33e+08,-4.19e+08,-1.14e+08,2.13e+08,-8.8e+07,-9.4e+07,-9.5e+07,1.25e+08,-1.6e+07,1.09e+08,-2.7e+07,8.6e+07,1.05e+08,-1e+06,1.04e+08,1.04e+08,2.83e+08,2.83e+08,1.089e+09,1.089e+09,2.72e+08,2.72e+08,1.644e+09,5.72e+08,1.2189e+10,7.188e+09,4.551e+09,1.28e+08,3.22e+08,1.2761e+10,1.4405e+10,9.02e+08,8.5e+08,5.2e+07,3.24e+08,3.24e+08,4.05e+08,4.05e+08,1.631e+09,6.519e+09,1.47e+09,9.42e+08,5.28e+08,7.989e+09,9.62e+09,6.478e+09,3e+07,6.448e+09,-1.396e+09,-3.01e+08,4.781e+09,4e+06,4.785e+09,1.4405e+10,1.05e+08,1.27e+08,-4e+06,6e+06,-1.12e+08,-6.4e+07,-2.5e+07,-2.3e+07,1.16e+08,-7e+07,-7e+07,-8e+06,-6.2e+07,-5.8e+07,-1.28e+08,9e+06,-8.8e+07,-88000000.0000005,3e+06,3000000.00000001,-5e+06,6999999.99999997,-5e+06,-5e+06,-7e+06,-1.2e+07,3.4e+08,6.843e+09,1.85e+08,0.58236,0.16628,0.08119,0.02173,0.00722,1.77885,1.00797,2.01045,0.47504,0.28767,0.28425,3.54329,13.2244,0.51172,0.00794,0.01412,19.29412,30.79812
"7","2012_Q4",22.8962903225806,"Up",1.351e+09,-5.5e+08,-5.5e+08,8.01e+08,-5.53e+08,-4.29e+08,-1.24e+08,2.48e+08,-9.9e+07,-9.9e+07,-1e+08,1.49e+08,-4e+06,1.45e+08,-5.8e+07,8.6e+07,1.06e+08,-1e+06,1.05e+08,1.05e+08,3.25e+08,3.25e+08,1.079e+09,1.079e+09,2.79e+08,2.79e+08,1.683e+09,5.55e+08,1.2258e+10,7.276e+09,4.556e+09,1.14e+08,3.12e+08,1.2813e+10,1.4496e+10,1.008e+09,9.14e+08,9.4e+07,4.28e+08,4.28e+08,3.7e+08,3.7e+08,1.806e+09,6.252e+09,1.457e+09,9.36e+08,5.21e+08,7.709e+09,9.515e+09,6.503e+09,3e+07,6.473e+09,-1.291e+09,-2.36e+08,4.976e+09,5e+06,4.981e+09,1.4496e+10,1.06e+08,1.3e+08,1.3e+07,1e+07,8.2e+07,2.6e+07,-1.8e+07,7.4e+07,3.31e+08,-7.3e+07,-7.3e+07,-2.2e+07,-5.1e+07,-6.3e+07,-1.36e+08,-1.7e+08,-2.2e+07,-2.2e+07,1.5e+07,1.5e+07,-2e+06,-1.57e+08,3.8e+07,3.8e+07,4e+06,4.2e+07,3.78e+08,6.68e+09,4.45e+08,0.59289,0.18357,0.07772,0.02108,0.00724,4.2381,0.93189,1.91026,0.46082,0.29004,0.28671,3.73188,13.74523,1.22923,0.008,0.03392,16.81217,25.625
"8","2013_Q1",25.615,"Up",1.441e+09,-5.76e+08,-5.76e+08,8.65e+08,-5.55e+08,-4.29e+08,-1.26e+08,3.1e+08,-2.14e+08,-8.8e+07,-8.9e+07,9.6e+07,-2.8e+07,6.8e+07,-2.9e+07,4.3e+07,3.6e+07,3e+06,3.9e+07,3.9e+07,2.88e+08,2.88e+08,1.11e+09,1.11e+09,2.78e+08,2.78e+08,1.676e+09,5.6e+08,1.2349e+10,7.352e+09,4.555e+09,1.7e+08,2.72e+08,1.2909e+10,1.4585e+10,1.023e+09,9.67e+08,5.6e+07,3.55e+08,3.55e+08,3.73e+08,3.73e+08,1.751e+09,6.229e+09,1.627e+09,1.006e+09,6.21e+08,7.856e+09,9.607e+09,6.515e+09,3e+07,6.485e+09,-1.252e+09,-3.33e+08,4.93e+09,4.8e+07,4.978e+09,1.4585e+10,3.6e+07,1.32e+08,1.88e+08,1e+07,-1.6e+07,-2.6e+07,8e+07,-7e+07,3.4e+08,-1.33e+08,-1.33e+08,-6e+07,-7.3e+07,-2.7e+07,-1.6e+08,-1.32e+08,-6e+07,-8.49e+08,999999.999999998,1e+06,-8.7e+07,-2.18e+08,-3.8e+07,-3.8e+07,1e+06,-3.7e+07,4.42e+08,6.584e+09,3.22e+08,0.60028,0.21513,0.02706,0.00783,0.00267,8.25641,0.95717,1.92989,0.45142,0.10752,0.10614,3.97271,13.59157,0.88773,0.00296,0.02441,14.24434,20.30968
"9","2013_Q2",27.1425,"Up",1.319e+09,-5.79e+08,-5.79e+08,7.4e+08,-5.63e+08,-4.42e+08,-1.21e+08,1.77e+08,-1.01e+08,-7.7e+07,-7.8e+07,7.6e+07,-3.5e+07,4.1e+07,-1.8e+07,2.2e+07,3.4e+07,1e+06,3.5e+07,3.5e+07,2.33e+08,2.33e+08,1.076e+09,1.076e+09,3e+08,3e+08,1.609e+09,5.37e+08,1.227e+10,7.322e+09,4.519e+09,1.7e+08,2.59e+08,1.2807e+10,1.4416e+10,9.22e+08,8.48e+08,7.4e+07,3.72e+08,3.72e+08,3.45e+08,3.45e+08,1.639e+09,5.948e+09,1.581e+09,9.96e+08,5.85e+08,7.529e+09,9.168e+09,6.769e+09,3.1e+07,6.738e+09,-1.217e+09,-3.53e+08,5.199e+09,4.9e+07,5.248e+09,1.4416e+10,3.4e+07,1.28e+08,4.1e+07,1e+07,-1.49e+08,2.7e+07,-1.65e+08,-1.1e+07,5.4e+07,-7e+07,-7e+07,-9e+06,-6.1e+07,-1.1e+07,-8.2e+07,3.3e+07,-2.3e+07,-1.889e+09,1.6e+07,1.6e+07,-5e+06,-1.2e+07,-4e+07,-4e+07,-1.5e+07,-5.5e+07,3.05e+08,6.32e+09,1.04e+08,0.56103,0.13419,0.02654,0.00667,0.00243,2.97143,0.9817,1.74695,0.4384,0.09445,0.09319,3.55925,14.02924,0.28064,0.00692,0.00791,19.95738,34.38983
"10","2013_Q3",26.96203125,"Down",1.386e+09,-5.8e+08,-5.8e+08,8.06e+08,-5.6e+08,-4.34e+08,-1.26e+08,2.46e+08,-7.7e+07,-7.3e+07,-7.3e+07,1.69e+08,-8e+06,1.61e+08,-4.6e+07,1.19e+08,4.26e+08,0,4.26e+08,4.26e+08,1.157e+09,1.157e+09,1.104e+09,1.104e+09,2.8e+08,2.8e+08,2.541e+09,5.35e+08,1.1464e+10,6.691e+09,4.33e+09,1.67e+08,2.76e+08,1.1999e+10,1.454e+10,9.18e+08,8.29e+08,8.9e+07,3.35e+08,3.35e+08,2.81e+08,2.81e+08,1.534e+09,5.92e+09,1.506e+09,9.51e+08,5.55e+08,7.426e+09,8.96e+09,6.756e+09,3.1e+07,6.725e+09,-7.91e+08,-4.32e+08,5.533e+09,4.7e+07,5.58e+09,1.454e+10,4.26e+08,1.3e+08,-2.9e+08,1.1e+07,-6e+07,-9.2e+07,4.5e+07,-1.3e+07,2.06e+08,-1e+08,-1e+08,-4.6e+07,-5.4e+07,9.26e+08,8.27e+08,-73000000.0000001,-1.9e+07,-2.2e+07,3.5e+07,3.5e+07,-4999999.99999999,-1.02e+08,9.31e+08,9.31e+08,-7e+06,9.24e+08,3.76e+08,6.255e+09,2.62e+08,0.58153,0.17749,0.30736,0.07634,0.0293,0.61502,1.65645,1.60573,0.43019,1.13123,1.11647,3.68049,14.69276,0.69574,0.03635,0.01964,13.55851,20.72358
