"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"25","2016_Q2",3.8853125,"Up",8.32e+08,-5.63e+08,2.69e+08,-3.47e+08,-1.05e+08,-2.42e+08,-7.8e+07,-4e+07,-4e+07,0,-1.18e+08,-1.08e+08,-1e+06,-1.09e+08,-1.09e+08,-1.09e+08,-1.09e+08,7.16e+08,7.16e+08,5.08e+08,5.08e+08,6.75e+08,3.27e+08,4.9e+07,2.226e+09,1.76e+08,5.79e+08,2.78e+08,3.01e+08,7.55e+08,2.981e+09,6.71e+08,3.24e+08,3.47e+08,4.27e+08,3.84e+08,1.328e+09,2.006e+09,1.5e+08,1.5e+08,2.156e+09,3.484e+09,7.041e+09,-1.23e+08,-7.415e+09,-6e+06,-5.03e+08,-5.03e+08,2.981e+09,-1.09e+08,3.3e+07,1.5e+07,1.9e+07,-4.2e+07,-2.6e+07,-2.6e+07,0,0,-1e+06,-6.9e+07,-6.9e+07,-6.9e+07,-4.5e+07,2.236e+09,-5.1e+07,0.32332,-0.09375,-0.13101,0.2167,-0.03656,0.46789,1.6762,-6.92644,0.75008,-0.13745,-0.13745,1.04918,-0.6343,-0.06431,-0.05789,-0.02708,-33.77778,-19.48718
"26","2016_Q3",6.3840625,"Up",1.027e+09,-7.08e+08,3.19e+08,-3.6e+08,-1.17e+08,-2.43e+08,-4.1e+07,1.09e+08,-4.1e+07,1.5e+08,6.8e+07,1.01e+08,-2.9e+07,6.9e+07,6.9e+07,6.9e+07,6.9e+07,9.57e+08,9.57e+08,6.71e+08,6.71e+08,7.43e+08,1.35e+08,6.8e+07,2.506e+09,1.69e+08,5.79e+08,2.89e+08,2.9e+08,8.1e+08,3.316e+09,1.158e+09,6.16e+08,5.42e+08,1.97e+08,1.55e+08,1.581e+09,2.012e+09,1.36e+08,1.36e+08,2.148e+09,3.729e+09,7.061e+09,-1.25e+08,-7.346e+09,-3e+06,-4.13e+08,-4.13e+08,3.316e+09,6.9e+07,3.3e+07,-1.2e+08,-6.7e+07,-8.5e+07,-2.1e+07,3.29e+08,2e+06,2e+06,-2999999.99999999,2.41e+08,2.41e+08,2.41e+08,-8000000.00000003,2.238e+09,-6.7e+07,0.31061,-0.03992,0.06719,-0.16707,0.02081,-0.97101,1.58507,-9.02906,0.67491,0.0869,0.08404,1.29345,-0.52015,-0.08438,0.03519,-0.03417,-160.125,-31.2439
"27","2016_Q4",8.38539682539682,"Up",1.307e+09,-1.248e+09,5.9e+07,-3.76e+08,-1.17e+08,-2.59e+08,-3.17e+08,-1.04e+08,-4.1e+07,-6.3e+07,-4.21e+08,-3.97e+08,-4e+06,-4.06e+08,-4.06e+08,-4.06e+08,-4.06e+08,1.258e+09,1.258e+09,6.4e+08,6.4e+08,7.72e+08,1.54e+08,6.3e+07,2.824e+09,1.61e+08,5.71e+08,2.89e+08,2.82e+08,7.92e+08,3.616e+09,1.11e+09,5.82e+08,5.28e+08,3.63e+08,3.09e+08,1.473e+09,1.632e+09,1.26e+08,1.26e+08,1.758e+09,3.231e+09,8.267e+09,-1.27e+08,-7.752e+09,-3e+06,3.85e+08,3.85e+08,3.616e+09,-4.06e+08,3.3e+07,3.35e+08,6.7e+07,2.9e+07,-9e+06,-1e+07,6.78e+08,6.78e+08,2.82e+08,3.01e+08,3.01e+08,3.01e+08,-2.84e+08,1.632e+09,-2.22e+08,0.04514,-0.24254,-0.31064,-1.05455,-0.11228,0.546799999999999,1.91718,8.39221,0.45133,-0.49816,-0.49816,1.60368,0.47239,-0.27239,-0.18945,-0.10359,-1.31690000000003,-1.17981
"28","2017_Q1",12.6938709677419,"Up",1.153e+09,-7.97e+08,3.56e+08,-3.91e+08,-1.27e+08,-2.64e+08,-34999999.9999999,-4.1e+07,-3.4e+07,-7e+06,-7.6e+07,-45000000.0000001,-5e+06,-5.2e+07,-52000000.0000001,-52000000.0000001,-52000000.0000001,1.264e+09,1.264e+09,3.11e+08,3.11e+08,7.51e+08,2.04e+08,6.3e+07,2.53e+09,1.64e+08,5.68e+08,2.89e+08,2.79e+08,7.91e+08,3.321e+09,1.214e+09,4.4e+08,7.74e+08,1.32e+08,6.9e+07,1.346e+09,1.435e+09,1.24e+08,1.24e+08,1.559e+09,2.905e+09,8.343e+09,-1.19e+08,-7.803e+09,-5e+06,4.16e+08,4.16e+08,3.321e+09,-52000000.0000001,3.4e+07,42999999.9999999,1.53e+08,1.78e+08,-2.2e+07,-1.7e+07,7e+06,7e+06,-1.56e+08,5e+06,5e+06,5e+06,-999999.999999881,1.435e+09,1.35e+08,0.30876,-0.03036,-0.0451000000000001,-0.125,-0.01566,-2.59615,1.87964,6.98317,0.4321,-0.05544,-0.0570799999999999,1.22921,0.4435,0.14392,-0.02633,0.06835,-171,-4.88571
"29","2017_Q2",12.2239682539683,"Down",1.178e+09,-8e+08,3.78e+08,-3.94e+08,-1.23e+08,-2.71e+08,-1.6e+07,-3.7e+07,-3.2e+07,-5e+06,-5.3e+07,-2.6e+07,-5e+06,-3.3e+07,-3.3e+07,-3.3e+07,-3.3e+07,9.43e+08,7.22e+08,4.94e+08,4.94e+08,8.39e+08,2.22e+08,7.3e+07,2.498e+09,1.8e+08,5.63e+08,2.89e+08,2.74e+08,8.01e+08,3.299e+09,9.14e+08,5.29e+08,3.85e+08,4.58e+08,3.96e+08,1.372e+09,1.408e+09,1.1e+08,1.1e+08,1.518e+09,2.89e+09,8.388e+09,-9.9e+07,-7.876e+09,-4e+06,4.09e+08,4.09e+08,3.299e+09,-3.3e+07,3.4e+07,4.1e+07,-3.41e+08,-2.99e+08,-2.3e+07,-2.46e+08,8e+06,8e+06,3e+06,-5.42e+08,-5.42e+08,-5.42e+08,1.8e+07,1.408e+09,-3.41e+08,0.32088,-0.01358,-0.02801,-0.0806800000000001,-0.01,10.33333,1.8207,7.06601,0.4268,-0.03514,-0.03514,1.25453,0.43557,-0.36315,-0.01713,-0.17696,25.83333,-29.0625
"30","2017_Q3",13.0473015873016,"Up",1.151e+09,-7.65e+08,3.86e+08,-4.12e+08,-1.27e+08,-2.85e+08,-2.6e+07,-3.5e+07,-3.2e+07,-3e+06,-6.1e+07,-3.6e+07,-3e+06,-4.2e+07,-4.2e+07,-4.2e+07,-4.2e+07,8.44e+08,7.6e+08,6.14e+08,6.14e+08,8.33e+08,2.2e+08,6.8e+07,2.511e+09,2e+08,6.01e+08,2.89e+08,3.12e+08,8.59e+08,3.37e+09,9.13e+08,4.83e+08,4.3e+08,4.94e+08,4.22e+08,1.449e+09,1.375e+09,1.29e+08,1.29e+08,1.504e+09,2.953e+09,8.414e+09,-1.05e+08,-7.892e+09,0,4.17e+08,4.17e+08,3.37e+09,-4.2e+07,3.5e+07,3.2e+07,-1.07e+08,-82000000.0000001,-1.2e+07,1.24e+08,2000000.00000003,2e+06,-4e+06,37999999.9999999,37999999.9999999,37999999.9999999,9e+06,1.417e+09,-1.07e+08,0.33536,-0.02259,-0.03649,-0.10072,-0.01246,2.54762,1.73292,7.08153,0.42047,-0.04444,-0.04444,1.21799,0.44127,-0.11323,-0.0214,-0.05451,63.66667,-22.03846
"31","2017_Q4",11.685873015873,"Down",1.584e+09,-1.013e+09,5.71e+08,-4.52e+08,-1.32e+08,-3.2e+08,1.19e+08,-3.4e+07,-3.1e+07,-3e+06,8.5e+07,8.5e+07,-2.2e+07,6.1e+07,6.1e+07,6.1e+07,6.1e+07,8.79e+08,8.79e+08,7.71e+08,7.71e+08,7.94e+08,2.55e+08,7.2e+07,2.699e+09,2.36e+08,5.94e+08,2.89e+08,3.05e+08,8.87e+08,3.586e+09,9.32e+08,4.72e+08,4.6e+08,5.89e+08,5.17e+08,1.591e+09,1.356e+09,1.19e+08,1.19e+08,1.475e+09,3.066e+09,8.447e+09,-1.08e+08,-7.821e+09,2e+06,5.2e+08,5.2e+08,3.586e+09,6.1e+07,3.6e+07,4.6e+07,-7.4e+07,6.9e+07,-3.4e+07,5.1e+07,5e+06,5e+06,2e+06,1.22e+08,1.22e+08,1.22e+08,1.55e+08,1.426e+09,6.9e+07,0.36048,0.07513,0.03851,0.11731,0.01701,1.13115,1.69642,5.89615,0.39766,0.06374,0.05854,1.65517,0.54336,0.0721,0.02954,0.03341,3.52903,4.59664000000001
"32","2018_Q1",11.8573770491803,"Up",1.34e+09,-8.88e+08,4.52e+08,-4.54e+08,-1.34e+08,-3.2e+08,-2e+06,-2.9e+07,-3.1e+07,2e+06,-3.1e+07,-3.1e+07,1.2e+07,-1.9e+07,-1.9e+07,-1.9e+07,-1.9e+07,1.185e+09,1.185e+09,4.54e+08,4.54e+08,6.94e+08,3.01e+08,7.7e+07,2.634e+09,2.61e+08,5.99e+08,2.89e+08,3.1e+08,9.18e+08,3.552e+09,1.351e+09,3.84e+08,9.67e+08,9.2e+07,9.2e+07,1.513e+09,1.325e+09,1.18e+08,1.18e+08,1.443e+09,2.956e+09,8.473e+09,-1.08e+08,-7.775e+09,6e+06,5.96e+08,5.96e+08,3.552e+09,-1.9e+07,3.9e+07,2.6e+07,2.78e+08,3.24e+08,-4.4e+07,1.7e+07,5e+06,5e+06,-3.4e+07,3.07e+08,3.07e+08,3.07e+08,3.7e+07,1.395e+09,2.59e+08,0.33731,-0.00148999999999999,-0.01418,-0.03188,-0.00535,-13.63158,1.74091,4.95973,0.39274,-0.01965,-0.01545,1.38573,0.61634,0.26784,-0.00901,0.12281,5.67568,-105
"33","2018_Q2",12.7125,"Up",1.647e+09,-1.05e+09,5.97e+08,-4.77e+08,-1.34e+08,-3.43e+08,1.2e+08,-3e+07,-3.1e+07,1e+06,9e+07,9e+07,-8e+06,8.1e+07,8.1e+07,8.1e+07,8.1e+07,1.045e+09,1.045e+09,7.38e+08,7.38e+08,7.15e+08,2.53e+08,6.7e+07,2.751e+09,2.9e+08,6.65e+08,2.89e+08,3.76e+08,1.012e+09,3.763e+09,9.41e+08,4.56e+08,4.85e+08,5.33e+08,5.33e+08,1.697e+09,1.165e+09,1.86e+08,1.86e+08,1.351e+09,3.048e+09,8.512e+09,-1.08e+08,-7.692e+09,3e+06,7.15e+08,7.15e+08,3.763e+09,8.1e+07,4.4e+07,4.4e+07,-2.76e+08,-1.07e+08,-4.6e+07,-2.5e+07,6e+06,6e+06,-8e+06,-1.4e+08,-1.4e+08,-1.4e+08,1.64e+08,1.388e+09,-1.5e+08,0.36248,0.07286,0.04918,0.11329,0.02153,-1.85185,1.6211,4.26294,0.36885,0.08368,0.07796,1.70145,0.73864,-0.15496,0.03539,-0.06553,2.09146,2.85832999999997
"34","2018_Q3",22.5666666666667,"Up",1.756e+09,-1.104e+09,6.52e+08,-4.99e+08,-1.42e+08,-3.57e+08,1.53e+08,-3e+07,-3.1e+07,1e+06,1.23e+08,1.23e+08,-6e+06,1.16e+08,1.16e+08,1.16e+08,1.16e+08,9.83e+08,9.48e+08,1.118e+09,1.118e+09,7.5e+08,2.48e+08,6.8e+07,3.099e+09,2.95e+08,6.52e+08,2.89e+08,3.63e+08,1.004e+09,4.103e+09,1.097e+09,5.2e+08,5.77e+08,5.48e+08,5.48e+08,1.868e+09,1.17e+09,1.86e+08,1.86e+08,1.356e+09,3.224e+09,8.574e+09,-1.09e+08,-7.576e+09,-1e+07,8.79e+08,8.79e+08,4.103e+09,1.16e+08,4.2e+07,4.1e+07,-2.23e+08,-24000000.0000001,-4.3e+07,-9.9e+07,2.9e+07,2.9e+07,2.8e+07,-94999999.9999999,-94999999.9999999,-94999999.9999999,1.95e+08,1.393e+09,-6.5e+07,0.3713,0.08713,0.06606,0.13197,0.02827,-0.56034,1.65899,3.6678,0.33951,0.11934,0.10113,1.80658,0.90432,-0.06687,0.04719,-0.02644,2.10256,2.67974
