"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"35","2018_Q4",21.6228571428571,"Down",1.653e+09,-9.92e+08,6.61e+08,-5.11e+08,-1.48e+08,-3.63e+08,1.5e+08,-3.6e+07,-3e+07,-6e+06,1.14e+08,1.14e+08,-1.2e+07,1.02e+08,1.02e+08,1.02e+08,1.02e+08,1.056e+09,1.046e+09,1.207e+09,1.207e+09,7.38e+08,3.13e+08,6e+07,3.314e+09,3.18e+08,6.57e+08,2.89e+08,3.68e+08,1.033e+09,4.347e+09,1.196e+09,5.08e+08,6.88e+08,5.46e+08,5.46e+08,1.878e+09,1.167e+09,1.77e+08,1.77e+08,1.344e+09,3.222e+09,8.676e+09,-6.7e+07,-7.474e+09,-1e+07,1.125e+09,1.125e+09,4.347e+09,1.02e+08,4.1e+07,5.4e+07,-1.02e+08,9.5e+07,-3.3e+07,-8e+06,9e+06,9e+06,8e+06,9.5e+07,9.5e+07,9.5e+07,1.91e+08,1.303e+09,6.8e+07,0.39988,0.09074,0.06171,0.09067,0.02346,0.66667,1.76464,2.864,0.29975,0.10334,0.0948,1.67477,1.13982,0.0689,0.03916,0.0261,1.29319,1.64667
"36","2019_Q1",22.7022950819672,"Up",1.419e+09,-8.82e+08,5.37e+08,-5.09e+08,-1.38e+08,-3.71e+08,2.8e+07,-2.5e+07,-2.9e+07,4e+06,3e+06,3e+06,3.5e+07,3.8e+07,3.8e+07,3.8e+07,3.8e+07,1.156e+09,1.078e+09,1.235e+09,1.235e+09,8.45e+08,3.04e+08,5.7e+07,3.54e+09,3.48e+08,6.1e+08,2.89e+08,3.21e+08,1.016e+09,4.556e+09,1.291e+09,5.28e+08,7.63e+08,5.57e+08,5.57e+08,1.984e+09,1.114e+09,1.92e+08,1.92e+08,1.306e+09,3.29e+09,8.76e+09,-5e+07,-7.436e+09,-8e+06,1.266e+09,1.266e+09,4.556e+09,3.8e+07,4.3e+07,1.15e+08,-1.26e+08,7e+07,-4.1e+07,-3.8e+07,2e+07,2.6e+07,-1.49011611938477e-08,3.2e+07,3.2e+07,3.2e+07,7.1e+07,1.25e+09,-1.31e+08,0.37844,0.01973,0.02678,0.03002,0.00834,-3.44737,1.78427,2.59874,0.27436,0.03796,0.03823,1.41758,1.26474,-0.13087,0.01403,-0.04838,1.32394,3.35714
"37","2019_Q2",28.5290476190476,"Up",1.272e+09,-7.51e+08,5.21e+08,-5.43e+08,-1.7e+08,-3.73e+08,-2.2e+07,-3.4e+07,-2.7e+07,-7e+06,-5.6e+07,4e+06,1.3e+07,1.6e+07,1.6e+07,1.6e+07,1.6e+07,1.194e+09,9.78e+08,1.241e+09,1.241e+09,9.55e+08,2.87e+08,6.5e+07,3.677e+09,3.77e+08,8.2e+08,2.89e+08,5.31e+08,1.254e+09,4.931e+09,1.203e+09,4.84e+08,7.19e+08,4.91e+08,4.91e+08,1.764e+09,1.024e+09,3.55e+08,1.42e+08,1.379e+09,3.143e+09,9.257e+09,-4.8e+07,-7.42e+09,-1e+06,1.788e+09,1.788e+09,4.931e+09,1.6e+07,4.6e+07,6.3e+07,-3.38e+08,-2.13e+08,-6.2e+07,-1.73e+08,1e+06,1e+06,2.86e+08,-1e+08,-1e+08,-1e+08,2.4e+07,1.094e+09,-3.89e+08,0.40959,-0.0173,0.01258,0.00895,0.00324,-24.3125,2.08447,1.75783,0.22186,0.01533,0.01463,1.21839,1.71264,-0.37261,0.00494,-0.12017,-4.16667,4.54545
"38","2019_Q3",31.35953125,"Up",1.531e+09,-9.1e+08,6.21e+08,-5.62e+08,-1.89e+08,-3.73e+08,5.9e+07,-2.2e+07,-2.5e+07,3e+06,3.7e+07,3.7e+07,-2e+06,3.5e+07,3.5e+07,3.5e+07,3.5e+07,1.128e+09,9.63e+08,1.333e+09,1.333e+09,1.015e+09,2.78e+08,115414523.444904,3.754e+09,4.58e+08,8.9e+08,2.89e+08,5.43e+08,1.348e+09,5.102e+09,1.555e+09,8.28e+08,7.27e+08,2.49e+08,2.49e+08,1.804e+09,1.031e+09,3.66e+08,3.66e+08,1.397e+09,3.201e+09,9.336e+09,-5e+07,-7.385e+09,0,1.901e+09,1.901e+09,5.102e+09,3.5e+07,5.2e+07,7.1e+07,-1.28e+08,3e+07,-5.8e+07,-7e+06,3.4e+07,3.4e+07,-3.8e+07,-1.5e+07,-1.5e+07,-1.5e+07,1.11e+08,1.031e+09,-7.3e+07,0.40562,0.03854,0.02286,0.01841,0.00686,-2.08571,2.08093,1.68385,0.20208,0.03229,0.03153,1.41236,1.75369,-0.06734,0.01061,-0.02213,-0.87387,-1.64407
"39","2019_Q4",36.81203125,"Up",1.801e+09,-1.024e+09,7.77e+08,-5.91e+08,-1.85e+08,-4.06e+08,1.86e+08,-6e+07,-2.4e+07,-3.6e+07,1.26e+08,1.26e+08,-7e+06,1.2e+08,1.2e+08,1.2e+08,1.2e+08,1.209e+09,1.156e+09,1.393e+09,1.393e+09,1.04e+09,2.7e+08,184851267.779947,3.912e+09,4.53e+08,8.88e+08,2.89e+08,5.4e+08,1.341e+09,5.253e+09,1.6e+09,7.63e+08,8.37e+08,2.64e+08,2.64e+08,1.864e+09,8.72e+08,3.41e+08,3.41e+08,1.213e+09,3.077e+09,9.501e+09,-5.3e+07,-7.265e+09,-7e+06,2.176e+09,2.176e+09,5.253e+09,1.2e+08,6e+07,1.27e+08,-7.3e+07,2.34e+08,-5.5e+07,5.7e+07,-3e+06,3e+06,-9.8e+07,1.93e+08,1.93e+08,1.93e+08,2.46e+08,8.72e+08,1.25e+08,0.43143,0.10328,0.06663,0.05515,0.02284,1.04167,2.09871,1.41406,0.166,0.10939,0.10743,1.64175,1.98359,0.11395,0.03541,0.03688,-1.36992,-1.81183
"40","2020_Q1",48.1714516129032,"Up",2.127e+09,-1.178e+09,9.49e+08,-6.01e+08,-2.06e+08,-3.95e+08,3.48e+08,-1.43e+08,-1.8e+07,-1.25e+08,2.05e+08,2.05e+08,-3.5e+07,1.7e+08,1.7e+08,1.7e+08,1.7e+08,1.503e+09,1.466e+09,1.859e+09,1.859e+09,9.82e+08,2.53e+08,2.33e+08,4.597e+09,5e+08,8.73e+08,2.89e+08,5.62e+08,1.431e+09,6.028e+09,2.285e+09,9.88e+08,1.297e+09,7.4e+07,7.4e+07,2.359e+09,4.86e+08,3.56e+08,3.56e+08,8.42e+08,3.201e+09,9.975e+09,-5.3e+07,-7.095e+09,-14302554.634018,2.827e+09,2.827e+09,6.028e+09,1.7e+08,6.4e+07,2.11e+08,-3000000.00000003,4.42e+08,-4.2e+07,-2.6e+07,3.6e+07,3.6e+07,-1.07e+08,3.09e+08,3.09e+08,3.09e+08,4.12e+08,4.86e+08,4.02e+08,0.44617,0.16361,0.07992,0.06013,0.0282,2.36471,1.94871,1.1323,0.08062,0.14925,0.14668,1.86743,2.482,0.35294,0.04633,0.10957,-2.46845,-2.92241
"41","2020_Q2",53.0187301587302,"Up",1.786e+09,-9.68e+08,8.18e+08,-6.41e+08,-1.99e+08,-4.42e+08,1.77e+08,-9e+06,-1.3e+07,4e+06,1.68e+08,1.68e+08,-6e+06,1.62e+08,1.62e+08,1.62e+08,1.62e+08,1.385e+09,1.33e+09,1.691e+09,1.691e+09,1.056e+09,2.58e+08,236305457.695531,4.39e+09,5.4e+08,9.34e+08,2.89e+08,5.87e+08,1.474e+09,5.864e+09,1.91e+09,6.53e+08,1.257e+09,7.5e+07,7.5e+07,1.985e+09,4.88e+08,3.54e+08,3.54e+08,8.42e+08,2.827e+09,1.0038e+10,-5.4e+07,-6.933e+09,-1.4e+07,3.037e+09,3.037e+09,5.864e+09,1.62e+08,6.8e+07,9.4e+07,-3.89e+08,-6.5e+07,-5.5e+07,-7.3e+07,2e+06,3e+06,2e+06,-1.36e+08,-1.36e+08,-1.36e+08,2.45e+08,4.88e+08,-1.93e+08,0.45801,0.0991,0.09071,0.05334,0.02763,-1.19136,2.21159,0.93085,0.08322,0.13846,0.13235,1.5265,2.59573,-0.16496,0.04176,-0.04976,-3.66122,-5.0678
"42","2020_Q3",74.2515625,"Up",1.932e+09,-1.084e+09,8.48e+08,-6.75e+08,-2.15e+08,-4.6e+08,1.73e+08,-1.3e+07,-1.4e+07,1000000.00000001,1.6e+08,1.6e+08,-4e+06,1.57e+08,1.57e+08,1.57e+08,1.57e+08,1.775e+09,1.775e+09,1.789e+09,1.789e+09,1.324e+09,2.21e+08,238232260.839385,5.109e+09,5.85e+08,8.89e+08,2.89e+08,5.41e+08,1.474e+09,6.583e+09,2.166e+09,8.02e+08,1.364e+09,6.8e+07,6.8e+07,2.434e+09,4.9e+08,3.54e+08,3.54e+08,8.44e+08,3.278e+09,1.0139e+10,-5.4e+07,-6.776e+09,-4e+06,3.305e+09,3.305e+09,6.583e+09,1.57e+08,7.2e+07,8.7e+07,-73000000.0000001,2.43e+08,-9.1e+07,-3.6e+07,3.9e+07,3.9e+07,2.38e+08,4.45e+08,4.45e+08,4.45e+08,2.45e+08,6.9e+08,8.5e+07,0.43892,0.08954,0.08126,0.0475,0.02385,0.5414,2.09901,0.99183,0.10482,0.13373,0.12806,1.64566,2.81516,0.0724,0.0361,0.01954,-4.42857,-6.27168
"43","2020_Q4",86.295,"Up",2.801e+09,-1.571e+09,1.23e+09,-7.81e+08,-2.73e+08,-5.08e+08,4.49e+08,-4.8e+07,-1.1e+07,-3.7e+07,4.01e+08,4.01e+08,-11999999.9999999,3.9e+08,3.9e+08,3.9e+08,3.9e+08,1.771e+09,1.296e+09,2.134e+09,2.134e+09,1.292e+09,3.03e+08,2.99e+08,5.5e+09,5.95e+08,9.28e+08,2.89e+08,5.79e+08,1.523e+09,7.023e+09,2.345e+09,7.52e+08,1.593e+09,7.2e+07,7.2e+07,2.417e+09,3.73e+08,3.66e+08,3.66e+08,7.39e+08,3.156e+09,1.0374e+10,-1.26e+08,-6.386e+09,5e+06,3.867e+09,3.867e+09,7.023e+09,3.9e+08,8.2e+07,1.35e+08,-2.68e+08,3.39e+08,-7.4e+07,-5.49e+08,-6.9e+07,3e+06,-2.69e+08,-4.79e+08,-4.79e+08,-4.79e+08,5.31e+08,3.73e+08,2.01e+08,0.43913,0.1603,0.13924,0.10085,0.05553,0.51538,2.27555,0.81614,0.05311,0.32939,0.3322,2.36571,3.26605,0.16976,0.08467,0.04364,-2.63277,-3.11359
"44","2021_Q1",86.102131147541,"Down",3.244e+09,-1.793e+09,1.451e+09,-8.81e+08,-3.08e+08,-5.73e+08,5.7e+08,-2.4e+07,-9e+06,-1.5e+07,5.46e+08,5.46e+08,1.232e+09,1.781e+09,1.781e+09,1.781e+09,1.781e+09,2.29e+09,1.595e+09,2.066e+09,2.066e+09,1.399e+09,3.88e+08,3.78e+08,6.143e+09,6.41e+08,2.115e+09,2.89e+08,5.81e+08,2.819e+09,8.962e+09,2.342e+09,4.68e+08,1.874e+09,7.5e+07,7.5e+07,2.417e+09,3.3e+08,3.78e+08,3.78e+08,7.08e+08,3.125e+09,1.0556e+10,-1.31e+08,-4.605e+09,1.7e+07,5.837e+09,5.837e+09,8.962e+09,1.781e+09,9e+07,-1.116e+09,-2.01e+08,5.54e+08,-7.4e+07,-2.94e+08,3.5e+07,4e+07,3.5e+07,2.95e+08,2.95e+08,2.95e+08,6.6e+08,3.3e+08,-8.47e+08,0.44729,0.17571,0.54901,0.30512,0.19873,-0.47558,2.54158,0.53538,0.03682,1.47434,1.47924,2.68543,4.83195,-0.70116,0.27212,-0.12941,-2.9697,-3.4386
"45","2021_Q2",80.8180952380952,"Down",3.445e+09,-1.858e+09,1.587e+09,-9.29e+08,-3.19e+08,-6.1e+08,6.58e+08,-2e+07,-9e+06,-1.1e+07,6.38e+08,6.42e+08,-8.9e+07,5.55e+08,5.55e+08,5.55e+08,5.55e+08,3.116e+09,1.763e+09,2.178e+09,2.178e+09,1.653e+09,2.5e+08,2.43e+08,7.197e+09,6.81e+08,2.169e+09,2.89e+08,6.53e+08,2.85e+09,1.0047e+10,2.768e+09,9.49e+08,1.819e+09,9.6e+07,9.6e+07,2.864e+09,3.13e+08,3.93e+08,3.93e+08,7.06e+08,3.57e+09,1.067e+10,-1.41e+08,-4.058e+09,6e+06,6.477e+09,6.477e+09,1.0047e+10,5.55e+08,9.5e+07,1.91e+08,5.7e+07,8.98e+08,-6.6e+07,-7.22e+08,-8e+06,2e+06,-8e+06,1.68e+08,1.68e+08,1.68e+08,7.53e+08,3.13e+08,8.33e+08,0.46067,0.191,0.1611,0.08569,0.05524,1.5009,2.51292,0.55118,0.03115,0.45754,0.45085,2.84007,5.33965,0.68673,0.07727,0.11597,-3.72244,-4.25988
"46","2021_Q3",102.22015625,"Up",3.85e+09,-2.02e+09,1.83e+09,-1e+09,-3.41e+08,-6.59e+08,8.3e+08,-1e+07,-1e+07,0,8.2e+08,8.21e+08,-1.13e+08,7.1e+08,7.1e+08,7.1e+08,7.1e+08,3.793e+09,2.623e+09,2.02e+09,2.02e+09,1.765e+09,2.4e+08,2.34e+08,7.818e+09,6.71e+08,2.202e+09,2.89e+08,7.56e+08,2.873e+09,1.0691e+10,2.783e+09,8.36e+08,1.947e+09,1.09e+08,1.09e+08,2.892e+09,3.13e+08,4.21e+08,4.21e+08,7.34e+08,3.626e+09,1.0807e+10,-4.01e+08,-3.348e+09,7e+06,7.065e+09,7.065e+09,1.0691e+10,7.1e+08,9.7e+07,1.79e+08,-3.4e+07,9.52e+08,-6.4e+07,1.19e+08,-2.11e+08,4.9e+07,-2.11e+08,8.6e+08,8.6e+08,8.6e+08,9.27e+08,3.13e+08,9.42e+08,0.47532,0.21558,0.18442,0.1005,0.06641,1.32676,2.70332,0.51323,0.02928,0.58533,0.57677,3.17395,5.8244,0.77659,0.09104,0.12078,-3.75405,-4.19277
"47","2021_Q4",134.4203125,"Up",4.313e+09,-2.227e+09,2.086e+09,-1.141e+09,-3.76e+08,-7.65e+08,9.45e+08,5.5e+07,-7e+06,6.2e+07,1e+09,1.003e+09,-8.2e+07,9.23e+08,9.23e+08,9.23e+08,9.23e+08,3.608e+09,2.44e+09,2.224e+09,2.224e+09,1.902e+09,2.54e+08,2.49e+08,7.988e+09,7.17e+08,2.379e+09,2.89e+08,1.054e+09,3.165e+09,1.1153e+10,3.132e+09,1.048e+09,2.084e+09,1.2e+08,1.2e+08,3.564e+09,1e+06,4.52e+08,4.52e+08,4.53e+08,4.017e+09,1.0917e+10,-1.356e+09,-2.425e+09,1930991.88072758,7.136e+09,7.136e+09,1.1153e+10,9.23e+08,9.7e+07,1.1e+08,-2.81e+08,8.49e+08,-8.5e+07,-8.3e+07,-9.49e+08,4e+06,-9.49e+08,-1.83e+08,-1.83e+08,-1.83e+08,1.042e+09,3.13e+08,7.58e+08,0.48365,0.21911,0.214,0.12934,0.08276,0.82124,2.2413,0.56292,0.02806,0.7603,0.75041,3.55272,5.87809,0.62438,0.11682,0.09594,-3.16219,-3.48677
"48","2022_Q1",119.379032258065,"Down",4.826e+09,-2.4e+09,2.426e+09,-1.223e+09,-4.12e+08,-8.11e+08,1.203e+09,-4e+06,-8e+06,4000000.00000001,1.199e+09,1.203e+09,-2.29e+08,9.74e+08,9.74e+08,9.74e+08,9.74e+08,3.608e+09,2.535e+09,2.706e+09,2.706e+09,1.955e+09,3.14e+08,3.12e+08,8.583e+09,7.02e+08,3.065e+09,2.89e+08,1.845e+09,3.836e+09,1.2419e+10,3.83e+09,1.321e+09,2.509e+09,9.8e+07,9.8e+07,4.24e+09,1e+06,6.81e+08,6.69e+08,6.82e+08,4.922e+09,1.1081e+10,-2.13e+09,-1.451e+09,-3e+06,7.497e+09,7.497e+09,1.2419e+10,9.74e+08,1.18e+08,2.46e+08,-5.16e+08,8.22e+08,-8.6e+07,0,-7.27e+08,4.9e+07,-7.27e+08,9.5e+07,9.5e+07,9.5e+07,1.321e+09,3.13e+08,9.48e+08,0.50269,0.24927,0.20182,0.12992,0.07843,0.97331,2.02429,0.65653,0.0252,0.80231,0.79187,3.97529,6.17545,0.78089,0.11471,0.11165,-2.49432,-2.73899
"49","2022_Q2",93.6058064516129,"Down",5.887e+09,-3.069e+09,2.818e+09,-1.95e+09,-5.97e+08,-1.06e+09,8.68e+08,-5.5e+07,-1.3e+07,-4.2e+07,8.13e+08,8.96e+08,-1.13e+08,7.86e+08,7.86e+08,7.86e+08,7.86e+08,6.532e+09,4.74e+09,3.677e+09,3.677e+09,2.431e+09,7.29e+08,7.25e+08,1.3369e+10,1.406e+09,5.2068e+10,2.3083e+10,2.121e+09,5.3546e+10,6.6915e+10,4.751e+09,1.476e+09,3.275e+09,5.18e+08,5.18e+08,5.581e+09,1.475e+09,4.526e+09,1.417e+09,6.001e+09,1.1582e+10,5.6941e+10,-9.41e+08,-6.65e+08,-2e+06,5.5333e+10,5.5333e+10,6.6915e+10,7.86e+08,6.09e+08,2.2e+07,-4.22e+08,9.95e+08,-7.1e+07,3.158e+09,-1.947e+09,2e+06,-1.948e+09,2.205e+09,2.205e+09,2.205e+09,1.477e+09,1.787e+09,1.097e+09,0.47868,0.14744,0.13351,0.0142,0.01175,1.39567,2.39545,0.20931,0.02671,0.65066,0.64321,4.87334,45.80546,0.90811,0.01275,0.0178,-3.21259,-5.46659
"50","2022_Q3",85.1465625,"Down",6.55e+09,-3.522e+09,3.028e+09,-2.508e+09,-5.92e+08,-1.3e+09,5.2e+08,-2.9e+07,-2.5e+07,-4000000.00000001,4.91e+08,4.97e+08,-5.4e+07,4.47e+08,4.47e+08,4.47e+08,4.47e+08,5.992e+09,4.964e+09,4.05e+09,4.05e+09,2.648e+09,7.72e+08,7.69e+08,1.3462e+10,1.441e+09,5.2523e+10,2.4193e+10,2.139e+09,5.404e+10,6.7502e+10,4.953e+09,1.518e+09,3.435e+09,2.58e+08,2.58e+08,5.523e+09,2.465e+09,4.345e+09,1.54e+09,6.81e+09,1.2333e+10,5.7313e+10,-1.893e+09,-2.18e+08,-3.3e+07,5.5169e+10,5.5169e+10,6.7502e+10,4.47e+08,1.18e+09,1.41e+08,-7.3e+08,1.038e+09,-1.32e+08,-9.28e+08,-8.76e+08,7.6e+07,1.14e+08,2.24e+08,2.24e+08,2.24e+08,1.7e+09,2.777e+09,8.92e+08,0.46229,0.07939,0.06824,0.0081,0.00662,1.99553,2.43744,0.22355,0.04114,0.27627,0.2739,4.04821,34.09703,0.5513,0.00718,0.01432,-1.89118,-6.18269
