"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",19.95765625,"Up",311307000,-263329000,47978000,-32849000,15129000,-2325000,-2532000,12804000,12804000,-5098000,7706000,7706000,7706000,7706000,53678847.7496621,53678847.7496621,-23140914.5688007,-23140914.5688007,548544738.767995,-6499102.55238071,-867486.330019199,572583569.396476,25227798.3927976,26828276.931016,102813972.533756,675397541.930231,513555322.979737,74093953.9687606,428271475.635743,-69578251.932351,-69578251.932351,443977071.047386,147734326.373119,-12365502.5806275,7368641.22493983,135368823.792492,579345894.839877,26589800.0588267,70726956.6682476,97484914.9071381,96051647.0903538,675397541.930231,7706000,2239000,518000,-21614000,-11151000,-4675000,0,-4675000,-1416000,21783000,20367000,4541000,4541000,4541000,17368000,0,-3823000,0.15412,0.0486,0.02475,0.13739052184851,0.0409947811047329,-0.49611,1.36942322118086,3.25792293463881,0.169171887365442,0.43633,0.42432,17.6268,7.93615863074531,-0.21647,0.108129521752894,0.0507850469220854,12.3537878683818,17.4138251439006
"2","2011_Q1",24.9898387096774,"Up",368059000,-311960000,56099000,-38684000,17415000,-225000,-1605000,17190000,17190000,-6827000,10363000,10363000,10363000,10363000,76112000,76112000,44945000,44945000,429844000,1003000,1003000,551904000,31570000,28323000,96942000,648846000,359874000,15957000,341824000,28180000,28180000,388054000,33409000,12826000,3814000,46235000,434289000,140466000,74091000,214557000,214557000,648846000,10363000,2526000,2079000,-8665000,6303000,-5349000,-3000,-35241000,3855000,35193000,39048000,10110000,10110000,10110000,19941000,33409000,12754000,0.15242,0.04732,0.02816,0.0483,0.01597,1.23072,1.42224,2.02412,0.05149,0.58687,0.57697,20.84375,12.1507,0.72228,0.03974,0.0489,-2.14147,-2.45208
"3","2011_Q2",28.3701587301587,"Up",318165000,-265362000,52803000,-39436000,13367000,-1152000,-1437000,12215000,12215000,-4947000,7268000,7268000,7268000,7268000,92828884.083446,92828884.083446,62159888.1896003,62159888.1896003,484289170.410668,3009784.1841269,1917578.77667307,642287726.867841,35631483.8690675,31521241.0229947,111480425.822081,753768152.689923,403612225.673421,7424765.34374648,396731674.788086,49076417.3107836,49076417.3107836,452688642.984205,6970891.20896028,17155000.8602092,2739786.25835339,24125892.0691695,476814535.053374,197279733.313724,79485181.1105841,276726361.697621,276953617.636549,753768152.689923,7268000,2642000,325000,-15166000,-4931000,-1639000,4000,-8674000,-3993000,23093000,19100000,5495000,5495000,5495000,16009000,0,4151000,0.16596,0.04201,0.02284,0.0167806593838301,0.00651590629842236,0.57113,1.40897809293971,1.75641402178706,0.0181535375448528,0.40937,0.40064,17.92075,14.2295329564182,0.23381,0.0154059927490354,-0.0669850156406951,-6.42953512279394,-8.36329671463354
"4","2011_Q3",24.12484375,"Down",310849000,-254998000,55851000,-44060000,11791000,-1408000,-1675000,10383000,10383000,-4092000,6291000,6291000,6291000,6291000,102194000,102194000,53496000,53496000,622471000,2291000,2291000,780452000,38658000,35548000,137203000,917655000,538432000,24712000,513346000,30506000,30506000,568938000,31933000,12673000,3010000,44606000,613544000,216461000,87650000,304111000,304111000,917655000,6291000,3411000,631000,-82267000,-71934000,-6243000,2000,-26323000,-7635000,51581000,118844000,20587000,20587000,20587000,15202000,31933000,-69216000,0.17967,0.03793,0.02024,0.02069,0.00686,-11.00238,1.37177,2.0175,0.0348,0.31087,0.30514,15.36043,15.02747,-3.42027,0.01804,-0.19849,-4.62183,-5.95887
"5","2011_Q4",21.4438095238095,"Down",422960000,-348963000,73997000,-50060000,23937000,-2601000,-2908000,21336000,21336000,-8536000,12800000,12800000,12800000,12800000,97890000,97890000,52952000,52952000,738345000,2176000,2176000,891363000,41725000,38845000,160054000,1051417000,641637000,39091000,601075000,19237000,19237000,660874000,59544000,13668000,3419000,73212000,734086000,216881000,100450000,317331000,317331000,1051417000,12800000,4119000,464000,-117360000,-99977000,-576000,-105000,-12167000,19489000,88351000,107840000,-4304000,-4304000,-4304000,28056000,59544000,-81344000,0.17495,0.05659,0.03026,0.04034,0.01217,-6.355,1.34876,2.31331,0.05663,0.6222,0.61273,20.55998,15.42538,-3.95411,0.03277,-0.20828,-1.36677,-1.60196
"6","2012_Q1",25.7838709677419,"Up",607018000,-514208000,92810000,-60304000,32506000,-2866000,-3650000,29640000,29640000,-11854000,17786000,17786000,17801000,17801000,79842000,79842000,82518000,82518000,748047000,5248000,2108000,915655000,46135000,40765000,172417000,1088072000,612342000,28424000,583918000,49540000,49540000,661882000,57405000,31446000,2854000,88851000,750733000,218156000,118251000,336337000,337339000,1088072000,17786000,5091000,16279000,-44499000,-5343000,-9622000,0,-19463000,-96000,6885000,6789000,-18017000,-18017000,-18048000,37597000,57405000,-4670000,0.15289,0.05355,0.02933,0.05277,0.01636,-0.262339999999999,1.38341,2.22546,0.05276,0.86107,0.85615,29.36284,16.26939,-0.2259,0.04177,-0.01096,-0.59678,-0.690239999999999
"7","2012_Q2",31.0011111111111,"Up",421723000,-351314000,70409000,-54856000,15553000,-3203000,-3691000,12350000,12350000,-4891000,7459000,7459000,7597000,7597000,106717000,106717000,53679000,53679000,823195000,5128000,5128000,988719000,53967000,48711000,221726000,1210445000,635194000,37322000,597639000,25247000,25247000,660441000,144985000,41013000,2087000,185998000,846439000,234651000,125848000,360611000,364006000,1210445000,7459000,4927000,545000,-37784000,-24853000,-17897000,11000,-26282000,98741000,-20817000,77924000,26789000,26789000,26875000,20480000,144985000,-30310000,0.16696,0.03688,0.01801,0.02087,0.00628,-3.98973,1.49706,2.32534,0.11978,0.3666,0.36242,20.35048,17.40149,-1.46263,0.01381,-0.05511,1.86855,2.46049
"8","2012_Q3",25.9522222222222,"Down",410071000,-339707000,70364000,-56507000,13857000,-5075000,-5194000,8782000,8782000,-3477000,5305000,5305000,5209000,5209000,126509000,126509000,66203000,66203000,938267000,2972000,2972000,1133951000,58321000,53174000,240855000,1374806000,767727000,31024000,735322000,12163000,12163000,779890000,185234000,40871000,2150000,226105000,1005995000,235336000,131057000,365499000,368811000,1374806000,5305000,5287000,1704000,-80791000,-68495000,-5403000,-2000,-13184000,24282000,77985000,102267000,20588000,20588000,19792000,19144000,185234000,-63573000,0.17159,0.03379,0.0127,0.01412,0.00379,-12.20445,1.45399,2.72767,0.13473,0.25066,0.24805,19.73298,17.58813,-3.05919,0.00876,-0.10686,3.06754,4.23793
"9","2012_Q4",22.4108064516129,"Down",582112000,-488053000,94059000,-63950000,30109000,-6332000,-6590000,23777000,23777000,-9418000,14359000,14359000,14061000,14061000,115668000,115668000,96568000,96568000,1048004000,4225000,4225000,1264465000,58327000,53145000,243983000,1508448000,864627000,34597000,825007000,25063000,25063000,889690000,194232000,40526000,1870000,234758000,1124448000,235892000,145118000,380379000,3.84e+08,1508448000,14359000,7304000,735000,-101723000,-79325000,-8416000,0,-8416000,13369000,63757000,77126000,-10615000,-10615000,-10841000,37413000,194232000,-63308000,0.16158,0.05172,0.02416,0.03662,0.00932,-4.50238,1.42124,2.92825,0.12876,0.67555,0.66995,27.96733,18.27515,-3.04161,0.02272,-0.10231,2.09991,2.60932
"10","2013_Q1",28.4881666666667,"Up",784514000,-679985000,104529000,-72244000,32285000,-6498000,-7287000,25787000,25787000,-10351000,15436000,15436000,15606000,15163000,124360000,124360000,121786000,121786000,929216000,8681000,8178000,1184043000,65390000,57033000,260031000,1444074000,758160000,28282000,729568000,46775000,46775000,804935000,182258000,56962000,9551000,239220000,1044155000,236521000,160724000,396510000,399919000,1444074000,15436000,5946000,7023000,28943000,57348000,305999.999999998,-834000,-16230000,-22687000,-10403000,-33090000,8027999.99999999,8027999.99999999,8692000,38231000,182258000,77831000,0.13324,0.04115,0.01933,0.03792,0.0105,5.13296,1.47098,2.61092,0.12621,0.72794,0.72212,37.6627,19.03553,3.73649,0.02372,0.12177,1.51443,1.79334
