"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2017_Q2",19.345873015873,"Up",6.84e+08,-4.08e+08,2.76e+08,-1.69e+08,-1.4e+07,-7e+07,-8.5e+07,1.07e+08,-3.8e+07,-3e+07,4e+06,-1.3e+07,6.9e+07,1864546715.08172,6.9e+07,2.281e+09,2.35e+09,2.35e+09,-5609543.4060457,2.35e+09,2.35e+09,3.18e+08,3.18e+08,1.8e+08,1.8e+08,1.8e+07,1.8e+07,5.16e+08,8.516e+09,8.08e+08,4.3e+07,8.2e+07,2.8e+07,9.324e+09,9.84e+09,2.99e+08,1.74e+08,4.12e+08,4.12e+08,7.11e+08,3.012e+09,1.46e+08,0,3.158e+09,3.869e+09,3.822e+09,2.258e+09,6.02e+09,-4.9e+07,5.971e+09,9.84e+09,2.35e+09,7e+07,-2.288e+09,9e+06,1.41e+08,-3.7e+07,1e+06,-3.7e+07,-9e+06,-1.19e+08,-1.5e+07,-1.5e+07,-1.4e+07,1.77e+08,3.012e+09,-2.132e+09,0.40351,0.15643,3.43567,0.39357,0.23882,-0.90723,0.72574,0.64797,0.3061,11.63366,11.03286,3.38614,29.80198,-10.55446,0.26947,-0.23354,15.22034,25.17757
"2","2017_Q3",19.8828571428571,"Up",7.33e+08,-4.16e+08,3.17e+08,-1.79e+08,-1.6e+07,-7.3e+07,-9e+07,1.38e+08,-4.2e+07,-3e+07,8e+06,-1.6e+07,9.6e+07,518182238.360575,9.6e+07,1.9e+07,1.15e+08,1.15e+08,-3e+06,1.12e+08,1.12e+08,3.06e+08,3.06e+08,1.88e+08,1.88e+08,1.8e+07,1.8e+07,5.12e+08,8.495e+09,8.1e+08,4.3e+07,8.7e+07,2.2e+07,9.305e+09,9.817e+09,2.75e+08,1.78e+08,4.04e+08,4.04e+08,6.79e+08,3.014e+09,1.23e+08,0,3.137e+09,3.816e+09,3.825e+09,2.277e+09,6.049e+09,-4.8e+07,6.001e+09,9.817e+09,1.15e+08,7.3e+07,-1.6e+07,-3.9e+07,1.33e+08,-4.9e+07,0,-4.9e+07,-4e+06,-9.6e+07,-1.2e+07,-1.2e+07,-1.2e+07,2.11e+08,3.014e+09,1.04e+08,0.43247,0.18827,0.1528,0.0186600000000001,0.0114100000000001,0.92857,0.75405,0.63589,0.30702,0.523359999999997,0.52093,3.42523,28.26636,0.48598,0.02232,0.01138,12.83412,19.62319
"3","2017_Q4",21.6044444444444,"Up",6.88e+08,-4.01e+08,2.87e+08,-1.78e+08,-1.5e+07,-7.4e+07,-8.9e+07,1.09e+08,-4.6e+07,-3.1e+07,6e+06,-2e+07,6.3e+07,-2e+06,6.1e+07,4.4e+07,1.05e+08,1.05e+08,-2e+06,1.03e+08,1.03e+08,3.57e+08,3.57e+08,1.58e+08,1.58e+08,2e+07,2e+07,5.35e+08,8.464e+09,8.04e+08,4.2e+07,8.5e+07,2.3e+07,9.268e+09,9.803e+09,2.75e+08,1.78e+08,4.16e+08,4.16e+08,6.91e+08,3.015e+09,7.4e+07,0,3.089e+09,3.78e+09,3.829e+09,2.286e+09,6.07e+09,-4.7e+07,6.023e+09,9.803e+09,1.05e+08,7.4e+07,-3.9e+07,4.4e+07,1.84e+08,-3.9e+07,0,-3.9e+07,-1e+06,-9.3e+07,5.2e+07,5.2e+07,5.3e+07,1.83e+08,3.015e+09,1.44e+08,0.41715,0.15843,0.14971,0.0171,0.01051,1.39806,0.77424,0.62759,0.30756,0.48131,0.47907,3.21495,28.36449,0.6729,0.0214,0.0158,14.52459,24.38532
"4","2018_Q1",21.4906557377049,"Down",6.86e+08,-4.04e+08,2.82e+08,-1.77e+08,-2.3e+07,-7.1e+07,-8.3e+07,1.05e+08,-2.3e+07,-3.1e+07,2.2e+07,-1.4e+07,8.2e+07,-2.3e+07,5.9e+07,2000000.00000003,6.1e+07,6.1e+07,-1e+06,59999999.9999999,59999999.9999999,3.64e+08,3.64e+08,1.25e+08,1.25e+08,5.2e+07,1.5e+07,5.41e+08,8.311e+09,8.62e+08,4.1e+07,8.4e+07,8.3e+07,9.173e+09,9.714e+09,3.39e+08,1.98e+08,3.87e+08,3.87e+08,7.26e+08,2.961e+09,6.5e+07,-2.91038304567337e-11,3.026e+09,3.752e+09,3.827e+09,2.229e+09,6.011e+09,-4.9e+07,5.962e+09,9.714e+09,6.1e+07,7.1e+07,-1.8e+07,7.3e+07,1.87e+08,-6e+07,2.8e+07,-3.2e+07,-4e+06,-1.51e+08,4e+06,4e+06,2000000.00000001,1.76e+08,2.961e+09,1.87e+08,0.41108,0.15306,0.08746,0.01006,0.00618,3.11667,0.74518,0.62932,0.30482,0.28037,0.28169,3.20561,28.08879,0.87383,0.01691,0.02081,14.75568,24.73333
"5","2018_Q2",23.82828125,"Up",6.68e+08,-3.94e+08,2.74e+08,-1.72e+08,-1.6e+07,-7e+07,-8.6e+07,1.02e+08,-4.2e+07,-3e+07,4e+06,-1.7e+07,6e+07,8.9e+07,1.49e+08,0,1.49e+08,1.49e+08,1e+06,1.5e+08,1.5e+08,1.72e+08,1.72e+08,1.38e+08,1.38e+08,1.08e+08,1.08e+08,4.18e+08,8.051e+09,8.67e+08,2.8e+07,8.7e+07,9.1e+07,8.918e+09,9.336e+09,2.8e+08,1.72e+08,3.49e+08,3.49e+08,6.29e+08,2.946e+09,4.6e+07,0,2.992e+09,3.621e+09,3.58e+09,2.193e+09,5.765e+09,-5e+07,5.715e+09,9.336e+09,1.49e+08,7e+07,-9.3e+07,-8.3e+07,4.3e+07,3.07e+08,1.8e+07,3.25e+08,-1e+06,-4.68e+08,-1e+08,-1e+08,-9.9e+07,1.72e+08,2.946e+09,3.96e+08,0.41018,0.15269,0.22455,0.02625,0.01607,2.64,0.66455,0.6336,0.31555,0.7109,0.70755,3.16588,27.32227,1.87678,0.03089,0.04548,16.12791,27.19608
"6","2018_Q3",26.494126984127,"Up",7.31e+08,-3.98e+08,3.33e+08,-1.73e+08,-1.5e+07,-6.9e+07,-8.9e+07,1.6e+08,6.4e+07,-3e+07,8e+06,9e+07,2.24e+08,6999999.99999999,2.31e+08,-1.3e+07,2.18e+08,2.18e+08,-2e+06,2.16e+08,2.16e+08,4.21e+08,4.21e+08,1.8e+08,1.8e+08,1.7e+07,1.7e+07,6.18e+08,7.999e+09,8.34e+08,2.7e+07,5.6e+07,9.8e+07,8.833e+09,9.451e+09,2.88e+08,1.81e+08,4.23e+08,4.23e+08,7.11e+08,2.947e+09,3.6e+07,9.31322574615479e-10,2.983e+09,3.694e+09,3.583e+09,2.231e+09,5.806e+09,-4.9e+07,5.757e+09,9.451e+09,2.18e+08,6.9e+07,-1.07e+08,-7.5e+07,1.05e+08,-25000000.0000001,1.7e+07,1.42e+08,-2e+06,-87000000.0000001,1.6e+08,1.6e+08,1.58e+08,2.29e+08,2.947e+09,1.42e+08,0.45554,0.21888,0.29549,0.03752,0.02285,0.65741,0.8692,0.64165,0.31182,1.08,1.07463,3.655,29.03,0.71,0.03444,0.01625,11.03057,15.7875
"7","2018_Q4",24.6420634920635,"Down",6.52e+08,-3.81e+08,2.71e+08,-1.71e+08,-1.6e+07,-6.9e+07,-8.6e+07,1e+08,-4.8e+07,-3e+07,4e+06,-2.1e+07,5.2e+07,3e+06,5.5e+07,0,5.5e+07,5.5e+07,-3e+06,5.2e+07,5.2e+07,3.99e+08,3.99e+08,1.76e+08,1.76e+08,1.6e+07,1.6e+07,5.91e+08,7.974e+09,7.9e+08,2.6e+07,5.3e+07,4.2e+07,8.764e+09,9.355e+09,3.14e+08,1.98e+08,3.33e+08,3.33e+08,6.47e+08,2.948e+09,3.2e+07,0,2.98e+09,3.627e+09,3.587e+09,2.196e+09,5.774e+09,-4.6e+07,5.728e+09,9.355e+09,5.5e+07,6.9e+07,7e+06,1.6e+07,1.47e+08,-4.6e+07,5.2e+07,6e+06,0,-1.75e+08,-2.2e+07,-2.2e+07,-2.3e+07,1.69e+08,2.948e+09,1.39e+08,0.41564,0.15337,0.07975,0.00908,0.00556,2.67308,0.91345,0.63321,0.31513,0.26,0.25871,3.26,28.87,0.695,0.02607,0.01596,15.08284,25.49
"8","2019_Q1",25.8562295081967,"Up",6.86e+08,-3.98e+08,2.88e+08,-2.43e+08,-1.8e+07,-6.9e+07,-1.56e+08,4.5e+07,2.2e+07,-3.1e+07,2e+06,4.7e+07,6.7e+07,-2e+06,6.5e+07,-1e+07,5.5e+07,5.5e+07,-1e+06,5.4e+07,5.4e+07,4.1e+08,4.1e+08,1.53e+08,1.53e+08,1.5e+07,1.5e+07,5.78e+08,7.975e+09,8.1e+08,2.7e+07,5e+07,4.4e+07,8.785e+09,9.363e+09,3.2e+08,1.83e+08,4.67e+08,4.67e+08,7.87e+08,2.948e+09,4.2e+07,7.45058059692383e-09,2.99e+09,3.777e+09,3.591e+09,2.047e+09,5.632e+09,-4.6e+07,5.586e+09,9.363e+09,5.5e+07,6.9e+07,-3e+06,2.8e+07,1.49e+08,-4.5e+07,1.51e+08,-5.4e+07,-1e+06,-86000000.0000001,8999999.99999996,8999999.99999996,1e+07,1.14e+08,2.948e+09,1.07e+08,0.41983,0.0656,0.07872,0.00967,0.00577,1.98148,0.73443,0.67615,0.31486,0.26866,0.26733,3.41294,28.0199,0.53234,0.01621,0.01248,22.26316,56.4
"9","2019_Q2",26.2861904761905,"Up",6.59e+08,-3.8e+08,2.79e+08,-1.61e+08,-1.7e+07,-6.2e+07,-8.2e+07,1.18e+08,1.8e+07,3.3e+07,5e+06,-2e+07,1.36e+08,-3.2e+07,1.04e+08,-7e+06,9.7e+07,9.7e+07,-1e+06,9.6e+07,9.6e+07,2.76e+08,2.76e+08,1.72e+08,1.72e+08,1.4e+07,1.4e+07,4.62e+08,7.944e+09,9.88e+08,2e+06,4.9e+07,2.54e+08,8.932e+09,9.394e+09,2.72e+08,1.62e+08,3.48e+08,3.48e+08,6.2e+08,2.949e+09,2.45e+08,2.04e+08,3.194e+09,3.814e+09,3.59e+09,2.044e+09,5.628e+09,-4.8e+07,5.58e+09,9.394e+09,9.7e+07,6.2e+07,-2.7e+07,-6e+07,7.2e+07,1e+06,1e+06,2e+06,-8e+06,-2.09e+08,-1.35e+08,-1.35e+08,-1.35e+08,1.8e+08,2.949e+09,1.28e+08,0.42337,0.17906,0.14568,0.0172,0.01022,1.33333,0.74516,0.68351,0.31392,0.47761,0.47525,3.27861,28,0.63682,0.03385,0.01459,14.85,22.65254
"10","2019_Q3",22.6165625,"Down",7.03e+08,-3.94e+08,3.09e+08,-1.68e+08,-2.2e+07,-6.1e+07,-8.5e+07,1.41e+08,-6.5e+07,-9.5e+07,1e+07,2e+07,7.6e+07,1.3e+07,8.9e+07,-5e+06,8.4e+07,8.4e+07,-2e+06,8.2e+07,8.2e+07,3.1e+08,3.1e+08,1.86e+08,1.86e+08,1.7e+08,1.7e+08,6.66e+08,7.764e+09,1.001e+09,2e+06,5.2e+07,2.52e+08,8.765e+09,9.431e+09,3.25e+08,2.08e+08,3.39e+08,3.39e+08,6.64e+08,2.949e+09,2.42e+08,2e+08,3.191e+09,3.855e+09,3.593e+09,2.034e+09,5.622e+09,-4.6e+07,5.576e+09,9.431e+09,8.4e+07,6.1e+07,1.6e+07,1.1e+07,1.72e+08,1.08e+08,999999.999999985,1.09e+08,-1e+06,-9.1e+07,1.9e+08,1.9e+08,1.9e+08,2.02e+08,2.949e+09,3.26e+08,0.43954,0.20057,0.11664,0.01471,0.00869,3.97561,1.00301,0.69136,0.31269,0.40796,0.40594,3.49751,27.97015,1.62189,0.01962,0.03718,13.06436,18.71631
