"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",42.5061904761905,"Down",3.592e+09,-5.08e+08,3.084e+09,-1.603e+09,-8.83e+08,-6.46e+08,1.481e+09,-6.1e+07,-1.45e+08,8.4e+07,1.42e+09,1.42e+09,-2.53e+08,1.167e+09,1.167e+09,1.167e+09,1.167e+09,1.4117e+10,2.266e+09,1.1851e+10,2.271e+09,2.271e+09,2.202e+09,1.219e+09,1.219e+09,1.9809e+10,5.619e+09,1.4938e+10,2.462e+09,1.1335e+10,1.141e+09,2.0557e+10,4.0366e+10,4.184e+09,8.82e+08,3.302e+09,2.378e+09,6.562e+09,9.286e+09,2.179e+09,2.179e+09,1.1465e+10,1.8027e+10,2.7031e+10,-4.852e+09,1.6e+08,2.2339e+10,2.2339e+10,4.0366e+10,1.167e+09,2.52e+08,7.8e+07,-5.84e+08,9.13e+08,-9.4e+07,-8.49e+08,-1.2e+07,-9.55e+08,-90268310.854564,9.89e+08,-1.561e+09,-4e+06,-5.76e+08,-6.18e+08,-6.18e+08,-6.18e+08,1.733e+09,1.1664e+10,1.308e+09,0.85857,0.41231,0.32489,0.05224,0.02891,1.12082,3.01874,0.80697,0.28896,1.18839,1.18117,3.65784,22.74847,1.33198,0.0987995252860396,49.0711366990439,0.03225,0.03615,0.221860494778315,-1.41546,-1.65631
"2","2010_Q3",40.54765625,"Down",3.804e+09,-5.53e+08,3.251e+09,-1.734e+09,-9.86e+08,-6.75e+08,1.517e+09,-5.3e+07,-1.47e+08,9.4e+07,1.464e+09,1.464e+09,-2.62e+08,1.202e+09,1.202e+09,1.202e+09,1.202e+09,1.4523e+10,1.712e+09,1.2811e+10,2.208e+09,2.208e+09,2.112e+09,1.321e+09,1.321e+09,2.0164e+10,5.63e+09,1.5006e+10,2.421e+09,1.1334e+10,1.251e+09,2.0636e+10,4.08e+10,3.578e+09,7.22e+08,2.856e+09,2.414e+09,5.992e+09,9.318e+09,2.32e+09,2.32e+09,1.1638e+10,1.763e+10,2.7119e+10,-4.266e+09,3.17e+08,2.317e+10,2.317e+10,4.08e+10,1.202e+09,2.51e+08,1.6e+08,-4.9e+07,1.564e+09,-1.77e+08,-1.222e+09,-3.6e+07,-1.435e+09,-30089436.9515213,0,-7.39e+08,5.6e+07,-6.83e+08,-5.54e+08,-5.54e+08,-5.54e+08,1.768e+09,1.1732e+10,1.804e+09,0.85463,0.39879,0.31598,0.05188,0.02946,1.50083,3.36515,0.7609,0.28755,1.2547,1.24689,3.97077,24.1858,1.88309,0.0329331750953465,26.1712729061567,0.03229,0.04847,0.0739534982594382,-1.57862,-1.83982
"3","2010_Q4",41.9709375,"Up",3.816e+09,-5.87e+08,3.229e+09,-1.75e+09,-9.57e+08,-7.19e+08,1.479e+09,-4.5e+07,-1.5e+08,1.05e+08,1.434e+09,1.434e+09,-1.98e+08,1.236e+09,1.236e+09,1.236e+09,1.236e+09,1.7049e+10,2.951e+09,1.4098e+10,2.443e+09,2.443e+09,2.044e+09,1.394e+09,1.394e+09,2.293e+10,5.643e+09,1.4961e+10,2.315e+09,1.1334e+10,1.312e+09,2.0604e+10,4.3534e+10,3.809e+09,7.59e+08,3.05e+09,2.451e+09,6.26e+09,1.0841e+10,2.362e+09,2.362e+09,1.3203e+10,1.9463e+10,2.721e+10,-3.394e+09,2.55e+08,2.4071e+10,2.4071e+10,4.3534e+10,1.236e+09,2.53e+08,1.29e+08,-3.16e+08,1.302e+09,-1.27e+08,-1.118e+09,-2.6e+07,-1.271e+09,0,1.482e+09,-2.94e+08,2e+07,1.208e+09,1.239e+09,1.239e+09,1.239e+09,1.732e+09,1.3292e+10,1.487e+09,0.84617,0.38758,0.3239,0.05135,0.02839,1.20307,3.66294,0.80857,0.30532,1.29019,1.28616,3.9833,25.1263,1.55219,0,12.5642273398088,0.03111,0.03743,0,-2.16917,-2.54023
"4","2011_Q1",40.9575806451613,"Down",3.841e+09,-5.72e+08,3.269e+09,-2.201e+09,-1.274e+09,-8.54e+08,1.068e+09,-6.9e+07,-1.62e+08,9.3e+07,9.99e+08,9.99e+08,2.3e+07,1.022e+09,1.022e+09,1.022e+09,1.022e+09,1.7422e+10,3.287e+09,1.4135e+10,2.335e+09,2.335e+09,2.022e+09,1.35e+09,1.35e+09,2.3129e+10,5.522e+09,1.4835e+10,2.23e+09,1.1334e+10,1.271e+09,2.0357e+10,4.3486e+10,4.082e+09,7.16e+08,3.366e+09,2.488e+09,6.57e+09,1.0874e+10,2.098e+09,2.098e+09,1.2972e+10,1.9542e+10,2.7299e+10,-3.508e+09,1.53e+08,2.3944e+10,2.3944e+10,4.3486e+10,1.022e+09,2.61e+08,9.3e+07,6.32e+08,2.008e+09,-1.82e+08,-2.86e+08,-2.3e+07,-4.91e+08,0,0,-1.112e+09,-6.9e+07,-1.181e+09,3.36e+08,3.36e+08,3.36e+08,1.329e+09,1.3362e+10,1.756e+09,0.85108,0.27805,0.26608,0.04268,0.0235,1.7182,3.5204,0.81615,0.30727,1.08493,1.0792,4.07749,25.41826,1.86412,0,6,0.02594,0.04456,0,-3.05493,-3.8015
"5","2011_Q2",43.5149206349206,"Up",3.706e+09,-5.64e+08,3.142e+09,-1.849e+09,-1.039e+09,-7.36e+08,1.293e+09,1.3e+07,-1.35e+08,1.48e+08,1.306e+09,1.306e+09,-1.81e+08,1.125e+09,1.125e+09,1.125e+09,1.125e+09,1.5358e+10,1.266e+09,1.4092e+10,2.517e+09,2.517e+09,2.098e+09,1.716e+09,1.716e+09,2.1689e+10,5.455e+09,1.557e+10,2.808e+09,1.1504e+10,1.258e+09,2.1025e+10,4.2714e+10,4.166e+09,8.32e+08,3.334e+09,8.3e+07,4.249e+09,1.0824e+10,2.657e+09,2.657e+09,1.3481e+10,1.773e+10,2.7376e+10,-2.383e+09,-9e+06,2.4984e+10,2.4984e+10,4.2714e+10,1.125e+09,2.73e+08,9.1e+07,-4.59e+08,1.03e+09,-1e+08,-4.6e+07,-6e+06,-5.55e+08,0,-2.5e+09,2e+06,2e+06,-2.496e+09,-2.021e+09,-2.021e+09,-2.021e+09,1.566e+09,1.0907e+10,1.188e+09,0.84781,0.34889,0.30356,0.04503,0.02634,1.056,5.1045,0.70965,0.25535,1.20579,1.19554,3.97213,26.77814,1.27331,0,4.22859088673041,0.02918,0.03082,0,-2.84227,-3.44238
"6","2011_Q3",41.24359375,"Down",3.959e+09,-6.02e+08,3.357e+09,-2.025e+09,-1.133e+09,-8.19e+08,1.332e+09,7e+06,-1.22e+08,1.29e+08,1.339e+09,1.339e+09,-1.69e+08,1.17e+09,1.17e+09,1.17e+09,1.17e+09,1.9172e+10,5.998e+09,1.3174e+10,2.713e+09,2.713e+09,2.23e+09,1.366e+09,1.366e+09,2.5481e+10,5.516e+09,1.5939e+10,2.782e+09,1.1794e+10,1.363e+09,2.1455e+10,4.6936e+10,4.499e+09,8.7e+08,3.629e+09,8.3e+07,4.582e+09,1.3847e+10,2.893e+09,2.893e+09,1.674e+10,2.1322e+10,2.7514e+10,-1.945e+09,4.5e+07,2.5614e+10,2.5614e+10,4.6936e+10,1.17e+09,2.61e+08,4.7e+07,58000000.0000001,1.536e+09,-1.23e+08,1.266e+09,1e+06,8.46e+08,-7.45058059692383e-09,2.973e+09,-6.34e+08,1.1e+07,2.35e+09,4.732e+09,4.732e+09,4.732e+09,1.593e+09,1.393e+10,1.697e+09,0.84794,0.33645,0.29553,0.04568,0.02493,1.45043,5.56111,0.83244,0.29679,1.26214,1.25134,4.27077,27.63107,1.83064,0,5,0.02757,0.03999,0,-3.29065,-3.93544
"7","2011_Q4",44.0307936507936,"Up",3.944e+09,-6.05e+08,3.339e+09,-2.814e+09,-1.979e+09,-7.61e+08,5.25e+08,-7.1e+07,-1.58e+08,8.7e+07,4.54e+08,4.54e+08,0,4.54e+08,4.54e+08,4.54e+08,4.54e+08,1.7676e+10,3.891e+09,1.3785e+10,2.725e+09,2.725e+09,2.357e+09,1.672e+09,1.672e+09,2.443e+10,5.391e+09,1.5944e+10,2.683e+09,1.1768e+10,1.493e+09,2.1335e+10,4.5765e+10,4.931e+09,7.34e+08,4.197e+09,3.84e+08,5.315e+09,1.3881e+10,3.016e+09,3.016e+09,1.6897e+10,2.2212e+10,2.7602e+10,-4.167e+09,1.18e+08,2.3553e+10,2.3553e+10,4.5765e+10,4.54e+08,2.65e+08,1.38e+08,1.12e+08,9.69e+08,-1.2e+08,-7.53e+08,1.6e+07,-8.57e+08,-2.55e+08,3e+08,-2.259e+09,-5e+06,-2.219e+09,-2.107e+09,-2.107e+09,-2.107e+09,7.9e+08,1.4265e+10,7.82e+08,0.8466,0.13311,0.11511,0.01928,0.00992,1.72247,4.59643,0.94306,0.3117,0.5011,0.49672,4.3532,25.99669,0.86313,0.28146,6,0.01736,0.01915,0.56167,-4.31772,-6.49714
"8","2012_Q1",51.7364516129032,"Up",3.973e+09,-9.37e+08,3.036e+09,-1.874e+09,-1.244e+09,-8.51e+08,1.162e+09,-1.11e+08,-1.95e+08,8.4e+07,1.051e+09,1.051e+09,-1.17e+08,9.34e+08,9.34e+08,9.34e+08,9.34e+08,2.0641e+10,6.946e+09,1.3695e+10,2.896e+09,2.896e+09,2.484e+09,1.572e+09,1.572e+09,2.7593e+10,5.42e+09,1.5858e+10,2.584e+09,1.175e+10,1.524e+09,2.1278e+10,4.8871e+10,5.67e+09,6.42e+08,5.028e+09,8.4e+07,5.754e+09,2.1344e+10,2.744e+09,2.744e+09,2.4088e+10,2.9842e+10,2.7777e+10,-8.919e+09,1.71e+08,1.9029e+10,1.9029e+10,4.8871e+10,9.34e+08,2.61e+08,-1.94e+08,5.83e+08,1.584e+09,-2.24e+08,-30000000.0000002,3.4e+07,-2.2e+08,-2.45e+08,7.114e+09,-5.182e+09,4e+06,1.691e+09,3.055e+09,3.055e+09,3.055e+09,1.423e+09,2.1428e+10,1.899e+09,0.76416,0.29247,0.23509,0.04908,0.01911,2.03319,4.79545,1.56824,0.43846,1.09368,1.08858,4.65222,22.2822,2.22365,0.28689,5,0.02729,0.04396,0.26231,0.55306,0.67728
"9","2012_Q2",53.4915873015873,"Up",4.048e+09,-7.5e+08,3.298e+09,-1.821e+09,-1.085e+09,-7.36e+08,1.477e+09,-1.11e+08,-2.35e+08,1.24e+08,1.366e+09,1.366e+09,-1.82e+08,1.184e+09,1.184e+09,1.184e+09,1.184e+09,1.9374e+10,4.207e+09,1.5167e+10,2.988e+09,2.988e+09,2.499e+09,1.994e+09,1.994e+09,2.6855e+10,5.392e+09,1.7003e+10,3.445e+09,1.2121e+10,1.437e+09,2.2395e+10,4.925e+10,5.917e+09,8.91e+08,5.026e+09,2.381e+09,8.298e+09,1.9028e+10,3.05e+09,3.05e+09,2.2078e+10,3.0376e+10,2.8212e+10,-9.444e+09,1.06e+08,1.8874e+10,1.8874e+10,4.925e+10,1.184e+09,2.59e+08,1.42e+08,-6.13e+08,9.72e+08,-1.44e+08,-1.233e+09,0,-2.346e+09,-2.85e+08,-8.4e+07,-1.001e+09,5e+06,-1.365e+09,-2.739e+09,-2.739e+09,-2.739e+09,1.736e+09,2.1409e+10,1.161e+09,0.81472,0.36487,0.29249,0.06273,0.02404,0.98057,3.23632,1.60941,0.4347,1.49684,1.48,5.11757,23.86094,1.46776,0.3603,3,0.0339,0.02679,0.24071,1.17224,1.37779
"10","2012_Q3",62.8228571428571,"Up",4.477e+09,-7.52e+08,3.725e+09,-2.136e+09,-1.31e+09,-8.26e+08,1.589e+09,-1.32e+08,-2.56e+08,1.24e+08,1.457e+09,1.457e+09,-1.91e+08,1.266e+09,1.266e+09,1.266e+09,1.266e+09,2.2475e+10,5.849e+09,1.6626e+10,2.708e+09,2.708e+09,2.592e+09,1.787e+09,1.787e+09,2.9562e+10,5.437e+09,1.7227e+10,3.47e+09,1.2428e+10,1.329e+09,2.2664e+10,5.2226e+10,5.616e+09,8.84e+08,4.732e+09,2.416e+09,8.032e+09,2.1962e+10,2.993e+09,2.993e+09,2.4955e+10,3.2987e+10,2.8468e+10,-9.38e+09,1.51e+08,1.9239e+10,1.9239e+10,5.2226e+10,1.266e+09,2.69e+08,-1.01e+08,9.41e+08,2.375e+09,-1.72e+08,-1.467e+09,-9.9e+07,-2.44e+09,-2.8e+08,2.961e+09,-9.95e+08,2.1e+07,1.707e+09,1.642e+09,1.642e+09,1.642e+09,1.858e+09,2.4378e+10,2.818e+09,0.83203,0.35493,0.28278,0.0658,0.02424,2.22591,3.68053,1.71459,0.46678,1.63144,1.6148,5.76933,24.79253,3.63144,0.36082,5,0.03317,0.06046,0.22117,1.02422,1.19761
