"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","pension_liabilities","pensions","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",9.65046875,"Up",302200000,-162529000,139671000,-66186000,-33095000,-33091000,73485000,-252000,-693000,441000,73233000,905000,74138000,-27869000,46269000,46269000,46269000,46269000,10044503.2572505,10044503.2572505,222854662.318514,222854662.318514,83392129.2793343,6510487.92683628,12602624.8307163,33565256.6976416,-45569372.1023266,322801782.781935,341380162.357897,33641979.88961,24092919.1872566,9549060.70235335,375022142.247507,697823925.029442,77481258.6632792,119953491.15954,-76966451.3928296,34494196.3239969,77481258.6632792,51500236.9775807,5394179.34824261,5394179.34824261,218688777.071972,-172582719.442634,51500236.9775807,128981495.64086,18719355.8946226,556494041.328809,-6370967.8348493,568842429.388582,568842429.388582,697823925.029442,46269000,33071000,4374000,-38888000,44826000,-45045000,-45045000,59000,-4000,-230000,-449000,-449000,-449000,106556000,0,50492000,0.46218,0.24317,0.15311,0.126934325796302,0.0900024200980271,1.09127,3.84725717217397,0.285202527506387,0,0.21264,0.20992,1.38883,2.60258866086222,0.23205,0.107579604257826,0.274931343450604,-0.0861704293028691,-0.112439350002086
"2","2011_Q1",10.6525806451613,"Up",328144000,-174477000,153667000,-66053000,-31429000,-34624000,87614000,-165000,-912000,747000,87449000,2184000,89633000,-34162000,55471000,55471000,55471000,55471000,9035000,9035000,294002000,294002000,64059000,31582000,5695000,17251000,1210000,398678000,453017000,36176000,24093000,12083000,489193000,887871000,117504000,78743000,5788000,32973000,117504000,231472000,18397000,18397000,80888000,132187000,231472000,348976000,21278000,527150000,-9533000,538895000,538895000,887871000,55471000,34575000,7193000,-21212000,76027000,-76414000,-76414000,110000.000000004,-3000.00000000373,6188000,5801000,5801000,5801000,122189000,0,58725000,0.46829,0.267,0.16904,0.10293,0.06248,1.05866,3.39289,0.64758,0,0.25485,0.25198,1.50759,2.47585,0.2698,0.08094,0.07623,-0.07394,-0.10312
"3","2011_Q2",13.292380952381,"Up",381761000,-201252000,180509000,-75594000,-36057000,-39537000,104915000,-741000,-1075000,334000,104174000,1411000,105585000,-40061000,65524000,65524000,65524000,65524000,8039832.24758315,8039832.24758315,353679279.227162,353679279.227162,65471540.2402219,32311670.6910546,8920875.0564279,6280914.43411946,26752323.261396,459502322.406022,521932362.547368,36820173.37013,24093026.9375811,12727146.4325489,558752535.917498,1018254858.32352,150717413.778907,87691669.6134866,28726067.1309432,34299684.5586677,150717413.778907,292488671.007473,21152273.5505858,21152273.5505858,53575740.9760095,217760656.480878,292488671.007473,443206084.78638,18697464.7017925,566232402.890397,-9881094.05505024,575048773.537139,575048773.537139,1018254858.32352,65524000,39249000,16199000,-35340000,85632000,-86288000,-86288000,-17175000,-17499000,3299000,2643000,2643000,2643000,144164000,0,62597000,0.47283,0.27482,0.17164,0.102957724734566,0.058455026633991,0.95533,3.07252344260868,0.756209157497871,0,0.30123,0.2971,1.75505,2.64268127971259,0.28777,0.079225131914058,0.0295912188497988,-0.058410690232377,-0.0826952166659714
"4","2011_Q3",13.00828125,"Down",443029000,-242991000,200038000,-80849000,-35956000,-44893000,119189000,-1005000,-995000,-9999.99999999994,118184000,78000,118262000,-45097000,73165000,73165000,73165000,73165000,7190000,7190000,400348000,400348000,78657000,23934000,15646000,604000,36560497.6818613,510129000,568112000,36551000,24093000,12458000,604663000,1114792000,175610000,119324000,19081000,37205000,175610000,292918000,18935000,18935000,89376000,184607000,292918000,468528000,14829000,640562000,-9127000,646264000,646264000,1114792000,73165000,44908000,12162000,-45042000,85193000,-102271000,-102271000,-1110000,-1358000,12590000,-4488000,-4488000,-4488000,164097000,0,61881000,0.45152,0.26903,0.16515,0.11321,0.06563,0.84577,2.9049,0.72498,0,0.33589,0.33217,2.0339,2.96694,0.28409,0.0889,0.06589,-0.04382,-0.06032
"5","2011_Q4",10.5033333333333,"Down",502235000,-279936000,222299000,-83666000,-37190000,-46476000,138633000,-1784000,-878000,-906000,136849000,-4179000,132670000,-49559000,83111000,83111000,83111000,83111000,6970000,6970000,437257000,437257000,93136000,27930000,17519000,2374000,36137423.261396,565293000,612724000,36014000,24093000,11921000,648738000,1214031000,185075000,139508000,3985000,41582000,185075000,310128000,18431000,18431000,139082000,152615000,310128000,495203000,14831000,713537000,-9540000,718828000,718828000,1214031000,83111000,46677000,54153000,-41851000,142090000,-98273000,-98273000,69000,0,-44037000,-220000,-220000,-220000,185310000,0,94745000,0.44262,0.27603,0.16548,0.11562,0.06846,1.13998,3.0544,0.6889,0,0.3814,0.37726,2.30478,3.29874,0.43479,0.09226,0.09208,-0.03761,-0.05028
"6","2012_Q1",9.24548387096774,"Down",482782000,-268525000,214257000,-91082000,-42083000,-48999000,123175000,264000,-487000,751000,123439000,-1141000,122298000,-47717000,74581000,74581000,74581000,74581000,7393000,7393000,461272000,461272000,100438000,57452000,8478000,10805000,30986000,626555000,675360000,36296000,24093000,12203000,711656000,1338211000,179466000,122987000,10705000,45774000,179466000,396153000,24445000,24445000,155928000,215780000,396153000,575619000,22119000,753119000,-12646000,762592000,762592000,1338211000,74581000,48953000,10129000,-60571000,73092000,-104805000,-104805000,-15475000,-15562000,32136000,423000,423000,423000,172128000,0,54469000,0.4438,0.25514,0.15448,0.0978,0.05573,0.73033,3.49122,0.75482,0,0.34294,0.33917,2.21991,3.50652,0.25046,0.07716,0.04701,-0.04295,-0.06002
"7","2012_Q2",8.82650793650794,"Down",502557000,-273799000,228758000,-96497000,-44927000,-51570000,132261000,329000,-591000,920000,132590000,-1404000,131186000,-50431000,80755000,80755000,80755000,80755000,5734000,5734000,425766000,425766000,111813000,48314000,7325000,561000,30393000,591627000,736888000,40492000,24093000,16399000,777380000,1369007000,206760000,132383000,35403000,38974000,206760000,361849000,22418000,22418000,147439000,191992000,361849000,568609000,21949000,790893000,-12444000,800398000,800398000,1369007000,80755000,51605000,3412000,47848000,183620000,-117728000,-117728000,-29547000,-29675000,-67551000,-1659000,-1659000,-1659000,183866000,0,164417000,0.45519,0.26318,0.16069,0.10089,0.05899,2.036,2.86142,0.71041,0,0.37452,0.37154,2.33075,3.71208,0.76253,0.0846,0.14146,-0.03119,-0.04335
"8","2012_Q3",10.9296825396825,"Up",500106000,-281279000,218827000,-97065000,-43115000,-53950000,121762000,-1526000,-646000,-880000,120236000,-1904000,118332000,-46072000,72260000,72260000,72260000,72260000,9256000,9256000,413511000,413511000,119046000,53066000,6e+06,528000,37591000,594879000,748806000,39956000,24093000,15863000,788762000,1383641000,166156000,117003000,2865000,46288000,166156000,360672000,21963000,21963000,164665000,174044000,360672000,526828000,21943000,847443000,-12573000,856813000,856813000,1383641000,72260000,53516000,23484000,-30746000,118514000,-78475000,-78475000,-309999.999999993,-349000.000000004,-36517000,3522000,3522000,3522000,175278000,0,112129000,0.43756,0.24347,0.14449,0.08434,0.05222,1.55174,3.58024,0.61487,0,0.33626,0.33434,2.32723,3.98716,0.52179,0.07374,0.0921,-0.05281,-0.07602
"9","2012_Q4",10.1848387096774,"Down",472418000,-271401000,201017000,-97098000,-43016000,-54082000,103919000,679000,-425000,1104000,104598000,-1551000,103047000,-37007000,66040000,66040000,66040000,66040000,11142000,11142000,378156000,378156000,142558000,25648000,5125000,3103000,11063000,557504000,760114000,40528000,24093000,16435000,800642000,1358146000,166961000,114094000,1553000,51314000,166961000,283232000,22573000,22573000,162623000,98036000,283232000,450193000,21972000,898232000,-12251000,907953000,907953000,1358146000,66040000,53969000,2216000,40911000,163136000,-65725000,-65725000,-97000,-2e+05,-95525000,1886000,1886000,1886000,157888000,0,170081000,0.42551,0.21997,0.13979,0.07274,0.04863,2.57542,3.33913,0.49583,0,0.30695,0.30483,2.19575,4.22007,0.79052,0.07017,0.14278,-0.07057,-0.10722
"10","2013_Q1",13.6031666666667,"Up",469942000,-279407000,190535000,-99988000,-44691000,-55297000,90547000,747000,-284000,1031000,91294000,-1240000,90054000,-34673000,55381000,55381000,55381000,55381000,14163000,14163000,387530000,387530000,140867000,25267000,10762000,4234000,4494000,567827000,756326000,43010000,24093000,18917000,799336000,1367163000,164511000,109846000,6428000,48237000,164511000,303420000,26543000,26543000,155007000,121870000,303420000,467931000,22014000,891464000,-14246000,899232000,899232000,1367163000,55381000,55063000,-6045000,-9735999.99999999,94663000,-47699000,-53910000,274000.000000001,-9.31322574615479e-10,-37732000,3021000,3021000,3021000,145610000,0,122848000,0.40544,0.19268,0.11785,0.06159,0.04051,2.21823,3.45161,0.52037,0,0.25723,0.25514,2.18273,4.17665,0.57059,0.09714,0.10215,-0.09727,-0.15642
