"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","sale_of_loan_income_loss","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","net_loans","net_fixed_assets","customer_acceptances_liabilities","other_assets","total_assets","total_deposits","interest_bearing_deposits","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_change_in_deposits","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2012_Q2",8.12206349206349,"Up",5447000,4585000,6872000,-2287000,862000,1627707.40030516,207000,2e+05,3e+05,5747000,-3936000,-455000,-3481000,1811000,1811000,1811000,1251000,1251000,1251000,1251000,73874821.9170335,62027436.2710431,358809669.532543,7231217.91555085,1995468.09059831,-30261349.717236,473677264.009532,370801051.280591,363471678.127429,43954618.4608599,20521009.3146969,435276647.705866,60384255.4734342,-13419978.0004669,-8563661.16929578,38400616.3036665,38400616.3036665,473677264.009532,1251000,197000,-3e+05,-463000,172000,857000,-88000,6730000,18349000,268000,25259000,-252000,-3174000,1655000,-1771000,24345000,24345000,24345000,2008000,0,0.33248,0.22967,0.0949864421279528,0.0138619244374248,8.83799750397969,0.086967290121889,0.19697,0.19611,0.85761,5.83573855995482,0.0138619244374248,-1447.47934566392,-1442.00628283462
"2","2012_Q3",9.07761904761905,"Up",4985000,4357000,6474000,-2117000,628000,649235.800101719,261000,199000,-325000,4660000,-4413000,-459000,-3954000,247000,247000,247000,219000,219000,219000,219000,116372707.305678,73043928.7570143,420320289.844181,7520255.97185028,1634839.36353277,7965933.42758799,626857954.669844,487018617.09353,469073692.709143,47151539.4869533,11677669.7715656,545847815.901955,60359385.1578114,24123540.666511,-3472787.05643193,81010138.7678888,81010138.7678888,626857954.669844,219000,209000,325000,-115000,251000,889000,-42000,4423000,9827000,201000,14409000,-253000,-14252000,-8999.99999999627,-14514000,784000,784000,784000,456000,-7.45058059692383e-09,0.04955,0.04393,0.0397041473759843,0.00575797481247492,6.83022416799323,0.0751970967072963,0.0344799999999999,0.03433,0.78487,12.7218526866516,0.00575797481247492,-536.970530221307,-561.757771444874
"3","2013_Q2",11.82078125,"Up",5310000,4003000,5950000,-1947000,1307000,164000,331000,785000,-4e+05,4910000,-4293000,-364000,-3929000,617000,617000,617000,671000,671000,671000,671000,115920000,88862000,446271000,7571000,1440000,27966000,688030000,535076000,511253000,4.8e+07,6884000,589960000,60352000,39267000,-1549000,98070000,98070000,688030000,671000,178000,4e+05,-1230000,-202000,-183000,-68000,-4194000,11061000,475000,7274000,-85000,-5912000,-17084000,-23081000,-15990000,-15990000,-15990000,795000,4.8e+07,0.1162,0.12637,0.00684,0.00098,6.0157,0.06976,0.10593,0.10519,0.83828,15.48207,0.00098,-85.43396,-110.08104
"4","2013_Q3",12.04890625,"Up",4249000,3625000,5463000,-1838000,624000,22000,208000,211000,-1045000,3204000,-4592000,-451000,-4141000,-1388000,-1388000,-1388000,-845000,-845000,-845000,-845000,87617000,107247000,446142000,7452000,1373000,34345000,684176000,534097000,508036000,4.8e+07,5145000,587242000,60357000,38422000,-1845000,96934000,96934000,684176000,-845000,179000,1045000,-529000,263000,113000,-56000,-24612000,-1640000,1051000,-25257000,-2.3283064365387e-10,-979000,-2180000,-3159000,-28303000,-28303000,-28303000,-1209000,4.8e+07,-0.32667,-0.19887,-0.00872,-0.00124,6.05816,0.07016,-0.1334,-0.13247,0.67078,15.30274,-0.00124,32.7684,28.54251
"5","2014_Q2",10.3734920634921,"Down",4343000,3835000,5165000,-1330000,508000,27000,258000,209000,-80000,4263000,-4196000,-485000,-3711000,67000,67000,67000,64000,64000,64000,64000,47361967.0660487,123814880.473134,429850031.152613,7238309.98240643,1384549.60220798,32033033.3922425,641682771.668653,502855160.683457,477005132.943214,47844712.1793458,5304543.60722852,556004409.938722,60368690.7236321,28627387.9165694,-3317716.91026995,85678361.7299305,85678361.7299305,641682771.668653,64000,163000,80000,1545000,-2366000,-514000,-44000,1640000,6031000,-1328000,6299000,5e+06,-13595000,1793000,-6802000,-1017000,-1017000,-1017000,230000,0,0.01543,0.01474,-0.0117494078900098,-0.00162651574220318,6.54599260499577,0.0747126854420602,0.01004,0.01003,0.68122,13.4871489291573,-0.00162651574220318,-42.589152638317,-18.0021691530464
"6","2014_Q3",10.98171875,"Up",4275000,3818000,5079000,-1261000,457000,29000,224000,204000,0,4275000,-4700000,-690000,-4010000,-425000,-425000,-425000,-426000,-426000,-426000,-426000,14245000,125584000,409058000,7031000,1380000,27256000,584554000,458723000,433967000,4.5e+07,5562000,509285000,60379000,19431000,-4541000,75269000,75269000,584554000,-426000,158000,0,771000,-1161000,-658000,-49000,2480000,-753000,612000,2289999.99999999,2e+06,-12278000,221000,-10057000,-8425000,-8425000,-8425000,-267000,4.5e+07,-0.09942,-0.09965,-0.00566,-0.00073,6.7662,0.07698,-0.06682,-0.06678,0.67056,11.80633,-0.00073,-115.18727,-72.36471
"7","2014_Q4",11.428125,"Up",4570000,3826000,5091000,-1265000,744000,283000,230000,162000,0,4570000,-4179000,-463000,-3716000,391000,391000,391000,391000,391000,391000,391000,4430345.14901514,107453844.202091,393828161.62007,6907292.06685558,1306281.51160967,25051983.1094785,538977907.65912,420357309.402865,396356054.815785,39890093.7184859,4707534.29253162,464954962.232856,60382035.250198,18080765.9170363,-4439855.74097417,74022945.4262641,74022945.4262641,538977907.65912,391000,163000,0,457000,-138000,873000,-70000,3635000,32410000,-235000,35740000,3e+06,-12687000,1284000,-8403000,28210000,28210000,28210000,554000,0,0.08556,0.08556,0.00488814998203736,0.000739559820372072,6.28205510101608,0.0748813953201713,0.06133,0.0613,0.71683,11.6025483692024,0.000739559820372072,-40.5395669743954,-2.53804231842359
"8","2015_Q1",12.6262295081967,"Up",4063000,3617000,4832000,-1215000,446000,13000,235000,198000,-183000,3880000,-3569000,-567000,-3002000,311000,311000,311000,682000,682000,682000,682000,19187000,104446000,386074000,6823000,1322000,24412000,542264000,412953000,389894000,4.8e+07,4539000,465492000,60383000,20116000,-3727000,76772000,76772000,542264000,682000,154000,183000,3350000,-4103000,266000,-81000,3819000,5596000,2845000,12179000,-1.86264514923096e-09,-33083000,-2630000,-35713000,-23268000,-23268000,-23268000,465000,4.8e+07,0.07654,0.16786,0.00888,0.00126,6.0633,0.08852,0.10691,0.10691,0.63694,12.03525,0.00126,61.9634400000001,92.6463
"9","2015_Q2",14.152380952381,"Up",4072000,3561000,4813000,-1252000,511000,19000,270000,196000,-90000,3982000,-3661000,-343000,-3318000,321000,321000,321000,321000,321000,321000,321000,48052000,139591000,383389000,6718000,1623000,23797000,603170000,440625000,418283000,7.8e+07,6660000,525285000,60388000,20437000,-2940000,77885000,77885000,603170000,321000,159000,90000,-2057000,-181000,-1668000,-55000,-51632000,23510000,-310000,-28487000,3e+07,27672000,1348000,59020000,28865000,28865000,28865000,480000,7.8e+07,0.07883,0.07883,0.00412,0.00053,6.74437,0.12932,0.05025,0.05025,0.63745,12.19252,0.00053,62.39167,93.29595
"10","2015_Q3",15.32703125,"Up",4581000,3836000,5166000,-1330000,745000,20000,264000,195000,0,4581000,-3573000,-434000,-3139000,1008000,1008000,1008000,1008000,1008000,1008000,1008000,51643000,168856000,377340000,6592000,2168000,24507000,631106000,444146000,419035000,9.8e+07,8934000,551080000,60397000,21445000,-1816000,80026000,80026000,631106000,1008000,162000,0,1951000,-197000,2924000,-35000,-59408000,36157000,-801000,-24087000,2e+07,3521000,1233000,24754000,3590999.99999999,3590999.99999999,3590999.99999999,1170000,9.8e+07,0.22004,0.22004,0.0126,0.0016,6.88626,0.15528,0.15771,0.15771,0.71674,12.52081,0.0016,39.62137,45.98909
