"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"22","2018_Q4",26.7255555555556,"Up",483175000,-36062000,447113000,-291517000,-51549000,-41187000,-198781000,155596000,-19441000,-19500000,59000,136155000,-3866000,132289000,-36301000,95988000,95988000,95988000,95988000,125669000,125669000,66842000,66842000,34782000,14328000,14328000,241621000,1688759000,281597000,158706000,66278000,19513000,1970356000,2211977000,167154000,107721000,59332000,23707000,108021000,108021000,298882000,1489289000,50470000,31886000,1539759000,1838641000,661163000,-137902000,373336000,373336000,2211977000,95988000,41187000,47459000,-43990000,140644000,-43506000,-43378000,-5926000.00000001,-673000,-4614000,92652000,92652000,92652000,196783000,1512996000,145588000,0.92536,0.32203,0.19866,0.25711,0.04339,1.51673,0.80842,4.9249,0.684,1.1082,1.09648,5.57836,4.31024,1.68084,0.04957,0.07517,7.05002999999999,8.91620999999999
"23","2019_Q1",25.512131147541,"Down",280028000,-21592000,258436000,-246568000,-43648000,-41320000,-161600000,11868000,-20878000,-20940000,62000,-9010000,-9144000,-18154000,7101000,-11053000,-11053000,-11053000,-11053000,34073000,34073000,57980000,57980000,35814000,18700000,18700000,146567000,1692032000,277003000,158343000,66278000,14735000,1969035000,2115602000,164056000,120024000,44032000,45505000,101110000,101110000,310671000,1494679000,45058000,34347000,1539737000,1850408000,664768000,-148955000,265194000,265194000,2115602000,-11053000,41320000,12303000,-16093000,26477000,-38892000,-38802000,26123000,-9547000,-80040000,-92365000,-92365000,-92365000,53188000,1540184000,-8898000,0.92289,0.04238,-0.03947,-0.04168,-0.00522,0.80503,0.47178,6.97756,0.72801,-0.12934,-0.12704,3.27687,3.10328,-0.10412,-0.00615,-0.00481,28.31674,126.90521
"24","2019_Q2",27.4460317460317,"Up",220575000,-17213000,203362000,-232099000,-42764000,-39450000,-149885000,-28737000,-20824000,-20797000,-27000,-49561000,-2566000,-52127000,15107000,-37020000,-37020000,-37020000,-37020000,51860000,51860000,58692000,58692000,42724000,19567000,19567000,172843000,1717573000,415778000,157975000,66278000,161228000,2133351000,2306194000,188860000,140567000,48293000,80505000,155371000,151253000,424736000,1491702000,163336000,163336000,1655038000,2079774000,665078000,-185975000,226420000,226420000,2306194000,-37020000,39450000,-12464000,47722000,37688000,-47937000,-47887000,31123000,-3774000,28006000,17806999.9999999,17806999.9999999,17806999.9999999,10713000,1572207000,-4608999.99999997,0.92196,-0.13028,-0.16783,-0.1635,-0.01605,0.1245,0.40694,9.18547,0.68173,-0.44413,-0.44413,2.64624,2.71637,-0.0552900000000001,-0.01884,-0.00235,141.91608,-52.90556
"25","2019_Q3",30.43484375,"Up",405992000,-32006000,373986000,-277656000,-67205000,-40053000,-170398000,96330000,-21724000,-21803000,79000,74606000,-66000,74540000,-21889000,52651000,52651000,52651000,52651000,43601000,43601000,63282000,63282000,43219000,18219000,18219000,168321000,1721509000,406304000,157609000,66278000,158963000,2127813000,2296134000,168510000,132952000,35558000,160505000,167245000,163140000,496260000,1488700000,179626000,165858000,1668326000,2164586000,670421000,-133324000,131548000,131548000,2296134000,52651000,40053000,27532000,9462000,129698000,-64801000,-64903000,76124000,-592000,-72790000,-7995000,-7995000,-7995000,136383000,1649205000,102933000,0.92117,0.23727,0.12968,0.40024,0.02293,1.95501,0.33918,16.45472,0.71825,0.64595,0.63375,4.98089,1.61389,1.26283,0.02683,0.05251,11.77276,16.66775
"26","2019_Q4",28.84609375,"Down",473666000,-37843000,435823000,-281088000,-64632000,-40822000,-175634000,154735000,-21377000,-21463000,86000,133358000,-1207000,132151000,-34123000,98028000,98028000,98028000,98028000,50917000,50917000,50751000,50751000,34785000,14588000,14588000,151041000,1718216000,401553000,157244000,66278000,156344000,2119769000,2270810000,159640000,119267000,40373000,65505000,118450000,114536000,343595000,1485672000,209840000,163463000,1695512000,2039107000,672174000,-35296000,231703000,231703000,2270810000,98028000,40822000,39473000,-32026000,146297000,-40142000,-40066000,-98876000,-827000,-98460000,7771000,7771000,7771000,195557000,1551177000,157512000,0.92011,0.32668,0.20696,0.42308,0.04317,1.60681,0.43959,8.80052,0.68309,1.25444,1.24429,6.06137,2.96504,2.01564,0.04919,0.07904,7.67173000000002,9.69567
"27","2020_Q1",27.3725806451613,"Down",298011000,-21891000,276120000,-281072000,-87100000,-40232000,-153740000,-4952000,-20271000,-20115000,-156000,-25223000,-337000,-25560000,1377000,-24183000,-24183000,-24183000,-24183000,39946000,39946000,49728000,49728000,33163000,46312000,46312000,169149000,1733462000,397907000,1.57e+08,66278000,155616000,2131369000,2300518000,228843000,131503000,97340000,65505000,108312000,104416000,402660000,1482619000,204347000,161574000,1686966000,2089626000,674833000,-59479000,210892000,210892000,2300518000,-24183000,40232000,2625000,16059000,34733000,-42337000,-42337000,-3877000,-401000,-4061000,-11665000,-11665000,-11665000,35280000,1548124000,7625000,0.92654,-0.01662,-0.08115,-0.11467,-0.01051,-0.3153,0.42008,9.90851,0.67295,-0.30914,-0.30626,3.80957,2.6959,0.09747,-0.01232,0.00388,42.74881,-304.55937
"28","2020_Q2",14.732380952381,"Down",153561000,-13104000,140457000,-197966000,-26954000,-38013000,-132999000,-57509000,-19141000,-19153000,12000,-76650000,-65000,-76715000,20196000,-56519000,-56519000,-56519000,-56519000,192760000,192760000,43358000,43358000,34627000,22976000,22976000,293721000,1746750000,397923000,1.57e+08,66278000,155266000,2144673000,2438394000,186939000,153971000,32968000,15505000,124305000,120380000,326749000,1790891000,184640000,162579000,1975531000,2302280000,668276000,-115998000,136114000,136114000,2438394000,-56519000,38013000,-24178000,1916999.99999999,-40767000,-49249000,-49249000,258624000,-3602000,242819000,152803000,152803000,152803000,-19496000,1806396000,-87024000,0.91467,-0.3745,-0.36806,-0.415230000000001,-0.02318,1.53973,0.89892,16.91435,0.74081,-0.72263,-0.72263,1.96337,1.7403,-1.11265,-0.02657,-0.04091,-82.76754,-28.05884
"29","2020_Q3",18.2615625,"Up",18026000,-1153000,16873000,-118094000,-21104000,-37941000,-59049000,-101221000,-21907000,-21908000,1000,-123128000,-9000,-123137000,-7892000,-131029000,-131029000,-131029000,-131029000,375683000,375683000,28615000,28615000,35824000,19206000,19206000,459328000,1720333000,397737000,1.57e+08,66278000,154009000,2118070000,2577398000,213777000,174517000,39260000,15505000,137656000,133838000,366938000,2006582000,194757000,162864000,2201339000,2568277000,671457000,-247027000,9121000,9121000,2577398000,-131029000,37941000,13182000,52347000,-27559000,-4450000,-4450000,216959000,-1520000,215454000,183445000,183445000,183445000,-63280000,2022087000,-7491000,0.93604,-5.61528,-7.26889,-14.36564,-0.05084,0.05717,1.25179,281.57845,0.78455,-1.67786,-1.67786,0.23083,0.1168,-0.09592,-0.05886,-0.00337,-26.01776,-16.26544
"30","2020_Q4",26.04359375,"Up",106117000,-9298000,96819000,-153724000,-24335000,-38052000,-91337000,-56905000,-28143000,-28145000,2000,-85048000,-2581000,-87629000,8392000,-79237000,-79237000,-79237000,-79237000,488416000,488416000,25553000,25553000,34180000,14619000,14619000,562768000,1690302000,397111000,1.57e+08,66278000,152652000,2087413000,2650181000,202807000,143153000,59654000,15505000,132969000,129164000,351281000,2179549000,185872000,161640000,2365421000,2716702000,675052000,-326264000,-66521000,-66521000,2650181000,-79237000,38052000,-3501000,5362999.99999999,-39323000,-22016000,-22016000,176446000,-2556000,174037000,112698000,112698000,112698000,-18853000,2195054000,-43898000,0.91238,-0.53625,-0.74669,1.19116,-0.0299,0.55401,1.60205,-40.8397599999999,0.82827,-1.01387,-1.01387,1.35781,-0.85116,-0.56169,-0.03424,-0.01897,-90.52342,-29.991
"31","2021_Q1",39.6191803278689,"Up",154075000,-13157000,140918000,-164120000,-22492000,-36540000,-105088000,-23202000,-31992000,-31701000,-291000,-55194000,-171000,-55365000,9829000,-45536000,-45536000,-45536000,-45536000,433909000,433909000,30410000,30410000,30700000,12418000,12418000,507437000,1660960000,397961000,1.57e+08,66278000,151836000,2058921000,2566358000,167100000,105369000,61731000,15505000,134516000,130759000,317121000,2177137000,177903000,162131000,2355040000,2672161000,681306000,-371800000,-105803000,-105803000,2566358000,-45536000,36540000,1621000,-5705000,-13080000,-33460000,-33460000,-3876000,-6785000,-8106000,-54646000,-54646000,-54646000,13338000,2192642000,-35656000,0.91461,-0.15059,-0.29554,0.43038,-0.01774,0.78303,1.60014,-25.256,0.85438,-0.58143,-0.58143,1.96733,-1.35096,-0.45528,-0.02011,-0.01574,131.85882,-75.80092
"32","2021_Q2",53.0698412698413,"Up",171920000,-14942000,156978000,-175794000,-31464000,-36558000,-107772000,-18816000,-31130000,-30956000,-174000,-49946000,-86000,-50032000,5148000,-44884000,-44884000,-44884000,-44884000,430567000,430567000,52978000,52978000,28850000,19908000,19908000,532303000,1643047000,398017000,1.57e+08,66278000,150297000,2041064000,2573367000,159178000,102803000,56375000,15505000,196661000,193374000,371344000,2174978000,172837000,161242000,2347815000,2719159000,686201000,-416684000,-145792000,-145792000,2573367000,-44884000,36558000,904000.000000002,25815000,18393000,-15298000,-15298000,-3875999.99999999,-4129000,-5612000,-2517000,-2517000,-2517000,17742000,2190483000,23111000,0.91309,-0.10945,-0.26107,0.30786,-0.01744,-0.51491,1.43345,-18.65095,0.85121,-0.57208,-0.57208,2.19124,-1.85822,0.29457,-0.02024,0.01042,99.1949,-93.53295
"33","2021_Q3",50.3496875,"Down",439784000,-34173000,405611000,-236744000,-43190000,-36247000,-157307000,168867000,-31148000,-31127000,-21000,137719000,-1496000,136223000,-8461000,127762000,127762000,127762000,127762000,615791000,615791000,90419000,90419000,25111000,20241000,20241000,751562000,1638494000,396664000,1.57e+08,66278000,149207000,2035158000,2786720000,200471000,129983000,70488000,65505000,241904000,238694000,507880000,2122708000,177446000,159660000,2300154000,2808034000,682917000,-288922000,-21314000,-21314000,2786720000,127762000,36247000,15320000,50356000,229685000,-29683000,-29683000,-3876000,-12756000,-14993000,185009000,185009000,185009000,205114000,2188213000,234248000,0.9223,0.38398,0.29051,-5.99428,0.04585,1.83347,1.4798,-131.74599,0.78523,1.62841,1.62841,5.60534,-0.27166,2.98565,0.0545,0.09992,7.66609,9.3116
"34","2021_Q4",62.9078125,"Up",521206000,-37977000,483229000,-285036000,-53617000,-36306000,-195113000,198193000,-28333000,-28372000,39000,169860000,-58827000,111033000,-8936000,102097000,102097000,102097000,102097000,553570000,553570000,86513000,86513000,25870000,15056000,15056000,681009000,1633269000,396943000,1.57e+08,66278000,149100000,2030212000,2711221000,218378000,140584000,77794000,1.2e+07,176468000,173431000,406846000,2106366000,186532000,160150000,2292898000,2699744000,696328000,-186825000,11477000,11477000,2711221000,102097000,36306000,75798000,-45842000,168359000,-28610000,-28610000,-99754000,-25521000,-202308000,-62559000,-62559000,-62559000,234499000,2118366000,168983000,0.92714,0.38026,0.19589,8.89579,0.03766,1.65512,1.67387,235.23081,0.78133,1.29299,1.27701,6.60072,0.14535,2.14005,0.04408,0.07295,6.67293,7.89531000000001
"35","2022_Q1",65.611935483871,"Up",370820000,-27195000,343625000,-258376000,-56600000,-39549000,-162227000,85249000,-26175000,-26187000,12000,59074000,51000,59125000,12413000,71538000,71538000,71538000,71538000,443707000,443707000,76948000,76948000,29478000,17263000,17263000,567396000,1645164000,397756000,1.57e+08,66278000,150483000,2042920000,2610316000,202278000,134311000,67967000,1.2e+07,157688000,154793000,371966000,2104835000,167431000,154628000,2272266000,2644232000,712429000,-115287000,-33916000,-33916000,2610316000,71538000,39549000,7829000,-32341000,86575000,-55263000,-55263000,-3e+06,-2143000,-141984000,-110672000,-110672000,-110672000,124798000,2116835000,24781000,0.92666,0.22989,0.19292,-2.10927,0.02741,0.3464,1.5254,-77.96415,0.81095,0.90598,0.89478,4.69618,-0.42952,0.31383,0.03179,0.01101,13.40669,19.62637
"36","2022_Q2",58.1185483870968,"Down",270693000,-23040000,247653000,-237596000,-46059000,-38612000,-152925000,10057000,-25358000,-25370000,12000,-15301000,-29999.9999999925,-15331000,6344000,-8987000,-8987000,-8987000,-8987000,380008000,380008000,74581000,74581000,45114000,24961000,24961000,524664000,1652511000,400789000,1.57e+08,66278000,152713000,2053300000,2577964000,235531000,152164000,83367000,1.2e+07,211204000,208046000,458735000,2103367000,168299000,161223000,2271666000,2730401000,712800000,-124274000,-152437000,-152437000,2577964000,-8987000,38612000,6402999.99999999,34766000,70794000,-35110000,-35110000,-2999999.99999999,-7949000,-99558000,-63874000,-63874000,-63874000,48669000,2115367000,41981000,0.91489,0.03715,-0.0332,0.0589599999999977,-0.00349,-4.6713,1.14372,-17.91167,0.82056,-0.117,-0.11504,3.5241,-1.98455,0.54654,-0.00422,0.0197,35.65635,172.55235
"37","2022_Q3",49.7715625,"Down",504817000,-41518000,463299000,-285205000,-56158000,-38551000,-190496000,178094000,-26778000,-26810000,32000,151316000,-83000,151233000,-34623000,116610000,116610000,116610000,116610000,160830000,160830000,84001000,84001000,56641000,28682000,28682000,330154000,1670081000,396375000,1.57e+08,66278000,150569000,2066456000,2396610000,247806000,172263000,75543000,1.2e+07,238630000,235542000,498436000,2101955000,197670000,159617000,2299625000,2798061000,701828000,-7664000,-401451000,-401451000,2396610000,116610000,38551000,41327000,32352000,228840000,-65938000,-65938000,-3e+06,-14958000,-382215000,-219313000,-219313000,-219313000,216645000,2113955000,217682000,0.91776,0.35279,0.23099,-0.29047,0.04866,1.86675,0.66238,-6.96987,0.88206,1.62668,1.61581,7.04206,-5.60013,3.0366,0.06105,0.11396,9.01532,10.96682
