"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",41.5071428571429,"Down",476000,-3911000,-2169000,-1742000,-3435000,-2000,-8000,-3437000,-3099000,-3108000,-3108000,-3108000,-3108000,32271657.2599164,56003726.055585,11447817.6163033,-4295745.22876351,-4295745.22876351,39423729.6474562,-4367528.45202541,-382525065.398301,-382265631.367791,-259434.030510119,-386892593.850327,-347468864.202871,-7188915.35656612,-10859189.1743784,3670273.81781223,-3737628.35323669,-10926543.7098028,32807710.8596029,32807710.8596024,21881167.1497996,251022129.08666,-624131178.649841,3759018.21051099,-369350031.35267,-369350031.35267,-347468864.202871,-3108000,821000,142000,-74000,-2219000,-9000,-3175000,104957514.533002,104957514.533002,104957514.533003,-5394000,-5394000,-5388000,-2614000,0,-7.21639,-6.52941,-32.6283491995661,-23.0049043288884,53.5255222268451,5.03640154723221,-1.21839396012963e-14,-1.67719,-1.67719,0.25687,-177.683266753054,-25.7532704588425,-1193.82654898776,1389.91054456203
"2","2011_Q3",45.31296875,"Up",414000,-3535000,-2001000,-1534000,-3121000,3000,-3000,-3118000,-2660000,-2695000,-2695000,-2695000,-2695000,29735328.6299582,33680363.0277925,5468408.80815167,-1455872.61438175,-1455872.61438175,33747864.8237281,-2050264.2260127,-149593032.699151,-149502315.683896,-90717.0152550596,-151643296.925163,-117895432.101435,-1816457.67828306,-4592094.58718918,2775636.90890612,1022685.82338166,-793771.854901403,17317355.4298015,17317355.4298012,16523583.5748998,257319064.54333,-394506589.32492,2768509.1052555,-134419015.676335,-134419015.676335,-117895432.101435,-2695000,835000,27000,1250000,-583000.000000001,-50000,-2162000,41578504.8443342,41578504.8443342,41578504.8443342,-2745000,-2745000,-2749000,-2286000,0,-7.53865,-6.50966,-13.7152395997831,-9.66116216444421,25.0124711134226,2.3408807736161,-6.09196980064814e-15,-1.45432,-1.45432,0.22341,-64.589738376527,-10.8169052294213,-587.276429493878,702.080617281014
"3","2011_Q4",26.0436507936508,"Down",360000,-3499000,-1762000,-1737000,-3139000,7000,0,-3132000,-2798000,-2685000,-2685000,-2685000,-2685000,26985109.5433194,20092454.3425975,2179136.26938389,-38957.5381272513,-38957.5381272513,29125288.274576,-623088.075337568,-24969010.8997169,-24979105.2279652,10094.3282483135,-25592098.9750545,3533189.29952155,861180.773905647,-1118031.52906306,1979212.30296871,3119895.27446055,3981076.0483662,8523118.47660049,8523118.4766004,12504194.5249666,261074021.514443,-272039529.774974,1994503.03508516,-8971005.22544504,-8971005.22544504,3533189.29952155,-2685000,844000,188000,40000,-1613000,-9000,-2555000,10081000,10081000,10081000,5913000,5913000,5919000,-2295000,0,-8.71944,-7.45833,-3.69644653326102,-2.59922738814807,10.1847270378075,0.856176924538701,-2.03065660021605e-15,-1.33072,-1.33072,0.17842,-4.22904612550899,-2.91094507647376,-224.070769831293,287.226395760338
"4","2012_Q1",14.8148387096774,"Down",3715000,-4023000,-2172000,-1851000,-308000,9000,-2000,-299000,-289000,-140000,-140000,-140000,-140000,24128000,12912000,843000,395000,395000,25366000,123000,21624000,21564000,60000,21747000,47113000,1650000,328000,1322000,3382000,5032000,4648000,4648000,9680000,262927000,-226923000,1429000,37433000,37433000,47113000,-140000,855000,535000,-5000,1245000,-65000,-1606000,-21000.0000000019,-21000.0000000019,-21000,-382000,-382000,-384000,547000,-4.13590306276514e-25,-0.08291,-0.0376899999999996,-0.00374,-0.00297,5.04094,0.2586,0,-0.06758,-0.06758,1.79321,18.06874,-0.00333,-44.10969,78.33766
"5","2012_Q2",20.3652380952381,"Up",1659000,-4190000,-2061000,-2129000,-2531000,7000,-2000,-2524000,-2482000,-2427000,-2427000,-2427000,-2427000,21271000,9811000,723000,286000,286000,22280000,397000,20463000,20387000,76000,20860000,43140000,1356000,511000,845000,2637000,3993000,3915000,3915000,7908000,263518000,-229350000,1064000,35232000,35232000,43140000,-2427000,857000,507000,-1597000,-2660000,-221000,-552000,114000,114000,114000,-3098000,-3098000,-3101000,-1674000,0,-1.52562,-1.46293,-0.06889,-0.05626,5.57976,0.22446,0,-1.16924,-1.16924,0.79925,16.97355,-0.062,12.70669,8.40419
"6","2012_Q3",19.6330158730159,"Down",630000,-3443000,-1451000,-1992000,-2813000,11000,0,-2802000,-17504000,-17460000,-17460000,-17460000,-17460000,18680000,8408000,1016000,157000,157000,19853000,423000,4672000,4596000,76000,5095000,24948000,912000,262000,650000,1722000,2634000,4521000,4521000,7155000,263683000,-246810000,920000,17793000,17793000,24948000,-17460000,863000,14943000,-706000,-2360000,-159000,959000,-2.3283064365387e-10,-2.3283064365387e-10,0,-1401000,-1401000,-1403000,-1950000,6.61744490042422e-24,-4.46508,-27.71429,-0.98128,-0.69986,7.53721,0.40212,0,-8.39302,-8.39302,0.30284,8.55309,-0.78247,9.57949,6.6406
"7","2012_Q4",14.28,"Down",538000,-3265000,-1757000,-1508000,-2727000,11000,1000,-2716000,-2716000,-2686000,-2686000,-2686000,-2686000,16462000,6375000,985000,448000,448000,17895000,410000,4528000,4451000,77000,4938000,22833000,1124000,346000,778000,1465000,2589000,4689000,4689000,7278000,264062000,-249496000,989000,15555000,15555000,22833000,-2686000,236000,441000,-134000,-2143000,-19000,108000,0,0,0,-2035000,-2035000,-2033000,-2491000,0,-5.06877,-4.99257,-0.17268,-0.11764,6.91194,0.46789,-3.94430452610506e-31,-1.29116,-1.29116,0.25862,7.47729,-0.13268,6.60859,6.03667
"8","2013_Q1",17.5408333333333,"Up",699000,-3009000,-1599000,-1410000,-2310000,8000,-1.13686837721616e-13,-2302000,-2302000,-2262000,-2262000,-2262000,-2262000,14571000,4625000,967000,421000,421000,15959000,335000,4303000,4226000,77000,4638000,20597000,1002000,394000,608000,2176000,3178000,3783000,3783000,6961000,264452000,-251758000,942000,13636000,13636000,20597000,-2262000,271000,431000,-278000,-1838000,-6000.00000000001,91000,0,0,2.3283064365387e-10,-1747000,-1747000,-1750000,-2039000,0,-3.30472,-3.23605,-0.16588,-0.10982,5.02171,0.51049,0,-1.08745,-1.08745,0.33604,6.55545,-0.12986,7.14615,6.30779
"9","2013_Q2",29.10625,"Up",553000,-3143000,-1620000,-1523000,-2590000,6000,-1000,-2584000,-2584000,-2551000,-2551000,-2551000,-2551000,17646000,8388000,938000,316000,316000,18900000,289000,4150000,4078000,72000,4439000,23339000,1067000,266000,801000,2395000,3462000,3714000,3714000,7176000,269463000,-254309000,1009000,16163000,16163000,23339000,-2551000,248000,387000,295000,-1621000,-4000,647000,4735000,4735000,4735000,3761000,3761000,3763000,-2342000,0,-4.68354,-4.61302,-0.15783,-0.1093,5.45927,0.44398,6.3108872417681e-30,-1.14425,-1.14425,0.24805,7.24993,-0.12834,7.53459,6.81313
"10","2013_Q3",36.91875,"Up",585000,-3233000,-1658000,-1575000,-2648000,3000,-1000,-2645000,-2645000,-2608000,-2608000,-2608000,-2608000,15720000,9409000,948000,142000,142000,16810000,277000,3955000,3883000,72000,4232000,21042000,1299000,215000,1084000,784000,2083000,5149000,5149000,7232000,269726000,-256917000,1001000,13810000,13810000,21042000,-2608000,249000,304000,273000,-1782000,-32000,2870000,-66000,-66000,-66000.0000000009,1022000,1022000,1021000,-2399000,0,-4.5265,-4.45812,-0.18885,-0.12394,8.07009,0.52368,0,-1.11946,-1.11946,0.25111,5.9278,-0.13756,6.55273,5.93656
