"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",33.4153968253968,"Up",4.828e+09,-2.96e+09,1.868e+09,-1.134e+09,-1.134e+09,7.34e+08,-6.5e+07,-6.5e+07,6.69e+08,-9.2e+07,5.77e+08,-1.48e+08,4.29e+08,4.37e+08,-1.2e+07,4.25e+08,4.25e+08,1.84e+09,1.84e+09,3.65e+09,3.65e+09,1.956e+09,6.17e+08,6.17e+08,8.063e+09,3.475e+09,9.951e+09,7.647e+09,5309211792.35774,2.304e+09,1.3426e+10,2.1489e+10,4.565e+09,1.991e+09,2.474e+09,1.24e+09,5.805e+09,4.558e+09,2.188e+09,2.188e+09,6.746e+09,1.2551e+10,6.5e+08,4.77e+08,1.73e+08,-6.281e+09,1.4888e+10,-4.66e+08,8.791e+09,1.47e+08,8.938e+09,2.1489e+10,4.37e+08,1.96e+08,3.9e+07,1.5e+07,6.87e+08,-8.9e+07,-1.301e+09,3.8e+07,-1.352e+09,-2.51e+08,1.222e+09,0,-1.5e+07,9.56e+08,2.91e+08,2.91e+08,-1.1e+07,2.8e+08,9.3e+08,5.798e+09,1.004e+09,0.38691,0.15203,0.08803,0.04755,0.01978,2.36235,1.38898,1.40423,0.26981,0.56644,0.56254,6.43476,11.71665,1.33813,0.33453,13.630879579484,0.03994,0.05932,0.59059,4.25591,5.39237
"2","2010_Q3",33.8640625,"Up",4.953e+09,-2.99e+09,1.963e+09,-1.203e+09,-1.203e+09,7.6e+08,-6.7e+07,-6.7e+07,6.93e+08,-9.2e+07,6.01e+08,-1.8e+08,4.21e+08,4.18e+08,-1.3e+07,4.05e+08,4.05e+08,2.159e+09,2.159e+09,3.654e+09,3.654e+09,2.075e+09,6.2e+08,6.2e+08,8.508e+09,3.367e+09,9.845e+09,7.63e+09,3530605896.17887,2.215e+09,1.3212e+10,2.172e+10,4.73e+09,2.122e+09,2.556e+09,1.269e+09,5.999e+09,4.581e+09,2.135e+09,2.135e+09,6.716e+09,1.2715e+10,6.42e+08,4.77e+08,1.65e+08,-6.269e+09,1.504e+10,-5.58e+08,8.855e+09,1.5e+08,9.005e+09,2.172e+10,4.18e+08,2.06e+08,-1e+07,1.8e+07,6.32e+08,-8.9e+07,-3.9e+07,-7000000.00000001,-1.35e+08,-2.53e+08,4.9e+07,-2.4e+07,6.4e+07,-164000000.000001,3.33e+08,3.33e+08,-1.4e+07,3.19e+08,9.66e+08,5.85e+09,1.075e+09,0.39633,0.15344,0.08177,0.04498,0.01865,2.65432,1.41824,1.41199,0.26934,0.53921,0.53479,6.59433,11.78938,1.43123,0.33684,8.85048865526889,0.03873,0.06327,0.62469,3.82091,4.85658
"3","2010_Q4",38.87859375,"Up",5.417e+09,-3.253e+09,2.164e+09,-1.168e+09,-1.168e+09,9.96e+08,-6.4e+07,-6.4e+07,9.32e+08,-6.9e+07,8.63e+08,-2.66e+08,5.97e+08,6.01e+08,-1.6e+07,5.85e+08,5.85e+08,3.424e+09,3.424e+09,3.793e+09,3.793e+09,2.114e+09,6.27e+08,6.27e+08,9.958e+09,3.289e+09,9.711e+09,7.596e+09,2552868632.05962,2.115e+09,1.3e+10,2.2958e+10,4.967e+09,2.228e+09,2.616e+09,2.29e+09,7.257e+09,4.586e+09,2.026e+09,2.026e+09,6.612e+09,1.3869e+10,6.51e+08,4.77e+08,1.74e+08,-6.307e+09,1.5373e+10,-7.92e+08,8.925e+09,1.64e+08,9.089e+09,2.2958e+10,6.01e+08,2.03e+08,-9.6e+07,-5e+06,7.03e+08,-1.22e+08,-3.2e+07,-1.4e+07,-1.68e+08,-2.52e+08,1.027e+09,-4.7e+07,6e+07,7.88e+08,1.323e+09,1.323e+09,-5.8e+07,1.265e+09,1.199e+09,6.876e+09,1.338e+09,0.39948,0.18387,0.10799,0.06436,0.02548,2.28718,1.37219,1.52591,0.2995,0.77896,0.77187,7.21305,11.88415,1.78162,0.33555,6.54019546210756,0.04652,0.07437,0.43077,2.87907,3.46586
"4","2011_Q1",41.3440322580645,"Up",5.841e+09,-3.51e+09,2.331e+09,-1.312e+09,-1.312e+09,1.019e+09,-6.5e+07,-6.5e+07,9.54e+08,-1.16e+08,8.38e+08,-2.54e+08,5.84e+08,7.61e+08,-1.2e+07,7.49e+08,7.49e+08,1.592e+09,1.592e+09,3.989e+09,3.989e+09,2.105e+09,6.77e+08,6.77e+08,8.363e+09,3.287e+09,1.1193e+10,8.656e+09,2.15e+09,3.87e+08,1.448e+10,2.2843e+10,5.369e+09,2.409e+09,2.864e+09,4.8e+08,5.849e+09,4.586e+09,2.456e+09,2.456e+09,7.042e+09,1.2891e+10,6.69e+08,4.77e+08,1.92e+08,-6.32e+09,1.5869e+10,-4.26e+08,9.792e+09,1.6e+08,9.952e+09,2.2843e+10,7.61e+08,2.11e+08,1.7e+07,2.81e+08,1.27e+09,-2.24e+08,-6.25e+08,-1.3e+07,-8.62e+08,-2.53e+08,-1.982e+09,-2.9e+07,-4.2e+07,-2.306e+09,-1.898e+09,-1.898e+09,6.6e+07,-1.832e+09,1.23e+09,5.066e+09,1.541e+09,0.39908,0.17446,0.12823,0.07526,0.03279,2.05741,1.42982,1.29532,0.22177,0.99813,0.98904,7.78385,13.04904,2.05357,0.33715,6,0.05734,0.08819,0.33778,2.82439,3.40922
"5","2011_Q2",39.0146031746032,"Down",5.535e+09,-3.372e+09,2.163e+09,-1.311e+09,-1.311e+09,8.52e+08,-6.1e+07,-6.1e+07,7.91e+08,-7.8e+07,7.13e+08,-2.22e+08,4.91e+08,4.91e+08,-1.1e+07,4.8e+08,4.8e+08,1.493e+09,1.493e+09,3.956e+09,3.956e+09,2.207e+09,6.49e+08,6.49e+08,8.305e+09,3.255e+09,1.1143e+10,8.666e+09,2.096e+09,3.81e+08,1.4398e+10,2.2703e+10,4.8e+09,2.243e+09,2.447e+09,8e+08,5.6e+09,4.352e+09,2.428e+09,2.428e+09,6.78e+09,1.238e+10,8.22e+08,4.77e+08,3.45e+08,-6.308e+09,1.6088e+10,-4.32e+08,1.017e+10,1.53e+08,1.0323e+10,2.2703e+10,4.91e+08,2.19e+08,4.2e+07,-4.3e+08,3.22e+08,-8.2e+07,-3.9e+07,-1.6e+07,-1.37e+08,-2.61e+08,8.6e+07,-5.1e+07,-5.5e+07,-2.81e+08,-9.6e+07,-9.6e+07,-3e+06,-9.9e+07,1.071e+09,5.152e+09,7.81e+08,0.39079,0.15393,0.08672,0.0465,0.02114,1.62708,1.48304,1.19926,0.22693,0.63813,0.63316,7.35842,13.52034,1.03829,0.34698,6.52990226894622,0.04139,0.04362,0.54375,3.41643,4.2946
"6","2011_Q3",34.16,"Down",5.854e+09,-3.548e+09,2.306e+09,-1.315e+09,-1.315e+09,9.91e+08,-5.7e+07,-5.7e+07,9.34e+08,-1.01e+08,8.33e+08,-2.66e+08,5.67e+08,5.67e+08,-1.1e+07,5.56e+08,5.56e+08,1.593e+09,1.593e+09,4.231e+09,4.231e+09,2.324e+09,6.5e+08,6.5e+08,8.798e+09,3.303e+09,1.1434e+10,8.905e+09,2.146e+09,3.83e+08,1.4737e+10,2.3535e+10,5.163e+09,2.463e+09,2.582e+09,7.71e+08,5.934e+09,4.353e+09,2.443e+09,2.443e+09,6.796e+09,1.273e+10,8.33e+08,4.77e+08,3.56e+08,-6.421e+09,1.6383e+10,-1.5e+08,1.0645e+10,1.6e+08,1.0805e+10,2.3535e+10,5.67e+08,2.16e+08,-1.3e+07,-16999999.9999999,7.53e+08,-1.26e+08,-1.47e+08,-1.7e+07,-2.9e+08,-2.61e+08,-32999999.9999998,-1.25e+08,2.2e+07,-3.97e+08,6.6e+07,6.6e+07,3.4e+07,1e+08,1.207e+09,5.124e+09,1.33e+09,0.39392,0.16929,0.09498,0.05146,0.02362,2.39209,1.48264,1.17816,0.21772,0.73926,0.73419,7.78354,14.1537,1.76838,0.34703,7.42990226894622,0.04447,0.07239,0.46942,2.92543,3.56307
"7","2011_Q4",34.7315873015873,"Up",6.288e+09,-3.79e+09,2.498e+09,-1.363e+09,-1.363e+09,1.135e+09,-5.6e+07,-5.6e+07,1.079e+09,-8.7e+07,9.92e+08,-2.94e+08,6.98e+08,6.98e+08,-1.5e+07,6.83e+08,6.83e+08,1.781e+09,1.781e+09,4.443e+09,4.443e+09,2.422e+09,6.37e+08,6.37e+08,9.283e+09,3.382e+09,1.1439e+10,8.974e+09,2.074e+09,3.91e+08,1.4821e+10,2.4104e+10,5.446e+09,2.633e+09,2.657e+09,8.62e+08,6.308e+09,4.353e+09,2.444e+09,2.444e+09,6.797e+09,1.3105e+10,8.52e+08,4.77e+08,3.75e+08,-6.741e+09,1.6807e+10,-7.4e+07,1.0844e+10,1.55e+08,1.0999e+10,2.4104e+10,6.98e+08,2.15e+08,1.2e+07,-2.2e+07,9.03e+08,-1.95e+08,-4.2e+07,-9e+06,-2.46e+08,-2.59e+08,9.1e+07,-3.19e+08,1e+06,-4.86e+08,1.71e+08,1.71e+08,1.7e+07,1.88e+08,1.35e+09,5.215e+09,1.427e+09,0.39726,0.1805,0.10862,0.0621,0.02834,2.08931,1.47162,1.19147,0.21635,0.91225,0.9068,8.39856,14.48377,1.90597,0.34593,8,0.05049,0.07648,0.37921,2.5437,3.02555
"8","2012_Q1",36.6858064516129,"Up",6.545e+09,-3.955e+09,2.59e+09,-1.339e+09,-1.339e+09,1.251e+09,-4.9e+07,-4.9e+07,1.202e+09,-1.09e+08,1.093e+09,-3.45e+08,7.48e+08,7.74e+08,-1.3e+07,7.61e+08,7.61e+08,2.052e+09,2.052e+09,4.502e+09,4.502e+09,2.1e+09,6.91e+08,6.91e+08,9.345e+09,3.437e+09,1.1079e+10,8.771e+09,1.969e+09,3.39e+08,1.4516e+10,2.3861e+10,5.588e+09,2.677e+09,2.772e+09,8.77e+08,6.465e+09,4.324e+09,2.521e+09,2.521e+09,6.845e+09,1.331e+10,7.94e+08,4.77e+08,3.17e+08,-7.143e+09,1.731e+10,-5.62e+08,1.0399e+10,1.52e+08,1.0551e+10,2.3861e+10,7.74e+08,2.17e+08,9.6e+07,1.68e+08,1.255e+09,-2.44e+08,9.9e+07,-3e+07,-1.75e+08,-2.58e+08,-14999999.9999999,-4.4e+08,-1e+07,-7.23e+08,3.57e+08,3.57e+08,-8.6e+07,2.71e+08,1.468e+09,5.201e+09,1.737e+09,0.39572,0.19114,0.11627,0.07213,0.03189,2.28252,1.44548,1.26149,0.21797,1.02699,1.02093,8.83266,14.03374,2.34413,0.34818,7,0.05577,0.09506,0.33903,2.1451,2.51719
"9","2012_Q2",35.1073015873016,"Down",5.309e+09,-3.254e+09,2.055e+09,-1.354e+09,-1.354e+09,7.01e+08,-5.8e+07,-5.8e+07,6.43e+08,-9e+07,5.53e+08,-1.72e+08,3.81e+08,3.81e+08,-1e+07,3.71e+08,3.71e+08,2.076e+09,2.076e+09,4.04e+09,4.04e+09,2.317e+09,6.42e+08,6.42e+08,9.075e+09,3.415e+09,1.0954e+10,8.723e+09,1.893e+09,3.38e+08,1.4369e+10,2.3444e+10,4.956e+09,2.302e+09,2.484e+09,1.578e+09,6.534e+09,4.041e+09,2.536e+09,2.536e+09,6.577e+09,1.3111e+10,7.83e+08,4.77e+08,3.06e+08,-7.351e+09,1.7387e+10,-6.29e+08,1.019e+10,1.43e+08,1.0333e+10,2.3444e+10,3.81e+08,2.04e+08,4.2e+07,-2.93e+08,3.34e+08,-1.3e+08,-39558158.7461341,-1e+07,-1.4e+08,-2.94e+08,4.16e+08,-2.44e+08,-4.8e+07,-1.7e+08,2.4e+07,2.4e+07,0,2.4e+07,9.05e+08,5.619e+09,6.54e+08,0.38708,0.13204,0.06988,0.0359,0.01582,1.7628,1.38889,1.26885,0.23968,0.50524,0.50251,7.23001,13.87716,0.89064,0.40038,4,0.03597,0.03537,0.79245,3.91492,5.05421
"10","2012_Q3",35.8228571428571,"Up",5.919e+09,-3.583e+09,2.336e+09,-1.359e+09,-1.359e+09,9.77e+08,-5.8e+07,-5.8e+07,9.19e+08,-1.05e+08,8.14e+08,-2.58e+08,5.56e+08,5.56e+08,-1.1e+07,5.45e+08,5.45e+08,2.153e+09,2.153e+09,4.319e+09,4.319e+09,2.402e+09,6.7e+08,6.7e+08,9.544e+09,3.449e+09,1.1141e+10,8.866e+09,1.936e+09,3.39e+08,1.459e+10,2.4134e+10,5.097e+09,2.419e+09,2.5e+09,1.828e+09,6.925e+09,4.018e+09,2.536e+09,2.536e+09,6.554e+09,1.3479e+10,7.88e+08,4.77e+08,3.11e+08,-7.419e+09,1.7638e+10,-4.96e+08,1.0511e+10,1.44e+08,1.0655e+10,2.4134e+10,5.56e+08,2.02e+08,-7e+06,-1.89e+08,5.62e+08,-1.57e+08,-1.67e+08,-3.3e+07,-3.57e+08,-2.94e+08,2.26e+08,-8.5e+07,1.9e+07,-1.34e+08,7.1e+07,7.1e+07,6000000.00000001,7.7e+07,1.179e+09,5.846e+09,1.091e+09,0.39466,0.16506,0.09208,0.05115,0.02258,2.00183,1.37819,1.26504,0.24223,0.74382,0.73969,8.07834,14.34557,1.48901,0.40126,6,0.04407,0.05731,0.53945,3.13232,3.77994
