"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2015_Q4",3.22078125,"Down",26264321,-3171075,-2307208,-863867,3441250,-1062189,-1064069,1880,2379061,-1141872,403933,-737939,-737939,-737939,-737939,11095942,11095942,18541884,18541884,4443877,2802457,1562398,34081703,27987531,246596426,5336583,240580364,276052565,310134268,2403133,2403133,8335147,8335147,10824218,90107812,78091806,77036439,1055367,168199618,179023836,119324180,-15361061,27064792,82521,131110432,131110432,310134268,-737939,863867,3181319,1125412,4432659,-962521,-868763,-3e+06,-7575,-7575,-4038958,-475062,-475062,-475062,4305117,90193750,4064075,0.13102,-0.0281,-0.00563,-0.00238,-5.50733,3.14865,1.36544,0.29082,-0.03219,-0.03198,1.14584,5.71999,0.1773,0.00098,0.01357,18.37298,22.9852
"22","2016_Q1",2.9344262295082,"Down",28407172,-2947015,-1934617,-1012398,6058620,-625157,-1014716,389559,5433463,4874607,-1604772,3269835,3269835,3269835,3269835,14318494,14318494,19847536,19847536,2913550,1896491,1017059,37079580,24472454,249849861,3393234,245912389,274322315,311401895,1827003,1827003,7588106,7588106,10899157,87414243,79551420,77739201,1812219,166965663,177864820,119521731,-15361869,29302054,75159,133537075,133537075,311401895,3269835,1012398,1850509,-1678346,4454396,1416115,2141528,-1193750,-808,-808,-3373372,3222552,3222552,3222552,7071018,88898291,8413559,0.21328,0.11511,0.02449,0.0105,2.57308,3.40206,1.33195,0.28548,0.14263,0.14145,1.23909,5.82476,0.36699,0.01424,0.02786,10.54725,12.3097
"23","2016_Q2",3.63328125,"Up",27454947,-3340363,-2500957,-839406,4128293,-1028165,-988524,-39641,3100128,3100128,-1279375,1820753,1820753,1820753,1820753,15556906,15556906,18316493,18316493,3952321,3030433,921888,37825720,27394152,246619119,5336583,240807506,274013271,311838991,2171394,2171394,8856609,8856609,11086971,85892327,80483793,78713939,1769854,166376120,177463091,119757037,-15507834,30086945,39752,134375900,134375900,311838991,1820753,839406,1549131,1878300,6087590,-656073,-656073,-3014567,-145965,-145965,-4193105,1238412,1238412,1238412,4967699,85951295,7469301,0.15037,0.06632,0.01355,0.00584,4.10231,3.41173,1.32065,0.27563,0.07922,0.07909,1.19455,5.84663,0.32499,0.00949,0.02483,14.17042,17.05169
"24","2016_Q3",4.3865625,"Up",27777381,-3274242,-2443661,-830581,4773318,-629508,-898560,269052,4143810,4143810,-1674332,2469478,2469478,2469478,2469478,14121452,14121452,18945682,18945682,4658197,3762425,895772,37725331,27335806,246255030,5336583,240512625,273590836,311316167,2120646,2120646,9321712,9321712,11502029,82944629,80875173,79147682,1727491,163819802,175321831,119962411,-15514082,31520335,25672,135994336,135994336,311316167,2469478,830581,886569.000000001,-1429167,2757461,-712767,-136238.999999999,-3014566,-6248,-6248,-4056676,-1435454,-1435454,-1435454,5603899,83004300,5136297,0.17184,0.0889,0.01816,0.00793,2.07991,3.27988,1.28918,0.26662,0.10726,0.10664,1.20648,5.90679,0.22309,0.01169,0.01713,12.29195,14.43081
"25","2016_Q4",4.88333333333333,"Up",27729026,-4411937,-2394970,-816394,3797625,-539252,-855378,316126,3258373,3258373,-1564005,1694368,1694368,1694368,1694368,16650884,16650884,19175400,19175400,3091703,2004835,1086868,38917987,25564792,248480692,5336583,242807497,274045484,312963471,2380007,2380007,9777313,9777313,17186444,78028181,80910064,79224948,1685116,158938245,176124689,120163575,-15523869,32178362,20714,136838782,136838782,312963471,1694368,816394,566627,1216033,4293422,-703549,-703549,-14566,-9787,-9787,-1060441,2529432,2529432,2529432,4614019,83057305,6690508,0.13695,0.0611,0.01238,0.00541,3.94867,2.26446,1.2871,0.26539,0.07359,0.07288,1.20425,5.94281,0.29056,0.00908,0.02224,14.39232,17.4863
"26","2017_Q1",7.96596774193548,"Up",53703990,-11890731,-2963915,-3746191,4342846,-3836583,-3855276,18693,506263,45283904,-3780090,41503814,41503814,41503814,41503814,20325415,20325415,48186463,48186463,34907529,4909799,29997730,103419407,59789619,498461022,3393234,494532206,558250641,661670048,6087436,6087436,21173419,21173419,33946932,248547924,176683569,160539268,16144301,425231493,459178425,146371700,-15560021,72401766,-721822,202491623,202491623,661670048,41503814,3746191,-38275468,-2961910,4012627,-1363443,-88123641,102807539,-36152,-36152,87785545,3674531,3674531,3674531,8089037,255234001,7543774,0.08087,0.77283,0.20497,0.06273,0.181760000000001,3.0465,2.26764,0.38574,1.58914,1.57347,2.05627,7.75321,0.28884,0.06705,0.01189,29.04036,54.09093
"27","2017_Q2",9.47555555555556,"Up",53740551,-5183767,-3230097,-1502837,4607190,-4471141,-4827339,356198,136049,7071638,414858,7486496,7486496,7486496,7486496,18870720,18870720,40356052,40356052,24569194,7196729,17372465,83795966,59727981,494636622,3393234,490770325,554364603,638160569,4893751,4893751,21018079,21018079,25973642,227679549,176087232,160101475,15985757,403766781,429740423,146569439,-16016147,78602850,-735996,208420146,208420146,638160569,7486496,1502837,-6606408,3763773,6146698,22300413,22150413,-28015270,-456126,-456126,-29751806,-1454695,-1454695,-1454695,6110027,227741361,31759355,0.08573,0.13931,0.03592,0.01173,4.24222,3.22619,2.06189,0.35687,0.27063,0.26962,1.94268,7.53423,1.14808,0.01432,0.05187,34.1849,45.3358
"28","2017_Q3",9.1668253968254,"Down",61013414,-6403361,-4488482,-1619642,9697055,-4712525,-4752044,39518.9999999999,4984530,8130170,-4224649,3905521,3905521,3905521,3905521,17047364,17047364,44535497,44535497,21966884,7133736,14833148,83549745,59128512,487796602,3393234,483992824,546925114,630474859,8535820,8535820,18780156,18780156,27378524,213186174,178190761,164071650,14119111,391376935,418755459,147343395,-16038023,81222733,-808705,211719400,211719400,630474859,3905521,1619642,2236134,-3251573,4509724,9989477,9989477,-15015269,-21876,-21876,-16322557,-1823356,-1823356,-1823356,11316697,213248722,22279250,0.15893,0.06401,0.01845,0.00619,5.70455,3.05165,1.97788,0.33824,0.14099,0.13985,2.20253,7.64289,0.80426,0.00861000000000001,0.03694,17.33733,20.23309
"29","2017_Q4",10.0663492063492,"Up",58902050,-5479688,-4026521,-1453167,10940641,-4671311,-4717530,46219,6269330,8502944,-2432740,6070204,6070204,6070204,6070204,15454914,15454914,45350450,45350450,24412615,7056426,17356189,85217979,59107836,487594212,3393234,483852953,546702048,631920027,7845623,7845623,18860796,18860796,26769703,207692799,180441537,166412419,14029118,388134336,414904039,147885377,-16066431,86006927,-809885,217015988,217015988,631920027,6070204,1453167,1260896,-1685943,7098324,-1361459,-1361459,-6015269,-28408,-28408,-7329315,-1592450,-1592450,-1592450,12393808,207756083,11779146,0.18574,0.10306,0.02797,0.00961,1.94049,3.18337,1.91186,0.32877,0.21909,0.21704,2.12597,7.83282,0.42515,0.01215,0.01946,15.51591,17.57677
"30","2018_Q1",10.4604918032787,"Up",58523448,-5863381,-4087306,-1558166,9182216,-4124388,-4133159,8770.99999999997,5057828,15198127,54470821,69668948,69668948,69668948,69668948,13922390,13922390,42669351,42669351,28069232,6001996,22067236,84660973,59318933,510738875,15275264,494913553,570057808,654718781,7847829,7847829,18799195,18799195,28961044,213224923,126366614,115282931,11083683,339591537,368552581,148019217,-16667085,154389494,424574,286166200,286166200,654718781,69668948,1558166,-60998279,37476,10266311,-1255148,-13255148,5984731,-600654,-600654,1456313,-1532524,-1532524,-1532524,10740382,215538943,-44948111,0.1569,1.19045,0.24346,0.10641,-0.645169999999999,2.92327,1.2879,0.32921,2.51362,2.53251,2.1115,10.32474,-1.62171,0.11297,-0.07157,18.77182,21.95729
"31","2018_Q2",10.00421875,"Down",55153627,-4829207,-3282473,-1546734,4811573,-3176339,-3625240,448901,1635234,-2780691,-380501,-3161192,-3161192,-3161192,-3161192,13169964,13169964,40017862,40017862,13441879,9022158,4419721,66629705,58979747,510593049,15275264,494823851,569572796,636202501,7428742,7428742,21435026,21435026,28928559,212904345,126385452,115338525,11046927,339289797,368218356,148636989,-30207533,149865034,-310345,267984145,267984145,636202501,-3161192,1546734,5112069,1303387,4800998,-1225996,-1225996,-3016005,-25042,-25042,-4327428,-752426,-752426,-752426,6358307,212969136,6816199,0.08724,-0.05732,-0.0118,-0.00497,-2.15621,2.30325,1.37403,0.33475,-0.11405,-0.11405,1.98986,9.66845,0.24592,-0.00309,0.01122,31.42333,41.52471
"32","2018_Q3",7.1184126984127,"Down",61625296,-6002351,-4440299,-1562052,10655652,-3778264,-3805575,27311,6877388,6877388,-1958776,4918612.00000001,4918612.00000001,4918612.00000001,4918612.00000001,14821749,14821749,46159164,46159164,12883667,8665310,4218357,73864580,58420296,510630754,15275264,494917680,569051050,642915630,9387963,9387963,21972355,21972355,31425879,211333768,127960624,116956306,11004318,339294392,370720271,149340393,-30250887,153416198,-310345,272195359,272195359,642915630,4918612,1562052,3079675.00000001,-3378770,6181569,-953503,-1103503,-2016005,-43354.0000000001,-43354.0000000001,-3426281,1651785,1651785,1651785,12217704,211399329,9844206.99999999,0.17291,0.0798099999999997,0.01807,0.00764999999999999,2.00142,2.35044,1.36196,0.32881,0.17989,0.17754,2.25381,9.95496,0.36003,0.01028,0.0161,16.08957,18.4482
"33","2018_Q4",5.1031746031746,"Down",65147080,-5469839,-3665865,-1693073,9326142,-4834933,-4073658,-761275,4491209,4210188,-1578412,2631776,2631776,2631776,2631776,9979501,9979501,46784485,46784485,15567317,10059743,5507574,72331303,58514125,550928238,25377447,522542866,609442363,681773666,14563405,14563405,20254443,20254443,34884179,244495572,128464292,117502879,10961413,372959864,407844043,149827735,-30267980,154680213,-310345,273929623,273929623,681773666,2631776,1693073,3660362,-3134293,4850918,-1219559,-40739559,32983996,-17093,-17093,31046393,-4842248,-4842248,-4842248,11019215,244561903,8243775,0.14316,0.0404,0.00961,0.00386,3.1324,2.07347,1.48886,0.35871,0.09623,0.09544,2.38201,10.01585,0.30142,0.00618,0.01274,21.28849,25.15321
"34","2019_Q1",3.97196721311475,"Down",75568596,-6701162,-4901898,-1799264,13945725,-4076015,-4501988,425973,9869710,9869710,-7777857,2091853,2091853,2091853,2091853,13433828,13433828,52417152,52417152,5094788,3134756,1960032,70945768,57078452,553060859,25377447,524860234,610139311,681085079,9611151,9611151,19248209,19248209,28859360,243438849,133752779,122912545,10840234,377191628,406050988,149995248,-30447597,155398555,87885,275034091,275034091,681085079,2091853,1799264,6289459,-1619581,8560995,-1013285,-2543285,-1016005,-179617,-179617,-2563383,3454327,3454327,3454327,15744989,243438849,20889980,0.18454,0.02768,0.00761,0.00307,9.98635,2.45833,1.47637,0.35743,0.07644,0.07707,2.76133,10.04994,0.76333,0.0053,0.03203,14.60814,16.49287
"35","2019_Q2",3.28507936507937,"Down",57687554,-6972549,-4962414,-1768787,3263823,-4823468,-4590885,-232583,-1559645,1986110,-632847,1353263,1353263,1353263,1353263,16393569,16393569,41376141,41376141,9211461,4712482,4498979,66981171,57025461,595298342,25377447,567142134,652323803,719304974,8345514,8345514,24803678,24803678,33149192,241398654,168956149,123364689,45591460,410354803,443503995,151752447,-30467423,154428070,87885,275800979,275800979,719304974,1353263,1768787,-2139449,6428385,7410986,1958868,-541132,-2500000,-19826,-19826,-3910113,2959741,2959741,2959741,5032610,241398654,14052710,0.05658,0.02346,0.00491,0.00188,10.38432,2.0206,1.60806,0.3356,0.0491,0.04899,2.09318,10.00738,0.5099,0.00397,0.02048,44.70942,68.93912
"36","2019_Q3",2.9790625,"Down",65658748,-7221411,-5423561,-1742687,10677644,-4508843,-4547036,38193.0000000001,6168801,6168801,-1899800,4269001,4269001,4269001,4269001,12272384,12272384,47487187,47487187,9946496,6013685,3932811,69706067,58283496,595906362,25377447,567824346,654189858,723895925,10501737,10501737,26094636,26094636,36596373,237858459,170223747,123938041,46285706,408082206,444678579,152300063,-30478681,157308079,87885,279217346,279217346,723895925,4269001,1742687,1646967,-3535702,4122953,-2828273,-2828273,-4e+06,-11258,-11258,-5415865,-4121185,-4121185,-4121185,12420331,237858459,7956156,0.16262,0.06502,0.01529,0.0059,1.8637,1.90473,1.59259,0.32858,0.15368,0.15324,2.36371,10.05179,0.28642,0.00823,0.01158,18.16265,21.12695
"37","2019_Q4",2.82703125,"Down",66114701,-7259318,-5326660,-1867234,9411751,-4492494,-4406162,-86332,4919257,4919257,-1733980,3043899,3043899,3043899,3043899,11898751,11898751,49058272,49058272,8966445,6647688,2318757,69923468,59175219,610784656,25377447,582615228,669959875,739883343,13770720,13770720,28524794,28524794,42295514,245818264,170300673,124449836,45850837,416118937,458414451,152902571,-30484269,158962705,87885,281468892,281468892,739883343,3043899,1867234,1942064,4926362,11779559,-2231838,-18241837,7500000,-5588,-5588,6088645,-373633,-373633,-373633,11278985,245818264,15707489,0.14235,0.04604,0.01081,0.00411,5.16032,1.65321,1.62865,0.33224,0.10956,0.1087,2.37971,10.1311,0.56537,0.00635,0.02252,20.73941,24.85398
"38","2020_Q1",3.11387096774194,"Up",72093111,-7874781,-6265742,-1970974,7765753,-4454019,-4488586,34567,3311734,6765398,-2331124,4717479,4717479,4784061,4784061,18648171,18648171,54577452,54577452,6432420,3516766,2915654,79658043,53813602,626588584,28596547,568658807,680402186,760060229,10323408,10323408,35369051,35369051,53192459,249278069,173117743,121130996,51986747,422395812,475588271,153287065,-30662332,162350145,-436338,284538540,284471958,760060229,4717479,1970974,-5455843,-3554884,-2322274,20420680,16656196,-6e+06,-178063,-178063,-7584502,6749420,6749420,6749420,9736727,256778069,28933647,0.10772,0.06636,0.01682,0.00629,6.04793,1.49754,1.67183,0.33784,0.17208,0.17317,2.59316,10.23472,1.04073,0.00864,0.0405,24.45687,30.66411
"39","2020_Q2",2.39412698412698,"Down",57650426,-57990044,-55413569,-2576475,-339618,-4158386,-4184811,26425,-4498004,-11302416,2417780,-8946163,-8946163,-8836561,-8836561,18479201,18479201,46693711,46693711,8681421,4664849,4016572,73854333,55547807,619256414,28596547,562209841,674804221,748658554,11804979,11804979,31408759,31408759,45963738,257987874,170328904,118713216,51615688,428316778,474280516,153553504,-30678207,152115263,-436338,274554222,274378038,748658554,-8946163,2576475,6211619,2111792,1953723,-3443430,-4193430,3500000,-15875,-15875,2070737,-168970,-168970,-168970,2236857,260737874,-1512561,-0.00589,-0.15328,-0.03221,-0.0118,0.17117,1.6068,1.72857,0.34827,-0.31618,-0.31618,2.06281,9.8239,-0.05412,-0.01055,-0.00214,108.30316,-713.32695
"40","2020_Q3",1.66421875,"Down",30383132,-47989150,-45103079,-2886071,-17606018,-3779969,-3851660,71691,-21385987,-24184776,6041946,-18167797,-18167797,-17734961,-17734961,22841461,22841461,29692208,29692208,11704369,3664663,8039706,64238038,56207484,614219808,28596547,558056439,670427292,734665330,10502915,10502915,30959574,30959574,46462489,262416944,168724782,118619859,50104923,431141726,477604215,153752768,-30694251,134498613,-436338,257120792,257061115,734665330,-18167797,2886071,-230453,20647872,5135693,-2511700,-2761700,6e+06,-16044,-16044,1988267,4362260,4362260,4362260,-14719947,267416944,-2625721,-0.57947,-0.58371,-0.06899,-0.02414,0.14805,1.38258,1.85794,0.364,-0.63391,-0.63391,1.086,9.1904,-0.09385,-0.02357,-0.00379,-16.61524,-13.8915799999997
"41","2020_Q4",1.425625,"Down",49649659,-48814987,-33351634,-2912681,834672,-4586391,-4544235,-42156,-3751719,-3751719,1031166,-2724774,-2724774,-2385398,-2385398,15492425,15492425,38558344,38558344,14693455,5495367,9198088,68744224,55231842,611959944,28596547,556665087,667191786,735936010,13223537,13223537,32382626,32382626,48356163,262941844,167534762,119225496,48309266,430476606,478832769,156522162,-30696744,132113215,-436338,257502295,257103241,735936010,-2724774,2912681,599933,-7076689,-6288849,-1041489,-1041489,0,-2493,-2493,-18698,-7349036,-7349036,-7349036,3747353,265691844,-5401991,0.01681,-0.04804,-0.00928,-0.00324,2.26461,1.42162,1.86241,0.36103,-0.0818,-0.0818,1.7025,8.82981,-0.18524,-0.00346,-0.00783,66.76697,299.75777
"42","2021_Q1",2.43590163934426,"Up",68460644,-51112681,-48313273,-2721710,17347963,-4281631,-4313701,32070,13066332,15339642,-4304900,10964578,10964578,11190998,11190998,20759432,20759432,47395423,47395423,9370414,2486860,6883554,77525269,53667550,607421537,28596547,552965798,661089087,738614356,12395407,12395407,28064806,28064806,40460213,258345380,172706943,120913983,51792960,431052323,471512536,154037557,-28187857,143304213,-1426619,267727294,267101820,738614356,10964578,2721710,4943487,-15216026,3413749,4151003,4151003,-2250000,-31539,-31539,-2297745,5267007,5267007,5267007,20069673,258345380,13309550,0.2534,0.16347,0.0419,0.01515,1.18931,1.91609,1.76529,0.34977,0.39324,0.39324,2.40565,9.40771,0.46769,0.01603,0.01906,11.83806,13.69532
"43","2021_Q2",2.78873015873016,"Up",48212040,-50925061,-42967871,-2951901,-2713021,-5739658,-5778071,38413,-8452679,-13257422,2602886,-10684641,-10684641,-10555392,-10555392,56210605,56210605,36687353,36687353,8965261,3886625,5078636,101863219,52403620,607831713,28596547,554186293,660235333,762098552,6580532,6580532,31066386,31066386,37646918,302649259,169062578,118341711,50720867,471711837,509358755,150068228,-28972759,133070947,-1426619,252739797,252739797,762098552,-10684641,2951901,1691961,8394786,2354007,-666768,-666768,41500000,-114308,-114308,33763934,35451173,35451173,35451173,238880,302649259,5364012,-0.05627,-0.21894,-0.04176,-0.01385,-0.50818,2.70575,2.01535,0.39713,-0.36022,-0.36022,1.6453,8.62511,0.18305,-0.01457,0.0074,1031.64205,-90.83551
"44","2021_Q3",2.6178125,"Down",59574705,-53803197,-48494420,-2850923,5771508,-6857289,-6865369,8080,-1085781,-1085781,1299394,187694,187694.000000004,187694.000000004,187694.000000004,57141091,57141091,44339118,44339118,12873732,4806961,8066771,114353941,51911868,605598158,28596547,552763057,657510026,771863967,6557722,6557722,42880861,42880861,49438583,303029470,166088695,117019777,49068918,469118165,518556748,150470427,-28995230,133258641,-1426619,253307219,253307219,771863967,187693.999999996,2850923,-798088,254490,2495019,-1524519,-1524519,7.45058059692383e-09,-22471,-22471,-40014,930485.999999993,930485.999999993,930485.999999993,8622431,303029470,6053008,0.09688,0.00315000000000001,0.000740000000000011,0.000240000000000001,32.24934,2.31305,2.04715,0.39259,0.00641000000000014,0.00641000000000003,2.03307,8.64447,0.20657,0.000259999999999993,0.00838,28.51729,42.60384
"45","2021_Q4",2.2603125,"Down",62902935,-58010229,-51186064,-2843350,4892706,-7009391,-7021577,12186,-2116685,-2116685,515380,-1620323,-1620323,-1620323,-1620323,48141758,48141758,47197566,47197566,13897598,8741464,5156134,109236922,51037061,602674956,28596547,550650174,653712017,762948939,6827616,6827616,36942895,36942895,43770511,303409681,163835313,116505040,47330273,467244994,511015505,150721765,-29000030,131638318,-1426619,251933434,251933434,762948939,-1620323,2843350,427225,-12476279,-10826027,-1150963,1849037,0,-4800,-4800,-22343,-8999333,-8999333,-8999333,7736056,303409681,-6406566,0.07778,-0.02576,-0.00643,-0.00212,3.95388,2.49567,2.02838,0.39768,-0.05537,-0.05537,2.1495,8.609,-0.21892,-0.00225,-0.00891,32.99717,52.17316
"46","2022_Q1",1.86838709677419,"Down",70736628,-64219739,-56821830,-2663821,6516889,-6781461,-6791219,9758,-264572.000000001,9735428,903970,10582176,10582176,10582176,10582176,51378642,51378642,53378437,53378437,7441474,4044056,3397418,112198553,49843166,600046343,28596547,548752589,649889509,762088062,6995081,6995081,37879195,37879195,44874276,293789892,160341596,115689317,44652279,454131488,499005764,150929521,-29021360,142220494,-1046357,263082298,263082298,762088062,10582176,2663821,-10018663,842440.000000002,4069774,-794018,-794018,0,-21330,-21330,-38872,3236884,3236884,3236884,9180710,293789892,8325162,0.09213,0.1496,0.04022,0.01389,0.786720000000004,2.50029,1.89677,0.38551,0.36207,0.36207,2.42029,9.00148,0.28485,0.01475,0.01161,26.40441,37.19739
"47","2022_Q2",1.53725806451613,"Down",55720268,-56579796,-49830436,-2515900,-859528,-6848165,-6849037,872,-7707693,-9564919,5849318,-3738945,-3738945,-3738945,-3738945,50706697,50706697,42112420,42112420,6695655,3830697,2864958,99514772,49425164,597692731,28596547,547060982,647117895,746632667,7356456,7356456,30453502,30453502,37809958,294170103,155111602,109832130,45279472,449281705,487091663,151156771,-29050959,138481549,-1046357,259541004,259541004,746632667,-3738945,2515900,-3283789,5242208,735374,-1375775,-1375775,-3061562.48633044,-29599,-29599,-31544,-671945,-671945,-671945,1656372,294170103,-326513,-0.01543,-0.0671,-0.01441,-0.00501,0.08733,2.63197,1.87674,0.394,-0.12777,-0.12712,1.90405,8.86893,-0.01116,-0.00527,-0.00046,146.98595,-283.25244
"48","2022_Q3",1.24375,"Down",64810450,-60645164,-53626592,-2451102,4165286,-6633007,-6823217,190210,-2467721,-11086818,-3554469,-14454717,-14454717,-14454717,-14454717,45918446,45918446,45628769,45628769,10314501,6330503,3983998,101861716,52658061,594089770,22739996,547976577,646747831,748609547,9637062,9637062,38228217,38228217,49865279,287641142,165566102,112930112,52635990,453207244,503072523,151535601,-29127067,124174847,-1046357,245537024,245537024,748609547,-14306702,2451102,12797992,5073780,6016172,-3925815,-5925815,-4802500,-76108,-76108,-4878608,-4788251,-4788251,-4788251,6616388,289641142,11318822,0.06427,-0.22303,-0.05887,-0.01931,-0.78305,2.04274,2.04887,0.38691,-0.49215,-0.49215,2.20663,8.35991,0.38538,-0.02063,0.01615,36.83622,58.5128399999999
