"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",5.3503125,"Up",24812469,-2658704,-2094009,-564695,5450761,-2001845,-2047874,46029,3448916,3448916,-1028429,2420487,2420487,2420487,2420487,14223452,14223452,16736368,16736368,4394248,2141383,2066597,35354068,18819005,204024796,13629364,190395432,225426277,260780345,899181,899181,7520035,7520035,13044216,111125000,51146461,50188176,958285,162271461,175315677,117107308,-14716045,-16926879,284,85464668,85464668,260780345,2420487,564695,1523645,-574351,3934476,-316876,-243285,-1e+06,-176512,-176512,-1128387,2562804,2562804,2562804,6015456,115750000,6152658,0.21968,0.09755,0.02832,0.00928,2.54191,2.71033,2.05132,0.44386,0.10658,0.1065,1.0925,3.76305,0.2709,0.00959,0.02438,16.87761,18.62612
"12","2013_Q3",6.37953125,"Up",26855633,-2657098,-2129569,-527529,7425211,-2289687,-2326250,36563,5135524,3874740,-1516771,2357969,2357969,2357969,2357969,12992375,12992375,17731922,17731922,5589938,3294607,2222119,36314235,18856086,203296162,13629364,189666798,224652786,260967021,918136,918136,7890907,7890907,14309043,106750000,51901148,50972097,929051,158651148,172960191,117293116,-14723378,-14568910,6002,88006830,88006830,260967021,2357969,527529,2580826,-1987823,3478501,-565473,-587702,-3500000,-7332.99999999997,-7332.99999999997,-4121876,-1231077,-1231077,-1231077,7952740,112250000,6916215,0.27649,0.0878,0.02679,0.00904,2.93312,2.53785,1.9653,0.43013,0.10368,0.10332,1.18086,3.86973,0.30411,0.00935,0.02743,12.48093,13.36765
"13","2013_Q4",6.63078125,"Up",-10597878,-2283334,-2157138,-126196,-7126552,-1321843,-1337605,15762,-8448395,-8634311,3278921,-5355390,3186891,3186891,3186891,12489731,12489731,17106958,17106958,4988305,2286393,2491708,34584994,19964277,205916279,13629364,192286915,228283886,262868880,1122029,1122029,8239841,8239841,14924370,104687500,52673985,51774302,899683,157361485,172285855,116674158,-14729984,-11382019,20870,90583025,90583025,262868880,3186891,548184,1146386,1752997,6634458,-1232077,-5134869,-2e+06,-6606,-6606,-2002233,-502644,-502644,-502644,-6578368,110250000,-9336369,0.67245,-0.30071,0.03518,0.01212,-2.92962,2.31735,1.90197,0.41941,0.14012,0.13929,-0.46597,3.98277,-0.4105,0.01257,-0.03683,-14.86087,-13.71775
"14","2014_Q1",7.15950819672131,"Up",15027736,-2681274,-2243679,-437595,2814854,-1387982,-1370072,-17910,1426872,1426872,-604287.999999999,822584,3580916,3580916,3580916,14299013,14299013,17195453,17195453,4357214,1459757,2522797,35851680,16807242,209244465,7062310,202182155,228357209,264208889,1675130,1675130,8391168,8391168,14316298,102625000,53641497,52771252,870245,156266497,170582795,117156098,-14729984,-8824642,24622,93626094,93626094,264208889,3580916,580233,1632290,72809.9999999995,5866249,-787205,-689376.999999999,-3375000,0,0,-3367590,1809282,1809282,1809282,3395087,106875000,3284980,0.18731,0.23829,0.03825,0.01355,0.91736,2.50426,1.82196,0.40451,0.15743,0.1562,0.66069,4.11625,0.14442,0.01409,0.01293,27.26763,32.88838
"15","2014_Q2",5.70174603174603,"Down",12955429,-2741743,-2275004,-466739,606069,-1200676,-1223715,23039,-594607,-594607,-921110,-1515717,682872,682872,682872,12718988,12718988,15685615,15685615,5307642,2557205,2365394,33712245,20713343,205699679,13629364,192070315,228620063,262332308,1487028,1487028,8108139,8108139,12532667,100562500,55853518,55012711,840807,156416018,168948685,117630715,-15081703,-9168407,3018,93383623,93383623,262332308,682872,606562,2833150,91757,4214341,-1253683,-1155222,-3375000,-351719,-351719,-4639144,-1580025,-1580025,-1580025,1212631,103500000,971815,0.04678,0.05271,0.00731,0.0026,1.42313,2.68995,1.80919,0.39454,0.02997,0.02989,0.56865,4.09889,0.04266,0.00675,0.00385,74.86285,149.7866
"16","2014_Q3",4.965,"Down",14140994,-2819849,-2342619,-477230,2260257,-1082105,-1100089,17984,1178152,1154553,-504429,650124,3021289,3021289,3021289,12091451,12091451,16570897,16570897,6342102,3238245,2974920,35004450,20923758,206091195,13629364,192461831,228946400,263950850,1238140,1238140,7997569,7997569,14348209,97137500,56724348,55912979,811369,153861848,168210057,118003386,-15096008,-7173981,7396,95740793,95740793,263950850,3021289,616750,2063934,-2948456,2753517,-691244,-701851,-1250000,-14305,-14305,-2679203,-627537,-627537,-627537,2877007,102250000,-258264,0.15984,0.21365,0.03156,0.01145,-0.08548,2.43964,1.75693,0.38738,0.1324,0.13186,0.61971,4.19574,-0.01132,0.01589,-0.00101,31.33762,39.88863
"17","2014_Q4",4.19359375,"Down",13047411,-2687152,-2194584,-492568,938874,-819754,-1080812,261058,119120,112150,591186,703336,2458810,2458810,2458810,13221201,13221201,16363114,16363114,5192644,2600658,2339692,34776959,17896147,209203073,7062310,202140763,228939284,263716243,1118205,1118205,8454678,8454678,12685383,95859375,57619899,56840129,779770,153479274,166164657,118371185,-15107464,-5742287,30152,97551586,97551586,263716243,2458810,634236,1420424,1681555,6195025,-822713,-731330,-3278125,-11456,-11456,-4333945,1129750,1129750,1129750,1573110,98971875,1840766,0.07196,0.18845,0.02521,0.00932,0.74864,2.7415,1.70335,0.3753,0.10774,0.10705,0.57173,4.27464,0.08066,0.01372,0.00724,54.51028,91.33353
"18","2015_Q1",4.16573770491803,"Down",18562069,-4087640,-2110910,-715412,2213061,-946312,-970513,24201,1266749,808164,320078,1128242,33836396,33836396,33836396,14259441,14259441,17637686,17637686,3420762,636552,2784210,35317889,28254202,248870698,8857516,238655156,278872992,314190881,1120434,1120434,9864528,9864528,14097462,93025258,76525873,75776497,749376,169551131,183648593,118561338,-15107464,27066481,21933,130542288,130542288,314190881,33836396,668403,-33640214,2886232,3750817,-434748,-342776,-1278125,-1.45519152283669e-11,-1.45519152283669e-11,-2369801,1038240,1038240,1038240,2881464,96137758,5012870,0.11922,1.82288,0.2592,0.10769,0.14815,2.50527,1.40681,0.30599,1.48242,1.46766,0.81323,5.71925,0.21962,0.11498,0.01653,28.41553,36.99777
"19","2015_Q2",3.97206349206349,"Down",24250839,-3861762,-2439147,-1118853,2575129,-476201,-948006,471805,2098928,2098928,-800544,1298384,1298384,1298384,1298384,12346921,12346921,17620616,17620616,4324585,2131209,2016504,34292122,28013991,250160159,8857516,240352681,279829677,314121799,853527,853527,8546196,8546196,12290348,93303125,77707698,76918423,789275,171010823,183301171,118780184,-15345044,27333708,51780,130820628,130820628,314121799,1298384,1118853,1511280,-2364201,1564316,-653157,-560592,-1500000,-237580,-237580,-2916244,-1912520,-1912520,-1912520,3693982,96193750,1477168,0.10619,0.05354,0.00992,0.00413,1.1377,2.79017,1.40116,0.30623,0.05675,0.05668,1.05988,5.71751,0.06456,0.00763,0.00485,22.69822,32.56024
"20","2015_Q3",3.53828125,"Down",27024338,-3188917,-2302888,-839874,5093755,-922309,-941003,18694,4171446,4171446,-1639404,2532042,2532042,2532042,2532042,11571004,11571004,19785642,19785642,4554295,3104802,1449493,35910941,27697101,250321841,8857516,240649603,279581308,315492249,2260833,2260833,8546796,8378637,11976379,92025000,78869170,77694201,1174969,170894170,182870549,119052182,-15353486,28834367,88637,132621700,132621700,315492249,2532042,839874,1699210,-1150742,3920384,-583196,-656702,-3e+06,-8442,-8442,-4039599,-775917,-775917,-775917,5933629,93193750,5839095,0.18849,0.0936899999999997,0.01909,0.00803000000000001,2.30608,2.99848,1.37889,0.29539,0.11048,0.11008,1.17912,5.78653,0.25477,0.01169,0.01916,13.75596,16.02408
