"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","net_loans","total_loans","total_consumer_loans","student_loans","intangible_assets","other_assets","total_assets","short_term_debt","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"1","2014_Q3",11.89265625,"Up",9.38e+08,6.63e+08,1.175e+09,-5.12e+08,2.75e+08,2.75e+08,-1.65e+08,7.73e+08,-2.12e+08,-2.12e+08,5.61e+08,5.61e+08,-6.3e+07,4.98e+08,-1.92e+08,3.06e+08,3.07e+08,3.07e+08,3.06e+08,1.636e+09,6.58e+08,1.30054e+11,1.30054e+11,1.30054e+11,1.30054e+11,3.73e+08,1.0255e+10,1.42976e+11,4.316e+09,1.31919e+11,2.72e+09,1.38955e+11,2.872e+09,-8.2e+07,1.224e+09,7e+06,4.021e+09,4.021e+09,1.42976e+11,3.06e+08,1.65e+08,-2.04e+08,2.87e+08,5.55e+08,3.04e+08,2.236e+09,-6.4e+07,-3.139e+09,-6.5e+07,-1.629e+09,-4.897e+09,-2.106e+09,-2.106e+09,-2.106e+09,1.36235e+11,0.59808,0.32623,0.0761,0.00214,34.55732,0.95285,0.72684,0.71329,2.22803,9.55107,0.15202,0.00259,0.20915,239.92692
"2","2014_Q4",13.62421875,"Up",9.14e+08,6.24e+08,1.132e+09,-5.08e+08,2.9e+08,2.9e+08,-1.4e+08,7.74e+08,-1.95e+08,-1.95e+08,5.79e+08,5.79e+08,-1.6e+07,5.63e+08,-2.02e+08,3.61e+08,3.59e+08,3.59e+08,3.59e+08,1.942e+09,6.22e+08,1.28183e+11,1.28183e+11,1.28183e+11,1.28183e+11,3.71e+08,9.227e+09,1.40345e+11,5.994e+09,1.27669e+11,2.526e+09,1.36189e+11,2.884e+09,-2.57e+08,1.521e+09,8e+06,4.156e+09,4.156e+09,1.40345e+11,3.61e+08,1.4e+08,-2.58e+08,2.61e+08,5.02e+08,1.46e+08,1.655e+09,-6.2e+07,-3.453e+09,-1.67e+08,1.831e+09,-1.851e+09,3.06e+08,3.06e+08,3.06e+08,1.33663e+11,0.63348,0.39278,0.08638,0.00256,32.76925,0.95239,0.86506,0.8487,2.20241,10.01446,0.1494,0.003,0.1727,227.49741
"3","2015_Q1",14.1096721311475,"Up",7.86e+08,6.14e+08,1.127e+09,-5.13e+08,1.72e+08,1.72e+08,-1.57e+08,6.29e+08,-2.14e+08,-2.14e+08,4.15e+08,4.15e+08,-1.3e+07,4.02e+08,-1.51e+08,2.51e+08,2.52e+08,2.52e+08,2.52e+08,1.443e+09,6.33e+08,1.34317e+11,1.34317e+11,1.34317e+11,1.34317e+11,3.69e+08,9.59e+09,1.46352e+11,2.663e+09,1.36866e+11,2.625e+09,1.42154e+11,2.897e+09,-4.32e+08,1.724e+09,9e+06,4.198e+09,4.198e+09,1.46352e+11,2.51e+08,1.57e+08,-1.28e+08,-2.32e+08,4.9e+07,2.23e+08,-6.536e+09,-6e+07,2.328e+09,-1.68e+08,3.888e+09,5.988e+09,-4.99e+08,-4.99e+08,-4.99e+08,1.39529e+11,0.52799,0.32061,0.06003,0.00172,33.86232,0.95338,0.62222,0.61017,1.94074,10.36543,0.14815,0.00213,0.2381,332.73735
"4","2015_Q2",13.5487301587302,"Down",8.32e+08,5.83e+08,1.097e+09,-5.14e+08,2.49e+08,2.44e+08,-1.25e+08,7.07e+08,-2.3e+08,-2.3e+08,4.77e+08,4.77e+08,-4e+06,4.73e+08,-1.81e+08,2.92e+08,2.92e+08,2.92e+08,2.92e+08,2.051e+09,6.03e+08,1.31414e+11,1.31414e+11,1.31414e+11,1.31414e+11,5.49e+08,9.255e+09,1.43872e+11,4.09e+09,1.3233e+11,3.361e+09,1.39781e+11,2.939e+09,-7.67e+08,1.951e+09,-3.6e+07,4.087e+09,4.091e+09,1.43872e+11,2.92e+08,1.25e+08,-2.16e+08,2.98e+08,4.99e+08,1.51e+08,2.74e+09,-6.3e+07,-3.466e+09,-3e+08,1.198e+09,-2.631e+09,6.08e+08,6.08e+08,6.08e+08,1.3642e+11,0.57332,0.35096,0.07138,0.00203,34.16793,0.9482,0.73367,0.72099,2.09045,10.26884,0.15829,0.00247,0.21575,281.69602
"5","2015_Q3",10.21921875,"Down",7.5e+08,5.49e+08,1.064e+09,-5.15e+08,2.01e+08,1.94e+08,-1.98e+08,5.52e+08,-2.26e+08,-2.26e+08,3.26e+08,3.26e+08,-3.2e+07,2.94e+08,-1.12e+08,1.82e+08,1.82e+08,1.82e+08,1.82e+08,1.614e+09,6.43e+08,1.28371e+11,1.28371e+11,1.28371e+11,1.28371e+11,5.46e+08,9.046e+09,1.4022e+11,2.951e+09,1.30387e+11,2.949e+09,1.36287e+11,2.958e+09,-1.075e+09,2.072e+09,-2.6e+07,3.929e+09,3.933e+09,1.4022e+11,1.82e+08,1.98e+08,-1.31e+08,3.07e+08,5.56e+08,-2.64e+08,2.56e+09,-6.1e+07,-4.392e+09,-3e+08,1.2e+09,-3.553e+09,-4.37e+08,-4.37e+08,-4.37e+08,1.33338e+11,0.43467,0.24267,0.04628,0.0013,34.65217,0.95092,0.47895,0.47028,1.97368,10.33947,0.16053,0.00173,0.33516,404.06135
"6","2015_Q4",8.6771875,"Down",7.34e+08,5.53e+08,1.077e+09,-5.24e+08,1.81e+08,1.81e+08,-1.23e+08,6.11e+08,-2.27e+08,-2.27e+08,3.84e+08,3.84e+08,-3e+06,3.81e+08,-1.45e+08,2.36e+08,2.37e+08,2.37e+08,2.37e+08,1.305e+09,6.85e+08,1.25791e+11,1.25791e+11,1.25791e+11,1.25791e+11,5.44e+08,9.341e+09,1.37666e+11,2.816e+09,1.28293e+11,2.67e+09,1.33779e+11,2.968e+09,-1.254e+09,2.251e+09,-8.2e+07,3.883e+09,3.887e+09,1.37666e+11,2.36e+08,1.23e+08,-1.68e+08,2.13e+08,4.04e+08,-3.05e+08,2.049e+09,-5.8e+07,-4.673e+09,-1.75e+08,2.144e+09,-2.762e+09,-3.09e+08,-3.09e+08,-3.09e+08,1.31109e+11,0.52316,0.32289,0.06097,0.00172,34.41703,0.95237,0.64402,0.632,1.99457,10.55163,0.15761,0.00214,0.24473,338.03125
"7","2016_Q1",7.47475409836066,"Down",8.07e+08,5.36e+08,1.057e+09,-5.21e+08,2.71e+08,2.92e+08,-1.35e+08,6.72e+08,-2.35e+08,-2.35e+08,4.37e+08,4.37e+08,-5e+06,4.32e+08,-1.59e+08,2.73e+08,2.73e+08,2.73e+08,2.73e+08,1.594e+09,5.01e+08,1.22796e+11,1.22796e+11,1.22796e+11,1.22796e+11,7.05e+08,8.45e+09,1.34046e+11,2.57e+09,1.24833e+11,2.71e+09,1.30113e+11,2.971e+09,-1.425e+09,2.414e+09,-5.1e+07,3.909e+09,3.933e+09,1.34046e+11,2.74e+08,1.35e+08,-2.46e+08,2.88e+08,4.51e+08,8.66e+08,3.337e+09,-5.8e+07,-3.495e+09,-1.7e+08,2.24e+08,-3.499e+09,2.89e+08,2.89e+08,2.89e+08,1.27403e+11,0.54151,0.33829,0.06941,0.00204,33.08238,0.95044,0.76257,0.75623,2.25419,10.91899,0.16201,0.00247,0.21245,287.89245
"8","2016_Q2",9.2615625,"Up",6.46e+08,4.86e+08,1.051e+09,-5.65e+08,1.6e+08,1.6e+08,-1.11e+08,5.35e+08,-2.47e+08,-2.47e+08,2.88e+08,2.88e+08,-4e+06,2.84e+08,-1.03e+08,1.81e+08,1.81e+08,1.81e+08,1.81e+08,1.168e+09,4.27e+08,1.20565e+11,1.20565e+11,1.20565e+11,1.20565e+11,7.02e+08,8.515e+09,1.31377e+11,2.363e+09,1.2292e+11,2.255e+09,1.27538e+11,2.979e+09,-1.636e+09,2.604e+09,-1.32e+08,3.815e+09,3.839e+09,1.31377e+11,1.81e+08,1.11e+08,-1.15e+08,1.65e+08,3.42e+08,3e+07,2.185e+09,-5.4e+07,-4.357e+09,-2e+08,1.658e+09,-2.953e+09,-4.26e+08,-4.26e+08,-4.26e+08,1.25283e+11,0.44582,0.28019,0.04715,0.00138,33.22167,0.95361,0.53392,0.5277,1.9056,11.25369,0.15929,0.00179,0.29834,430.95486
"9","2016_Q3",10.26140625,"Up",5.52e+08,4.29e+08,1.029e+09,-6e+08,1.23e+08,1.23e+08,-1.1e+08,4.42e+08,-2.31e+08,-2.31e+08,2.11e+08,2.11e+08,-6e+06,2.05e+08,-8.1e+07,1.24e+08,1.24e+08,1.24e+08,1.24e+08,1.377e+09,5.45e+08,1.17359e+11,1.17359e+11,1.17359e+11,1.17359e+11,6.96e+08,8.395e+09,1.28372e+11,2.37e+09,1.19637e+11,2.662e+09,1.24669e+11,2.989e+09,-1.816e+09,2.677e+09,-1.71e+08,3.679e+09,3.703e+09,1.28372e+11,1.24e+08,1.1e+08,-7e+06,2.02e+08,4.29e+08,1.24e+08,3.202e+09,-5.1e+07,-5.476e+09,-1.75e+08,2.28e+09,-3.422e+09,2.09e+08,2.09e+08,2.09e+08,1.22007e+11,0.38225,0.22464,0.03349,0.00097,33.66703,0.95042,0.3839,0.3792,1.70898,11.39009,0.15789,0.00136,0.41129,571.70616
"10","2016_Q4",11.5763492063492,"Up",7.23e+08,4.12e+08,1.038e+09,-6.26e+08,3.11e+08,3.11e+08,-1.06e+08,6.17e+08,-2.28e+08,-2.28e+08,3.89e+08,3.89e+08,-1.2e+07,3.77e+08,-1.47e+08,2.3e+08,2.3e+08,2.3e+08,2.3e+08,1.823e+09,4.42e+08,1.14156e+11,1.14156e+11,1.14156e+11,1.14156e+11,6.83e+08,8.208e+09,1.25312e+11,2.637e+09,1.1654e+11,2.401e+09,1.21578e+11,3.01e+09,-2.032e+09,2.858e+09,-1.26e+08,3.71e+09,3.734e+09,1.25312e+11,2.3e+08,1.06e+08,-1.38e+08,1.45e+08,3.43e+08,21999999.9999999,3.111e+09,-4.9e+07,-3.626e+09,-2e+08,8.67e+08,-3.008e+09,4.46e+08,4.46e+08,4.46e+08,1.19177e+11,0.53804,0.31812,0.0616,0.00184,32.55972,0.95104,0.74194,0.72555,2.33226,11.96774,0.15806,0.00223,0.21304,301.68123
