"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",11.3092063492063,"Up",331358000,-214967000,116391000,-96599000,-96599000,19792000,-3344000,-4245000,901000,16448000,16448000,-5530000,10918000,10918000,10918000,10918000,158210000,158210000,167260000,191071000,18441000,18441000,534982000,165927000,125409000,86427000,22636000,12774000,349652000,884634000,315207000,109556000,205651000,4685000,319892000,224062000,15430000,7526000,239492000,559384000,33615000,300750000,-9115000,325250000,325250000,884634000,10918000,11248000,1436000,-34138000,-10536000,-10118000,-4930000,-14515000,-6129000,-750000,1304000,4986000,-3682000,2078000,-3497000,-28548000,-28548000,-1015000,-29563000,31040000,228747000,-7686000,0.35125,0.05973,0.03295,0.03357,0.01234,-0.70398,1.67238,1.71986,0.25858,0.08021,0.07959,2.43431,2.38944,-0.05646,0.04503,0.02994,-0.0135,0.56137,2.27245,3.56391
"2","2010_Q3",11.08953125,"Down",562819000,-375407000,187412000,-115289000,-115289000,72123000,-3366000,-4271000,905000,68757000,68757000,-23096000,45661000,45661000,45661000,45661000,180385000,180385000,260789000,174406000,12150000,12150000,627730000,165514000,135625000,86558000,24369000,21072000,358259000,985989000,418319000,171279000,247040000,4218000,422537000,224297000,17518000,7951000,241815000,664352000,32763000,298960000,-10086000,321637000,321637000,985989000,45661000,11006000,1387000,33268000,91322000,-10321000,-8234000,-18717000,-6076000,-470000,-43935000,6489000,-50424000,435000,-50046000,22559000,22559000,-384000,22175000,83129000,228515000,129172000,0.33299,0.12815,0.08113,0.14196,0.04631,2.82893,1.48562,2.06553,0.23176,0.33859,0.33435,4.17348,2.38504,0.95785,0.04506,0.09114,0.22755,0.13307,0.57898,0.66733
"3","2010_Q4",12.63390625,"Up",458890000,-297257000,161633000,-107824000,-107824000,53809000,-1844000,-4243000,2399000,51965000,51965000,-18551000,33414000,33414000,33414000,33414000,163379000,163379000,170096000,177195000,12302000,12302000,522972000,168003000,131830000,86484000,23666000,18001000,356680000,879652000,361752000,118009000,243743000,3942000,365694000,224313000,18012000,7680000,242325000,608019000,31310000,251812000,-11489000,271633000,271633000,879652000,33414000,10200000,1140000,31855000,76609000,-11938000,9592000,-7607000,-5792000,-470000,-79320000,1843000,-81163000,580000,-85002000,-1.6e+07,-1.6e+07,-1006000,-17006000,64009000,228255000,102477000,0.35223,0.11726,0.07281,0.12301,0.03799,3.06689,1.43008,2.23838,0.25948,0.25732,0.25335,3.53384,2.0918,0.78916,0.0446,0.0757,0.19787,0.17334,1.01354,1.20567
"4","2011_Q1",13.2003225806452,"Up",337311000,-226356000,110955000,-105413000,-105413000,5542000,-1444000,-4354000,2910000,4097999.99999999,4097999.99999999,-854000,3244000,3244000,3244000,3244000,177366000,177366000,142901000,194402000,10766000,10766000,525435000,173407000,127242000,86400000,22962000,17880000,360187000,885622000,181685000,125138000,48902000,3004000,368283000,223578000,17951000,7007000,241529000,609812000,31395000,253477000,-9062000,275810000,275810000,885622000,3244000,12557000,2735000,17576000,36112000,-15748000,-6085000,-19967000,-5724000,-1180000,2854000,3362000,-508000,303000,-3747000,12398000,12398000,1589000,13987000,18099000,226582000,20781000,0.32894,0.01643,0.00962,0.01176,0.00366,6.40598,1.42672,2.21099,0.25585,0.02557,0.02508,2.6585,2.17379,0.16378,0.04511,0.01723,0.03994,1.76449,2.71927,8.88055
"5","2011_Q2",13.6334920634921,"Up",383213000,-246568000,136645000,-109444000,-109444000,27201000,-2748000,-4116000,1368000,24453000,24453000,-7171000,17282000,17282000,17282000,17282000,94418000,94418000,171155000,239734000,14365000,14365000,519672000,172648000,145372000,91875000,35617000,15961000,377039000,896711000,384778000,149702000,235076000,2671000,387449000,225101000,18064000,7330000,243165000,630614000,31107000,243540000,-8550000,266097000,266097000,896711000,17282000,11291000,125000,-59950000,-31252000,-9548000,-12060000,-19750000,-6389000,-1746000,-24718000,5118000,-29836000,1509000,-31344000,-82346000,-82346000,-602000,-82948000,38492000,227772000,-23835000,0.35658,0.07098,0.0451,0.06495,0.01927,-1.37918,1.34127,2.36987,0.25401,0.13562,0.13317,3.0072,2.08815,-0.18704,0.05014,0.04624,-0.04656,0.36969,3.46446,4.90254
"6","2011_Q3",11.4734375,"Down",631600000,-418046000,213554000,-120199000,-120199000,93355000,-2855000,-4186000,1331000,90500000,90500000,-30250000,60250000,60250000,60250000,60250000,106862000,106862000,278491000,259826000,15261000,15261000,660440000,180315000,152237000,91892000,34393000,23812000,392087000,1052527000,488484000,202588000,285896000,2542000,491026000,224897000,18064000,7391000,242961000,733987000,30999000,289573000,-2032000,318540000,318540000,1052527000,60250000,11589000,718000,-23374000,49183000,-16282000,0,-22703000,-6293000,-192000,-10746000,6130000,-16876000,830000,-16401000,10079000,10079000,2365000,12444000,104944000,227439000,95538000,0.33812,0.14781,0.09539,0.18914,0.05724,1.58569,1.34502,2.30422,0.21609,0.47898,0.47041,5.02115,2.53236,0.75952,0.05003,0.11798,0.16938,0.10445,1.14897,1.2916
"7","2011_Q4",11.997619047619,"Up",501045000,-333384000,167661000,-112937000,-112937000,54724000,-2433000,-4294000,1861000,52291000,52291000,-17200000,35091000,35091000,35091000,35091000,118113000,118113000,199012000,232362000,20256000,20256000,569743000,187648000,150248000,92046000,36813000,20424000,397804000,967547000,394888000,126688000,268200000,2781000,397669000,225162000,18336000,7560000,243498000,641167000,61283000,266949000,-1852000,326380000,326380000,967547000,35091000,11371000,-765000,8210000,53907000,-17330000,-2e+06,-13808000,-6212000,28000,-23443000,1061000,-24504000,105000,-29522000,10577000,10577000,674000,11251000,66095000,227943000,74175000,0.33462,0.10922,0.07004,0.10752,0.03627,2.11379,1.43271,1.96448,0.23559,0.28139,0.2764,4.01781,2.6172,0.5948,0.04981,0.07212,0.12953,0.17703,1.6617,2.00698
"8","2012_Q1",14.3577419354839,"Up",368095000,-249308000,118787000,-109580000,-109580000,9207000,-1625000,-4374000,2749000,7582000,7582000,-2547000,5035000,5035000,5035000,5035000,80886000,80886000,148140000,223030000,18303000,18303000,470359000,191140000,146641000,92020000,35546000,19075000,400304000,870663000,174100000,118036000,53560000,2019000,359080000,225178000,19638000,7651000,244816000,603896000,59206000,214387000,-6826000,266767000,266767000,870663000,5035000,14255000,649000,22100000,42039000,-13634000,-1095000,-13014000,-6076000,-723000.000000001,-56581000,2158000,-58739000,544000,-62836000,-33811000,-33811000,-3416000,-37227000,23462000,227197000,34475000,0.32271,0.02501,0.01368,0.01887,0.00578,6.84707,1.3099,2.26376,0.26095,0.04115,0.04062,3.00864,2.18043,0.28178,0.04966,0.02163,0.06712,1.20675,6.23608,15.89128
"9","2012_Q2",15.5446031746032,"Up",423835000,-277184000,146651000,-112630000,-112630000,34021000,-3935000,-4428000,493000,30086000,30086000,-10163000,19923000,19923000,19923000,19923000,71804000,71804000,175498000,272474000,18796000,18796000,538572000,188271000,148264000,92064000,34820000,21305000,398435000,937007000,378206000,151836000,226370000,27102000,405308000,223685000,19285000,7920000,242970000,648278000,59797000,235123000,-6191000,288729000,288729000,937007000,19923000,12960000,1088000,-50283000,-16312000,-13771000,-550000,-14308000,-6607000,23521000,343000,5208000,-4865000,5071000,22328000,-8292000,-8292000,-790000,-9082000,46981000,250787000,-6910000,0.34601,0.08027,0.04701,0.069,0.02126,-0.34684,1.3288,2.24528,0.26765,0.16606,0.16345,3.53278,2.40664,-0.0576,0.05507,0.04748,-0.01237,0.33163,3.80969,5.26096
"10","2012_Q3",16.6634920634921,"Up",691485000,-456063000,235422000,-128922000,-128922000,106500000,-2108000,-4165000,2057000,104392000,104392000,-35574000,68818000,68818000,68818000,68818000,82572000,82572000,272819000,250804000,23281000,23281000,629476000,184620000,153049000,91988000,35871000,25190000,399878000,1029354000,474873000,196382000,278491000,1865000,476738000,223701000,18341000,7614000,242042000,718780000,58827000,259391000,-7644000,310574000,310574000,1029354000,68818000,12704000,624000,23661000,105807000,-8038000,-9113000,-20723000,-6621000,-26113000,-43142000,8060000,-51202000,1808000,-74068000,11016000,11016000,-248000,10768000,119204000,225566000,170401000,0.34046,0.15402,0.09952,0.22158,0.06686,2.47611,1.32038,2.31436,0.21913,0.57465,0.56445,5.77412,2.59339,1.4229,0.05529,0.13605,0.30732,0.0962100000000005,1.19957,1.34267
