"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",22.8188888888889,"Up",318486000,-161043000,157443000,-121886000,-108676000,-9609000,35557000,-5162000,-5162000,39295025.7726146,30395000,30395000,-8775000,21620000,21620000,21620000,21620000,962334500.624243,962334500.624243,-186681032.707705,-186681032.707705,-136881845.512923,-56311736.3051631,-56336234.9667743,582459886.098451,156461591.76564,-67126291.0228846,104476016.256406,104187415.59801,-244900539.401998,-30889183.475303,89335300.7427554,671795186.841207,-194547609.495584,72155118.9965016,-286787024.663464,20084296.1713785,872438378.798735,872438378.798735,739141717.368142,-4755436.10029066,-4755436.10029066,-4755436.10029066,734386281.267851,339171251.62599,-114765806.213478,579104534.324908,-866101074.164064,-62591094.4266443,-62591094.4266443,671795186.841207,21668000,13817000,255000,-1904000,33836000,-9001000,80000,-10761000,-8578000,716000,716000,173000,-7689000,15386000,15386000,4096000,19482000,49374000,0,47244000,0.49435,0.11164,0.06788,-0.122176693794258,-0.0785381482724175,2.1852,0.740154213060065,1.4368742611755,0.0554899778310057,0.41309,0.40836,6.08529,-2.44601226123529,0.90269,0.1639,-0.0956217210919255,0.747530517017097,0.39676,-49.7472147563855,-84.9913049238493
"2","2010_Q3",20.1828125,"Down",295829000,-148912000,146917000,-123016000,-108735000,-10632000,23901000,-5163000,-5163000,18278512.8863073,18738000,18738000,-4842000,13896000,13896000,13896000,13896000,583489250.312122,583489250.312122,27291983.6461475,27291983.6461475,-9435422.7564617,-2198368.15258157,-2210617.48338713,599147443.049226,153149295.88282,487826854.488558,471812508.128203,105474707.799005,-87782269.700999,-1678091.73765152,640976150.371378,1240123593.4206,-26081304.7477918,87393059.4982508,-125866012.331732,12391648.0856893,660303689.399368,660303689.399368,695476858.684071,33110781.9498547,33110781.9498547,33110781.9498547,728587640.633926,317954125.812995,-91654903.106739,646939267.162454,-361702537.082032,511535952.786678,511535952.786678,1240123593.4206,15001000,13549000,1923000,3724000,34197000,-5973000,-650000,-25082000,-9766000,956000,956000,207000,-8603000,512000,512000,-2566000,-2054000,37450000,-3.72529029846191e-09,40043000,0.49663,0.08079,0.04697,-0.0410683468971292,-0.0273090741362088,2.88162,0.846762106530032,1.05441713058775,0.0447249889155029,0.26534,0.26171,5.64872,9.19434886938236,0.7646,0.18648,-0.0262158605459627,0.368095258508548,0.70279,-24.9358073781928,-41.7056274619247
"3","2010_Q4",23.72984375,"Up",321887000,-161689000,160198000,-124283000,-111227000,-10709000,35915000,-5147000,-5147000,6366837.6287691,30768000,30768000,-7193000,23575000,23575000,23575000,23575000,384147083.437374,384147083.437374,156687661.215382,156687661.215382,62772192.4145128,26809543.9491395,26805460.838871,630416481.016409,149303765.294273,798542284.829519,678495169.376068,105137569.266335,551576.766333655,14357969.4207828,947846050.123793,1578262531.1402,70708231.7507361,94785353.1660836,-32683337.4439106,8606216.02856309,546180563.133123,546180563.133123,678148619.561357,54843260.6499516,54843260.6499516,54843260.6499516,732991880.211308,306415708.604332,-76150301.0355797,691222089.054151,-76216845.6940107,845270650.928893,845270650.928893,1578262531.1402,23695000,12910000,2269000,11247000,50121000,-5953000,1767000,-14318000,-9216000,1822000,1822000,-198000,-33735000,2068000,2068000,-546000,1522000,48825000,0,61312000,0.49768,0.11158,0.07324,0.00400721770095694,0.00118364195459708,2.60072,0.926964035510011,0.83740904352925,0.038298329638501,0.44968,0.44588,6.13984,15.9462296231275,1.1695,0.17579,0.0123547131513458,0.150855086169516,0.39092,-11.1282057927309,-17.5375424873082
"4","2011_Q1",25.8366129032258,"Up",322894000,-164155000,158739000,-124656000,-107268000,-11671000,34083000,-4582000,-5750000,1168000,29501000,29501000,-6636000,22865000,22865000,22865000,22865000,314840000,314840000,221621000,221621000,94672000,37839000,37839000,668972000,145502000,932057000,768600000,103546000,39103000,20808000,1077559000,1746531000,114377000,96702000,10138000,7537000,501087000,501087000,676728000,64776000,64776000,64776000,741504000,301924000,-66314000,718512000,50905000,1005027000,1005027000,1746531000,21592000,12746000,7e+05,12046000,47084000,-5369000,6849000,1480000,-9226000,-2314000,223000,677000,65302000,113866000,113866000,-6132000,107734000,46829000,61264000,60142000,0.49161,0.10555,0.07081,0.02275,0.01309,2.63031,0.98854,0.7378,0.03508,0.43574,0.43247,6.15341,19.15286,1.14613,0.17582,0.02837,0.05317,0.4035,-5.41494,-7.43996
"5","2011_Q2",26.5798412698413,"Up",329588000,-165076000,164512000,-122909000,-109324000,-9944000,41603000,-5397000,-5687000,290000,36206000,36206000,-9925000,26281000,26281000,26281000,26281000,326100000,326100000,242207000,242207000,101195000,38017000,38017000,707519000,142321000,955408000,786203000,101070000,46874000,21261000,1097729000,1805248000,123481000,95513000,19975000,7993000,496041000,496041000,680786000,67243000,67243000,67243000,748029000,301847000,-60208000,735368000,80212000,1057219000,1057219000,1805248000,26281000,12594000,171000,-22889000,16157000,-2810000,-908000,-3718000,-9424000,2105000,2105000,-146000,-7465000,4974000,4974000,6286000,11260000,54197000,61264000,38423000,0.49914,0.12623,0.07974,0.02486,0.01456,1.46201,1.03927,0.70754,0.03394,0.50109,0.49765,6.28409,20.15747,0.73259,0.17968,0.03011,0.0324,0.35859,-4.88654,-6.36579
"6","2011_Q3",21.9603125,"Down",329009000,-169999000,159010000,-121930000,-108064000,-11732000,37080000,-4676000,-5850000,1174000,32404000,32404000,-8205000,24199000,24199000,24199000,24199000,362302000,362302000,240173000,240173000,98828000,36233000,36233000,737536000,140548000,945096000,781776000,98560000,45087000,19673000,1085644000,1823180000,118197000,92696000,16603000,8898000,500141000,500141000,679603000,66120000,66120000,66120000,745723000,303814000,-56069000,750038000,79674000,1077457000,1077457000,1823180000,24199000,12908000,-908000,5253000,41452000,-6235000,414000.000000001,-1791000,-9530000,2804000,2804000,504999.999999999,-6221000.00000001,33440000,33440000,2762000,36202000,49988000,61265000,57211000,0.4833,0.1127,0.07355,0.02246,0.01327,2.36419,1.08525,0.69211,0.0336,0.46011,0.45612,6.25564,20.48631,1.08779,0.1812,0.02799,0.04748,0.39382,-6.02219,-8.11858
"7","2011_Q4",23.1063492063492,"Up",337896000,-170258000,167638000,-126767000,-115006000,-10550000,40871000,-3675000,-5103000,1428000,37196000,37196000,-8607000,28589000,28589000,28589000,28589000,373978000,373978000,235634000,235634000,102502000,39614000,39614000,751728000,140760000,968158000,799395000,96386000,52744000,19633000,1108918000,1860646000,117081000,90621000,17399000,9061000,484405000,484405000,662750000,65741000,65741000,65741000,728491000,305193000,-51959000,769081000,109840000,1132155000,1132155000,1860646000,28589000,12020000,-1124000,13352000,52837000,-4626000,115000,-4511000,-9546000,2245000,2245000,716000,-49099000,-773000,-773000,12449000,11676000,52891000,61264000,70224000,0.49612,0.12096,0.08461,0.02525,0.01537,2.45633,1.13426,0.64346,0.03293,0.54248,0.53601,6.41157,21.48261,1.3325,0.18114,0.03029,0.05577,0.3339,-5.91242,-7.65124
"8","2012_Q1",25.5824193548387,"Up",62862000,33928000,96790000,-70585000,-65078000,-6042000,26205000,-4387000,-5484000,1097000,21818000,21818000,5070000,26888000,29583000,29583000,29583000,389971000,389971000,228483000,228483000,104186000,35647000,35647000,758287000,139915000,963303000,800343000,89961000,53755000,19244000,1103218000,1861505000,116413000,98847000,9954000,7612000,456118000,456118000,633795000,71518000,71518000,71518000,705313000,303211000,-50017000,789100000,113898000,1156192000,1156192000,1861505000,29583000,11305000,1291000,14725000,56904000,-6861000,-5202000,-12611000,-9564000,1039000,1039000,-62778000,-28789000,15504000,15504000,489000.000000002,15993000,37510000,61264000,40304000,1.53972,0.41687,0.4706,0.02559,0.01589,1.3624,1.19642,0.61003,0.03291,0.56015,0.55471,1.19028,21.89219,0.76315,0.18109,0.03037,0.03127,0.32329,-8.76318,-12.54367
"9","2012_Q2",22.6406349206349,"Down",349508000,-181677000,167831000,-118741000,-108932000,-9809000,49090000,-5249000,-5047000,-202000,43841000,43841000,-11109000,32732000,32732000,32732000,32732000,371594000,371594000,232837000,232837000,109663000,42120000,42120000,756214000,136263000,946884000,792303000,84461000,50676000,19444000,1083147000,1839361000,121370000,96237000,16170000,8963000,433992000,433992000,616626000,68200000,68200000,68200000,684826000,306630000,-61015000,812142000,96778000,1154535000,1154535000,1839361000,32732000,11241000,7990000,-36682000,15281000,-5817000,-1191000,-7008000,-9690000,-11626000,683000,456000,-20860000,-12587000,-12587000,-5790000,-18377000,60331000,61264000,28941000,0.48019,0.14045,0.09365,0.02835,0.0178,0.88418,1.22637,0.59316,0.03331,0.62161,0.61812,6.63745,21.92557,0.54961,0.18402,0.03304,0.02254,0.29604,-5.14379,-6.32165
"10","2012_Q3",21.8026984126984,"Down",320584000,-167279000,153305000,-230503000,-104843000,-9972000,-77198000,-4121000,-4933000,812000,-81319000,-81319000,-8635000,-89954000,-89954000,-89954000,-89954000,380331000,380331000,215929000,215929000,112115000,39316000,39316000,747691000,132144000,816326000,666907000,79090000,51124000,19205000,948470000,1696161000,105664000,81140000,16599000,7925000,416741000,416741000,583669000,65550000,65550000,65550000,649219000,308127000,-58869000,712425000,85259000,1046942000,1046942000,1696161000,-89954000,10935000,108373000,-1333999.99999999,28020000,-5283000,266000,-7597000,-9762000,1618000,1618000,110000.000000007,-8034000,12389000,12389000,-3652000,8736999.99999999,-66263000,61264000,-64245000,0.47821,-0.2408,-0.28059,-0.08592,-0.05303,0.7142,1.28102,0.62011,0.03612,-1.71514,-1.71514,6.11253,19.9619,-1.22495,0.18613,-0.06832,-0.05473,-0.10852,4.81516,4.1331
