"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","interest_dividends_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",31.9728571428571,"Up",3.475e+09,-1.415e+09,2.06e+09,-1.442e+09,-4.51e+08,6.18e+08,-1.72e+08,-1.68e+08,-6e+06,4.46e+08,4.46e+08,-1.85e+08,2.61e+08,2.61e+08,2.61e+08,-3e+06,2.58e+08,2.58e+08,2.58e+08,1.528e+09,1.528e+09,2.55e+08,3.58e+09,3.468e+09,5.621e+09,2.9377e+10,4.3748e+10,-1.4371e+10,8.542e+09,8.542e+09,3.7919e+10,4.354e+10,2.426e+09,7.95e+08,2.093e+09,3.261e+09,2.755e+09,7.78e+09,1.0612e+10,1.4527e+10,1.968e+09,4.656e+09,7.903e+09,2.5139e+10,3.2919e+10,6.307e+09,4.302e+09,-2.4e+08,1.0369e+10,2.52e+08,1.0621e+10,4.354e+10,2.61e+08,5.06e+08,-2.41e+08,-1.31e+08,3.95e+08,-8.55e+08,7e+06,-8.48e+08,4.18e+08,-8.7e+07,1.84e+08,-2.69e+08,-2.69e+08,-2.69e+08,1.124e+09,1.2705e+10,3.23e+08,0.59281,0.17784,0.07424,0.02429,0.00593,1.25194,0.72249,3.09943,0.2918,0.69542,0.66324,9.36658,27.94879,0.87062,10.5896932922177,0.01096,0.00853,11.07384,20.14078
"2","2010_Q3",34.218125,"Up",3.232e+09,-1.11e+09,2.122e+09,-1.427e+09,-4.68e+08,6.95e+08,-1.71e+08,-1.75e+08,2e+06,5.24e+08,5.24e+08,-1.87e+08,3.37e+08,3.37e+08,3.37e+08,-4e+06,3.33e+08,2.65e+08,2.65e+08,8.46e+08,8.46e+08,3.34e+08,4.167e+09,4.167e+09,5.612e+09,2.9983e+10,4.4542e+10,-1.4559e+10,8.623e+09,8.623e+09,3.8606e+10,4.4218e+10,2.749e+09,8.39e+08,1.652e+09,3.218e+09,2.815e+09,7.619e+09,1.0815e+10,1.4661e+10,2.018e+09,4.637e+09,8.006e+09,2.5476e+10,3.3095e+10,6.646e+09,4.457e+09,-2.32e+08,1.0871e+10,2.52e+08,1.1123e+10,4.4218e+10,3.37e+08,5.32e+08,-82000000.0000002,1.91e+08,9.78e+08,-9.31e+08,3.6e+07,-8.95e+08,1e+08,-9.2e+07,-7.6e+07,7e+06,7e+06,7e+06,1.227e+09,1.2467e+10,6.74e+08,0.65656,0.21504,0.10303,0.02994,0.00753,2.02402,0.73658,2.97537,0.28194,0.89276,0.85604,8.66488,29.14477,1.80697,7.58116975584944,0.01297,0.01762,9.94458,17.55683
"3","2010_Q4",36.36171875,"Up",3.513e+09,-1.284e+09,2.229e+09,-1.726e+09,-5.01e+08,5.03e+08,-1.35e+08,-1.67e+08,2.9e+07,3.68e+08,3.68e+08,-1.07e+08,2.61e+08,2.61e+08,2.61e+08,-3e+06,2.58e+08,3.47e+08,3.47e+08,9.89e+08,9.89e+08,3.79e+08,4.036e+09,4.036e+09,5.751e+09,3.0675e+10,4.5347e+10,-1.4672e+10,8.827e+09,8.827e+09,3.9502e+10,4.5253e+10,2.354e+09,7.87e+08,1.576e+09,3.254e+09,3.104e+09,7.184e+09,1.1255e+10,1.5539e+10,2.064e+09,5.267e+09,8.208e+09,2.6794e+10,3.3978e+10,6.712e+09,4.535e+09,-2.24e+08,1.1023e+10,2.52e+08,1.1275e+10,4.5253e+10,2.61e+08,3.82e+08,7.33e+08,-4.29e+08,9.47e+08,-1.008e+09,-4.6e+07,-1.054e+09,4.66e+08,-1.57e+08,1.89e+08,8.2e+07,8.2e+07,8.2e+07,8.85e+08,1.2831e+10,-4.45e+08,0.6345,0.14318,0.07344,0.02288,0.0057,-1.72481,0.80053,3.01357,0.28354,0.66154,0.65316,9.00769,28.2641,-1.14103,6.21793865844354,0.01085,-0.01122,14.10621,24.81909
"4","2011_Q1",35.4733870967742,"Down",3.621e+09,-1.38e+09,2.241e+09,-1.749e+09,-4.85e+08,4.92e+08,-1.7e+08,-1.74e+08,2e+06,3.22e+08,3.22e+08,-6.8e+07,2.54e+08,2.54e+08,2.54e+08,-4e+06,2.5e+08,2.91e+08,2.91e+08,9.44e+08,9.44e+08,3.57e+08,3.95e+09,3.903e+09,5.542e+09,3.1449e+10,4.6289e+10,-1.484e+10,9.034e+09,9.034e+09,4.0483e+10,4.6025e+10,2.447e+09,8.62e+08,1.662e+09,3.076e+09,2.963e+09,7.185e+09,1.1329e+10,1.5977e+10,2.234e+09,5.547e+09,8.196e+09,2.7306e+10,3.4491e+10,6.878e+09,4.606e+09,-2.02e+08,1.1282e+10,2.52e+08,1.1534e+10,4.6025e+10,2.54e+08,4.85e+08,1.35e+08,1.2e+07,8.86e+08,-1.008e+09,-5.2e+07,-1.06e+09,2.64e+08,-1.38e+08,1.18e+08,-5.6e+07,-5.6e+07,-5.6e+07,9.77e+08,1.2991e+10,4.9e+07,0.61889,0.13587,0.06904,0.02168,0.00543,0.196,0.77133,2.99038,0.28226,0.63452,0.63291,9.19036,28.63452,0.12437,6,0.01037,0.00121,12.99898,25.81301
"5","2011_Q2",34.3592063492063,"Down",3.597e+09,-1.396e+09,2.201e+09,-1.717e+09,-4.91e+08,4.84e+08,-1.58e+08,-1.77e+08,1.7e+07,3.26e+08,3.26e+08,-1.24e+08,2.02e+08,2.02e+08,2.02e+08,-3e+06,1.99e+08,2.4e+08,2.4e+08,9.22e+08,9.22e+08,2.92e+08,4.017e+09,3.982e+09,5.471e+09,3.1872e+10,4.6933e+10,-1.5061e+10,8.916e+09,8.916e+09,4.0788e+10,4.6259e+10,2.406e+09,7.84e+08,2.21e+09,3.156e+09,3.077e+09,7.772e+09,1.0615e+10,1.6206e+10,2.288e+09,5.721e+09,8.197e+09,2.6821e+10,3.4593e+10,6.983e+09,4.624e+09,-1.93e+08,1.1414e+10,2.52e+08,1.1666e+10,4.6259e+10,2.02e+08,4.91e+08,1.13e+08,2.82e+08,1.088e+09,-9.45e+08,6.2e+07,-8.83e+08,-8.5e+07,-7.9e+07,-2.56e+08,-5.1e+07,-5.1e+07,-5.1e+07,9.75e+08,1.2825e+10,4.36e+08,0.6119,0.13456,0.05532,0.01706,0.0043,2.19095,0.70394,2.96528,0.27724,0.50253,0.50126,9.08333,28.82323,1.10101,6.42735378051882,0.00917,0.01071,12.90769,26.00207
"6","2011_Q3",32.99921875,"Down",3.684e+09,-1.164e+09,2.52e+09,-1.828e+09,-5.91e+08,6.92e+08,-1.5e+08,-1.74e+08,2.1e+07,5.42e+08,5.42e+08,-1.76e+08,3.66e+08,3.66e+08,3.66e+08,-4e+06,3.62e+08,3.5e+08,3.5e+08,8.94e+08,8.94e+08,3.56e+08,4.522e+09,4.347e+09,6.122e+09,3.2127e+10,4.7691e+10,-1.5564e+10,9.069e+09,9.069e+09,4.1196e+10,4.7318e+10,2.505e+09,8.27e+08,1.26e+09,3.257e+09,3.123e+09,7.022e+09,1.1689e+10,1.6566e+10,2.317e+09,5.945e+09,8.304e+09,2.8255e+10,3.5277e+10,7.171e+09,4.802e+09,-1.84e+08,1.1789e+10,2.52e+08,1.2041e+10,4.7318e+10,3.66e+08,5.91e+08,5.7e+07,-1.97e+08,8.17e+08,-9.52e+08,1.3e+08,-8.22e+08,2.23e+08,-1.08e+08,1.15e+08,1.1e+08,1.1e+08,1.1e+08,1.283e+09,1.2949e+10,3.1e+08,0.68404,0.18784,0.09826,0.03006,0.00765,0.85635,0.87183,2.92974,0.27366,0.90955,0.90274,9.25628,29.6206,0.77889,7,0.01292,0.00746,9.81995,18.20665
"7","2011_Q4",32.3728571428571,"Down",3.86e+09,-1.394e+09,2.466e+09,-2.058e+09,-5.66e+08,4.08e+08,-1.56e+08,-1.76e+08,1.8e+07,2.52e+08,2.52e+08,-4.9e+07,2.03e+08,2.03e+08,2.03e+08,-3e+06,2e+08,2.77e+08,2.77e+08,1.011e+09,1.011e+09,4.17e+08,4.172e+09,4.024e+09,5.877e+09,3.2832e+10,4.8458e+10,-1.5626e+10,8.808e+09,8.808e+09,4.164e+10,4.7517e+10,2.43e+09,7.89e+08,1.187e+09,3.201e+09,3.201e+09,6.818e+09,1.1626e+10,1.6862e+10,2.343e+09,6.212e+09,8.307e+09,2.8488e+10,3.5306e+10,7.318e+09,4.817e+09,-1.76e+08,1.1959e+10,2.52e+08,1.2211e+10,4.7517e+10,2.03e+08,5.66e+08,6.11e+08,-5.3e+07,1.327e+09,-1.071e+09,-1.54e+08,-1.225e+09,-2.3e+07,-1.1e+08,-1.75e+08,-7.3e+07,-7.3e+07,-7.3e+07,9.74e+08,1.2813e+10,-1.01e+08,0.63886,0.1057,0.05181,0.01638,0.00421,-0.505,0.86198,2.89133,0.26965,0.49628,0.49751,9.57816,29.67494,-0.25062,7,0.00898,-0.00241,12.87064,30.72549
"8","2012_Q1",33.8674193548387,"Up",3.815e+09,-1.379e+09,2.436e+09,-2.078e+09,-5.67e+08,3.58e+08,-1.8e+08,-1.73e+08,-7e+06,1.78e+08,1.78e+08,-9.1e+07,8.7e+07,8.7e+07,8.7e+07,-4e+06,8.3e+07,5.13e+08,5.13e+08,9.92e+08,9.92e+08,4.2e+08,4.555e+09,4.372e+09,6.48e+09,3.3655e+10,4.9567e+10,-1.5912e+10,9.615e+09,9.615e+09,4.327e+10,4.975e+10,2.55e+09,8.43e+08,1.697e+09,3.502e+09,3.306e+09,7.749e+09,1.1766e+10,1.7882e+10,3.396e+09,6.008e+09,8.478e+09,2.9648e+10,3.7397e+10,7.602e+09,4.712e+09,-2.13e+08,1.2101e+10,2.52e+08,1.2353e+10,4.975e+10,8.7e+07,5.67e+08,-9.8e+07,-4.9e+07,5.07e+08,-1.07e+09,1.4e+07,-1.056e+09,7.59e+08,-6.6e+07,7.85e+08,2.36e+08,2.36e+08,2.36e+08,9.25e+08,1.3463e+10,-1.03e+08,0.63853,0.09384,0.02176,0.00672,0.00167,-1.24096,0.83624,3.02736,0.27061,0.20393,0.20343,9.37346,29.73219,-0.25307,6,0.006,-0.00236,14,36.17318
"9","2012_Q2",35.8584126984127,"Up",3.641e+09,-1.202e+09,2.439e+09,-1.952e+09,-5.84e+08,4.87e+08,-1.47e+08,-1.74e+08,2.6e+07,3.4e+08,3.4e+08,-1.04e+08,2.36e+08,2.36e+08,2.36e+08,-3e+06,2.33e+08,2.57e+08,2.57e+08,9.26e+08,9.26e+08,3.7e+08,4.613e+09,4.459e+09,6.166e+09,3.4249e+10,5.0356e+10,-1.6107e+10,9.773e+09,9.773e+09,4.4022e+10,5.0188e+10,2.275e+09,7.98e+08,1.451e+09,3.549e+09,3.389e+09,7.275e+09,1.1767e+10,1.8334e+10,3.464e+09,6.19e+09,8.68e+09,3.0101e+10,3.7376e+10,8.011e+09,4.752e+09,-2.03e+08,1.256e+10,2.52e+08,1.2812e+10,5.0188e+10,2.36e+08,5.84e+08,2.1e+07,9e+07,9.31e+08,-1.094e+09,1e+06,-1.093e+09,-2.45e+08,-5.4e+07,-9.4e+07,-2.56e+08,-2.56e+08,-2.56e+08,1.071e+09,1.3218e+10,1.71e+08,0.66987,0.13375,0.06399,0.01819,0.00464,0.73391,0.84756,2.91727,0.26337,0.5628,0.5601,8.79469,30.33816,0.41304,6,0.00935,0.00385,12.10177,26.61396
"10","2012_Q3",36.6446031746032,"Up",3.593e+09,-1.094e+09,2.499e+09,-2.032e+09,-6.06e+08,4.67e+08,-1.41e+08,-1.76e+08,3.2e+07,3.26e+08,3.26e+08,-8.7e+07,2.39e+08,2.39e+08,2.39e+08,-4e+06,2.35e+08,2.92e+08,2.92e+08,9.37e+08,9.37e+08,4.15e+08,3.896e+09,3.864e+09,5.54e+09,3.4902e+10,5.1348e+10,-1.6446e+10,9.673e+09,9.673e+09,4.4575e+10,5.0115e+10,2.406e+09,8.51e+08,1.079e+09,2.872e+09,2.706e+09,6.357e+09,1.2166e+10,1.8538e+10,3.517e+09,6.272e+09,8.749e+09,3.0704e+10,3.7061e+10,8.204e+09,4.793e+09,-1.95e+08,1.2802e+10,2.52e+08,1.3054e+10,5.0115e+10,2.39e+08,6.06e+08,1.82e+08,2.16e+08,1.243e+09,-1.125e+09,1.2e+07,-1.113e+09,23000000.0000001,-1.06e+08,-94999999.9999999,35000000.0000001,35000000.0000001,35000000.0000001,1.073e+09,1.3245e+10,2.51e+08,0.69552,0.12997,0.0654,0.018,0.00469,1.06809,0.87148,2.83905,0.26429,0.55556,0.55164,8.49409,30.26478,0.59338,5,0.00939,0.0056,12.07176,27.73662
