"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q1",5.15967741935484,"Up",7791000,-7972000,-181000,-2733000,-1943000,-790000,-2914000,1194000,1189000,-1720000,3234000,1514000,559000,2073000,2073000,2073000,2073000,76331000,3004000,73327000,1979000,1979000,17341000,2785000,2205000,98436000,7773000,1018000,358000,8791000,107227000,4696000,1373000,3323000,1478000,1478000,6174000,2525000,0,2525000,8699000,11503000,87763000,98528000,98528000,107227000,2073000,234000,239000,-1632000,914000,-366000,-366000,548000,548000,548000,-2680000,0,-5237000,-0.02323,-0.37402,0.26608,0.02104,0.01933,-2.52629,15.94363,0.08829,0,0.1452,0.1452,0.5457,6.90117,-0.36681,0.02051,-0.05182,28.48172,26.19458
"2","2011_Q2",5.16603174603175,"Up",7785000,-6809000,976000,-2632000,-2103000,-529000,-1656000,628000,609000,-1028000,2538000,1510000,-405000,1105000,1105000,1105000,1105000,95279425.6737417,4974660.30019416,90304765.3735475,2744124.50525838,2744124.50525838,17105764.4362921,2712803.00334931,1760678.74567162,117842117.618641,7420346.61436896,1348073.53355129,-490974.049710502,8768420.14792025,126610537.766562,9340271.27186107,2857156.57597775,6483114.69588332,6456192.97184138,6456192.97184138,15796464.2437025,2616435.21812136,3.58920427472437e-15,2616435.21812136,18412899.4618238,11022517.9726483,97468477.7531868,108197638.304738,108197638.304738,126610537.766562,1105000,191000,671000.000000002,-2967000,-1e+06,-135000,-135000,-1135000,-1135000,-1135000,-1465000,0,-4162000,0.12537,-0.21272,0.14194,0.130852405706861,0.122752126990281,-3.76652,0.654511923806563,0.17677886896029,0,0.0774,0.0774,0.54528,7.57850875872625,-0.29152,0.130485868889732,-0.00619386869009548,-183.990445066111,-182.650558695466
"3","2011_Q3",4.9803125,"Down",16727000,-14052000,2675000,-2828000,-2294000,-534000,-153000,301000,295000,148000,830000,978000,1472000,2450000,2450000,2450000,2450000,93865825.6737417,4072560.30019416,89793265.3735475,2687724.50525838,2687724.50525838,15237664.4362921,4202903.00334931,1614978.74567162,115994117.618641,7640746.61436896,1495673.53355129,-417374.049710502,9136420.14792025,125130537.766562,9410271.27186107,2983656.57597775,6426614.69588332,5766792.97184138,5766792.97184138,15177064.2437024,1858935.21812136,3.58920427472437e-15,1858935.21812136,17035999.4618238,10805817.9726483,97360677.7531868,108094538.304738,108094538.304738,125130537.766562,2450000,216000,-5424000,7623000,4865000,-716000,-716000,4149000,4149000,4149000,63000,0,5498000,0.15992,-0.00915,0.14647,0.100406405706861,0.0941401269902809,2.24408,1.83481892380656,0.16291586896029,0,0.1716,0.1716,1.1716,7.57128675872625,0.38509,0.100198868889732,0.00113413130990452,-171.339004066111,-173.324573695466
"4","2011_Q4",4.66730158730159,"Down",23015000,-18756000,4259000,-2812000,-2265000,-547000,1447000,582000,565000,2029000,-530000,1499000,-408000,1091000,1091000,1091000,1091000,83071000,2423000,80648000,2181000,2181000,13182000,5842000,1620000,104276000,8101000,1460000,106000,9561000,113837000,7105999.99999999,2437000,4669000,2755000,2755000,9860999.99999999,801000,0,801000,10662000,10766000,92409000,103175000,103175000,113837000,1091000,235000,-1965000,-2838000,-3477000,-118000,-118000,-3595000,-3595000,-3595000,1682000,0,-865999.999999998,0.18505,0.06287,0.0474,0.01057,0.00957999999999999,-0.79377,10.57459,0.10334,0,0.07642,0.07642,1.61203,7.22666,-0.0606599999999999,0.0104900000000001,-0.00832999999999998,-49.3882300000001,-57.4091200000001
"5","2012_Q1",4.69935483870968,"Up",12165000,-10661000,1504000,-2885000,-2284000,-601000,-1381000,811000,787000,-570000,-5951000,-6521000,2099000,-4422000,-4422000,-4422000,-4422000,74201000,1715000,72486000,1573000,1573000,12878000,6082000,1632000,94734000,8349000,1292000,602000,9641000,104375000,4820000,1978000,2842000,756000,756000,5576000,0,0,0,5576000,10812000,87987000,98799000,98799000,104375000,-4422000,248000,2192000,1771000,-211000,-497000,-497000,-708000,-708000,-708000,-1133000,0,-1958000,0.12363,-0.11352,-0.3635,-0.04476,-0.04237,0.44279,16.9896,0.05644,0,-0.30973,-0.30973,0.85207,6.92015,-0.13714,-0.04476,-0.01982,65.49073,53.72991
"6","2012_Q2",4.68142857142857,"Down",6864000,-6141000,723000,-2336000,-1797000,-539000,-1613000,586000,570000,-1027000,2227000,1200000,-325000,874999.999999999,874999.999999999,874999.999999999,874999.999999999,78074000,4292000,73782000,1246000,1246000,15524000,3577000,1501000,98421000,8111000,965000,6e+05,9076000,107497000,4656000,2253000,2403000,3120000,3120000,7776000,0,-1.57772181044202e-30,0,7776000,10859000,88862000,99721000,99721000,107497000,874999.999999999,261000,1258000,203999.999999998,2598000,-21000,-21000,2577000,2577000,2577000,-1352000,0,-844000,0.10533,-0.23499,0.12748,0.00876999999999999,0.00814,-0.96457,12.65702,0.07798,0,0.0612900000000001,0.06129,0.48077,6.98473,-0.05912,0.00876999999999999,-0.00846,57.74704,48.40298
"7","2012_Q3",5.04285714285714,"Up",19339000,-15273000,4066000,-3079000,-2523000,-556000,987000,573000,553000,1560000,2611000,4171000,-1405000,2766000,2766000,2766000,2766000,90449000,13502000,76947000,1535000,1535000,14657000,1644000,1265000,108285000,8570000,99000,99000,8669000,116954000,5773000,2769000,3004000,8136000,8136000,13909000,512000,0,512000,14421000,10905000,91628000,102533000,102533000,116954000,2766000,253000,1147000,5753000,9919000,-709000,-709000,9210000,9210000,9210000,1240000,0,7689000,0.21025,0.05104,0.14303,0.02698,0.02365,2.77983,7.78525,0.14065,0,0.19374,0.19374,1.35456,7.18169,0.53856,0.02684,0.07462,-72.94274,-91.64032
"8","2012_Q4",5.00548387096774,"Down",22986000,-17237000,5749000,-3348000,-2679000,-669000,2401000,594000,581000,2995000,-1290000,1705000,-513000,1192000,1192000,1192000,1192000,86998000,10760000,76238000,1397000,1397000,11983000,5580000,1364000,105958000,8331000,97000.0000000001,97000.0000000001,8428000,114386000,7918000,3371000,4547000,2518000,2518000,10436000,178000,-2.52435489670724e-29,178000,10614000,10952000,92820000,103772000,103772000,114386000,1192000,284000,-833000,-3342000,-2699000,-42999.9999999999,-42999.9999999999,-2742000,-2742000,-2742000,2685000,0,-186999.999999998,0.25011,0.10445,0.05186,0.01149,0.01042,-0.156880000000001,10.15312,0.10228,0,0.08349,0.08349,1.61,7.26847,-0.0131,0.01147,-0.00179999999999998,-32.40149,-36.23407
"9","2013_Q1",4.87966666666667,"Down",13993000,-12501000,1492000,-2874000,-2299000,-575000,-1382000,586000,565000,-796000,572000,-224000,-137000,-361000,-361000,-361000,-361000,84736000,3361000,81375000,1206000,1206000,11918000,4230000,782000,102090000,8127000,95000,95000,8222000,110312000,5398000,1881000,3517000,480000,480000,5878000,974000,0,974000,6852000,11001000,92459000,103460000,103460000,110312000,-361000,277000,-3588000,-3629000,-7301000,-98000,-98000,-7399000,-7399000,-7399000,-1105000,0,-4695000,0.10662,-0.09876,-0.0258,-0.00349,-0.00327,13.00554,17.36815,0.06623,0,-0.02529,-0.02529,0.98011,7.24662,-0.32885,-0.00346,-0.04496,76.68416,61.31404
"10","2013_Q2",4.7090625,"Down",4948000,-4531000,417000,-2407000,-1959000,-448000,-1990000,705000,690000,-1285000,-526000,-1811000,835000,-976000,-976000,-976000,-976000,83831000,4292000,79539000,1056000,1056000,15106000,3079000,985000,103072000,7869000,92000,92000,7961000,111033000,4843000,1506000,3337000,3507000,3507000,8350000,136000,0,136000,8486000,11064000,91483000,102547000,102547000,111033000,-976000,286000,472000,1174000,956000,-24999.9999999999,-24999.9999999999,931000.000000001,931000.000000001,931000.000000001,-1704000,0,-1390000,0.08428,-0.40218,-0.19725,-0.00952,-0.00879,1.42418,12.34395,0.08275,0,-0.06836,-0.06836,0.34657,7.18267,-0.09736,-0.0095,-0.01354,49.1966,42.12613
