"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","goodwill","other_intangible_assets","customer_acceptances_liabilities","other_assets","total_assets","total_deposits","other_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",27.0749206349206,"Down",97960000,66579000,92379000,-25800000,31381000,26673000,4708000,-13826000,84134000,-67822000,-26002205.1714951,-67822000,16312000,16312000,16312000,-2478000,13834000,13834000,13834000,13834000,32765027.3112484,917743828.409903,2195655578.25559,6149801302.52372,-63656705.8697094,6213458008.39343,188324424.096429,127376145.340673,39497473.6857819,56181867.026395,354500002.024403,10099972077.5388,9096931743.69907,9096931743.69907,-24399578.2091639,134290010.801682,168707305.086351,9375529481.37794,304491815.363882,455372738.606893,-35421932.7959228,724442596.160814,724442596.160814,10099972077.5388,13834000,5527000,13826000,-4905000,43385000,71667000,-3823000,-65767000,197157000,-76160000,51407000,-8917000,50924000,1076000,-189895000,-146609000,-23535000,-23535000,-23535000,21839000,0,63879000,0.16652,0.14122,-0.00798200687043226,-0.0013660986584908,4.61754,11.9619961386383,-0.00236775544941155,0.37523,0.37283,2.65705,18.1679478385297,1.73264,0.24186,-0.000387577838278914,0.0805159146460331,0.64457,50.8908614829942,132.446933042791
"2","2010_Q3",21.2539682539683,"Down",103165000,67872000,89740000,-21868000,35293000,29288000,6005000,-24517000,78648000,-72121000,-8005000,-64116000,6527000,6527000,6527000,-27000.0000000009,6500000,6500000,6500000,6500000,169320000,620316000,1942125000,4894980000,-77221000,4972201000,207574000,61631000,14779000,34594000,554699000,8500018000,6960571000,6960571000,502865000,30857000,144443000,7638736000,383947000,456834000,20501000,861282000,861282000,8500018000,6500000,5669000,24517000,-5921000,118854000,149619000,-7182000,21284000,527830000,-616506000,-74573999.9999999,-8926000,-32949000,-1076000,-45346000,-88241000,-13196000,-13196000,-13196000,12196000,533722000,123895000,0.06327,0.06301,0.00755,0.00076,19.06077,8.86903,0.06279,0.17643,0.17546,2.8002,23.37772,3.36287,0.24228,0.00181,0.01458,1.37323,29.87881,55.82994
"3","2010_Q4",23.02859375,"Up",102030000,66822000,85398000,-18576000,35208000,28199000,7009000,-16258000,85772000,-68059000,-3698000,-64361000,17713000,17713000,17713000,-2860000,14853000,14853000,14853000,14853000,175633000,430513000,1921797000,4827972000,-79725000,4907697000,211287000,61631000,14108000,29849000,566572000,8239362000,6708798000,6708798000,516439000,10652000,137693000,7373582000,385003000,462760000,18017000,865780000,865780000,8239362000,14853000,5822000,16258000,-3151000,-56137000,-22355000,-6759000,82101000,364764000,-144302000,295804000,-8927000,-6491000,1428000,-251773000,-265799000,7650000,7650000,7650000,23535000,527091000,-36501000,0.17361,0.14557,0.01716,0.0018,-2.45748,8.51669,0.06397,0.40272,0.40137,2.76639,23.47432,-0.98967,0.24204,0.00289,-0.00443,0.60102,14.93342,19.84181
"4","2011_Q1",23.663064516129,"Up",99117000,68940000,85041000,-16101000,30177000,26959000,3218000,-11390000,87727000,-61893000,-4744000,-57149000,25834000,21359000,21359000,-4340000,17019000,17019000,17019000,17019000,139687000,364190000,1923236000,4875167000,-81997000,4957164000,209919000,61631000,13203000,30157000,514596000,8138327000,6779726000,6779726000,364676000,10548000,126829000,7281779000,386339000,470828000,-619000,856548000,856548000,8138327000,17019000,6307000,11390000,19939000,-58788000,-4132999.99999997,-1915000,117594000,-831336000,777395000,61738000,-8951000,-151810000,511999.999999993,66921000,-93551000,-35946000,-35946000,-35946000,32141000,375224000,-24222000,0.26064,0.17171,0.01987,0.00209,-1.42323,8.50131,0.04611,0.46107,0.45923,2.68522,23.20514,-0.65621,0.2425,0.00319,-0.00298,0.52594,7.32824,9.11733
"5","2011_Q2",22.9369841269841,"Down",97852000,66764000,82533000,-15769000,31088000,26158000,4981000,-8822000,89030000,-69975000,-5260000,-64715000,19055000,19055000,19055000,-3727000,15328000,15328000,15328000,15328000,163381000,474648000,2041352000,4746619000,-94356000,4840975000,239425000,61631000,12591000,28033000,536450000,8311034000,6697310000,6697310000,416165000,10479000,129381000,7253335000,578497000,477195000,2007000,1057699000,1057699000,8311034000,15328000,5583000,8822000,2263000,-27959000,4037000,-31585000,-98211000,4285000,-9946000,-135457000,-8961000,51420000,190990000,-78409000,155114000,23694000,23694000,23694000,24638000,426644000,-31179000,0.19473,0.15664,0.01449,0.00184,-2.03412,6.85766,0.05133,0.41058,0.40852,2.62106,28.33148,-0.83516,0.24003,0.00292,-0.00375,0.58462,10.68524,13.81595
"6","2011_Q3",21.383125,"Down",140289000,99059000,115477000,-16418000,41230000,34798000,6468000,-9144000,131145000,-115916000,-22886000,-93030000,15229000,15229000,15229000,-3141000,12088000,12088000,12088000,12088000,381333000,977061000,4922576000,11136646000,-112407000,11249053000,522008000,629688000,222621000,56990000,756908000,19757545000,15598089000,15598089000,920716000,370159000,482268000,17371232000,1911772000,468743000,5798000,2386313000,2386313000,19757545000,12088000,9868000,9144000,25482000,227651000,284233000,-5047000,-315509000,248056000,288074000,140921000,-20540000,81466000,23271000,-291325000,-207202000,217952000,217952000,217952000,25097000,1290875000,250842000,0.10855,0.08616,0.00507,0.00061,20.75132,7.27953,0.06534,0.21983,0.21939,2.55131,43.39777,4.56184,0.37354,0.00165,0.0127,1.69921,36.24106,59.72434
"7","2011_Q4",22.0388888888889,"Up",236963000,177042000,197695000,-20653000,59921000,48262000,11643000,-9255000,227708000,-188989000,-19915000,-169074000,38719000,38719000,38719000,-8342000,30377000,30377000,30377000,30377000,373693000,895235000,4956386000,10984156000,-118113000,11102269000,524265000,629688000,206424000,52018000,669391000,19415689000,15303277000,15303277000,903034000,356363000,426353000,16989027000,1913918000,478570000,34174000,2426662000,2426662000,19415689000,30377000,24011000,9255000,13412000,-88572000,-11517000,-16088000,134607000,167956000,-121350000,165042000,-20550000,-24678000,443000,-116380000,-161165000,-7640000,-7640000,-7640000,62730000,1259397000,-33588000,0.1634,0.12819,0.01252,0.00156,-1.1057,7.00099,0.06486,0.35684,0.35443,2.78364,28.50637,-0.39456,0.2414,0.00262,-0.00173,0.6765,14.1193,22.87518
"8","2012_Q1",25.2329032258065,"Up",252465000,178368000,196499000,-18131000,74097000,44458000,29659000,-11511000,240954000,-212224000,-21870000,-190354000,28730000,21820000,21820000,-2854000,18966000,18966000,18966000,18966000,437947000,1184419000,4851926000,11052145000,-124881000,11177026000,505387000,651162000,211075000,53973000,680302000,19774096000,15721863000,15721863000,1044454000,353890000,286726000,17406933000,1916703000,476970000,-26510000,2367163000,2367163000,19774096000,18966000,31217000,11511000,147355000,-212756000,-3707000,-10929000,-31929000,-438887000,10216000,-471529000,-20566000,138821000,419000,420816000,539490000,64253999.9999999,64253999.9999999,64253999.9999999,59947000,1398344000,-160884000,0.1138,0.07512,0.00801,0.00096,-8.48276,7.3535,0.07072,0.22336,0.22065,2.97322,27.87751,-1.89469,0.2422,0.002,-0.00814,1.08436,16.02077,33.42837
"9","2012_Q2",23.3468253968254,"Down",237794000,176288000,191716000,-15428000,61506000,45702000,15792000,-10015000,227779000,-205463000,-25102000,-180361000,22316000,22316000,22316000,-3821000,18495000,18495000,18495000,18495000,357814000,1008505000,4755042000,10987936000,-142337000,11130273000,482620000,647216000,202772000,52821000,648152000,19291097000,15441860000,15441860000,850289000,360272000,263473000,16915894000,1920509000,474879000,-20185000,2375203000,2375203000,19291097000,18495000,30602000,10015000,49292000,-29866000,78538000,-1957000,110029000,221551000,-494000,329129000,-20586000,-187783000,1382000,-280813000,-487800000,-80133000,-80133000,-80133000,52918000,1210561000,24916000,0.09385,0.07778,0.00779,0.00096,1.34717,7.12187,0.06275,0.21825,0.21646,2.80613,28.02897,0.29403,0.24293,0.00203,0.00129,1.11306,16.1145,38.21236
"10","2012_Q3",22.9403174603175,"Down",241011000,177459000,190489000,-13030000,63552000,50996000,12556000,-8025000,232986000,-179972000,-14658000,-165314000,53014000,53014000,53014000,-13710000,39304000,39304000,39304000,39304000,392601000,650470000,4684333000,10937378000,-140768000,11078146000,477806000,628877000,205249000,49313000,602357000,18778707000,14937262000,14937262000,832709000,360312000,249062000,16379345000,1923307000,493517000,-17462000,2399362000,2399362000,18778707000,39304000,28975000,8025000,59119000,-18981000,116442000,-14767000,94750000,380174000,-1031000,459126000,-20666000,-17540000,-628000,-501947000,-540781000,34787000,34787000,34787000,81989000,1193021000,61951000,0.21997,0.16308,0.01638,0.00209,1.5762,6.82654,0.06353,0.4638,0.45974,2.84402,28.31339,0.73105,0.24387,0.00319,0.0033,0.5258,9.76253,15.09828
