"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","change_in_cash_from_disc_operations_and_other","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",51.8290476190476,"Down",367332000,-190435000,176897000,-109879000,-100568000,-9311000,67018000,-18788000,-18788000,-18994000,206000,48230000,-463000,47767000,-14247000,33520000,4438000,4438000,37958000,37672000,37672000,310173042.756592,310173042.756592,287034821.318501,287034821.318501,219335813.663276,-170982873.356895,-118222765.895779,645560804.381474,285693174.62834,2135244784.67358,872257663.516833,1298440202.48178,1126917.95719593,-26001248.6613736,2420937959.30192,3066498763.6834,249284227.626417,32273577.557518,49259522.1129201,167751127.955978,-542369710.569514,130666700.635454,130412773.128713,-162418782.307643,1526016260.96374,428087153.827307,302864305.084879,184190844.711505,-58967995.9690774,1954103414.79104,1791684632.4834,1274814131.2,3066498763.6834,33520000,22005000,12770000,-33918000,34377000,-6737000,24750000,-81000,17932000,-13536000,-11390000,3670000,-21256000,31053000,-3925000,27128000,-4714000,22414000,89023000,0,62615000,0.48157,0.18245,0.10256,0.221416377900583,0.100024891037405,1.66211,5.48745462397583,1.40476190866156,0.311806197073133,0.94675,0.93714,9.23153,1.5736,0.34018,0.114060992619477,0.149988445216061,0.35931,9.60601980372921,9.31387693643548
"2","2010_Q3",46.9940625,"Down",334632000,-166417000,168215000,-105139000,-94851000,-10288000,63076000,-19310000,-19310000,-19460000,150000,43766000,-75000,43691000,-12116000,31575000,28951000,28951000,60526000,60148000,60148000,287129000,287129000,291386000,291386000,337363000,119506000,55695000,1035384000,290761000,2417599000,925992000,1409197000,0,68403000,2708360000,3743744000,257811000,82119000,11216000,164476000,41464000,22034000,15108000,321309000,1128200000,712493000,162788000,400334000,149371000,1840693000,2162002000,1581742000,3743744000,31575000,20738000,17702000,-24656000,45359000,-6921000,49984000,0,43063000,-13584000,-13080000,3725000,-22939000,65483000,21817000,87300000,-10890000,76410000,83814000,1169664000,64353000,0.50269,0.18849,0.17974,0.03803,0.01607,1.06991,3.22239,1.36685,0.31243,1.50698,1.49047,8.38404,1.61233,0.34034,0.02129,0.01858,0.22584,10.52968,13.99161
"3","2010_Q4",48.44796875,"Up",345041000,-178477000,166564000,-112113000,-101542000,-10571000,54451000,-19828000,-19828000,-20047000,219000,34623000,-31312000,3311000,7676000,10987000,11548000,11548000,22535000,22196000,22196000,247757000,247757000,294285000,294285000,359967000,140703000,70711000,1042712000,292294000,2462849000,928906000,1438997000,0,81658000,2755143000,3797855000,261931000,91588000,1901000,168442000,181193000,22003000,15355000,465127000,904406000,711045000,134431000,416939000,159675000,1615451000,2080578000,1717277000,3797855000,10987000,21313000,43395000,-51558000,24137000,-7605000,1209000,-1000,-6397000,-13584000,-89600000,11797000,-91387000,-73647000,20485000,-53162000,13790000,-39372000,75764000,1085599000,8925000,0.48274,0.15781,0.06433,0.01293,0.00584,0.4021,2.24178,1.21156,0.28585,0.55583,0.55141,8.6405,0.2235,0.34017,0.01018,0.00254,0.612,11.05858,15.38708
"4","2011_Q1",50.9108064516129,"Up",350717000,-183554000,167163000,-118884000,-106674000,-12210000,48279000,-21144000,-21144000,-21288000,144000,27135000,-17314000,9821000,1769000,11590000,69846000,69846000,81436000,81078000,81078000,208452000,208452000,294196000,294196000,338598000,79987000,32719000,921233000,287705000,2434217000,918522000,1442411000,358000,68027000,2721922000,3643155000,268473000,84846000,4886000,178741000,103711000,48579000,44146000,420763000,813409000,621705000,141769000,370819000,109117000,1435114000,1855877000,1787278000,3643155000,11590000,17934000,-8695000.00000001,19132000,39961000,-8067000,105607000,0,97540000,-13608000,-170800000,-15509000,-199917000,-62416000,25427000,-36989000,-2316000,-39305000,66213000,917120000,75509000,0.47663,0.13766,0.23118,0.04536,0.02225,0.93131,2.18943,1.03838,0.25174,2.02761,2.01121,8.77078,1.88834,0.34031,0.02847,0.0227,0.16784,10.70285,14.6786
"5","2011_Q2",54.2163492063492,"Up",354004000,-189500000,164504000,-114244000,-103206000,-11038000,50260000,-16041000,-16041000,-16146000,105000,34219000,-15192000,19027000,-4915000,14112000,64082000,64082000,78194000,77812000,77812000,202298000,202298000,289788000,289788000,319905000,113927000,39411000,925918000,274328000,2478557000,927636000,1468990000,370000,76838000,2752885000,3678803000,280460000,82675000,4630000,193155000,29700000,31746000,26944000,341906000,822473000,625436000,117590000,387001000,120845000,1447909000,1789815000,1888988000,3678803000,14112000,21341000,15061000,-43254000,7260000,-5891000,101600000,-30570000,65139000,-13614000,-65800000,-8074000,-87488000,-15089000,891000,-14198000,8044000,-6154000,71601000,852173000,27371000,0.4647,0.14198,0.21981,0.04119,0.02115,0.35176,2.70811,0.9475,0.23164,1.94253,1.9249,8.83751,0.6833,0.33987,0.02716,0.00813,0.17496,9.07634,12.93026
"6","2011_Q3",50.6809375,"Down",372745000,-193851000,178894000,-120790000,-108342000,-12448000,58104000,-15532000,-15532000,-15785000,253000,42572000,-3992000,38580000,-8094000,30486000,4001000.00000001,4001000.00000001,34487000,34070000,34070000,365809000,365809000,283181000,283181000,293822000,206116000,55659000,1148928000,255253000,2474051000,917552000,1475436000,376000,78403000,2729304000,3878232000,268107000,67558000,3786000,196763000,29700000,66472000,61325000,364279000,949866000,613750000,114911000,392557000,106282000,1563616000,1927895000,1950337000,3878232000,30486000,20360000,8900000,-29233000,30513000,-9241000,-684000,-3.72529029846191e-09,-9925000,-13824000,1.25e+08,19593000,130769000,151357000,10874000,162231000,1280000,163511000,78464000,979566000,48084000,0.47994,0.15588,0.0914,0.01747,0.00878,1.41133,3.15398,0.98849,0.25258,0.84047,0.83358,9.19518,1.18618,0.34102,0.01352,0.01357,0.40575,7.82215,10.56308
"7","2011_Q4",52.9512698412698,"Up",362741000,-187111000,175630000,-113898000,-101582000,-12316000,61732000,-18859000,-18859000,-19177000,318000,42873000,173000,43046000,-10125000,32921000,11144000,11144000,44065000,43651000,43651000,371699000,371699000,277340000,277340000,311417000,225974000,74596000,1186430000,250582000,2431699000,897846000,1456710000,340000,74642000,2682281000,3868711000,279686000,76245000,10699000,192742000,29700000,74586000,68861000,383972000,952322000,595420000,110501000,383557000,101362000,1547742000,1931714000,1936997000,3868711000,32921000,20740000,1434000,-32648000,22447000,-12176000,-11000,0,-12187000,-13840000,0,2901000,-10939000,-679000,14784000,14105000,-8215000,5890000,82472000,982022000,47773000,0.48417,0.17018,0.12034,0.02254,0.01128,1.09443,3.08989,0.99727,0.25384,1.07293,1.06679,8.91606,1.17425,0.34018,0.01636,0.01359,0.31706,7.40037,9.88666
"8","2012_Q1",55.0911290322581,"Up",403038000,-213288000,189750000,-123689000,-110779000,-12910000,66061000,-18625000,-18625000,-19209000,584000,47436000,-2989000.00000001,44447000,-2644000,41803000,126418000,126418000,168221000,167796000,167796000,584088000,584088000,286226000,286226000,298775000,111167000,62251000,1280256000,251912000,2391935000,879787000,1438542000,278000,71320000,2643847000,3924103000,237729000,67092000,21084000,149553000,4986000,28292000,27242000,271007000,954809000,715504000,194984000,420833000,99687000,1670313000,1941320000,1982783000,3924103000,41803000,20529000,-17412000,-10783000,34137000,-17274000,274970000,5947000,263643000,-13858000,-30661000,1071000,-43448000,254332000,-29303000,225029000,-12640000,212389000,86590000,959795000,61177000,0.4708,0.16391,0.41633,0.08463,0.04276,0.36459,4.72407,0.97909,0.24459,4.12012,4.09358,9.89633,1.50216,0.34027,0.04966,0.01672,0.08259,4.33892,5.68727
"9","2012_Q2",55.4068253968254,"Up",380567000,-196453000,184114000,-123689000,-112136000,-11553000,60425000,-17733000,-17733000,-18211000,478000,42692000,-330803000,-288111000,3998000,-284113000,605000,605000,-283508000,-283735000,-283735000,590921000,590921000,310926000,310926000,298971000,121954000,74616000,1322772000,263415000,2063699000,871711000,1119696000,292000,70153000,2327114000,3649886000,244585000,62330000,27761000,154494000,4700000,26061000,24980000,275346000,957360000,695334000,187064000,412656000,95614000,1652694000,1928040000,1721846000,3649886000,-284113000,19140000,-7375000,298664000,26316000,-13330000,201220028.75523,-63019027.5697096,-13330000,-13866000,-286000,1594000,-12558000,428000,-3877000,-3449000,10282000,6833000,79565000,962060000,360901000,0.48379,0.15878,-0.74556,-0.16479,-0.07774,-1.27197,4.80404,1.11975,0.26359,-6.95958,-6.95958,9.33472,8.85234,0.34011,-0.07986,0.1068,-0.04887,4.6646,6.14214
"10","2012_Q3",59.392380952381,"Up",383332000,-198968000,184364000,-119653000,-105951000,-13702000,64711000,-17734000,-17734000,-18240000,506000,46977000,11000.0000000596,46988000,278000,47266000,-4367000,-4367000,42899000.0000001,42613000,42613000,544991000,544991000,275166000,275166000,284555000,144919000,54503000,1249631000,253684000,2103507000,938129000,1095591000,275000,67843000,2357191000,3606822000,229635000,65471000,12911000,151253000,4700000,8339000,7328000,242674000,959945000,712189000,182461000,397454000,132274000,1672134000,1914808000,1692014000,3606822000,47266000,19210000,-3004000,-549999.99999994,62922000,-15563000,17155000.0000001,-55697000,-54105000,-13890000,-7351000,2497000,-18744000,-9927000,-6435000,-16362000,-29568000,-45930000,83921000,964645000,67530000.0000001,0.48095,0.16881,0.11116,0.02518,0.01181,1.58473,5.14942,1.13167,0.26745,1.04359,1.04359,9.3878,1.65381,0.34017,0.01677,0.02005,0.32596,5.00058,6.48505
