"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","other_short_term_liabilities","liabilities_from_derivatives_hedging_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",20.5550793650794,"Down",409932000,-141204000,268728000,-179485000,-179485000,89243000,-3451000,-3451000,85792000,85792000,-25536000,60256000,62444000,-4613000,57831000,57831000,-598403959.700414,-598403959.700414,-123104443.33816,-123104443.33816,1167864385.81761,402363232.012178,791295024.792275,515835615.902315,9960303.64976174,-2902921770.94292,-1420546423.98668,-1555628048.85496,30379742.9219848,42872958.9767307,-2892961467.29316,-2377125851.39084,200223008.817733,-230531420.494101,1206744902.27691,-1786087794.62212,-4345703180.74521,2559615386.12308,-379119883.527485,-1168466299.51829,123711188.89744,146050711.660727,-22339522.7632872,-1044755110.62085,-1423874994.14834,388927789.179711,382945376.027081,-661864816.989367,339284121.674725,-1292534978.91723,-953250857.242509,-2377125851.39084,62444000,16922000,11211000,605931000,696508000,-11350000,265417508.608312,-11097000,-1616000,274948000,4048000,-319074000,-41694000,643717000,643717000,1697000,645414000,106165000,0,726282000,0.65554,0.2177,0.14107,-0.0441902877900744,-0.0373928939566998,12.5587,0.150987159113702,1.87790672217734,0.0728250827121913,0.35665,0.35211,2.5281,0.0949301124310873,4.47907,0.00997,-0.0218526309198223,1.76724275883399,0.02794,1.70597958543423,4.23795285590735
"2","2010_Q3",18.82,"Down",408950000,-144880000,264070000,-175368000,-175368000,88702000,-3733000,-3733000,84969000,84969000,-23655000,61314000,66182000,-3347000,62835000,62835000,484415520.149793,484415520.149793,4945278.33092007,4945278.33092007,527277192.908804,212083616.006089,325813512.396137,1054828307.95116,96817151.8248809,-685697885.471461,-261662211.993341,-518966024.427478,62796871.4609924,32133479.4883654,-588880733.64658,465947574.304578,193638504.408866,1423789.75294936,598606451.138453,-291814397.311062,-1428277590.3726,1136463193.06154,500430558.236257,-295124149.759145,119313094.44872,113094355.830364,6218738.61835638,-175811055.310425,324619502.925832,428289894.589856,437970188.013541,-319310908.494684,605097060.837362,-463768989.458617,141328071.378746,465947574.304578,66182000,16783000,6982000,-1233000,88714000.0000001,-26386000,-501000,-26887000,-1629000,-22321000.0000001,13969000,-822000.00000006,-10803000,51024000,51024000,4825000,55849000,105485000,0,101521000,0.64573,0.2169,0.15365,-0.0122501438950372,-0.0164464469783499,1.61568,0.708933579556851,1.73421836108867,0.149612541356096,0.38751,0.38258,2.52205,2.78130005621554,0.62609,0.01005,-0.00576631545991112,0.963186379416994,0.02593,-4.31161020728289,-4.68369357204632
"3","2010_Q4",20.30828125,"Up",398536000,-146203000,252333000,-178484000,-178484000,73849000,-2821000,-2821000,71028000,71028000,-20298000,50730000,51452000,-2991000,48461000,48461000,839606173.383264,839606173.383264,86562759.44364,86562759.44364,183123397.636268,97186872.0020296,87554170.7987125,1128544102.65039,151688717.27496,468013038.17618,344667596.00222,16215991.8575074,81474957.1536641,25654493.1627885,619701755.45114,1748245858.10153,185676501.469622,125077929.91765,273743150.379484,301032867.562979,-68775530.1242015,369808397.687181,760452519.412086,140263616.746952,117861698.149573,94921451.9434545,22940246.2061188,258125314.896525,1018577834.30861,450724298.196619,492597396.004514,-128664302.831561,767373353.612454,-37705329.819539,729668023.792915,1748245858.10153,51452000,16720000,8057000,-543254000,-467025000,-15843000,-148000,-15947000,-1632000,1718000,2682000,-1661000,1107000,-481865000,-481865000,-4557000,-486422000,90569000,0,-448230000,0.63315,0.1853,0.1216,0.0146666187016543,0.0021378510072167,-9.24929,1.14317452651895,1.43205278702956,0.192434180452032,0.29887,0.29506,2.45782,4.41420335207185,-2.76429,0.01006,0.0100378948466963,0.409952126472331,0.03368,-5.4095600690943,-6.67162452401544
"4","2011_Q1",23.2046774193548,"Up",425050000,-152322000,272728000,-201243000,-201243000,71485000,-2885000,-2885000,68600000,68600000,-17890000,50710000,39031000,-4841000,34190000,34190000,769946000,769946000,131817000,131817000,56761000,39604000,14405000,968264000,183938000,887124000,569090000,205110000,90470000,22454000,1071062000,2039326000,180005000,173575000,148169000,344297000,265110000,79187000,672471000,272965000,119701000,88265000,31436000,392666000,1065137000,460747000,544772000,-44255000,861264000,112925000,974189000,2039326000,39031000,18242000,46322000,43969000,147564000,-31988000,60701000,28727000,-1620000,45207000,-88531000,584000,-44360000,131931000,131931000,-3761000,128170000,89727000,421134000,119598000,0.64164,0.16818,0.08044,0.0351,0.01677,3.49804,1.43986,1.09336,0.20651,0.21085,0.20817,2.62134,5.31153,0.73758,0.00999,0.02364,0.07894,0.04738,-3.88748,-4.87951
"5","2011_Q2",25.0084126984127,"Up",440138000,-151041000,289097000,-206990000,-206990000,82107000,-3304000,-3304000,78803000,78803000,-24981000,53822000,53794000,-4426000,49368000,49368000,578213000,578213000,150777000,150777000,69548000,21266000,44254000,805269000,202928000,900548000,582252000,202908000,93838000,21550000,1103476000,1908745000,180292000,180059000,137898000,189821000,105686000,84135000,508011000,238248000,125175000,89858000,35317000,363423000,871434000,462874000,592439000,-20413000,921920000,115391000,1037311000,1908745000,53794000,16704000,11580000,-186455000,-104377000,-27274000,454000,-26820000,-1586000,-42858000,-15374000,-1957000,-61775000,-192972000,-192972000,1239000,-191733000,98811000,376146000,-89937000,0.65683,0.18655,0.11216,0.04759,0.02586,-1.82177,1.58514,0.84009,0.19706,0.31011,0.30725,2.76479,5.79117,-0.56495,0.00996,0.03312,-0.05845,0.03213,-2.04498,-2.46102
"6","2011_Q3",22.17734375,"Down",443527000,-154205000,289322000,-206178000,-206178000,83144000,-228000,-228000,82916000,82916000,-24546000,58370000,57883000,-4378000,53505000,53505000,663660000,663660000,149366000,149366000,107895000,21767000,82101000,928658000,219944000,907988000,590911000,198687000,96080000,22310000,1127932000,2056590000,187123000,177879000,143094000,275768000,94887000,180881000,605985000,202610000,134251000,95426000,38825000,336861000,942846000,469372000,636594000,-4457000,988529000,125215000,1113744000,2056590000,57883000,18024000,5987000,-38433000,43461000,-27923000,-1384000,-29307000,-1594000,65631000,2436000,-2310000,64163000,78317000,78317000,7130000,85447000,101168000,345704000,59358000,0.65232,0.18746,0.12064,0.04804,0.02602,1.10939,1.53248,0.84656,0.1681,0.33566,0.33322,2.78244,6.20148,0.37238,0.01,0.03457,0.03725,0.02979,-3.14285,-3.82416
"7","2011_Q4",21.6709523809524,"Down",456382000,-168332000,288050000,-209851000,-209851000,78199000,-2684000,-2684000,75515000,75515000,-20962000,54553000,54122000,-6334000,47788000,47788000,1329065000,1329065000,137653000,137653000,93160000,23038000,65834000,1569712000,244349000,1238357000,765714000,347639000,101252000,23752000,1482706000,3052418000,204166000,200179000,79771000,953981000,765020000,188961000,1237918000,301319000,147273000,101702000,45571000,448592000,1686510000,484757000,675182000,49283000,1096242000,269666000,1365908000,3052418000,54122000,21791000,10361000,707933000,794207000,-189673000,523000,-189150000,-1602000,40160000,10110000,-1048000,47620000,652677000,652677000,12728000,665405000,99990000,381090000,639212000,0.63116,0.17135,0.10471,0.03499,0.01566,13.37599,1.26803,1.23472,0.12485,0.29906,0.2964,2.85606,6.86035,4.00023,0.01003,0.02607,0.33744,0.03352,-9.4807,-12.1226
"8","2012_Q1",24.6917741935484,"Up",519755000,-191439000,328316000,-240172000,-240172000,88144000,-1171000,-1171000,86973000,86973000,-24587000,62386000,62357000,-3780000,58577000,58577000,1354285000,1354285000,166540000,166540000,319510000,35291000,281273000,1847975000,256301000,1246255000,779637000,341500000,104140000,20978000,1502556000,3350531000,249252000,241578000,85802000,1109310000,838565000,270745000,1444364000,268217000,166275000,116432000,49843000,434492000,1878856000,419591000,685624000,79320000,1184535000,287140000,1471675000,3350531000,62357000,25718000,24714000,-136308000,-23519000,-21635000,-108000,-21743000,-1606000,53725000,6292000,5704000,64115000,18853000,18853000,6367000,25220000,113862000,354019000,-19494000,0.63167,0.16959,0.1127,0.0398,0.01748,-0.332789999999999,1.27944,1.27668,0.10566,0.36541,0.36305,3.24227,7.38921,-0.1216,0.01002,0.03021,-0.00979,0.02742,-8.7849,-11.34809
"9","2012_Q2",21.1585714285714,"Down",542771000,-191536000,351235000,-242625000,-242625000,108610000,-1586000,-1586000,107024000,107024000,-34943000,72081000,72081000,-8107000,63974000,63974000,723952000,723952000,177352000,177352000,325821000,33103000,289783000,1237579000,255664000,1221915000,775505000,326994000,99013000,20403000,1477579000,2715158000,235295000,217978000,93904000,473188000,162116000,311072000,802387000,285766000,174834000,122133000,52701000,460600000,1262987000,350493000,736868000,70350000,1157711000,294460000,1452171000,2715158000,72081000,24216000,19062000,-721237000,-605878000,-12151000,583000,-11568000,-1613000,67061000,-76058000,-1051000,-11661000,-629107000,-629107000,-1226000,-630333000,132826000,379670000,-565619000,0.64711,0.2001,0.11787,0.04405,0.02356,-8.84139,1.54237,0.86972,0.13983,0.39946,0.39573,3.3891,7.22883,-3.53176,0.01007,0.03268,-0.28187,0.02521,-2.59198,-3.16989
"10","2012_Q3",20.8061904761905,"Down",530505000,-185931000,344574000,-247994000,-247994000,96580000,-2619000,-2619000,93961000,93961000,-25812000,68149000,68149000,-6968000,61181000,61181000,770860000,770860000,162643000,162643000,245117000,34558000,207666000,1190410000,258041000,1165888000,741081000,299680000,96508000,28619000,1423929000,2614339000,223496000,206420000,87962000,495966000,270290000,225676000,807424000,203222000,169945000,115157000,54788000,373167000,1180591000,342914000,790532000,12909000,1146355000,287393000,1433748000,2614339000,68149000,24024000,8239000,191400000,291812000,-29995000,620000,-29375000,-1556000,-172101000,-24314000,-2173000,-200144000,62292999.9999999,62292999.9999999,-15385000,46908000,120604000,291184000,307821000,0.64952,0.18205,0.11533,0.04267,0.0234,5.03132,1.47433,0.82343,0.11138,0.39049,0.38805,3.386,7.31672,1.9647,0.00993,0.03311,0.16245,0.02543,-3.97728,-4.96662
