"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2013_Q4",42.2690625,"Up",633614000,-443509000,190105000,-153424000,-152225000,-1199000,36681000,-8587000,-8790000,28094000,18587000,-7126000,11461000,11461000,11461000,11461000,91735000,91735000,8962000,8962000,114765000,23806000,14078000,239268000,348177000,594358000,195790000,368078000,13118000,942535000,1181803000,164559000,117430000,47129000,172919000,463726000,59524000,59524000,523250000,696169000,460417000,25217000,485634000,485634000,1181803000,11461000,12221000,18122000,-49000,41755000,-23101000,-23101000,-340092000,348317000,348317000,-772000,7453000,26107000,26107000,26107000,48902000,472086000,32878000,0.30003,0.05789,0.01809,0.0236,0.0097,2.86869,1.3837,1.43353,0.39946,0.08205,0.0792,4.53592,3.47656,0.23537,0.01127,0.03232,7.77782,10.36916
"2","2014_Q1",36.8175409836066,"Down",608236000,-434021000,174215000,-151516000,-150655000,-861000,22699000,-6817000,-6857000,15882000,14843000,-5563000,9280000,9280000,9280000,9280000,77652000,77652000,9524000,9524000,118256000,26195000,8049000,231627000,348830000,591947000,195467000,368078000,13135000,940777000,1172404000,166404000,111159000,55245000,175621000,421595000,61417000,61417000,483012000,658633000,479274000,34497000,513771000,513771000,1172404000,9280000,12357000,-3114000.00000001,3761000,22284000,-11688000,-11688000,-41827000,3964000.00000006,3964000,13184000,-24679000,-14083000,-14083000,-14083000,35056000,430812000,32692000,0.28643,0.03732,0.01526,0.01806,0.00792,3.52284,1.3189,1.28196,0.36746,0.06318,0.05969,4.14121,3.49804,0.22259,0.00921999999999999,0.0325,10.07417,15.55839
"3","2014_Q2",31.1266666666667,"Down",722606000,-498747000,223859000,-162190000,-160710000,-1480000,61669000,-6371000,-6467000,55298000,55298000,-21565000,33733000,33733000,33733000,33733000,149048000,149048000,14089000,14089000,121454000,19136000,6734000,303727000,371689000,591495000,195144000,368078000,13725000,963184000,1266911000,200736000,148001000,52735000,210311000,423881000,64997000,64997000,488878000,699189000,499492000,68230000,567722000,567722000,1266911000,33733000,13026000,9031000,20476000,76266000,-18189000,-18189000,-1881000,566000,566000,14634000,13319000,71396000,71396000,71396000,74695000,433456000,98547000,0.30979,0.08534,0.04668,0.05942,0.02663,2.92138,1.44418,1.23157,0.34214,0.2283,0.22005,4.89044,3.84222,0.66694,0.03164,0.09243,3.80759,4.61185
"4","2014_Q3",30.88890625,"Down",743810000,-519762000,224048000,-168475000,-166255000,-2220000,55573000,-6420000,-6520000,49153000,49153000,-19002000,30151000,30151000,30151000,30151000,184273000,184273000,11283000,11283000,134655000,10561000,2523000,340772000,399328000,590828000,194821000,368078000,13580000,990156000,1330928000,215965000,159267000,56698000,226899000,421625000,70754000,70754000,492379000,719278000,513269000,98381000,611650000,611650000,1330928000,30151000,13045000,6851000,11576000,61623000,-39489000,-39489000,-1863000,4220000,4220000,10734000,13091000,35225000,35225000,35225000,68618000,432559000,59707000,0.30122,0.07471,0.04054,0.04929,0.02265,1.98027,1.50187,1.17596,0.32501,0.20144,0.19573,4.9693,4.08636,0.39889,0.02704,0.05355,3.61838,4.46775
"5","2014_Q4",30.51578125,"Down",766415000,-540367000,226048000,-176392000,-172648000,-3744000,49656000,-5876000,-6157000,43780000,42642000,-16577000,26065000,26065000,26065000,26065000,118447000,118447000,14077000,14077000,140104000,15181000,6406000,287809000,416916000,592358000,194499000,368078000,18210000,1009274000,1297083000,187186000,122752000,60301000,197189000,374502000,74832000,74832000,449334000,646523000,526114000,124446000,650560000,650560000,1297083000,26065000,14515000,5462000,-32630000,13412000,-38189000,-38189000,-51932000,2819000,2819000,8064000,-41049000,-65826000,-65826000,-65826000,64171000,384505000,9929000,0.29494,0.06479,0.03401,0.04007,0.0201,0.38093,1.45956,0.99379,0.29644,0.17349,0.16892,5.10124,4.33011,0.06609,0.02348,0.00895,4.14608,5.35802
"6","2015_Q1",35.406393442623,"Up",734593000,-523345000,211248000,-178435000,-177405000,-1030000,32813000,-5800000,-5919000,27013000,27013000,-9270000,17743000,17743000,17743000,17743000,130513000,130513000,14091000,14091000,142793000,46732000,11152000,334129000,454889000,580055000,194176000,368078000,17801000,1034944000,1369073000,183958000,112877000,71081000,220840000,370173000,92671000,74071000,462844000,683684000,543200000,142189000,685389000,685389000,1369073000,17743000,19776000,4906000,-12508000,29917000,-30804000,-30804000,-1908999.99999999,3462000,3462000,11400000,12953000,12066000,12066000,12066000,52589000,407055000,18547000,0.28757,0.04467,0.02415,0.02589,0.01296,1.04531,1.51299,0.99751,0.29732,0.11725,0.11398,4.85447,4.52931,0.12257,0.01497,0.01565,5.25855,8.42782
"7","2015_Q2",30.7038095238095,"Down",857506000,-599713000,257793000,-191219000,-187217000,-4002000,66574000,-5806000,-5868000,60768000,60768000,-23301000,37467000,37467000,37467000,37467000,177719000,177719000,26332000,26332000,148753000,49178000,15248000,401982000,454723000,585948000,193853000,368078000,24017000,1040671000,1442653000,217497000,149497000,6.8e+07,229517000,367511000,105659000,87053000,473170000,702687000,560310000,179656000,739966000,739966000,1442653000,37467000,15853000,3489000,11275000,68084000,-33755000,-33755000,-1911000,3425000,3425000,11363000,12877000,47206000,47206000,47206000,82427000,379531000,83248000,0.30063,0.07764,0.04369,0.05063,0.02597,2.2219,1.75143,0.94962,0.26308,0.24611,0.24097,5.63278,4.86068,0.54684,0.03058,0.06795,2.44837,3.03139
"8","2015_Q3",22.97515625,"Down",902153000,-638514000,263639000,-203593000,-200771000,-2822000,60046000,-4325000,-4437000,55721000,50240000,-18918000,31322000,31322000,31322000,31322000,97258000,97258000,18722000,18722000,158179000,43933000,9035000,318092000,474949000,586262000,193530000,368078000,24654000,1061211000,1379303000,199374000,138032000,61342000,208816000,279271000,109342000,89804000,388613000,597429000,570896000,210978000,781874000,781874000,1379303000,31322000,16963000,7130000,-2559000,52856000,-40784000,-40784000,-99655000,2793000,2793000,4329000,-92533000,-80461000,-80461000,-80461000,77009000,288713000,52584000,0.29223,0.06656,0.03472,0.04006,0.02271,1.67882,1.52331,0.7641,0.20932,0.20419,0.20085,5.88132,5.09719,0.34281,0.02655,0.04457,2.48614,3.18847
"9","2015_Q4",23.63453125,"Up",903069000,-641612000,261457000,-207057000,-205065000,-1992000,54400000,-3514000,-3685000,50886000,50886000,-18900000,31986000,31986000,31986000,31986000,1.32e+08,1.32e+08,24997000,24997000,161789000,43085000,11279000,361871000,482317000,580367000,193207000,368078000,19082000,1062684000,1424555000,203169000,138656000,64513000,217794000,276668000,113449000,95469000,390117000,607911000,573680000,242964000,816644000,816644000,1424555000,31986000,17849000,4918000,3398000,58151000,-22802000,-22802000,-176000,148000,148000,-579000,-607000,34742000,34742000,34742000,72249000,291293000,71745000,0.28952,0.06024,0.03542,0.03917,0.02245,2.24301,1.66153,0.7444,0.20448,0.20826,0.2051,5.87993,5.31721,0.46714,0.02619,0.05874,2.20478,2.92818
"10","2016_Q1",25.7988524590164,"Up",930303000,-661564000,268739000,-221005000,-219403000,-1602000,47734000,-3635000,-3733000,44099000,44099000,-15883000,28216000,28216000,28216000,28216000,136069000,136069000,20424000,20424000,165434000,23288000,23288000,345215000,494067000,587082000,198601000,368078000,19003000,1081149000,1426364000,215450000,134480000,80970000,230422000,275500000,97450000,97450000,372950000,603372000,577546000,245446000,822992000,822992000,1426364000,28216000,18504000,16141000,-2054000,60807000,-25264000,-30971000,492000,-25536000,199000,-723000,-25767000,4069000,4069000,4069000,66238000,290472000,54803000,0.28887,0.05131,0.03033,0.03428,0.01978,1.94227,1.49819,0.73314,0.20365,0.1842,0.18073,6.07315,5.37261,0.35776,0.0233,0.04526,2.33103,3.23465
"11","2016_Q2",25.58609375,"Down",993241000,-686728000,306513000,-228677000,-224711000,-3966000,77836000,-3500000,-3601000,74336000,74336000,-28129000,46207000,46207000,46207000,46207000,145650000,145650000,14953000,14953000,172552000,18741000,18741000,351896000,507398000,590142000,198300000,368078000,23764000,1097540000,1449436000,238170000,1.57e+08,69948000,245242000,273942000,112209000,106199000,386151000,631393000,585696000,232347000,818043000,818043000,1449436000,46207000,18832000,10145000,22763000,97947000,-33338000,-33476000,-3790476.5538491,-57375000,1933000,2485000,-54890000,9581000,9581000,9581000,96668000,281014000,114222000,0.3086,0.07837,0.04652,0.05648,0.03188,2.47196,1.43489,0.77183,0.19388,0.30657,0.30172,6.58984,5.42746,0.75783,0.03815,0.0943,1.4003,1.73909
"12","2016_Q3",22.18015625,"Down",1031643000,-725841000,305802000,-242340000,-238127000,-4213000,63462000,-3571000,-3661000,59891000,59891000,-22682000,37209000,37209000,37209000,37209000,78444000,78444000,17719000,17719000,189165000,19954000,19954000,305282000,549726000,590121000,198309000,368078000,23734000,1139847000,1445129000,247103000,175235000,71868000,253389000,275881000,121651000,109461000,397532000,650921000,589606000,204602000,794208000,794208000,1445129000,37209000,19981000,10234000,-17431000,49993000,-51081000,-51434000,19360156.3617098,-64837000,120000,-928000,-65765000,-67206000,-67206000,-67206000,83443000,282167000,37613000,0.29642,0.06152,0.03607,0.04685,0.02575,1.01086,1.2048,0.81959,0.19525,0.24944,0.24561,6.91589,5.32418,0.25215,0.03106,0.0314,2.44146,3.21016
