"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","derivative_hedging_assets_short_term","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","deferred_tax_assets_long_term","derivative_hedging_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","other_short_term_liabilities","liabilities_from_derivatives_hedging_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","liabilities_from_derivatives_hedging_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q2",19.34390625,"Up",2405700000,-2005700000,4e+08,-167900000,-147600000,-20300000,232100000,-29900000,-13300000,25500000,-42100000,202200000,-35700000,166500000,-45900000,120600000,120600000,1e+05,120700000,120700000,-1787751741.35352,-1787751741.35352,-32038104274.8297,-32038104274.8297,2160810277.95583,-9403288832.79846,-1328567623.74171,-2829551245.63972,-5245170652.02808,-41068334571.0259,-27544733561.0406,-129753205957.57,-26480731246.3204,-5422528220.29728,40579795.9857049,-2324169597.64622,-156484107616.742,-197552442187.768,-12689252836.094,-9665884352.13345,-125872574.890581,-2897495909.06996,3200568503.78743,-3958201447.26042,-819312177.782272,8164162962.9489,-13446885779.567,-13729668997.5502,-16493634031.5592,-3757393075.14406,-11705204006.0745,-500380163.786746,-530656786.553972,-30223303029.1094,-43670188808.6764,-154919943366.711,6478016888.41149,-3999102434.32905,-153346147607.944,-536105771.14716,-153882253379.091,-197552442187.768,120600000,74600000,11700000,-46500000,160400000,-2.5e+07,12948559072.1852,-2.5e+07,-249800000,-19400000,-269200000,-133800000,-133800000,-97700000,-231500000,306700000,0,281100000,0.16627,0.09648,0.05017,-0.125261133182548,0.0436169108782065,2.32891,-1.1883844243085,30.7834138242938,0.691935418372226,0.75978,0.72192,15.14345,235.154504158928,1.76947,-0.0177278034544467,1.27316303494547,-14.5198607725382,246.389081779669
"2","2016_Q3",18.9203125,"Down",2370500000,-1.927e+09,443500000,-168900000,-143400000,-25500000,274600000,-84900000,-7700000,-20100000,-57100000,189700000,-80500000,109200000,-5400000.00000003,103800000,103800000,2e+05,1.04e+08,1.04e+08,2069174129.32324,2069174129.32324,-13689402137.4149,-13689402137.4149,865955138.977917,-3099994416.39923,-569283811.870857,-1160025622.81986,-1370685326.01404,-13854267285.5129,-11484616780.5203,-58855302978.7849,-12428765623.1602,-2074664110.14864,185839897.992852,-992634798.823111,-69827503808.3709,-83681771093.8839,-3119826418.047,-2133392176.06673,153413712.554709,-1139847954.53498,1907384251.89371,873699276.369789,-247806088.891136,6236681481.47445,-338742889.783493,-5894334498.77511,-7040067015.77962,-1689096537.57203,-5290152003.03723,-20540081.8933729,-40278393.2769858,-12934401514.5547,-13273144404.3382,-71998971683.3553,4728908444.20574,-2435151217.16453,-70157773803.9721,-250852885.57358,-70408626689.5457,-83681771093.8839,103800000,73100000,24400000,64500000,265800000,-33400000,-89800000,-123200000,-41699999.9999999,20200000,-133800000,8800000,8800000,177100000,185900000,347700000,0,384200000,0.18709,0.11584,0.04387,-0.093820566591274,0.00754345543910325,3.69423,-0.0783672121542482,16.0460069121469,0.387857709186113,0.64754,0.61806,14.75954,127.952442079464,2.39216,-0.0316139017272234,0.595211517472736,-25.5051203862691,75.8504308898345
"3","2016_Q4",23.411746031746,"Up",2375700000,-1.931e+09,444700000,-1.65e+08,-1.43e+08,-2.2e+07,279700000,148700000,-4e+05,67400000,81700000,428400000,-24200000,404200000,-102500000,301700000,301700000,7e+05,302400000,302400000,4683324709.77441,4683324709.77441,-3212467379.13829,-3212467379.13829,636918379.659306,503101861.200257,-140727937.290286,-188708540.939954,832538224.661987,2610877571.49569,-1981472260.17343,-16303267659.595,-4006788541.0534,-217554703.382879,222879965.997617,-174411599.607704,-17956434602.7903,-15345557031.2946,2204657860.651,2058602607.97776,285204570.85157,-139149318.178326,1110728083.96457,4005966425.4566,63264637.036288,5521460493.82482,7321352370.07217,-908878166.258368,-1598355671.92654,-451298845.857344,-1577384001.01241,195053306.035542,235273868.907671,-2507233838.18491,4814118531.88726,-22142257227.7851,3776102814.73525,-1526250405.72151,-20072924601.324,-86750961.85786,-20159675563.1819,-15345557031.2946,301700000,75900000,-113700000,-421700000,-157800000,-39100000,0,-39100000,-28600000,-5e+05,-180500000,-377400000,-377400000,42400000,-3.35e+08,355600000,0,-2700000,0.18719,0.11773,0.12729,-0.0591235221970913,-0.00690884818696558,-0.00893,0.620117595948584,7.16672230404897,0.214205903062038,1.8595,1.77305,14.60854,63.6463206931546,-0.0166,-0.0285513005757411,0.211790505824245,-26.1607801287564,-9.78406303672183
"4","2017_Q1",23.0838709677419,"Down",2047700000,-1766300000,281400000,-176200000,-138600000,-37600000,105200000,61500000,-7400000,44900000,2.4e+07,166700000,-295200000,-128500000,-26500000,-1.55e+08,-1.55e+08,21200000,-133800000,-133800000,6269300000,6269300000,1469500000,1469500000,1046200000,2152200000,47200000,2.65e+08,1.84e+09,10937200000,2620100000,4886600000,173700000,553600000,190800000,250200000,7742100000,18679300000,4462900000,3837700000,317500000,307700000,683600000,5742400000,1.83e+08,5559400000,10888900000,1869300000,8.77e+08,160800000,130500000,227700000,3.58e+08,2746300000,13635200000,2797800000,3404100000,-1101600000,5055800000,-11700000,5044100000,18679300000,-1.55e+08,77100000,-38400000,341700000,225400000,-176200000,3.474e+09,3297800000,8.2e+07,1500000,48899999.9999999,3572100000,3572100000,-100200000,3471900000,182300000,2552900000,374300000,0.13742,0.05137,-0.06534,-0.02653,-0.00716,-2.79746,1.00444,2.7032,0.13667,-0.83729,-0.8035,12.81401,31.63798,2.34228,-0.0159,0.04417,-20.38618,-35.327
"5","2017_Q2",21.0942857142857,"Down",3.388e+09,-2955300000,432700000,-297500000,-254100000,-43400000,135200000,-9200000,-82100000,9400000,63500000,1.26e+08,-89400000,36600000,-51800000,-15200000,-15200000,-3500000,-18700000,-18700000,7041700000,7041700000,2433300000,2433300000,1666300000,2593500000,84600000,381700000,2127200000,13734800000,3975500000,1.1698e+10,1501200000,643600000,128700000,400900000,15881100000,29615900000,4833600000,4131500000,298300000,403800000,4.99e+08,6386800000,180500000,5891400000,11719400000,3082800000,1431500000,3.52e+08,530900000,158700000,389900000,4514300000,16233700000,10968800000,3397400000,-990400000,13375800000,6400000,13382200000,29615900000,-15200000,151200000,55800000,-40800000,1.51e+08,-46800000,1489700000,1442900000,-820100000,-45400000,-865500000,728400000,728400000,4.4e+07,772400000,286400000,3581800000,250600000,0.12772,0.03991,-0.00552,-0.0014,-0.00063,-13.40107,1.17197,1.21308,0.12094,-0.02982,-0.02982,5.40256,21.32926,0.39961,-0.00102,0.01362,-12.08066,-25.59098
"6","2017_Q3",18.7725396825397,"Down",3.845e+09,-3124300000,720700000,-317100000,-2.68e+08,-49100000,403600000,-109700000,-72100000,12700000,-50300000,293900000,-48700000,245200000,-86200000,1.59e+08,1.59e+08,5900000,164900000,164900000,7179100000,7179100000,2159300000,2159300000,1976700000,2615600000,80800000,363600000,2171200000,13930700000,3.867e+09,11512500000,1444400000,511500000,80100000,404200000,15593800000,29524500000,4753500000,4092300000,281500000,379700000,471200000,6273700000,131900000,6012200000,11498400000,3301300000,1175500000,347500000,344900000,75600000,407500000,4476800000,15975200000,10984300000,3562300000,-995400000,13551200000,-1900000,13549300000,29524500000,1.59e+08,159500000,-1.36e+08,-39200000.0000001,143300000,-57400000,1300000,-56100000,156200000,-75900000,80300000.0000004,167500000,167500000,-30100000,137400000,563100000,3772500000,552700000,0.18744,0.10497,0.04289,0.01217,0.00559,3.35173,1.21153,1.17904,0.12778,0.2629,0.26194,6.12998,21.60432,0.88116,0.00891,0.02988,-6.04972,-8.44054
"7","2017_Q4",19.4009523809524,"Up",4140900000,-3430700000,710200000,-335500000,-284400000,-51100000,374700000,-3.9e+07,-86300000,17300000,3e+07,335700000,-106100000,229600000,-111700000,117900000,117900000,3100000,1.21e+08,1.21e+08,6896100000,6896100000,2724300000,2724300000,1549900000,2964700000,125900000,391300000,2447500000,1.4135e+10,3.95e+09,11313800000,1391800000,562100000,84100000,379800000,15493200000,29628200000,5401300000,4647700000,315100000,438500000,473200000,5706900000,106300000,5462700000,11581400000,3167400000,1154500000,352100000,269900000,59700000,472800000,4321900000,15903300000,10991900000,3683300000,-945800000,13729400000,-4500000,13724900000,29628200000,117900000,1.51e+08,37300000,-321500000,-15300000,-52600000,2e+05,-52400000,-267400000,-2200000,-270900000,-338600000,-338600000,55600000,-2.83e+08,525700000,3640600000,263300000,0.17151,0.09049,0.02922,0.00882,0.00408,2.17603,1.22049,1.15872,0.12288,0.1927,0.19168,6.59466,21.865,0.41932,0.00653,0.01422,-6.1927,-8.68828
"8","2018_Q1",21.7834426229508,"Up",3.683e+09,-2877100000,805900000,-323700000,-254400000,-69300000,482200000,-127600000,-74700000,16200000,-69100000,354600000,-186300000,168300000,-295800000,-127500000,-127500000,-26400000,-153900000,-153900000,6737400000,6737400000,1484400000,1484400000,1378300000,3.377e+09,78300000,3.37e+08,2961700000,12977100000,3871500000,11142600000,1333800000,454700000,94900000,329400000,15286600000,28263700000,4681200000,3958700000,320300000,402200000,77100000,5071100000,6.9e+07,5002100000,9829400000,3777900000,1.247e+09,2.82e+08,419700000,68100000,477200000,5024900000,14854300000,10943600000,3.448e+09,-1003700000,13387900000,21500000,13409400000,28263700000,-127500000,1.53e+08,130800000,-224600000,-68300000,-84500000,1e+05,-84400000,197500000,-78400000,1300000.00000006,-151400000,-151400000,-7299999.99999999,-158700000,635200000,3.855e+09,621900000,0.21882,0.13093,-0.04179,-0.01148,-0.00545,-4.04094,1.32023,1.10775,0.13639,-0.24557,-0.24442,5.87675,21.36229,0.99233,-0.00504,0.0336,-4.53778,-5.9776
"9","2018_Q2",22.54125,"Up",3125200000,-2487300000,637900000,-344200000,-303100000,-41100000,293700000,-98600000,-87400000,1.4e+07,-25200000,195100000,-54400000,140700000,-49300000,91400000,91400000,3700000,95100000,95100000,6220600000,6220600000,2.444e+09,2.444e+09,1461500000,3047400000,104600000,3.19e+08,2623800000,13173500000,3900300000,11166900000,1301600000,480200000,74500000,298400000,15354300000,28527800000,4.364e+09,3729200000,2.33e+08,401800000,87200000,5819500000,63200000,5756300000,10270700000,3735800000,1239500000,266200000,412700000,52700000,507900000,4975300000,1.5246e+10,10887500000,3369500000,-991900000,13265100000,16700000,13281800000,28527800000,91400000,131800000,7.8e+07,-502800000,-201600000,-51400000,-2e+05,-113600000,-1.2e+08,1400000,-211200000,-526400000,-526400000,9600000,-516800000,425500000,3.823e+09,-79400000,0.20411,0.09398,0.03043,0.00716,0.00333,-0.83491,1.28263,1.14789,0.13401,0.1524,0.15194,5.00818,21.25752,-0.12724,0.00518,-0.00433,-5.63478,-8.16343
"10","2018_Q3",21.5339682539683,"Down",2960900000,-2.391e+09,569900000,-3.35e+08,-281400000,-53600000,234900000,-8500000,-50900000,40200000,2200000,226400000,-51600000,174800000,-64700000,110100000,110100000,-4400000,105700000,105700000,5555400000,5555400000,2198600000,2198600000,1385600000,2701900000,83900000,338700000,2279300000,11841500000,3697800000,11172600000,1253800000,4.42e+08,84600000,382400000,1.5217e+10,27058500000,3530600000,2924600000,255300000,350700000,78500000,5548600000,97900000,5450700000,9157700000,3787500000,1065700000,242400000,355800000,88300000,379200000,4853200000,14010900000,10789100000,3376500000,-1180100000,12985500000,62100000,13047600000,27058500000,110100000,138700000,-55100000,-477300000,-283600000,-77200000,-3500000,-122100000,183800000,-124600000,-194700000,-600400000,-600400000,-64800000,-665200000,373600000,3.866e+09,-116200000,0.19248,0.07933,0.0357,0.0081,0.00391,-1.09934,1.29306,1.07383,0.14288,0.17045,0.16975,4.77471,20.94025,-0.18738,0.01256,-0.00646,-4.52195,-7.192
