"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",34.9247619047619,"Up",4.035e+09,-2.498e+09,1.537e+09,-1.149e+09,-9.73e+08,-1.76e+08,3.88e+08,-7.7e+07,-7.7e+07,3.11e+08,3.11e+08,-1.16e+08,1.95e+08,1.95e+08,1.95e+08,1.95e+08,2.388e+09,2.388e+09,3.017e+09,3e+08,2.09e+08,5.705e+09,8.579e+09,1.54e+08,1.54e+08,9.051e+09,1.4756e+10,2.422e+09,1.412e+09,8.97e+08,3.82e+08,2.804e+09,3.557e+09,5.61e+08,2.12e+08,3.49e+08,4.118e+09,6.922e+09,2167698134.6,-5353173061.90621,9540670879.24399,6325595732.94651,7.834e+09,1.4756e+10,1.95e+08,1.76e+08,3e+06,-7.2e+07,3.02e+08,-1.92e+08,-1.89e+08,0,-1.9e+07,2.9e+07,-2e+06,8e+06,1.21e+08,1.21e+08,1.21e+08,5.64e+08,3.939e+09,4.16e+08,0.38092,0.09616,0.04833,0.02489,0.01321,2.13333,2.03459,0.88358,0.26694,0.63518,0.63107,13.14332,23.297784295684,1.35505,0,18.8224098997206,0.01581,0.03373,0,2.75,3.99742
"2","2010_Q3",31.5046875,"Down",4.1e+09,-2.45e+09,1.65e+09,-1.163e+09,-9.84e+08,-1.79e+08,4.87e+08,-7.7e+07,-7.7e+07,4.1e+08,4.1e+08,-1.56e+08,2.54e+08,2.54e+08,2.54e+08,2.54e+08,2.518e+09,2.518e+09,2.93e+09,3.22e+08,2.27e+08,5.77e+09,8.792e+09,1.51e+08,1.51e+08,9.241e+09,1.5011e+10,2.383e+09,1.345e+09,1.003e+09,3.85e+08,2.768e+09,3.589e+09,5.45e+08,1.94e+08,3.51e+08,4.134e+09,6.902e+09,2.159e+09,-2.643e+09,8.631e+09,8.109e+09,8.109e+09,1.5011e+10,2.54e+08,1.79e+08,7e+06,-7.8e+07,3.62e+08,-2.47e+08,-2.28e+08,0,-8e+06,4000000.00000006,0,-4e+06,1.3e+08,1.3e+08,1.3e+08,6.66e+08,3.974e+09,4.97e+08,0.40244,0.11878,0.06195,0.03132,0.01692,1.95669,2.08454,0.85115,0.26474,0.82736,0.82468,13.35505,26.41368,1.61889,0,5,0.02011,0.03936,0,2.18619,2.98973
"3","2010_Q4",34.78703125,"Up",4.218e+09,-2.595e+09,1.623e+09,-1.267e+09,-1.059e+09,-2.08e+08,3.56e+08,-7.9e+07,-7.9e+07,2.77e+08,2.77e+08,-1e+08,1.77e+08,1.77e+08,1.77e+08,1.77e+08,2.441e+09,2.441e+09,4.03e+09,3.32e+08,2.15e+08,6.803e+09,8.698e+09,2.29e+08,2.29e+08,9.202e+09,1.6005e+10,3.055e+09,2.125e+09,9.3e+08,4.87e+08,3.542e+09,3.499e+09,6.51e+08,2.16e+08,4.35e+08,4.15e+09,7.692e+09,2.189e+09,-2.642e+09,8.806e+09,8.313e+09,8.313e+09,1.6005e+10,1.77e+08,2.08e+08,5.2e+07,-3.07e+08,1.3e+08,-2.34e+08,-2.12e+08,0,-3.7e+07,1.5e+07,2.7e+07,5e+06,-7.7e+07,-7.7e+07,-7.7e+07,5.64e+08,3.986e+09,1.23e+08,0.38478,0.0844,0.04196,0.02129,0.01106,0.69492,1.92067,0.9253,0.24905,0.57655,0.57468,13.73941,27.07818,0.40065,0,4,0.01367,0.0095,0,2.73936,4.33989
"4","2011_Q1",34.3720967741936,"Down",6.038e+09,-3.816e+09,2.222e+09,-1.361e+09,-1.174e+09,-1.87e+08,8.61e+08,-7.1e+07,-7.1e+07,7.9e+08,7.9e+08,-2.96e+08,4.94e+08,4.94e+08,4.94e+08,4.94e+08,2.277e+09,2.277e+09,3.036e+09,3.29e+08,2.52e+08,5.642e+09,8.692e+09,2.38e+08,2.38e+08,9.207e+09,1.4849e+10,2.295e+09,1.138e+09,1.03e+09,4.86e+08,2.781e+09,3.512e+09,7.06e+08,2.56e+08,4.5e+08,4.218e+09,6.999e+09,2.229e+09,-3.643e+09,9.301e+09,7.85e+09,7.85e+09,1.4849e+10,4.94e+08,1.87e+08,7.6e+07,1.99e+08,9.56e+08,-1.28e+08,-1.28e+08,1.86264514923096e-09,-2e+07,-9.77e+08,5e+06,-9.92e+08,-1.64e+08,-1.64e+08,-1.64e+08,1.048e+09,3.998e+09,1.415e+09,0.368,0.1426,0.08182,0.06293,0.03327,2.86437,2.02877,0.89159,0.26924,1.67458,1.65217,20.4678,26.61017,4.79661,6.93889390390723e-18,7,0.03935,0.11271,1.38777878078145e-17,1.64218,1.99884
"5","2011_Q2",34.4860317460317,"Up",4.162e+09,-2.576e+09,1.586e+09,-1.195e+09,-1.004e+09,-1.91e+08,3.91e+08,-7.6e+07,-7.6e+07,3.15e+08,3.15e+08,-1.14e+08,2.01e+08,2.01e+08,2.01e+08,2.01e+08,1.668e+09,1.668e+09,3.193e+09,3.66e+08,2.53e+08,5.227e+09,8.718e+09,2.58e+08,2.58e+08,9.226e+09,1.4453e+10,2.452e+09,1.397e+09,9.7e+08,1.84e+08,2.636e+09,3.49e+09,7.65e+08,3.09e+08,4.56e+08,4.255e+09,6.891e+09,2.255e+09,-4.092e+09,9.43e+09,7.562e+09,7.562e+09,1.4453e+10,2.01e+08,1.91e+08,3.3e+07,-5.8e+07,3.67e+08,-2.21e+08,-1.8e+08,-7.2e+07,-3.22e+08,-4.03e+08,1e+06,-7.96e+08,-6.09e+08,-6.09e+08,-6.09e+08,5.82e+08,3.674e+09,4.17e+08,0.38107,0.09395,0.04829,0.02658,0.01391,2.07463,1.98293,0.91127,0.2542,0.69792,0.6931,14.45139,26.25694,1.44792,0.25,6,0.02275,0.03475,0.35821,3.44674,5.13043
"6","2011_Q3",32.453125,"Down",4.248e+09,-2.519e+09,1.729e+09,-1.182e+09,-9.91e+08,-1.91e+08,5.47e+08,-7.2e+07,-7.2e+07,4.75e+08,4.75e+08,-1.76e+08,2.99e+08,2.99e+08,2.99e+08,2.99e+08,1.169e+09,1.169e+09,3.095e+09,3.71e+08,2.56e+08,4.635e+09,8.876e+09,2.55e+08,2.55e+08,9.339e+09,1.3974e+10,2.428e+09,1.345e+09,1.065e+09,1.89e+08,2.617e+09,3.481e+09,7.98e+08,3.38e+08,4.6e+08,4.279e+09,6.896e+09,2.299e+09,-4.846e+09,9.66e+09,7.078e+09,7.078e+09,1.3974e+10,2.99e+08,1.91e+08,5e+07,-2.7e+07,5.13e+08,-2.58e+08,-2.03e+08,-7e+07,-2.4e+07,-7.2e+08,5e+06,-8.09e+08,-4.99e+08,-4.99e+08,-4.99e+08,7.38e+08,3.67e+09,6.29e+08,0.40702,0.12877,0.07039,0.04224,0.0214,2.10368,1.77111,0.97429,0.26263,1.08333,1.07554,15.3913,25.64493,2.27899,0.25362,6,0.03196,0.05448,0.23411,3.38889,4.57221
"7","2011_Q4",34.3957142857143,"Up",4.376e+09,-2.689e+09,1.687e+09,-1.272e+09,-1.071e+09,-2.01e+08,4.15e+08,-7.5e+07,-7.5e+07,3.4e+08,3.4e+08,-1.29e+08,2.11e+08,2.11e+08,2.11e+08,2.11e+08,7.6e+08,7.6e+08,4.13e+09,4.9e+08,2.57e+08,5.38e+09,8.918e+09,2.63e+08,2.63e+08,9.339e+09,1.4719e+10,3.105e+09,2.08e+09,1.025e+09,9.5e+07,3.2e+09,4.144e+09,9.04e+08,4.45e+08,4.59e+08,5.048e+09,8.248e+09,2.317e+09,-5.597e+09,9.803e+09,6.471e+09,6.471e+09,1.4719e+10,2.11e+08,2.01e+08,1.23e+08,-3.19e+08,2.16e+08,-2.76e+08,-2.49e+08,-6.5e+07,5.23e+08,-7.86e+08,-4.8e+07,-3.76e+08,-4.09e+08,-4.09e+08,-4.09e+08,6.16e+08,4.239e+09,1.5e+08,0.38551,0.09484,0.04822,0.03261,0.01434,0.7109,1.68125,1.27461,0.288,0.79924,0.79623,16.57576,24.51136,0.56818,0.24621,6,0.02376,0.01292,0.30806,5.64773,8.38313
"8","2012_Q1",32.4227419354839,"Down",6.018e+09,-3.841e+09,2.177e+09,-1.372e+09,-1.177e+09,-1.95e+08,8.05e+08,-7.6e+07,-7.6e+07,7.29e+08,7.29e+08,-2.73e+08,4.56e+08,4.56e+08,4.56e+08,4.56e+08,1.205e+09,1.205e+09,3.216e+09,4.08e+08,2.99e+08,4.829e+09,8.905e+09,2.61e+08,2.61e+08,9.319e+09,1.4148e+10,2.513e+09,1.233e+09,1.147e+09,9.4e+07,2.607e+09,4.15e+09,8.83e+08,4.23e+08,4.6e+08,5.033e+09,7.64e+09,2.343e+09,-5.977e+09,1.0195e+10,6.508e+09,6.508e+09,1.4148e+10,4.56e+08,1.95e+08,3.2e+07,3.6e+08,1.043e+09,-1.72e+08,-1.7e+08,-6.4e+07,-2.7e+07,-3.39e+08,1999999.99999999,-4.28e+08,4.45e+08,4.45e+08,4.45e+08,1e+09,4.244e+09,1.461e+09,0.36175,0.13377,0.07577,0.07007,0.03223,3.20395,1.85232,1.17394,0.29997,1.80952,1.81673,23.88095,25.8254,5.79762,0.25397,5,0.04469,0.12557,0.14035,3.039,3.77516
"9","2012_Q2",32.0063492063492,"Down",4.243e+09,-2.719e+09,1.524e+09,-1.203e+09,-1.002e+09,-2.01e+08,3.21e+08,-8.2e+07,-8.2e+07,2.39e+08,2.39e+08,-8.5e+07,1.54e+08,1.54e+08,1.54e+08,1.54e+08,1.029e+09,1.029e+09,3.454e+09,3.96e+08,2.77e+08,4.879e+09,8.961e+09,2.66e+08,2.66e+08,9.383e+09,1.4262e+10,2.821e+09,1.609e+09,1.132e+09,9.8e+07,2.919e+09,4.149e+09,8.94e+08,4.21e+08,4.73e+08,5.043e+09,7.962e+09,2.363e+09,-6.284e+09,1.0271e+10,6.3e+09,6.3e+09,1.4262e+10,1.54e+08,2.01e+08,-4e+06,6.6e+07,4.17e+08,-1.77e+08,-1.76e+08,-7.7e+07,-2.7e+07,-3.17e+08,4e+06,-4.17e+08,-1.76e+08,-1.76e+08,-1.76e+08,5.22e+08,4.247e+09,4.96e+08,0.35918,0.07565,0.0363,0.02444,0.0108,3.22078,1.67146,1.26381,0.29778,0.63374,0.62857,17.46091,25.92593,2.04115,0.31687,5,0.02019,0.04335,0.5,6.16475,10.02492
"10","2012_Q3",34.167619047619,"Up",4.204e+09,-2.562e+09,1.642e+09,-1.185e+09,-9.75e+08,-2.1e+08,4.57e+08,-8e+07,-8e+07,3.77e+08,3.77e+08,-1.37e+08,2.4e+08,2.4e+08,2.4e+08,2.4e+08,6e+08,6e+08,3.521e+09,3.69e+08,2.6e+08,4.49e+09,9.01e+09,2.54e+08,2.54e+08,9.366e+09,1.3856e+10,2.556e+09,1.531e+09,1.001e+09,9.4e+07,2.65e+09,4.138e+09,8.8e+08,4.11e+08,4.69e+08,5.018e+09,7.668e+09,2.385e+09,-6.58e+09,1.0434e+10,6.188e+09,6.188e+09,1.3856e+10,2.4e+08,2.1e+08,2e+07,-3.05e+08,1.65e+08,-2.52e+08,-2e+08,-7.6e+07,-3.4e+07,-2.87e+08,3e+06,-3.94e+08,-4.29e+08,-4.29e+08,-4.29e+08,6.67e+08,4.232e+09,2.47e+08,0.39058,0.10871,0.05709,0.03878,0.01732,1.02917,1.69434,1.23917,0.30543,1.0084,1.00418,17.66387,26,1.03782,0.31933,4,0.02796,0.02186,0.31667,5.44528,7.94748
