"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q2",68.2785714285714,"Up",37808000,-20105000,17703000,-28652000,-18385000,-2191000,-8076000,-10949000,-78000,-78000,-11027000,-168761.415372412,-11027000,-233000,-11260000,-11260000,-1408000,-12668000,-12668000,60834000,60834000,2842000,2842000,404000,2060000,2040000,66140000,75704000,9059000,6087000,2972000,84763000,150903000,11402000,4618000,6784000,2267000,2267000,13669000,27890000,27890000,28203000,41872000,111085000,110188000,109031000,150903000,-11260000,2191000,13225000,1020000,5176000,-8558000,-8232661.39536675,-8558000,77362000,30000,30000,-15853000,61539000,58157000,58157000,58157000,-8758000,313000,-16063000,0.46823,-0.28959,-0.33506,-0.11619,-0.08395,1.268,4.83869,0.38404,0.00207,-1.05982,-1.05982,3.16306,9.21844,-1.34385,-0.09231,-0.11705,6.91037,5.52754
"2","2015_Q3",54.49140625,"Down",48450000,-24885000,23565000,-17321000,-6052000,-2447000,-8822000,6244000,-84000,-84000,6160000,-67587.1384574706,6160000,-1015000,5145000,5145000,-4027000,1118000,1118000,64919000,64919000,4003000,4003000,482000,2266000,2246000,71670000,81076000,9250000,6027000,3223000,90326000,161996000,14187000,5690000,8497000,2432000,2432000,16619000,29710000,29710000,30023000,46642000,112263000,112484000,115354000,161996000,5145000,2447000,1247000,3617000,12456000,-8371000,0,-8371000,0,-7.27595761418343e-12,-7.27595761418343e-12,0,0,4085000,4085000,4085000,8691000,313000,4952000,0.48638,0.12888,0.02308,0.00968999999999999,0.00689999999999999,4.42934,4.31253,0.40434,0.00193,0.0927199999999997,0.0838099999999999,4.01808,9.32858,0.41068,0.00769000000000002,0.03406,-7.43367,-10.34689
"3","2015_Q4",43.89171875,"Down",53273000,-27105000,26168000,-18347000,-5728000,-2636000,-9983000,7821000,-83000,-83000,7738000,-17000,7721000,-1528000,6193000,6193000,-4665000,1528000,1528000,69821000,69821000,3135000,3135000,607000,2263000,2243000,75826000,87977000,110979000,107565000,3414000,198956000,274782000,16559000,5336000,11223000,3401000,3401000,19960000,116382000,116382000,116695000,136655000,129620000,131369000,138127000,274782000,6193000,2636000,1257000,3225000,13311000,-8398000,0,-8398000,0,0,0,-11000,-11000,4902000,4902000,4902000,10457000,313000,6812000,0.49121,0.14681,0.02868,0.01106,0.00556,4.45812,3.7989,0.98934,0.00114,0.11107,0.10335,3.87243,9.54925,0.49517,0.006,0.02673,-6.64703,-8.88735
"4","2016_Q1",36.0004918032787,"Down",51061000,-26736000,24325000,-20671000,-7660000,-2948000,-10063000,3654000,-80000,-87000,3574000,0,3574000,-528000,3046000,3046000,-1800000,1246000,1246000,71124000,70849000,4217000,4217000,543000,3050000,3050000,78934000,93041000,207572000,201957000,5615000,300613000,379547000,19391000,6786000,12605000,4614000,4614000,24005000,198210000,198210000,198523000,222528000,96347000,100615000,157019000,379547000,3046000,2948000,508000,3813000,10315000,-6790000,-2397000,-9187000,-1e+05,-1.45519152283669e-11,-1.45519152283669e-11,0,-100000.000000001,1028000,1028000,1028000,6602000,313000,4153000,0.47639,0.07156,0.0244,0.00794,0.00328,3.33307,3.28823,1.4172,0.00082,0.07513,0.08729,3.07893,6.06699,0.25042,0.0035,0.01168,-10.72569,-19.37904
"5","2016_Q2",36.33421875,"Up",54165000,-28194000,25971000,-21257000,-6884000,-3106000,-11267000,4714000,-64000,-87000,4650000,0,4650000,-1299000,3351000,3351000,-1889000,1462000,1462000,65855000,65855000,3337000,3337000,621000,3600000,3600000,73413000,102279000,246818000,241466000,5352000,349097000,422510000,15195000,6035000,9160000,5026000,5026000,20221000,234558000,234558000,234871000,255092000,107626000,113355000,167418000,422510000,3351000,3106000,1075000,946000,8478000,-14128000,0,-14128000,0,628000,628000,28000,656000,-4994000,-4994000,-4994000,7820000,313000,-4063000,0.47948,0.08703,0.02699,0.00873,0.00346,-2.77907,3.63053,1.52368,0.00074,0.07183,0.07025,2.66128,5.56945,-0.19963,0.00363,-0.0101,-8.38133,-13.90369
"6","2016_Q3",37.044375,"Up",66472000,-33366000,33106000,-24173000,-7496000,-3404000,-13273000,8933000,-68000,-91000,8865000,0,8865000,-2316000,6549000,6549000,-3251000,3298000,3298000,68371000,68371000,3040000,3040000,635000,3872000,3872000,75918000,111296000,280153000,274625000,5528000,391449000,467367000,16235000,5219000,11016000,5840000,5840000,22075000,266663000,266663000,266663000,288738000,119451000,128474000,178629000,467367000,6549000,3404000,1250000,4755000,15958000,-12420000,-56000,-12476000,-313000,942000,942000,-1595000,-966000,2516000,2516000,2516000,12337000,0,6988000,0.49804,0.13439,0.04961,0.01846,0.00706,2.11886,3.43909,1.61641,0,0.14623,0.14308,2.94737,5.69654,0.30985,0.00741,0.01569,-5.54195,-7.65376
"7","2016_Q4",35.0780952380952,"Down",74567000,-38609000,35958000,-26788000,-7885000,-3719000,-15184000,9170000,62000,-89000,9232000,0,9232000,-2443000,6789000,6789000,-3023000,3766000,3766000,73575000,12227000,4488000,4488000,828000,3057000,3057000,81948000,123073000,306923000,301654000,5269000,429996000,511944000,19384000,5845000,13539000,6741000,6741000,26125000,294397000,294397000,294397000,320522000,129686000,142470000,191422000,511944000,6789000,3719000,1792000,3786000,16086000,-12720000,-60012000,-72732000,0,502000,502000,0,502000,-56144000,-56144000,-56144000,12889000,0,6398000,0.48222,0.12298,0.0505,0.01967,0.00736,1.69888,3.13677,1.67443,0,0.15677,0.15338,3.10398,5.93057,0.26633,0.00775,0.01317,-5.70836,-8.02345
"8","2017_Q1",34.5614516129032,"Down",73271000,-39123000,34148000,-29126000,-8291000,-4273000,-16562000,5022000,761000,-107000,5783000,-34000,5749000,-292000,5457000,5457000,-1537000,3920000,3920000,73647000,11607000,6006000,6006000,806000,3485000,3485000,83944000,136264000,317986000,313207000,4779000,454250000,538194000,21543000,6921000,14622000,10173000,10173000,31716000,305125000,305125000,305125000,336841000,135484000,152188000,201353000,538194000,5457000,4273000,349000,3684000,13763000,-15165000,-260000,-15425000,65000,1122000,1122000,-145000,1042000,-620000,-620000,-620000,9295000,0,-1894000,0.46605,0.06854,0.0535,0.01947,0.00728,-0.48316,2.64674,1.67289,0,0.15746,0.15445,2.9432,6.1132,-0.07608,0.00774,-0.00374,-7.92329,-14.66487
"9","2017_Q2",35.7811111111111,"Up",76749000,-41634000,35115000,-29474000,-8470000,-4748000,-16256000,5641000,-108000,-303000,5533000,-13000,5520000,-1658000,3862000,3862000,-1595000,2267000,2267000,73551000,15711000,5044000,5044000,903000,4302000,4302000,83800000,147485000,324143000,319530000,4613000,471628000,555428000,17389000,5663000,11726000,11427000,11427000,28816000,315141000,315141000,315141000,343957000,141977000,160944000,211471000,555428000,3862000,4748000,327000,742000,9679000,-13132000,4830000,-8302000,293000,4296000,4296000,-1862000,2727000,4104000,4104000,4104000,10389000,0,-343000,0.45753,0.0735,0.02954,0.01072,0.00408,-0.1513,2.90811,1.6265,0,0.08934,0.08734,3.02447,6.34237,-0.01352,0.0043,-0.00065,-7.0797,-13.03865
"10","2017_Q3",32.7220634920635,"Down",91316000,-47138000,44178000,-32341000,-9678000,-5258000,-17405000,11837000,-168000,-366000,11669000,-1e+05,11569000,-3385000,8184000,8184000,-3305000,4879000,4879000,85542000,22436000,5078000,5078000,968000,1591000,1591000,93179000,160383000,324694000,320015000,4679000,485077000,578256000,22855000,9482000,13373000,10252000,10252000,33107000,324151000,324151000,324151000,357258000,145139000,168987000,220998000,578256000,8184000,5258000,5050000,5559000,24051000,-11854000,-5195000,-17049000,-293000,1891000,1891000,-1875000,-277000,6725000,6725000,6725000,17095000,0,14185000,0.48379,0.12963,0.05343,0.02208,0.00844,2.90736,2.81448,1.61657,0,0.18912,0.18543,3.53965,6.55039,0.54985,0.00895,0.02602,-5.00392,-7.22666
