"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",9.43796875,"Up",139362000,-109393000,29969000,-22198000,-17112000,-5086000,7771000,1589000,-149000,1738000,9360000,36182408.2372979,9360000,-2445000,6915000,6915000,6915000,6915000,144373095.910891,144373095.910891,120937302.994462,120937302.994462,67500154.7611347,2306931.00052162,-1864244.17514485,335117484.667009,185751894.51283,1294194.15461424,28231254.4872401,1573001.65932542,267947088.372451,603064573.03946,135471310.078496,76320809.8036176,54677099.0885348,134205915.052666,145629908.692145,145629804.856937,279835719.909603,323102338.907682,-296614508.878639,334407107.727519,-37666084.6267049,323228853.129857,323228853.129857,603064573.03946,6915000,4412000,-639000,-8939000,1749000,-3728000,-3728000,-1025000,11200000,93000,10176000,8197000,8197000,-4e+05,7797000,12183000,0,1961000,0.21504,0.05576,0.04962,0.037674189913079,0.0210704134442475,0.28359,2.50821636729522,0.870132105570969,0.2470152936121,0.20232,0.19856,4.07754,9.47303465733751,0.05738,0.02999,0.0293502913058172,-0.0669979638906241,0.14823,2.50262932182687,-22.586727511722
"2","2011_Q1",10.3074193548387,"Up",145025000,-115903000,29122000,-21694000,-17366000,-4328000,7428000,-256000,-211000,-45000.0000000005,7172000,-1444000,5728000,-928000,4800000,4800000,4800000,4800000,73315000,73315000,95930000,95930000,76885000,20525000,8372000,266655000,137716000,5e+05,59956000,1753000,215929000,482584000,120100000,75384000,40809000,120100000,88234000,88234000,208334000,323290000,-297009000,335524000,-87555000,274250000,274250000,482584000,4800000,4321000,4331000,-2223000,11229000,-2759000,-2759000,-1026000,-7100000,-158000,-8153000,317000,317000,-33000.0000000001,284000,11749000,88234000,7695000,0.20081,0.05122,0.0331,0.0175,0.00995,1.60312,2.22027,0.75965,0.18284,0.14043,0.13735,4.24298,8.0237,0.22513,0.03002,0.01607,0.02123,0.21375,1.26981,2.00848
"3","2011_Q2",9.06920634920635,"Down",151518000,-122358000,29160000,-23401000,-18372000,-5029000,5759000,834000,-296000,1130000,6593000,-8888302.74576595,6593000,-1477000,5116000,5116000,5116000,5116000,59135884.6963697,59135884.6963697,87122815.6685128,87122815.6685128,83800698.4129551,25696356.3331595,17587998.0583816,255755755.110997,130014285.16239,235268.615128586,65504915.17092,1763249.44689153,207564470.542516,463320225.653513,115747146.640501,75866896.7321275,37882550.3038217,116127944.982445,77243113.769285,77243148.381021,193371093.363466,324212053.697439,-297083747.040454,338540547.42416,-95719721.7910984,269949132.290048,269949132.290048,463320225.653513,5116000,4401000,-929000,-11094000,-2506000,-3168000,-6098000,-1026000,10300000,133000,9838000,1234000,1234000,-386000,848000,10160000,0,-2625000,0.19245,0.03801,0.03376,0.0118569366956403,0.00688736218525084,-0.5131,2.20817287756826,0.72040929814301,0.169520735462633,0.14918,0.14586,4.41834,7.8719867808875,-0.07655,0.02992,0.0121799028980609,0.042687654630208,0.20055,0.687204392724376,7.63373083724067
"4","2011_Q3",8.489375,"Down",146919000,-119051000,27868000,-22647000,-18057000,-4590000,5221000,508000,-235000,743000,5729000,-694000,5035000,-903000,4132000,4132000,4132000,4132000,75056000,75056000,87792000,87792000,88602000,23903000,23903000,275353000,140859000,5e+05,59050000,1705000,220070000,495423000,117805000,77087000,40718000,118051000,91629000,91629000,209680000,325443000,-297335000,342709000,-85074000,285743000,285743000,495423000,4132000,4365000,743000,2106000,11346000,-3358000,-3358000,-1030000,-5554000,71000,-6798000,1190000,1190000,-297000,893000,9586000,91875000,9237000,0.18968,0.03554,0.02812,0.01446,0.00834,2.23548,2.33249,0.73381,0.18545,0.1202,0.11797,4.27401,8.31252,0.26871,0.02996,0.01367,0.02446,0.24927,1.75454,3.22141
"5","2011_Q4",8.27269841269841,"Down",146070000,-119087000,26983000,-23808000,-18645000,-5163000,3175000,-255000,-190000,-65000,2920000,4579000,7499000,-1636000,5863000,5863000,5863000,5863000,89172000,89172000,90344000,90344000,91366000,22104000,22104000,292986000,141537000,5e+05,58282000,1618000,223489000,516475000,122234000,78909000,43325000,122234000,103187000,103187000,225421000,326442000,-298346000,347542000,-84584000,291054000,291054000,516475000,5863000,4410000,-601000,-5136000,4536000,-3563000,-3563000,-1033000,14954000,2000,12912000,13885000,13885000,231000,14116000,7585000,103187000,522000,0.18473,0.02174,0.04014,0.02014,0.01135,0.08903,2.39693,0.7745,0.19979,0.17057,0.16762,4.24956,8.46752,0.01519,0.03005,0.01749,0.00132,0.17619,1.84773,4.41417
"6","2012_Q1",9.25758064516129,"Up",-164650000,169862000,5212000,-4270000,938000,-5208000,942000,-1479000,-130000,-1349000,-537000,-6274000,-6811000,2963000,-3848000,5856000,5856000,5856000,76412000,76412000,88345000,88345000,92540000,26089000,11421000,283386000,112569000,5e+05,76200000,1624000,197429000,480815000,124237000,80468000,40794000,124237000,93281000,93281000,217518000,326822000,-300584000,352205000,-115146000,263297000,263297000,480815000,5856000,4372000,-1693000,280000,8815000,-3418000,-3377000,-1030000,-15300000,0,-18568000,-13130000,-13130000,370000,-12760000,5314000,93281000,-787000,-0.03166,-0.00572,-0.03557,0.02224,0.01218,-0.13439,2.28101,0.82613,0.19401,0.17101,0.16757,-4.80828,7.68908,-0.02298,0.03008,0.01931,-0.00221,0.17589,3.17444,17.90764
"7","2012_Q2",9.1415873015873,"Down",146969000,-124920000,22049000,-25513000,-19404000,-6109000,-3464000,365000,-210000,575000,-3099000,5396000,2297000,-14000,2283000,2283000,2283000,2283000,84441000,84441000,89867000,89867000,92069000,26838000,26838000,293215000,125771000,7872000,75552000,2281000,215451000,508666000,116216000,74559000,41657000,116216000,127553000,127553000,243769000,327946000,-303318000,353295000,-113026000,264897000,264897000,508666000,2283000,4790000,604000,-11783000,-4106000,-3885000,-18574000,-1193000,34300000,78000,31161000,8481000,8481000,-452000,8029000,1326000,127553000,-14328000,0.15002,-0.02357,0.01553,0.00862,0.00449,-6.27595,2.52302,0.92024,0.25076,0.06694,0.06576,4.30918,7.76687,-0.4201,0.03498,0.00886,-0.03651,0.52256,32.51282,-12.44573
"8","2012_Q3",8.94111111111111,"Down",154294000,-128356000,25938000,-24509000,-19378000,-5131000,1429000,-1200000,-159000,-1041000,229000,4284000,4513000,-1212000,3301000,3301000,3301000,3301000,83039000,83039000,90604000,90604000,78664000,24083000,24083000,276390000,122528000,5855000,75045000,1950000,213699000,490089000,109378000,66477000,42901000,109378000,115241000,115241000,224619000,329426000,-306227000,355410000,-113139000,265470000,265470000,490089000,3301000,4856000,5226000,2708000,16091000,-3251000,-3251000,-1192000,-11700000,121000,-14989000,-2149000,-2149000,747000,-1402000,6285000,115241000,6954000,0.16811,0.00926,0.02139,0.01243,0.00674,2.10663,2.52692,0.84612,0.23514,0.09703,0.09547,4.53512,7.80289,0.2044,0.03504,0.0118,0.01827,0.3611,5.12363,22.53464
"9","2012_Q4",8.29306451612903,"Down",137357000,-110763000,26594000,-23737000,-19387000,-4350000,2857000,604000,-159000,763000,3461000,3947000,7408000,-1491000,5917000,5917000,5917000,5917000,88620000,88620000,81014000,81014000,75007000,24512000,24512000,269153000,122502000,6759000,74642000,1273000,212223000,481376000,96073000,59207000,36866000,96073000,112950000,112950000,209023000,330602000,-307134000,360139000,-111254000,272353000,272353000,481376000,5917000,4937000,1498000,649000,13001000,-2753000,-2753000,-1189000,-2500000,-32000,-4357000,5891000,5891000,-310000,5581000,7794000,112950000,7181000,0.19361,0.0208,0.04308,0.02173,0.01229,1.21362,2.80155,0.76747,0.23464,0.17442,0.17166,4.04908,8.02856,0.21169,0.03505,0.01844,0.01864,0.20095,3.12163,8.51593
"10","2013_Q1",9.61983333333333,"Up",-134139000,151074000,16935000,-10230000,-4902000,-5328000,6705000,-386000,-321000,-65000.0000000002,6319000,-6093000,226000,1765000,1991000,8832000,8832000,8832000,109571000,109571000,89342000,89342000,81752000,28633000,9844000,309298000,158167000,32547000,73158000,1484000,251892000,561190000,115040000,67973000,44574000,115040000,178392000,178392000,293432000,331520000,-310958000,367800000,-120604000,267758000,267758000,561190000,8832000,5032000,-8597000,11401000,16668000,-3685000,-49507000,-1185000,5.9e+07,-7000,53991000,21152000,21152000,-201000,20951000,11737000,178392000,17688000,-0.12625,-0.04999,-0.06584,0.03299,0.01574,2.00272,2.68861,1.09589,0.31788,0.26257,0.25728,-3.98784,7.96022,0.52585,0.03523,0.02245,0.03965,0.13417,5.86359,10.26413
"11","2013_Q2",10.583125,"Up",98062000,-71276000,26786000,-23928000,-17676000,-6252000,2858000,-1e+06,-493000,-507000,1858000,-177000,1681000,1306000,2987000,3568000,3568000,3568000,109432000,109432000,93730000,93730000,82144000,29741000,29741000,315047000,155388000,35156000,72207000,1420000,249503000,564550000,108394000,68328000,40066000,108394000,186434000,186434000,294828000,332267000,-312006000,370194000,-120733000,269722000,269722000,564550000,3568000,5886000,1810000,-14752000,-3488000,-4629000,-4629000,-1171000,10500000,42000,8589000,472000,472000,-611000,-139000,8744000,186434000,-11943000,0.27315,0.02914,0.03639,0.01323,0.00632,-3.34725,2.9065,1.09308,0.33023,0.10643,0.1044,2.92522,8.04588,-0.35626,0.03493,0.01039,-0.02618,0.3282,8.80627,26.94262
"12","2013_Q3",13.59515625,"Up",105381000,-72981000,32400000,-22928000,-17157000,-5771000,9472000,-214000,-612000,398000,9258000,-7029000,2229000,-12482000,-10253000,-11335000,-11335000,-11335000,86044000,86044000,93908000,93908000,85160000,28955000,28955000,294067000,143538000,35156000,61209000,2076000,234606000,528673000,117480000,70694000,46786000,117480000,149566000,149566000,267046000,335054000,-312451000,357681000,-118657000,261627000,261627000,528673000,-11335000,5470000,11928000,7642000,13705000,-3541000,-3541000,-1174000,-34500000,-12000,-34339000,-24175000,-24175000,787000,-23388000,14942000,149566000,31525000,0.30746,0.08988,-0.10756,-0.04333,-0.02144,-2.78121,2.50312,1.02071,0.28291,-0.33746,-0.34415,3.13737,7.78907,0.93855,0.03495,-0.02471,0.07667,-0.10357,4.25124,6.70629
"13","2013_Q4",16.79703125,"Up",103632000,-71631000,32001000,-23547000,-17829000,-5718000,8454000,113000,-377000,490000,8567000,-901000,7666000,-2551000,5115000,6819000,6819000,6819000,96730000,96730000,96809000,96809000,84605000,29663000,29663000,307807000,142576000,35156000,59869000,3732000,232056000,539863000,121765000,71512000,50253000,121765000,148467000,148467000,270232000,335844000,-313182000,363320000,-116351000,269631000,269631000,539863000,6819000,5321000,1684000,1454000,15278000,-2145000,-2145000,-1179000,-9e+05,-14000,-2647000,10486000,10486000,2e+05,10686000,13775000,148467000,15635000,0.30879,0.08158,0.0658,0.02529,0.01263,2.29286,2.52788,1.00223,0.27501,0.20236,0.20236,3.07541,8.00163,0.46399,0.03499,0.01913,0.0374,0.1729,3.75586,6.11982
