"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","intangible_assets","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",5.99859375,"Down",71636000,59469000,70705000,-11236000,12167000,4136000,2571000,-22965000,48671000,-46110000,-1546000,-44564000,2561000,2561000,2561000,79000,2640000,2009000,2009000,-457000,-835119883.380022,2023289928.48586,3872689291.70285,-106841959.020051,3979531250.7229,112224678.113629,14246015.747596,141665720.038893,5354900201.01973,5102255539.35426,3809727646.5337,1292527892.82055,-420481049.106991,-43235348.3480145,4718908500.64415,740885924.087302,-263683429.321232,-1228123.41121417,635991700.375582,635991700.375582,5354900201.01973,2009000,3511000,22965000,4568000,-53777000,-20724000,-591000,-75268000,-64901000,-140760000,72548000,47574000,98444000,216816000,55332000,55332000,55332000,6072000,0,-48375000,0.03575,-0.00638,-0.0699998222192113,-0.00667680314231012,105.85339,7.37504366667159,-0.0424028979002527,-0.00605,-0.00605,0.94814,7.01159982178338,-0.64027,-0.00634007826596597,0.0114542322013382,43.3687382562427,57.96760691275
"2","2011_Q1",7.23225806451613,"Up",60190000,60910000,72374000,-11464000,-719999.999999996,-344000,-364000.000000001,-18384000,41806000,-56545000,-2038000,-54507000,-14739000,-14739000,-14739000,4580000,-10159000,-10816000,-10816000,-13299000,216746000,1544384000,4129843000,-110699000,4240542000,114372000,13366000,149247000,6193883000,5338441000,3895190000,1443251000,72964000,27861000,5591709000,739569000,-258800000,-9422000,602174000,602174000,6193883000,-10816000,3431000,18384000,5275000,65550000,81824000,92000,-305624000,-206324000,-511856000,22574000,85999.9999999925,9913000,30823000,-399209000,-399209000,-399209000,-11308000,225407000,49754000,-0.24487,-0.22095,-0.02208,-0.00215,-3.74118,9.28587,0.03639,-0.17712,-0.17712,0.80165,6.27768,0.66265,-0.00186,0.00803,-0.76592,-0.58762
"3","2011_Q2",6.96746031746032,"Down",67928000,61098000,71966000,-10868000,6830000,3680000,1771000,-10041000,57887000,-48146000,-1366000,-46780000,9741000,9741000,9741000,-4029000,5712000,5153000,5153000,2650000,589318044.460007,1367393440.50471,4245843736.09905,-108932263.659983,4354775999.75904,112719107.295457,12479744.7508013,139497176.653702,6493183099.66009,5491803236.88191,3988782201.15543,1503021035.72648,167503433.035664,48200699.4493382,5893101416.45195,740056275.304233,-255412190.226256,-9647042.19626194,600081683.20814,600081683.20814,6493183099.66009,5153000,2705000,10041000,11653000,9631000,39183000,229000,-48939000,-55461000,-104171000,53995000,312000,159023000,211580000,146592000,146592000,146592000,12446000,0,26335000,0.1434,0.03901,0.000101607406403786,-2.68989525632935e-05,9.93774,9.80408877777614,0.0536892993000842,0.0328,0.03271,0.84076,5.98483505940554,0.32595,0.000245026088655322,0.00566525593288726,-20.6349794187476,-26.4985456375833
"4","2011_Q3",5.74203125,"Down",72884000,63287000,73646000,-10359000,9597000,2646000,4511000,-11891000,60993000,-51009000,-2361000,-48648000,9984000,9984000,9984000,-3295000,6689000,6229000,6229000,3726000,534560000,1395930000,4307330000,-104375000,4411705000,109243000,11586000,123515000,6508089000,5588320000,4071523000,1516797000,73138000,39594000,5892436000,741539000,-252424000,-5795000,615653000,615653000,6508089000,6229000,2688000,11891000,12094000,9598000,42500000,1320000,203458000,-150408000,54370000,-14754000,0,90856000,74352000,171222000,171222000,171222000,12672000,264522000,26885000,0.13698,0.05112,0.00605,0.000569999999999999,7.21551,9.57103,0.04065,0.04607,0.04587,0.90112,5.97562,0.3324,0.00084,0.00413,-21.30982,-27.04708
"5","2011_Q4",5.66920634920635,"Down",77666000,64584000,74133000,-9549000,13082000,538000,11763000,-11180000,66486000,-45480000,-1912000,-43568000,21006000,21006000,21006000,-7514000,13492000,13011000,13011000,3592000,305968000,1553136000,4426285000,-100216000,4526501000,106227000,10697000,117652000,6545890000,5632888000,4113847000,1519041000,73228000,28588000,5913635000,743033000,-248833000,-2945000,632255000,632255000,6545890000,13011000,2690000,11180000,11579000,-11030000,27430000,471000,-167030000,-127265000,-293824000,-6064000,1050000,44568000,37802000,-228592000,-228592000,-228592000,23696000,252159000,20651000,0.27047,0.04625,0.00568,0.00055,5.74916,9.35324,0.03852,0.04438,0.04428,0.95962,6.06982,0.25516,0.00082,0.00315,-2.27081,-2.5616
"6","2012_Q1",7.54645161290323,"Up",73647000,68699000,76846000,-8147000,4948000,5691000,-715000,-13076000,60571000,-50963000,-4112000,-46851000,9608000,9608000,9608000,-2011000,7597000,7101000,7101000,5320000,154995000,1736113000,4680899000,-99170000,4780069000,105546000,9807000,131256000,6844541000,5658512000,4100301000,1558211000,353321000,35414000,6207858000,743788000,-243512000,-4593000,636683000,636683000,6844541000,7101000,2540000,13076000,6666000,3979000,33362000,-931000,-187304000,-280568000,-468803000,261040000,-415000,25624000,284468000,-150973000,-150973000,-150973000,12148000,513932000,17207000,0.13046,0.07224,0.00836,0.00078,3.2344,9.75031,0.07509,0.06566,0.06538,0.90893,6.11758,0.21236,0.00104,0.00251,29.547,37.35814
"7","2012_Q2",8.00650793650794,"Up",75941000,70057000,77437000,-7380000,5884000,3904000,1619000,-13081000,62860000,-46897000,-1572000,-45325000,15963000,15963000,15963000,-4441000,11522000,11300000,11300000,9537000,179753000,1660853000,4828101000,-98122000,4926223000,105055000,8918000,116687000,6925292000,5899054000,4141361000,1757693000,193416000,27150000,6271247000,746151000,-233974000,868000,654045000,654045000,6925292000,11300000,3228000,13081000,10299000,-1480000,36428000,-1911000,82898000,-166159000,-81727000,-169274000,552000,240542000,70057000,24758000,24758000,24758000,19191000,345043000,20241000,0.2102,0.12558,0.01458,0.00138,2.12237,9.5884,0.04982,0.11722,0.11598,0.93341,6.30594,0.24879,0.00163,0.00292,8.61289,10.35457
"8","2012_Q3",8.80730158730159,"Up",78202000,70805000,77846000,-7041000,7397000,2568000,3719000,-13330000,64872000,-45431000,-2517000,-42914000,19441000,19441000,19441000,-5259000,14182000,13961000,13961000,12636000,178920000,1633537000,5067346000,-97512000,5164858000,106895000,8028000,142921000,7163572000,6001448000,4159323000,1842125000,303514000,62939000,6491452000,748167000,-221338000,4291000,672120000,672120000,7163572000,13961000,1708000,13330000,9860000,8447000,47306000,-2574000,29890000,-259035000,-231719000,82512000.0000001,0,102394000,183581000,-832000,-832000,-832000,21149000,427065000,32281000,0.2486,0.16158,0.0188,0.00176,2.55469,9.65817,0.05962,0.15487,0.15418,0.95846,6.50954,0.39564,0.00195,0.00451,11.73318,12.764
"9","2012_Q4",9.63290322580645,"Up",78928000,71946000,78669000,-6723000,6982000,542000,5409000,-8932000,69996000,-44108000,-2291000,-41817000,25888000,25888000,22453000,-6752000,15701000,15458000,15458000,15106000,307917000,1558751000,5235522000,-97410000,5332932000,106902000,5764000,165523000,7403603000,6161976000,4321202000,1840774000,223614000,72434000,6705592000,751133000,-206232000,12110000,698011000,698011000,7403603000,15458000,2383000,8932000,12618000,1821000,41212000,-1466000,86589000,-204059000,-118946000,44486000,2068000,160528000,206730000,128996000,128996000,128996000,28271000,471182000,35378000,0.328,0.19139,0.02164,0.00204,2.34198,9.60671,0.06364,0.18476,0.18356,0.96536,6.81276,0.43271,0.00209,0.00478,5.775,6.30659
"10","2013_Q1",11.9751666666667,"Up",86135000,77455000,84343000,-6888000,8680000,6002000,1231000,-11501000,74634000,-48989000,-3857000,-45132000,25645000,25645000,43207000,-9483000,33724000,31920000,31920000,31567000,204625000,1469706000,5582767000,-95427000,5678194000,107910000,6539000,227866000,7622637000,6455177000,4522008000,1933169000,193717000,98875000,6863021000,784861000,-174471000,8226000,759616000,759616000,7622637000,31920000,-1014000,11501000,-11800000,5001000,35608000,-2603000,106167000,-304054000,-152716000,-162316000,182000,176010000,13816000,-103292000,-103292000,-103292000,24631000,308969000,36512000,0.29773,0.36648,0.04156,0.00414,1.15665,9.03486,0.04053,0.37388,0.37063,1.02019,7.32697,0.43245,0.00419,0.00479,4.23629,4.06879
