"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2012_Q1",387.274193548387,"Down",492164000,-96265000,395899000,-410615000,-410615000,-14716000,-10513000,-3835000,-25229000,-25485000,-34194000,-59679000,-59679000,-5267000,-64946000,-65379000,1122935000,1122935000,108747000,108747000,91645000,72402000,1323327000,51800000,50604000,348745000,45667000,166903000,90071000,451149000,1774476000,773648000,40918000,732730000,995162000,78194000,70766000,78194000,1073356000,1388317000,-698704000,12928000,702541000,-1421000,701120000,1774476000,-59679000,-59679000,9301000,67970000,151485000,169077000,-13431000,-1847000,-34907000,51000,-10222000,746913000,881083000,881083000,-2083000,8.79e+08,-5415000,0,166833000,0.8044,-0.0299,-0.13284,-0.09325,-0.03684,-2.55178,1.32976,1.53092,0,-2.46631,-2.46631,18.56606,26.50217,6.29349,-0.08389,0.21408,207.37488,76.30708
"2","2012_Q2",228.074285714286,"Down",559283000,-119498000,439785000,-400198000,-400198000,39587000,-8667000,-3538999.99999999,30920000,30972000,-34565000,-3593000,-3593000,-880000,-4473000,-11695000,1160989000,1160989000,122644000,122644000,148931000,101275000,1432564000,59713000,48477000,330109000,56836000,185336000,87937000,438299000,1870863000,850632000,40374000,810258000,1066377000,87655000,75189000,87655000,1154032000,1401646000,-703177000,14194000,712663000,4168000,716831000,1870863000,-3593000,-3593000,11716000,27965000,47626000,83714000,-13093000,-23004000,-46444000,0,-8653000,-8275000,28995000,28995000,9059000,38054000,51303000,0,120401000,0.78634,0.07078,-0.02091,-0.01631,-0.00625,-10.29508,1.34339,1.60991,0,-0.36314,-0.36314,17.36641,22.12905,3.7386,-0.01454,0.14966,-22.63004,-29.32753
"3","2012_Q3",120.565079365079,"Down",568335000,-135184000,433151000,-388301000,-388301000,44850000,53939000,57367000,98789000,100424000,-66875000,33549000,33549000,-1220000,32329000,28386000,1185798000,1185798000,98673000,98673000,161658000,116141000,1446129000,83293000,131177000,322499000,54303000,192018000,76178000,536969000,1983098000,862547000,60364000,802183000,1100181000,100610000,74773000,100610000,1200791000,1437226000,-670848000,12937000,779315000,2992000,782307000,1983098000,33549000,33549000,12810000,-33622000,62578000,75315000,-26709000,-17267000,-60153000,0,18879000,24158000,39320000,39320000,-14511000,24809000,57660000,0,160404000,0.76214,0.07891,0.04995,0.03628,0.01431,5.65081,1.31445,1.53494,0,0.87726,0.85613,17.56426,24.08454,4.95725,0.03215,0.18168,-20.56535,-26.4392
"4","2012_Q4",86.6438709677419,"Down",568552000,-181786000,386766000,-358897000,-358897000,27869000,479000,617000,28348000,25917000,-26857000,-940000,-940000,-706000,-1646000,-2979000.00000001,1201011000,1201011000,110058000,110058000,170091000,121338000,1481160000,103876000,131039000,316739000,51447000,196978000,68314000,551654000,2032814000,878576000,60016000,818560000,1125201000,103228000,74643000,103228000,1228429000,1459550000,-672494000,11956000,799012000,5373000,804385000,2032814000,-940000,-940000,15310000,19902000,7816000.00000001,42088000,-16010000,-4519000,-35629000,0,-504000,2706999.99999999,9165999.99999999,9166000,6047000,15213000,43179000,-3.5527136788005e-15,61842000,0.68026,0.04902,-0.00524,-0.0037,-0.00147,-20.75932,1.31635,1.52717,-1.65436122510606e-24,-0.09121,-0.09121,17.40758,24.46366,1.89344,-0.00328,0.06814,-27.8147,-43.09487
"5","2013_Q1",108.045833333333,"Up",638302000,-282472000,355830000,-368538000,-368538000,-12708000,-49510000,-58204000,-62218000,-62371000,-17676000,-80047000,-80047000,-936000,-80983000,-81089000,1209289000,1209289000,96713000,96713000,181784000,150573000,1487786000,121072000,84209000,338407000,42597000,206684000,59210000,543688000,2031474000,978094000,59865000,918229000,1168441000,120932000,100072000,120932000,1289373000,1485071000,-753477000,12446000,744040000,-1939000,742101000,2031474000,-80047000,-80047000,15965000,56169000,73630000,65717000,-40624000,-2100000,-52753000,-2233000,-4707000,-6495000,6469000,6469000,1809000,8278000,3257000,0,53939000,0.55746,-0.01991,-0.12704,-0.10927,-0.03992,-0.66518,1.27331,1.73746,0,-2.47077,-2.5324,19.44898,22.67081,1.64351,-0.09396,0.0625,-371.28922,95.15966
"6","2013_Q2",135.1240625,"Up",601402000,-222393000,379009000,-357763000,-357763000,21246000,-5082999.99999999,-5083000,16163000,16095000,-19337000,-3242000,-3242000.00000003,-750000,-3992000,-3992000,1165650000,1165650000,102717000,102717000,163003000,132324000,1431370000,128773000,97245000,324869000,36838000,205466000,52855000,550887000,1982257000,907272000,40898000,866374000,1100580000,117708000,97791000,117708000,1218288000,1509038000,-757469000,14787000,766356000,-2387000,763969000,1982257000,-3242000,-3242000.00000003,20700000,31427000,-40125000,8760000.00000001,-14468000,-1169000,-30679000,-2102000,-7945000,-9342000,-31261000,-31261000,-12378000,-43639000,41946000,5.6843418860808e-14,6690000,0.63021,0.03533,-0.00664000000000003,-0.00523000000000001,-0.00200999999999999,-1.67585,1.30056,1.59468,2.64697796016969e-23,-0.12119,-0.12119,18.25749,23.26519,0.2031,-0.00453000000000002,0.00759,-27.7893,-54.86445
"7","2013_Q3",199.271875,"Up",608747000,-224053000,384694000,-358097000,-358097000,26597000,-5579000,-5579000,21018000,21833000,-27384000,-5551000,-5551000,-2023000,-7574000,-7574000,1182011000,1182011000,96808000,96808000,158132000,127496000,1436951000,125860000,97321000,316536000,33186000,206683000,47830000,539717000,1976668000,878950000,35499000,843451000,1064946000,121294000,100907000,121294000,1186240000,1532765000,-765043000,24774000,792496000,-2068000,790428000,1976668000,-5551000,-5551000,21468000,29145000,-1760000,43302000,-15562000,-3e+05,-15862000,-3103000,-7148000,-7941000,19499000,19499000,-3138000,16361000,48065000,0,58127000,0.63194,0.04369,-0.01244,-0.00958,-0.00383,-7.67454,1.34932,1.50076,0,-0.2287,-0.2287,18.38111,23.92941,1.75514,-0.00831,0.06376,-24.59193,-44.44152
"8","2013_Q4",206.3853125,"Up",595059000,-235437000,359622000,-347339000,-347339000,12283000,832000,831999.999999993,13115000,14644000,-15936000,-1292000,-1292000,-1288000,-2580000,-2579999.99999999,1139857000,1139857000,86233000,86233000,167235000,136543000,1393325000,126881000,104130000,326204000,33182000,218224000,45322000,557215000,1950540000,836878000,33684000,803194000,1015858000,125885000,105529000,125885000,1141743000,1563881000,-767623000,23579000,810823000,-2026000,808797000,1950540000,-1292000,-1292000,23149000,13011000,-46773000,-11905000,-15064000,-4880000,-26444000,-796000,-4361000,-8970000,-47319000,-47319000,5165000,-42154000,35432000,-9.09494701772928e-13,-10469000,0.60435,0.02064,-0.00433999999999999,-0.00319000000000001,-0.00132,4.05775,1.37157,1.41166,-4.2351647362715e-22,-0.07743,-0.07743,17.85803,24.33322,-0.31418,-0.00275999999999999,-0.0112,-32.17027,-92.79956
"9","2014_Q1",194.14393442623,"Down",768447000,-390239000,378208000,-362591000,-362591000,15617000,-84833000,-84833000,-69216000,-71481000,-7380000,-78861000,-78861000,-2386000,-81247000,-81247000,1240472000,1240472000,83673000,83673000,238353000,210415000,1562498000,134423000,20652000,324437000,28443000,220827000,39226000,479512000,2042010000,1007502000,27573000,979929000,1187778000,142550000,131697000,142550000,1330328000,1584278000,-848870000,24830000,713651000,-1969000,711682000,2042010000,-78861000,-78861000,24132000,94351000,138653000,178275000,-19931000,-1e+06,-23330000,-619000,-18086000,-55444000,99501000,99501000,1114000,100615000,39749000,0,165851000,0.49217,0.02032,-0.10573,-0.11416,-0.03979,-2.04132,1.31548,1.86927,0,-2.43238,-2.43238,23.00581,21.36532,4.96526,-0.09511,0.19415,-31.20763,-79.43088
"10","2014_Q2",131.8,"Down",728415000,-362903000,365512000,-370091000,-370091000,-4579000,-839999.999999985,-840000,-5419000,-7203999.99999999,-14570000,-21774000,-35363000,-2432000,-37795000,-37795000,1038824000,1038824000,125527000,125527000,263999000,234102000,1428350000,159649000,24450000,668157000,140738000,447370000,35490000,852256000,2280606000,1114868000,45524000,1069344000,1297551000,159528000,147197000,159528000,1457079000,1768340000,-886665000,20020000,825647000,-2120000,823527000,2280606000,-21774000,-35363000,27433000,21471000,-41704000,-20717000,-16093000,-42302000,-138608000,-4025000,-10439000,-41492000,-200817000,-218823000,-830999.999999999,-219654000,22854000,0,-20373000,0.50179,-0.00629,-0.05189,-0.04589,-0.01657,0.53904,1.1008,1.76932,0,-1.10774,-1.10774,21.34929,24.19909,-0.597120000000001,-0.03845,-0.02072,-45.4548,226.867
