"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",8.75460317460317,"Up",68276000,-45145000,23131000,-10231000,-9831000,-5899000,-3932000,12900000,94000,-33000,-301438.637829829,127000,12994000,12994000,-4678000,8316000,8316000,8316000,8316000,58877000,5642000,27615000,27615000,7161000,6891000,1542000,100544000,36293000,139399000,-103106000,11487000,4609000,47780000,148324000,17557000,11824000,14644000,14644000,32201000,13039000,859000,13039000,45240000,1089000,122357000,103084000,103084000,148324000,8316000,2135000,-544000,25000,9932000,-5691000,-8185000,-1146000,33000,-1113000,634000,634000,634000,15035000,0,14047000,0.33879,0.18894,0.1218,0.08067,0.05607,1.68915,3.12239,0.43887,0,0.43694,0.4309,3.58733,5.41619,0.73805,0.06021,0.08148,0.12097,0.13781,-3.916,-4.56411
"2","2010_Q3",8.0403125,"Down",64390000,-42649000,21741000,-9103000,-9105000,-5118000,-3987000,12638000,150000,-24000,-57000,174000,12788000,12788000,-4603000,8185000,8185000,8185000,8185000,58689000,5707000,22383000,22383000,8911000,5931000,1395000,95914000,40886000,145377000,-104491000,9329000,3702000,50215000,146129000,9402000,9018000,14469000,14469000,23871000,12942000,762000,12942000,36813000,929999.999999999,128748000,109316000,109316000,146129000,8185000,2284000,3068000,-4338000,9199000,-6891000,-6638000,-1794000,-702000,-2496000,65000,65000,65000,14922000,0,8296000,0.33765,0.19627,0.12712,0.07487,0.05601,1.01356,4.01801,0.33676,0,0.43005,0.42411,3.38315,5.74363,0.43588,0.09426,0.08162,0.06786,0.21918,-3.93305,-4.64385
"3","2010_Q4",8.88609375,"Up",58401000,-39819000,18582000,-9274000,-9274000,-5194000,-4080000,9308000,130000,-18000,-18000,148000,9438000,9438000,-3398000,6040000,6040000,6040000,6040000,52984000,5492000,25934000,25934000,10515000,6699000,2268000,96132000,42285000,149151000,-106866000,8803000,3167000,51088000,147220000,11586000,11127000,14258000,14258000,25844000,12842000,663000,12842000,38686000,-3983000,132879000,108534000,108534000,147220000,6040000,2444000,-851000,-3266000,4367000,-3813000,1677000,-1909000,-4350000,-6259000,-215000,-215000,-215000,11752000,0,8071000,0.31818,0.15938,0.10342,0.05565,0.04103,1.33626,3.7197,0.35644,0,0.31735,0.31297,3.06848,5.70254,0.42406,0.1003,0.06549,0.0665,0.31606,-4.50851,-5.69231
"4","2011_Q1",9.99145161290323,"Up",64139000,-43611000,20528000,-11981000,-11959000,-7306000,-4653000,8547000,382000,-20000,-68000,402000,8929000,8929000,-3215000,5714000,5714000,5714000,5714000,57625000,5132000,31565000,31565000,9827000,6207000,1427000,105224000,42921000,150379000,-107458000,9616000,4173000,52537000,157761000,17074000,16492000,16265000,16265000,33339000,9942000,573000,9942000,43281000,-2997000,137125000,114480000,114480000,157761000,5714000,2344000,1431000,-496000,8993000,-2993000,-7994000,-1468000,5827000,-1359000,-360000,-360000,-360000,10891000,0,10617000,0.32005,0.13326,0.08909,0.04991,0.03622,1.85807,3.15618,0.37807,0,0.30022,0.29607,3.36996,6.01496,0.55783,0.07713,0.05772,0.08533,0.25691,-5.29107,-6.74213
"5","2011_Q2",12.3103174603175,"Up",75441000,-51446000,23995000,-11537000,-11537000,-6912000,-4625000,12458000,156000,50000,-68645.7351541566,106000,12614000,12614000,-4667000,7947000,7947000,7947000,7947000,72372000,5390000,30430000,30430000,3548000,6269000,957000,112619000,44301000,154519000,-110218000,9594000,5098000,53895000,166514000,23474000,19953000,14038000,14038000,37512000,9801000,445000,9801000,47313000,-5285000,144134000,119201000,119201000,166514000,7947000,2930000,-1229000,11088000,20736000,-4299000,-18788000,-938000,1247000,-1690000,258000,258000,258000,15388000,0,26844000,0.31806,0.16514,0.10534,0.06667,0.04773,3.37788,3.00221,0.39692,0,0.41755,0.41178,3.96379,6.26301,1.41043,0.04928,0.06887,0.20809,0.11803,-4.70315,-5.80928
"6","2011_Q3",16.214375,"Up",79622000,-51158000,28464000,-11403000,-11403000,-6468000,-4935000,17061000,101000,-83000,-33000,184000,17162000,17162000,-6350000,10812000,10812000,10812000,10812000,76531000,12038000,31857000,31857000,4049000,5814000,801000,118251000,44778000,156896000,-112118000,12308000,8209000,57086000,175337000,21047000,18966000,15800000,15800000,36847000,9770000,415000,9770000,46617000,-4741000,153109000,128720000,128720000,175337000,10812000,2930000,3404000,-5508000,11638000,-3404000,-915000,-1837000,-2238000,-4075000,6648000,6648000,6648000,19991000,0,17429000,0.35749,0.21427,0.13579,0.084,0.06166,1.61201,3.20924,0.36216,0,0.56808,0.56023,4.18346,6.76315,0.91575,0.09652,0.09134,0.12585,0.1699,-3.82827,-4.48573
"7","2011_Q4",18.1506349206349,"Up",80512000,-51385000,29127000,-12239000,-12239000,-6581000,-5658000,16888000,155000,-21000,-21000,176000,17043000,17043000,-6306000,10737000,10737000,10737000,10737000,79342000,53344000,33421000,33421000,7755000,6226000,1355000,126744000,46301000,160568000,-114267000,12630000,8654000,58931000,185675000,21519000,19790000,17458000,17458000,38977000,9780000,414000,9780000,48757000,-4581000,161147000,136918000,136918000,185675000,10737000,2932000,1194000,-4270000,10593000,-4379000,34116000,-2699000,-704000,-3403000,41306000,41306000,41306000,19820000,0,17477000,0.36177,0.20976,0.13336,0.07842,0.05783,1.62774,3.25176,0.3561,0,0.56751,0.56061,4.25551,7.23688,0.92376,0.14266,0.09159,0.11914,0.25137,-4.00313,-4.69813
"8","2012_Q1",24.4941935483871,"Up",93241000,-63069000,30172000,-14163000,-14482000,-8730000,-5752000,16009000,688000,-27000,-56000,715000,16697000,16697000,-6178000,10519000,10519000,10519000,10519000,81056000,81056000,42225000,42225000,10217000,12744000,6968000,146242000,52947000,169142000,-116195000,7321000,7289000,60268000,206510000,28809000,28592000,20787000,20787000,49596000,19523000,441000,19523000,69119000,-4047000,168981000,137391000,137391000,206510000,10519000,3356000,7763000,-7196000,14442000,-9734000,16264000,-2685000,-309000,-2994000,27712000,27712000,27712000,19365000,0,8613000,0.32359,0.17169,0.11282,0.07656,0.05094,0.8188,2.94867,0.50308,0,0.55599,0.54923,4.9283,7.26188,0.45524,0.14192,0.08415,0.05489,0.25525,-4.1857,-5.06315
"9","2012_Q2",26.4868253968254,"Up",112337000,-70544000,41793000,-17377000,-17377000,-10999000,-6378000,24416000,155000,-23000,-23000,178000,24571000,24571000,-9091000,15480000,15480000,15480000,15480000,95829000,75835000,49026000,49026000,7621000,7886000,1025000,160362000,52617000,171869000,-119252000,8414000,8102000,61031000,221393000,35480000,31075000,16655000,16655000,52135000,19480000,398000,19480000,71615000,-3081000,180402000,149778000,149778000,221393000,15480000,3388000,-490000,3463000,21841000,-3047000,-23041000,-4059000,38000,-4021000,-5221000,-5221000,-5221000,27804000,0,37311000,0.37203,0.21735,0.1378,0.10335,0.06992,2.41027,3.0759,0.47814,0,0.80976,0.79167,5.87636,7.8349,1.95174,0.21233,0.11544,0.22044,0.26221,-3.44659,-3.92484
"10","2012_Q3",27.0387301587302,"Up",119569000,-74435000,45134000,-16824000,-16634000,-9108000,-7526000,28310000,284000,-21000,-21000,305000,28594000,28594000,-10580000,18014000,18014000,18014000,18014000,95954000,75960000,47332000,47332000,9210000,7612000,858999.999999999,160108000,58532000,181161000,-122629000,11769000,11364000,70301000,230409000,28140000,26946000,20068000,20068000,48208000,19492000,370000,19492000,67700000,-1951000,192203000,162709000,162709000,230409000,18014000,3386000,1167000,-6904000,15663000,-9279000,-9279000,-6213000,-46000,-6259000,125000.000000004,125000.000000004,125000.000000004,31696000,0,26093000,0.37747,0.23677,0.15066,0.11071,0.07818,1.44848,3.32119,0.41608,0,0.94043,0.91442,6.24214,8.49428,1.36219,0.32435,0.13297,0.14321,0.3449,-3.02732,-3.3894
"11","2012_Q4",29.6693548387097,"Up",118151000,-75586000,42565000,-15327000,-15140000,-7891000,-7249000,27238000,299000,-18000,-18000,317000,27537000,27537000,-10189000,17348000,17348000,17348000,17348000,105096000,75123000,47474000,47474000,13370000,6576000,1725000,172516000,63131000,189137000,-126006000,12138000,10916000,75269000,247785000,32178000,31330000,22029000,22029000,54207000,19531000,389000,19531000,73738000,-738000,202328000,174047000,174047000,247785000,17348000,3377000,2756000,808000,24289000,-7924000,-17903000,-7223000,0,-7223000,-837000,-837000,-837000,30615000,0,33688000,0.36026,0.23054,0.14683,0.09967,0.07001,1.9419,3.18254,0.42367,0,0.90542,0.87344,6.16652,9.08384,1.75824,0.37698,0.12693,0.17403,0.41636,-3.43283,-3.85843
"12","2013_Q1",34.4026666666667,"Up",141767000,-92306000,49461000,-18359000,-18443000,-10365000,-8078000,31102000,305000,1000,-33000,304000,31407000,31407000,-11620000,19787000,19787000,19787000,19787000,30978000,30978000,43018000,43018000,16009000,6916000,1632000,96921000,65993000,195713000,-129720000,11572000,9568000,77565000,174486000,38989000,38500000,20502000,20502000,59491000,19963000,337000,19963000,79454000,1210000,123442000,95032000,95032000,174486000,19787000,4737000,-5000,873000,25392000,-6029000,23944000,-94028000,399000,-93481000,-44145000,-44145000,-44145000,35839000,0,42303000,0.34889,0.21939,0.13957,0.20821,0.1134,2.13792,1.62917,0.83608,0,1.02996,1.0186,7.3793,4.94664,2.20197,4.89438,0.98974,0.36787,4.75201,-0.86437,-0.99601
"13","2013_Q2",32.645625,"Down",155905000,-94596000,61309000,-24207000,-24207000,-15764000,-8443000,37102000,249000,-16000,-16000,265000,37351000,37351000,-13633000,23718000,23718000,23718000,23718000,45611000,45611000,59482000,59482000,14090000,8622000,1101000,127805000,69435000,203256000,-133821000,14235000,11784000,83670000,211475000,56083000,41461000,24629000,24629000,80712000,19125000,252000,19125000,99837000,2205000,139053000,111638000,111638000,211475000,23718000,4501000,-1189000,3377000,30407000,-7635000,-7635000,-7804000,-335000,-8139000,14633000,14633000,14633000,41603000,0,50978000,0.39325,0.23798,0.15213,0.21245,0.11216,2.14934,1.58347,0.89429,0,1.23006,1.19789,8.08553,5.78976,2.64382,0.40473,0.24106,0.38985,0.32903,-1.09634,-1.22934
"14","2013_Q3",35.95125,"Up",179529000,-108805000,70724000,-19903000,-20141000,-11824000,-8317000,50821000,57000,-39000,-39000,96000.0000000001,50878000,50878000,-18570000,32308000,32308000,32308000,32308000,64781000,64781000,57344000,57344000,16054000,8201000,693000,146380000,75799000,214369000,-138570000,14364000,11893000,90163000,236543000,50156000,44033000,32240000,32240000,82396000,18374000,238000,18374000,100770000,3865000,161528000,135773000,135773000,236543000,32308000,4933000,826000,1365000,39432000,-11115000,-11115000,-9478000,331000,-9147000,19170000,19170000,19170000,55754000,0,64574000,0.39394,0.28308,0.17996,0.23796,0.13658,1.9987,1.77654,0.74219,0,1.67103,1.62931,9.28558,7.02244,3.33989,0.49022,0.27108,0.41891,0.29336,-1.16191,-1.27469
"15","2013_Q4",47.61984375,"Up",170942000,-108002000,62940000,-18156000,-17869000,-9662000,-8207000,44784000,368000,-40000,-40000,408000,45152000,45152000,-16481000,28671000,28671000,28671000,28671000,54256000,54256000,63833000,63833000,19968000,9849000,3031000,147906000,82994000,225950000,-142956000,19476000,19476000,102470000,250376000,42945000,39555000,37199000,37199000,80144000,17639000,279000,17639000,97783000,5059000,177154000,152593000,152593000,250376000,28671000,4743000,5081000,-24594000,13901000,-11730000,-11730000,-12576000,-120000,-12696000,-10525000,-10525000,-10525000,49527000,0,29684000,0.3682,0.26198,0.16772,0.18789,0.11451,1.03533,1.8455,0.64081,0,1.4821,1.4259,8.83656,7.88804,1.53447,0.6501,0.2423,0.17437,0.43863,-1.09548,-1.2115
"16","2014_Q1",47.78,"Up",181900000,-118268000,63632000,-21433000,-21883000,-11456000,-10427000,42199000,-348000,-36000,-40000,-312000,41851000,41851000,-15276000,26575000,26575000,26575000,26575000,55064000,55064000,67384000,67384000,23261000,11917000,4280000,157626000,101028000,250127000,-149099000,18464000,18464000,119492000,277118000,47230000,46991000,40936000,40936000,88166000,9866000,265000,9866000,98032000,6377000,192088000,179086000,179086000,277118000,26575000,6185000,7218000,-4049000,35929000,-23903000,-23903000,-11221000,3000,-11218000,808000,808000,808000,48384000,0,35708000,0.34982,0.23199,0.1461,0.14839,0.0959,1.34367,1.78783,0.5474,0,1.37348,1.32699,9.4012,9.25576,1.84551,0.57994,0.20003,0.18898,0.42224,-1.13806,-1.30487
"17","2014_Q2",42.9496825396825,"Down",169884000,-108761000,61123000,-23154000,-23154000,-14421000,-8733000,37969000,329000,-36000,-36000,365000,38298000,38298000,-13979000,24319000,24319000,24319000,24319000,49770000,49770000,69900000,69900000,29137000,12200000,2663000,161007000,101847000,259701000,-157854000,26519000,26519000,128366000,289373000,58869000,45416000,27552000,27552000,86421000,10104000,283000,10104000,96525000,6641000,205586000,192848000,192848000,289373000,24319000,8940000,-309000,-17240000,15710000,-9579000,-9579000,-10475000,-973000,-11425000,-5294000,-5294000,-5294000,46909000,0,34069000,0.35979,0.2235,0.14315,0.1261,0.08404,1.40092,1.86305,0.50052,0,1.25576,1.22209,8.7723,9.9581,1.75922,0.5409,0.17144,0.16787,0.43073,-1.06099,-1.31081
"18","2014_Q3",36.47140625,"Down",153658000,-103305000,50353000,-17305000,-17305000,-10062000,-7243000,33048000,93000,-37000,-37000,130000,33141000,33141000,-10855000,22286000,22286000,22286000,22286000,47435000,47435000,51704000,51704000,40379000,10894000,2802000,150412000,106056000,271882000,-165826000,27222000,27222000,133278000,283690000,36565000,36565000,29097000,29097000,65662000,10939000,260000,10939000,76601000,8461000,218007000,207089000,207089000,283690000,22286000,8940000,4643000,-16003000,19866000,-12963000,-12963000,-9514000,276000,-9238000,-2335000,-2335000,-2335000,41988000,0,23877000,0.3277,0.21508,0.14504,0.10762,0.07856,1.07139,2.2907,0.36989,0,1.14812,1.11987,7.91609,10.66873,1.23009,0.49014,0.14585,0.10951,0.4269,-1.12973,-1.43534
"19","2014_Q4",28.43859375,"Down",98327000,-74589000,23738000,-13778000,-13778000,-7586000,-6192000,9960000,636000,-37000,-37000,673000,10596000,10596000,-3814000,6782000,6782000,6782000,6782000,28054000,28054000,45842000,45842000,47704000,9915000,2534000,131515000,103272000,277508000,-174236000,30490000,30490000,133762000,265277000,24975000,24605000,24006000,24006000,48981000,10090000,234000,10090000,59071000,9851000,215734000,206206000,206206000,265277000,6782000,8940000,2977000,-23321000,-4622000,-5975000,-5975000,-8739000,-45000,-8784000,-19381000,-19381000,-19381000,18900000,0,-6582000,0.24142,0.10129,0.06897,0.03289,0.02557,-0.97051,2.68502,0.28647,0,0.34927,0.34188,5.06377,10.61945,-0.33897,0.45005,0.07176,-0.03043,1.28856,-1.48434,-2.81667
"20","2015_Q1",31.2832786885246,"Up",122605000,-88645000,33960000,-58599000,-19212000,-12481000,-6731000,-24639000,-156000,-40000,-42000,-116000,-24795000,-24795000,10036000,-14759000,-14759000,-14759000,-14759000,8901000,8901000,49735000,49735000,44689000,14849000,7603000,118174000,110661000,288236000,-177575000,25547000,25547000,136208000,254382000,36306000,36150000,24076000,24076000,60382000,8538000,204000,8538000,68920000,-12697000,198159000,185462000,185462000,254382000,-14759000,9886000,18716000,10754000,24597000,-17030000,-17030000,-2718000,0,-26720000,-19153000,-19153000,-19153000,-14753000,0,-31065000,0.27699,-0.20096,-0.12038,-0.07958,-0.05802,2.10482,1.95711,0.37161,0,-0.76562,-0.74871,6.36012,9.62082,-1.61149,0.141,-0.06207,-0.16013,-0.18416,0.60333,0.36126
"21","2015_Q2",38.2177777777778,"Up",136954000,-95557000,41397000,-17603000,-17603000,-10226000,-7377000,23794000,429000,-40000,-40000,469000,24223000,24223000,-8720000,15503000,15503000,15503000,15503000,30800000,30800000,63031000,63031000,29292000,10493000,2518000,133616000,106140000,292321000,-186181000,27887000,27887000,134027000,267643000,36308000,33071000,26697000,26697000,63005000,9191000,125000,9191000,72196000,-15010000,210457000,195447000,195447000,267643000,15503000,8957000,358000,7965000,32783000,-4242000,-4242000,-3178000,-720000,-6642000,21899000,21899000,21899000,32751000,0,45194000,0.30227,0.17374,0.1132,0.07932,0.05792,2.91518,2.12072,0.36939,0,0.82999,0.80579,7.33218,10.46375,2.41958,0.17014,0.09129,0.22085,0.20499,-0.94043,-1.29444
"22","2015_Q3",42.2875,"Up",140873000,-92364000,48509000,-21816000,-21816000,-14859000,-6957000,26693000,580000,-37000,-37000,617000,27273000,27273000,-9713000,17560000,17560000,17560000,17560000,61124000,61124000,54113000,54113000,34189000,11672000,2802000,161098000,109432000,303919000,-194487000,21137000,21137000,130569000,291667000,43708000,41881000,31084000,31084000,74792000,8882000,1e+05,8882000,83674000,-13838000,221831000,207993000,207993000,291667000,17560000,8884000,-391999.999999998,22029000,48081000,-11799000,-11799000,-5983000,25000,-5958000,30324000,30324000,30324000,35577000,0,55520000,0.34435,0.18948,0.12465,0.08443,0.06021,3.16173,2.15395,0.40229,0,0.93914,0.90618,7.5341,11.12378,2.96929,0.31998,0.10856,0.256,0.34072,-1.71808,-2.28989
"23","2015_Q4",39.8503125,"Down",120871000,-86860000,34011000,-16050000,-16050000,-9170000,-6880000,17961000,211000,-36000,-36000,247000,18172000,18172000,-6209000,11963000,11963000,11963000,11963000,60252000,60252000,52982000,52982000,40761000,11762000,4393000,165757000,108866000,304582000,-195716000,18498000,18498000,127364000,293121000,37416000,37159000,33088000,33088000,70504000,8478000,99000,8478000,78982000,-12694000,226833000,214139000,214139000,293121000,11963000,8852000,2147000,-8877000,14085000,-8225000,-8225000,-6732000,0,-6732000,-872000,-872000,-872000,26813000,0,15920000,0.28138,0.1486,0.09897,0.05587,0.04081,1.33077,2.35103,0.36884,0,0.63967,0.61622,6.46309,11.45023,0.85126,0.35997,0.08398,0.07151,0.56274,-2.24712,-3.3546
