"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"34","2018_Q3",45.9347619047619,"Up",128410000,-91811000,36599000,-17231000,-17231000,-9786000,-7445000,19368000,681000,-22000,-22000,703000,20049000,20049000,-4860000,15189000,15189000,15189000,15189000,131711000,131711000,50138000,50138000,24013000,2597000,2597000,208459000,89978000,360554000,-270576000,14321000,14321000,104299000,312758000,30121000,28900000,32239000,32239000,62360000,967000,78000,967000,63327000,-89322000,338753000,249431000,249431000,312758000,15189000,8172000,1043000,11279000,35683000,-954000.000000002,-954000.000000002,-5587000,-98000,-5685000,29044000,29044000,29044000,27540000,0,42725000,0.28502,0.15083,0.11829,0.06089,0.04856,2.81289,3.34283,0.25389,0,0.87025,0.86635,7.35726,14.29116,2.44793,0.32011,0.08297,0.17063,0.36783,-4.78253,-6.80044
"35","2018_Q4",43.9690476190476,"Down",114945000,-86853000,28092000,-16135000,-16135000,-8922000,-7213000,11957000,236000,-92000,-92000,328000,12193000,12193000,-2987000,9206000,9206000,9206000,9206000,137839000,137839000,46810000,46810000,26192000,3582000,3582000,214423000,84413000,353115000,-268702000,17216000,16285000,101629000,316052000,30219000,30219000,31578000,31578000,61797000,99000,99000,99000,61896000,-87751000,341907000,254156000,254156000,316052000,9206000,8173000,-53000,-2743000,14583000,-2519000,-2519000,-5936000,0,-5936000,6128000,6128000,6128000,20130000,0,17855000,0.2444,0.10402,0.08009,0.03622,0.02913,1.9395,3.4698,0.24354,0,0.52732,0.51709,6.58406,14.55808,1.02274,0.34001,0.05955,0.07022,0.6448,-6.84744,-11.52789
"36","2019_Q1",41.7037704918033,"Down",121121000,-87274000,33847000,-16759000,-16769000,-8066000,-8703000,17088000,483000,22000,-189000,461000,17571000,17571000,-5297000,12274000,12274000,12274000,12274000,152818000,38492000,45031000,45031000,31420000,2920000,2920000,232189000,82711000,358756000,-276045000,20632000,17663000,103343000,335532000,36361000,33021000,34830000,34830000,71191000,98999.9999999999,99000.0000000001,98999.9999999999,71290000,-86181000,350423000,264242000,264242000,335532000,12274000,7455000,-322000,4827000,24234000,-5656000,-119915000,-3666000,0,-3666000,-99347000,-99347000,-99347000,24543000,0,29011000,0.27945,0.14108,0.10134,0.04645,0.03658,2.36361,3.26149,0.26979,0,0.70305,0.69554,6.93777,15.13569,1.66174,0.20999,0.0603,0.10975,0.29868,-6.22654,-8.943
"37","2019_Q2",40.9350793650794,"Down",114038000,-81441000,32597000,-16145000,-16145000,-8131000,-8014000,16452000,948000,653000,-26000,295000,17400000,17400000,-4367000,13033000,13033000,13033000,13033000,134918000,35394000,52219000,52219000,36482000,3098000,3098000,226717000,78013000,361276000,-283263000,26981000,24423000,104994000,331711000,31765000,28418000,23802000,23802000,55567000,2215000,2215000,2215000,57782000,-84640000,358569000,273929000,273929000,331711000,13033000,7486000,1952000,-32773000,-10302000,-2711000,12091000,-4887000,-505681.312210705,-4887000,-3098000,-3098000,-3098000,23938000,0,-7179000,0.28584,0.14427,0.11429,0.04758,0.03929,-0.55083,4.08007,0.21094,0,0.74653,0.73542,6.53213,15.69073,-0.41122,0.27993,0.06489,-0.026,0.37497,-5.63614,-8.20071
"38","2019_Q3",36.15265625,"Down",96329000,-74026000,22303000,-14837000,-14837000,-7265000,-7572000,7466000,944000,657000,-25000,287000,8410000,8410000,-2177000,6233000,6233000,6233000,6233000,131782000,32220000,41494000,41494000,41467000,5742000,5742000,220485000,71715000,357771000,-286056000,28717000,26873000,100432000,320917000,22528000,22528000,20448000,20448000,42976000,2101000,2101000,2101000,45077000,-83787000,359627000,275840000,275840000,320917000,6233000,7486000,2400000,-12242000,3876999.99999999,-1165000,-1203000.00000001,-5069000,-779000,-5848000,-3174000.00000001,-3174000.00000001,-3174000.00000001,14952000,0,3722000,0.23153,0.07751,0.06471,0.0226,0.01942,0.59714,5.13042,0.16342,0,0.35669,0.3551,5.51258,15.78538,0.213,0.29008,0.04066,0.01339,0.81325,-8.81367,-17.65095
"39","2019_Q4",35.185,"Down",9.5e+07,-75133000,19867000,-14291000,-14291000,-7465000,-6826000,5576000,798000,522000,-90000,276000,6374000,6374000,-1557000,4817000,4817000,4817000,4817000,137320000,22813000,55988000,55988000,32981000,3636000,3636000,229925000,69565000,362778000,-293213000,29017000,26078000,98582000,328507000,25073000,25073000,23639000,23639000,48712000,2163000,2163000,2163000,50875000,-84325000,361957000,277632000,277632000,328507000,4817000,7486000,484000,2571000,15358000,-5260000,-20205000,-2443000,-121000,-4560000,-9407000,-9407000,-9407000,13062000,0,11930000,0.20913,0.05869,0.05071,0.01735,0.01466,2.47665,4.72009,0.18325,0,0.27666,0.27549,5.45623,15.9455,0.68519,0.14031,0.02595,0.04264,0.50716,-10.51294,-24.62697
"40","2020_Q1",38.1953225806452,"Up",105139000,-80358000,24781000,-14900000,-14846000,-6914000,-7932000,9881000,962000,570000,-51000,392000,10843000,10843000,-2635000,8208000,8208000,8208000,8208000,164908000,35420000,52640000,52640000,28301000,3467000,3467000,249316000,73914000,372482000,-298568000,25731000,20338000,99645000,348961000,30994000,29771000,30250000,30250000,61244000,2259000,2259000,2259000,63503000,-82747000,368205000,285458000,285458000,348961000,8208000,6873000,-876000,26449000,40654000,-11146000,-26127000,-1920000,-1000,-1920000,12607000,12607000,12607000,16754000,0,34692000,0.2357,0.09398,0.07807,0.02875,0.02352,4.22661,4.07086,0.22246,0,0.46898,0.44717,6.00727,16.31006,1.98218,0.1097,0.0352,0.12058,0.23392,-9.8429,-16.6894
"41","2020_Q2",47.5533333333333,"Up",123639000,-87630000,36009000,-15846000,-15846000,-7636000,-8210000,20163000,648000,541000,-25000,107000,20811000,20811000,-5473000,15338000,15338000,15338000,15338000,187554000,37979000,55836000,55836000,18289000,2939000,2939000,264618000,70866000,376117000,-305251000,26915000,23052000,97781000,362399000,32951000,29268000,29541000,29541000,62492000,2088000,2088000,2088000,64580000,-82690000,380509000,297819000,297819000,362399000,15338000,7214000,2884000,5635000,31071000,-4094000,-24181000,-3034000,-1297000,-4331000,2559000,2559000,2559000,27377000,0,34391000,0.29124,0.16308,0.12405,0.0515,0.04232,2.24221,4.23443,0.21684,0,0.87839,0.8656,7.08065,17.05573,1.96953,0.17375,0.06126,0.11467,0.19781,-6.85079,-9.30189
"42","2020_Q3",59.70875,"Up",130264000,-90179000,40085000,-16059000,-16059000,-7287000,-8772000,24026000,673000,367000,-27000,306000,24699000,24699000,-6105000,18594000,18594000,18594000,18594000,226583000,17701000,53653000,53653000,12066000,2637000,2637000,294939000,65545000,376648000,-311103000,29372000,27112000,94917000,389856000,45799000,40110000,30514000,30514000,76313000,1996000,1996000,1996000,78309000,-81312000,392859000,311547000,311547000,389856000,18594000,7215000,2933000,18295000,47037000,-1773000,-61080000,-6235000,0,-6235000,-20278000,-20278000,-20278000,31241000,0,53868000,0.30772,0.18444,0.14274,0.05968,0.04769,2.89706,3.86486,0.25136,0,1.06311,1.04746,7.44786,17.81275,3.07991,0.35649,0.07919,0.1718,0.33532,-7.25274,-9.43074
"43","2020_Q4",54.0228125,"Down",145705000,-94553000,51152000,-18294000,-18294000,-8432000,-9862000,32858000,36000,-2000,-114000,38000,32894000,32894000,-8141000,24753000,24753000,24753000,24753000,133627000,29650000,58220000,58220000,13579000,7548000,7548000,212974000,60425000,378182000,-317757000,37169000,34903000,97594000,310568000,27561000,27561000,39831000,39831000,67392000,1894000,1894000,1894000,69286000,-79614000,320896000,241282000,241282000,310568000,24753000,7215000,1668000,-29765000,3871000,-1999000,102906000,-94828000,0,-94828000,11949000,11949000,11949000,40073000,0,16450000,0.35107,0.22551,0.16988,0.10259,0.0797,0.66457,3.16023,0.28716,0,1.41641,1.39568,8.33752,13.80662,0.9413,5.42624,0.49175,0.06765,3.83097,-3.33459,-4.0668
"44","2021_Q1",58.1898360655738,"Up",169260000,-105065000,64195000,-22094000,-22146000,-9977000,-12169000,42101000,476000,29000,-25000,447000,42577000,42577000,-10864000,31713000,31713000,31713000,31713000,141154000,20147000,57876000,57876000,29077000,6266000,6266000,234373000,70733000,393843000,-323110000,43152000,41622000,113885000,348258000,37078000,37078000,44683000,44683000,81761000,1798000,1798000,1798000,83559000,-77916000,342615000,264699000,264699000,348258000,31713000,5932000,2454000,21728000,61827000,-44501000,-61530999.9999999,-9798999.99999999,0,-9799000.00000001,-9502999.99999999,-9502999.99999999,-9502999.99999999,48033000,0,36124000,0.37927,0.24874,0.18736,0.11981,0.09106,1.13909,2.86656,0.31568,0,1.80602,1.78983,9.63916,15.0743,2.05722,0.558040000000001,0.15577,0.13555,0.308989999999999,-2.93869,-3.35275
"45","2021_Q2",64.2133333333333,"Up",184377000,-111811000,72566000,-20610000,-20610000,-8088000,-12522000,51956000,434000,-17000,-25000,451000,52390000,52390000,-14198000,38192000,38192000,38192000,38192000,146134000,24137000,73165000,73165000,28754000,4195000,4195000,252248000,68820000,399176000,-330356000,43061000,43061000,111881000,364129000,44194000,34934000,28851000,28851000,73045000,2604000,1728000,2604000,75649000,-79336000,367816000,288480000,288480000,364129000,38192000,7501000,5776000,-23699000,27770000,-5505000,-6495000,-12484000,-4801000,-17285000,3990000,3990000,3990000,59457000,0,44451000,0.39357,0.28179,0.20714,0.13239,0.10489,1.16388,3.45332,0.26223,0,2.17499,2.15549,10.50005,16.4286,2.53143,0.71095,0.17409,0.15271,0.32687,-2.45781,-2.81265
"46","2021_Q3",67.38890625,"Up",200072000,-121315000,78757000,-19088000,-19088000,-8449000,-10639000,59669000,597000,-13000,-25000,610000,60266000,60266000,-15882000,44384000,44384000,44384000,44384000,173555000,23561000,76059000,76059000,31987000,4042000,4042000,285643000,67575000,404917000,-337342000,45658000,45658000,113233000,398876000,41375000,38256000,36354000,36354000,77729000,2005000,1681000,2005000,79734000,-77674000,396816000,319142000,319142000,398876000,44384000,7250000,1063000,-4267999.99999999,48429000,-5886000,-33883000,-15122000,0,-15122000,-576000,-576000,-576000,66919000,0,72647000,0.39364,0.29824,0.22184,0.13907,0.11127,1.63678,3.67486,0.24984,0,2.52326,2.50004,11.37421,18.14341,4.13002,0.85969,0.18529,0.22621,0.34071,-2.59351,-2.90863
"47","2021_Q4",63.68015625,"Down",178246000,-113444000,64802000,-18076000,-18076000,-8854753.3487822,-10063114.3691502,46726000,1298000,-103000,-49604.0045400428,1401000,48024000,48024000,-12822000,35202000,35202000,35202000,35202000,192673000,27677000,71861000,71861000,39115000,5210000,5210000,308859000,64541000,408733000,-344192000,46661000,46650000,111202000,420061000,40958000,38414000,39429000,39429000,80387000,1604000,1604000,1604000,81991000,-76045000,414115000,338070000,338070000,420061000,35202000,7250000,1241000,-2888000,40805000,-4091000,-19093000,-17596000,0,-17596000,4116000,4116000,4116000,53976000,0,59819000,0.36355,0.26214,0.19749,0.10413,0.0838,1.69931,3.84215,0.24253,0,2.00052,1.9801,10.12967,19.21242,3.3995,0.99998,0.15544,0.17611,0.49986,-3.56961,-4.12346
"48","2022_Q1",60.8711290322581,"Down",168041000,-104609000,63432000,-18647000,-18774000,-8669679.40377049,-10621045.507641,44785000,1129000,18000,-85484.3665254818,1111000,45914000,45914000,-7793000,38121000,38121000,38121000,38121000,221015000,21044000,57036000,57036000,43850000,6832000,6832000,328733000,73631000,421282000,-347651000,39979000,39443000,113610000,442343000,36400000,36400000,33949000,33949000,70349000,8333000,8333000,8333000,78682000,-74437000,438098000,363661000,363661000,442343000,38121000,4151000,1067000,11996000,55335000,-13091000,-48066000,-13902000,2.3283064365387e-10,-13902000,-6633000,-6633000,-6633000,48936000,0,55634000,0.37748,0.26651,0.22686,0.10483,0.08618,1.45941,4.67289,0.21636,0,2.16101,2.13407,9.52596,20.61532,3.1538,0.78808,0.13985,0.14956,0.36468,-4.51641,-4.93502
"49","2022_Q2",60.306935483871,"Down",166575000,-108467000,58108000,-19381000,-19381000,-8435000,-10946000,38727000,792000,-60000,-91000,852000,39519000,39519000,-9287000,30232000,30232000,30232000,30232000,211576000,41586000,69347000,69347000,46914000,8416000,8416000,336253000,78129000,431439000,-353310000,32096000,32003000,110225000,446478000,39111000,33874000,27066000,27066000,66177000,2348000,2348000,2348000,68525000,-74919000,452872000,377953000,377953000,446478000,30232000,6755000,2110000,-20336000,18761000,-10881000,19100000,-15165000,-2154000,-17319000,20542000,20542000,20542000,45482000,0,23552000,0.34884,0.23249,0.18149,0.07999,0.06771,0.77904,5.08112,0.18131,0,1.71806,1.70051,9.46632,21.47877,1.33844,0.86181,0.11937,0.06193,0.50162,-4.65186,-5.46327
"50","2022_Q3",52.26421875,"Down",140653000,-97099000,43554000,-18364000,-18364000,-8630000,-9734000,25190000,914000,164000,-26000,750000,26104000,26104000,-5347000,20757000,20757000,20757000,20757000,208539000,43539000,56243000,56243000,57145000,12150000,12150000,334077000,75224000,434790000,-359566000,34431000,34140000,109655000,443732000,27306000,27306000,27189000,27189000,54495000,2280000,2280000,2280000,56775000,-74452000,461409000,386957000,386957000,443732000,20757000,6709000,1435000,-15283000,13618000,-3433000,1557000,-12005000,-1217000,-13222000,1953000,1953000,1953000,31899000,0,18530000,0.30966,0.17909,0.14758,0.05364,0.04678,0.89271,6.13042,0.14672,0,1.1796,1.16756,7.9932,21.99046,1.05305,0.68223,0.08417,0.04761,0.57836,-6.53748,-8.27864
