"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","long_term_investments_receivables","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","other_post_retirement_benefits","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",14.8298412698413,"Up",5.807e+09,-4.464e+09,1.343e+09,-1.154e+09,-7.38e+08,-3.71e+08,-4.5e+07,1.89e+08,-1.49e+08,-1.49e+08,4e+07,-2.15e+08,-1.75e+08,2.4e+07,-2e+06,-1.53e+08,0,0,-1.53e+08,-1.62e+08,-1.62e+08,1.749e+09,1.749e+09,2.867e+09,2.145e+09,7.88e+08,4.54e+08,7.549e+09,1.2972e+10,1.2972e+10,1.077e+09,3.544e+09,2.267e+09,1.277e+09,1.7593e+10,2.5142e+10,3.725e+09,2.217e+09,1.508e+09,3.58e+08,4.083e+09,8.597e+09,6.41e+09,3.29e+09,2.766e+09,5.24e+08,2.392e+09,7.28e+08,1.5007e+10,1.909e+10,6.187e+09,4.38e+08,5.749e+09,-2.7e+07,1.774e+09,-2.115e+09,5.819e+09,2.33e+08,6.052e+09,2.5142e+10,-1.53e+08,21175952569.6811,3.71e+08,2.46e+08,-3.05e+08,1.59e+08,-1.2e+08,-3.1e+07,-1.51e+08,-1.1e+07,-8.2e+07,-2.6e+07,-3e+07,-1.49e+08,-1.41e+08,-1.41e+08,-2e+06,-1.43e+08,5.6e+08,8.955e+09,1.11e+08,0.23127,0.03255,-0.0279,-0.02677,-0.00644,-0.68519,1.84889,3.15433,0.35618,-0.35776,-0.35776,12.82428,12.85079,0.24513,0.02429,34.2756937459236,-0.00705,0.00518,-0.0679,12.86786,38.12698
"2","2010_Q3",13.54296875,"Down",6.121e+09,-4.49e+09,1.631e+09,-1.212e+09,-8.02e+08,-3.63e+08,-4.7e+07,4.19e+08,-1.57e+08,-1.57e+08,2.62e+08,-1.44e+08,1.18e+08,-2.5e+07,7e+06,1e+08,0,0,1e+08,9.3e+07,9.3e+07,1.871e+09,1.871e+09,3.033e+09,2.212e+09,6.13e+08,2.85e+08,7.729e+09,1.2737e+10,1.2737e+10,1.101e+09,3.48e+09,2.249e+09,1.231e+09,1.7318e+10,2.5047e+10,3.809e+09,2.307e+09,1.502e+09,3.57e+08,4.166e+09,8.574e+09,6.366e+09,3.288e+09,2.772e+09,5.16e+08,2.355e+09,7.23e+08,1.494e+10,1.9106e+10,6.209e+09,4.38e+08,5.771e+09,-2.7e+07,1.812e+09,-2.301e+09,5.693e+09,2.48e+08,5.941e+09,2.5047e+10,1e+08,11352371541.8087,3.63e+08,2.09e+08,-31000000.0000001,6.41e+08,-1.53e+08,-1e+06,-3.09e+08,-5.5e+07,-6.1e+07,0,-2.7e+07,-1.43e+08,1.89e+08,1.89e+08,-6.7e+07,1.22e+08,7.82e+08,8.931e+09,6.23e+08,0.26646,0.06845,0.01519,0.01565,0.00371,6.69892,1.85526,3.21596,0.35657,0.205,0.205,13.49255,12.54911,1.37328,0.12124,18.2137033311593,0.00697,0.02933,0.5914,9.02813,16.84964
"3","2010_Q4",15.0921875,"Up",6.72e+09,-4.758e+09,1.962e+09,-1.263e+09,-8.43e+08,-3.62e+08,-5.8e+07,6.99e+08,-1.52e+08,-1.52e+08,5.47e+08,0,5.47e+08,-1.7e+08,2.2e+07,3.99e+08,0,0,3.99e+08,3.97e+08,3.97e+08,1.429e+09,1.429e+09,3.31e+09,2.336e+09,7.33e+08,4.03e+08,7.808e+09,1.276e+10,1.276e+10,1.065e+09,3.456e+09,2.285e+09,1.171e+09,1.7281e+10,2.5089e+10,4.206e+09,2.556e+09,1.65e+09,3.12e+08,4.518e+09,8.428e+09,5.505e+09,2.124e+09,1.607e+09,5.17e+08,2.759e+09,6.22e+08,1.3933e+10,1.8451e+10,6.236e+09,4.38e+08,5.798e+09,-2.7e+07,2.154e+09,-1.975e+09,6.388e+09,2.5e+08,6.638e+09,2.5089e+10,3.99e+08,5133685770.90433,3.62e+08,-6.18e+08,-3.56e+08,-2.13e+08,-1.84e+08,3e+07,-1.51e+08,-5.4e+07,-1.85e+08,0,1.13e+08,-1.26e+08,-4.9e+08,-4.9e+08,4.8e+07,-4.42e+08,1.061e+09,8.74e+09,6.91e+08,0.29196,0.10402,0.05908,0.05981,0.01582,1.74055,1.7282,2.7796,0.34836,0.87409,0.84864,14.79571,14.06473,1.5214,0.11889,9.45513874918472,0.0216,0.03309,0.13602,6.89067,10.45923
"4","2011_Q1",16.9875806451613,"Up",6.531e+09,-4.77e+09,1.761e+09,-1.267e+09,-8.65e+08,-3.6e+08,-4.2e+07,4.94e+08,-1.5e+08,-1.5e+08,3.44e+08,-1.2e+07,3.32e+08,-5e+07,8.4e+07,3.66e+08,-1.86264514923096e-09,-1.86264514923096e-09,3.66e+08,3.63e+08,3.63e+08,2.073e+09,2.073e+09,3.039e+09,2.347e+09,5.69e+08,2.3e+08,8.028e+09,1.2749e+10,1.2749e+10,1.092e+09,3.499e+09,2.308e+09,1.191e+09,1.734e+10,2.5368e+10,4.19e+09,2.556e+09,1.634e+09,3.13e+08,4.503e+09,8.358e+09,5.423e+09,1.981e+09,1.482e+09,4.99e+08,2.793e+09,6.49e+08,1.3781e+10,1.8284e+10,6.268e+09,4.39e+08,5.829e+09,-2.8e+07,2.416e+09,-1.822e+09,6.834e+09,2.5e+08,7.084e+09,2.5368e+10,3.66e+08,1731895256.96811,3.6e+08,8.4e+07,2.34e+08,1.044e+09,-3.18e+08,9.5e+07,-2.23e+08,-5.5e+07,-5.5e+07,0,-6e+07,-1.7e+08,6.51e+08,6.51e+08,-7000000.00000001,6.44e+08,8.54e+08,8.671e+09,8.2e+08,0.26964,0.07564,0.05558,0.05124,0.01431,2.25895,1.78281,2.58103,0.34181,0.79812,0.7895,14.35955,15.02575,1.80291,0.12093,6,0.01974,0.03872,0.15152,7.726,13.35628
"5","2011_Q2",18.2898412698413,"Up",6.387e+09,-4.625e+09,1.762e+09,-1.205e+09,-8.25e+08,-3.4e+08,-4e+07,5.57e+08,-1.36e+08,-1.36e+08,4.21e+08,-5.3e+07,3.68e+08,-1.23e+08,6.5e+07,3.1e+08,4.9e+07,4.9e+07,3.59e+08,3.54e+08,3.54e+08,2.049e+09,2.049e+09,3.428e+09,2.39e+09,6.21e+08,2.78e+08,8.488e+09,1.2715e+10,1.2715e+10,1.095e+09,3.297e+09,2.32e+09,9.77e+08,1.7107e+10,2.5595e+10,4.122e+09,2.541e+09,1.581e+09,3.75e+08,4.497e+09,8.156e+09,5.367e+09,1.954e+09,1.463e+09,4.91e+08,2.805e+09,6.08e+08,1.3523e+10,1.802e+10,6.3e+09,4.39e+08,5.861e+09,-4.4e+07,2.675e+09,-1.611e+09,7.32e+09,2.55e+08,7.575e+09,2.5595e+10,3.1e+08,3.59e+08,3.4e+08,9.1e+07,-2.27e+08,5.14e+08,-1.81e+08,-1.76e+08,-3.07e+08,-8.2e+07,-1.03e+08,-2.9e+07,-6.6e+07,-2.8e+08,-7.3e+07,-7.3e+07,4.9e+07,-2.4e+07,8.97e+08,8.531e+09,6.12e+08,0.27587,0.08721,0.05543,0.04673,0.01383,1.72881,1.88748,2.37888,0.33331,0.77924,0.77277,14.05926,16.11301,1.34715,0.1805,5.84828708360509,0.0203,0.0285,0.23164,7.22631,11.63734
"6","2011_Q3",16.7796875,"Down",6.648e+09,-4.88e+09,1.768e+09,-1.219e+09,-8.45e+08,-3.36e+08,-3.8e+07,5.49e+08,-1.37e+08,-1.37e+08,4.12e+08,-1.19e+08,2.93e+08,-1.18e+08,5.2e+07,2.27e+08,0,0,2.27e+08,2.19e+08,2.19e+08,2.399e+09,2.399e+09,3.961e+09,2.405e+09,6.51e+08,3.17e+08,9.416e+09,1.2617e+10,1.2617e+10,6.84e+08,3.327e+09,2.344e+09,9.83e+08,1.6628e+10,2.6044e+10,4.211e+09,2.575e+09,1.636e+09,6.1e+08,4.821e+09,7.875e+09,5.379e+09,1.934e+09,1.455e+09,4.79e+08,2.824e+09,6.21e+08,1.3254e+10,1.8075e+10,6.331e+09,4.39e+08,5.892e+09,-4.8e+07,2.785e+09,-1.362e+09,7.706e+09,2.63e+08,7.969e+09,2.6044e+10,2.27e+08,2.27e+08,3.36e+08,1.45e+08,-6e+07,6.48e+08,-2.29e+08,-1.6e+07,-2.45e+08,-1.15e+08,1.9e+07,-1e+06,1.6e+07,-8.1e+07,3.22e+08,3.22e+08,2.8e+07,3.5e+08,8.85e+08,8.485e+09,7.14e+08,0.26594,0.08258,0.03294,0.02748,0.00841,3.26027,1.95312,2.26816,0.32579,0.48387,0.47895,14.68841,17.02601,1.57755,0.25409,7,0.0153,0.0327,0.52511,6.87684,11.08561
"7","2011_Q4",16.9501587301587,"Up",6.632e+09,-4.793e+09,1.839e+09,-1.197e+09,-8.29e+08,-3.35e+08,-3.3e+07,6.42e+08,-1.3e+08,-1.3e+08,5.12e+08,-1.31e+08,3.81e+08,8.4e+07,0,4.65e+08,0,0,4.65e+08,4.68e+08,4.68e+08,2.722e+09,2.722e+09,3.83e+09,2.326e+09,1.057e+09,2.79e+08,9.935e+09,1.2075e+10,1.2075e+10,7.06e+08,3.118e+09,2.243e+09,8.75e+08,1.5899e+10,2.5834e+10,4.055e+09,2.494e+09,1.561e+09,6.44e+08,4.747e+09,7.801e+09,5.624e+09,1.898e+09,1.439e+09,4.59e+08,2.715e+09,1.011e+09,1.3425e+10,1.8172e+10,6.34e+09,4.39e+08,5.901e+09,-4.9e+07,3.188e+09,-2.077e+09,7.402e+09,2.6e+08,7.662e+09,2.5834e+10,4.65e+08,4.65e+08,3.35e+08,2.64e+08,-1.88e+08,8.76e+08,-3.15e+08,-2.3e+07,-3.41e+08,-1.15e+08,-2.8e+07,0,1.4e+07,-1.29e+08,4.06e+08,4.06e+08,-8.3e+07,3.23e+08,9.77e+08,8.445e+09,3.9e+08,0.27729,0.0968,0.07057,0.06108,0.01812,0.83333,2.0929,2.3717,0.32689,1.01229,0.99973,14.34514,16.01067,0.84358,0.24875,7,0.02683,0.01795,0.24573,5.85773,8.91433
"8","2012_Q1",20.8212903225806,"Up",6.367e+09,-4.662e+09,1.705e+09,-1.134e+09,-7.78e+08,-3.21e+08,-3.5e+07,5.71e+08,-1.38e+08,-1.38e+08,4.33e+08,-1.7e+07,4.16e+08,-1.54e+08,2.3e+07,2.85e+08,0,0,2.85e+08,2.81e+08,2.81e+08,3.994e+09,3.994e+09,3.486e+09,2.32e+09,6.56e+08,1.64e+08,1.0456e+10,1.2477e+10,1.2477e+10,6.57e+08,3.428e+09,2.346e+09,1.082e+09,1.6562e+10,2.7018e+10,3.976e+09,2.5e+09,1.476e+09,7.19e+08,4.738e+09,9.189e+09,6.106e+09,2.851e+09,2.375e+09,4.76e+08,2.497e+09,7.58e+08,1.5295e+10,2.0033e+10,6.347e+09,4.39e+08,5.908e+09,-5.2e+07,3.355e+09,-3.005e+09,6.645e+09,3.4e+08,6.985e+09,2.7018e+10,2.85e+08,2.85e+08,3.21e+08,6.1e+07,-3e+07,6.37e+08,-4.34e+08,2.16e+08,-5.94e+08,-1.15e+08,1.361e+09,-9.31322574615479e-10,-1.4e+07,1.232e+09,1.275e+09,1.275e+09,-2999999.99999999,1.272e+09,8.92e+08,9.908e+09,5.82e+08,0.26779,0.08968,0.04413,0.04023,0.0104,2.07117,2.20684,2.868,0.36672,0.61568,0.60767,13.95038,14.55949,1.27519,0.25197,4,0.01722,0.02531,0.40925,6.63004,10.35727
"9","2012_Q2",19.5347619047619,"Down",6.655e+09,-4.984e+09,1.671e+09,-1.263e+09,-8.6e+08,-3.62e+08,-4.1e+07,4.08e+08,-1.68e+08,-1.68e+08,2.4e+08,-2.7e+07,2.13e+08,-7e+07,4.4e+07,1.87e+08,5e+06,5e+06,1.92e+08,1.88e+08,1.88e+08,1.288e+09,1.288e+09,3.802e+09,2.748e+09,1.374e+09,2.38e+08,9.212e+09,1.584e+10,1.584e+10,8.69e+08,7.928e+09,4.218e+09,3.71e+09,2.4637e+10,3.3849e+10,4.243e+09,2.777e+09,1.466e+09,7.38e+08,5.033e+09,1.3045e+10,8.278e+09,3.149e+09,2.645e+09,5.04e+08,4.025e+09,1.104e+09,2.1323e+10,2.6356e+10,6.386e+09,4.39e+08,5.947e+09,-4.6e+07,3.423e+09,-2.702e+09,7.061e+09,4.32e+08,7.493e+09,3.3849e+10,1.87e+08,1.92e+08,3.62e+08,1.5e+08,-6.6e+07,5.81e+08,-2.85e+08,-9.1e+07,-4.154e+09,-1.15e+08,1.078e+09,-1.4e+07,-1.01e+08,8.48e+08,-2.725e+09,-2.725e+09,1.9e+07,-2.706e+09,7.7e+08,1.3783e+10,4.89e+08,0.25109,0.06131,0.02825,0.02509,0.00555,2.60106,1.83032,3.51742,0.40719,0.41011,0.40591,14.51758,15.40326,1.06673,0.25087,3,0.01025,0.01655,0.6117,16.22727,30.625
"10","2012_Q3",21.2442857142857,"Up",7.077e+09,-5.27e+09,1.807e+09,-1.332e+09,-9.22e+08,-3.66e+08,-4.4e+07,4.75e+08,-1.72e+08,-1.72e+08,3.03e+08,-9.9e+07,2.04e+08,-5.7e+07,-2.6e+07,1.21e+08,1.6e+07,1.6e+07,1.37e+08,1.34e+08,1.34e+08,1.228e+09,1.228e+09,3.601e+09,2.65e+09,1.802e+09,2.26e+08,9.281e+09,1.4573e+10,1.4573e+10,7.59e+08,8.475e+09,4.23e+09,4.245e+09,2.3807e+10,3.3088e+10,4.331e+09,2.696e+09,1.635e+09,8.38e+08,5.227e+09,1.2618e+10,8.149e+09,3.087e+09,2.6e+09,4.87e+08,3.905e+09,1.157e+09,2.0767e+10,2.5994e+10,6.405e+09,4.39e+08,5.966e+09,-4.6e+07,3.44e+09,-3.124e+09,6.675e+09,4.19e+08,7.094e+09,3.3088e+10,1.21e+08,1.37e+08,3.66e+08,1.78e+08,1.13e+08,7.94e+08,-4.2e+08,-2e+06,-4.26e+08,-1.14e+08,-2.94e+08,0,1.8e+07,-3.9e+08,-21999999.999999,-21999999.999999,-3.8e+07,-59999999.9999995,8.41e+08,1.3456e+10,5.91e+08,0.25533,0.06712,0.01893,0.01889,0.00405,4.41045,1.77559,3.66422,0.40667,0.29184,0.2884,15.4133,14.53777,1.28716,0.24829,3,0.00864,0.02059,0.85075,14.53983,25.74316
