"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",1.5409375,"Down",20565473,-10935838,9629635,-8804192,-8804192,825443,-13994,-6000,-7994,811449,811449,467660,467660,467660,467660,34249287.3322042,34249287.3322045,19837112.2906262,19837112.2906262,74517528.0635949,14665688.7861179,3551836.32793019,143269616.472543,8062928.16261376,58573281.3824435,36206912.5123259,1500571.02719896,66636209.549315,209905826.021858,18247158.2746238,11730553.0639089,6516605.21071653,1175788.7917697,-755916.292515124,1830740.05772702,19421330.1356354,3778979.08848994,3778979.08848994,18367974.9664326,37789305.102068,199973801.944136,-27857281.0251781,172116520.91979,172116520.91979,209905826.021858,467660,485683,831318,-3641217,-1856556,-438774,-1586986,78921,2098901,-1344641,-1344641,-1344641,1311126,0,0.46824,0.04014,0.02274,163.327281700115,133.255396814964,10.2185645168489,0.186571888885858,0.0745440673694923,0.03467,0.03405,1.52452,12.7470133669887,147.562096176815,19.1473580664376,-43.828182991655
"2","2011_Q1",1.43483870967742,"Down",5375000,-3684000,1691000,-3145000,-3145000,-1454000,-11000,-23000,12000,-1465000,-1465000,-1128000,-1128000,-1128000,-1128000,5050000,5050000,3900000,3900000,11942000,2868000,703000,23760000,1357000,9675000,5637000,262000,11032000,34792000,3750000,2753000,997000,266000,0,266000,4016000,386000,386000,2386000,6402000,32509000,-4119000,28390000,28390000,34792000,-1128000,325000,-233000,-211000,-1247000,-26000,-26000,8000,8000,-1265000,-1265000,-1265000,-1129000,2e+06,0.3146,-0.27051,-0.20986,-0.03973,-0.03242,5.91633,0.2255,0.05748,-0.08368,-0.08368,0.39875,2.10615,-0.03665,2.70151,2.09766
"3","2011_Q2",1.10492063492063,"Down",6714000,-4113000,2601000,-3248000,-3248000,-647000,-41000,-35000,-6000,-688000,-688000,-688000,-688000,-688000,-688000,-3353551.44406808,-3353551.44406818,-1248542.09687539,-1248542.09687539,-6794508.02119831,-998025.928705975,-217297.609310062,-12394627.4908477,-677281.554204587,-5043952.62748115,-3383160.33744198,-119146.842399655,-5721234.183105,-18115861.6739527,-1013288.75820792,-384422.187969634,-628866.570238844,-63810.5972565677,385099.775509074,-185877.685909006,-1076560.37854513,-499839.362829979,-499839.362829979,-1996554.65547753,-3073115.03402266,-17855533.9813788,2812787.34172603,-15042746.6399301,-15042746.6399301,-18115861.6739527,-688000,351000,97000,563000,323000,-118000,-118000,0,3e+05,505000,505000,505000,-296000,0,0.3874,-0.09637,-0.10247,-49.1748789000383,-40.1204389383213,5.51725932771703,0.237507703704714,0.0619653108768359,-0.05093,-0.05093,0.49701,-1.11120362232958,-44.4288195589382,-1.74871018881255,10.1694434972183
"4","2011_Q3",0.8834375,"Down",4671000,-3015000,1656000,-2484000,-2484000,-828000,-27000,-27000,0,-855000,-855000,-855000,-855000,-855000,-855000,4233.99999999627,4234.00000000373,2528.00000000373,2528.00000000373,12991.9999999925,2778,613,22532.0000000149,1332.99999999907,9153,5637,239,10486,33018,2916.00000000186,1927,989,286,506333.034012099,286.000000000233,3202,578,578,2877.99999999814,6080.00000000373,32600,-5662,26938.0000000298,26938.0000000298,33018,-855000,353000,66000,-822000,-1258000,-63000,-63000.0000000001,0,-5.82076609134674e-11,-1321000,-1321000,-1321000,-475000,2300,0.35453,-0.17726,-0.18304,-31.73955,-25.89497,7.03685,0.2257,0.06966,-0.06329,-0.06329,0.34577,0.00199000000000149,-28.67588,0.00406999999999957,0.0023399999999989
"5","2011_Q4",0.831904761904762,"Down",6976000,-3466000,3510000,-2541000,-2541000,969000,-29000,-27000,-2000,940000,940000,915000,915000,915000,915000,4899000,4899000,3267000,3267000,12220000,2670000,505000,23056000,1245000,8892000,5637000,228000,10137000,33193000,2591000,1474000,1117000,297000,470649.775509074,297000,2888000,612000,612000,2412000,5300000,32640000,-4747000,27893000,27893000,33193000,915000,355000,106000,-194000,1182000,-17000,-17000,0,-5e+05,665000,665000,665000,1324000,1800000,0.50315,0.1389,0.13116,0.0328,0.02757,7.98338,0.19001,0.05423,0.06768,0.06768,0.51602,2.06328,0.03019,-2.34063,-3.19814
"6","2012_Q1",1.00983870967742,"Up",5743000,-3378000,2365000,-2512000,-2512000,-147000,-16000,-17000,1000,-163000,-163000,135000,135000,135000,135000,2693000,2693000,4155000,4155000,12148000,3984000,526000,22980000,1158000,7709000,4712000,219000,8867000,31847000,2881000,1756000,1125000,632000,385000,247000,3513000,265000,265000,265000,3778000,32681000,-4612000,28069000,28069000,31847000,135000,353000,-336000,-541000,-389000,-17000,-17000,9.09494701772928e-13,-1800000,-2206000,-2206000,-2206000,206000,0,0.41181,-0.0256000000000001,0.02351,0.00481000000000093,0.0042399999999986,6.54142,0.1346,-6.93889390390723e-18,0.00999,0.00999,0.4248,2.0762,0.00475999999999994,-13.07282,18.31973
"7","2012_Q2",1.22238095238095,"Up",4369000,-2702000,1667000,-2340000,-2340000,-673000,-5000,0,-5000,-678000,-678000,-401000,-401000,-401000,-401000,3471000,3471000,2119000,2119000,12533000,4011000,553000,22134000,1081000,7758000,4991000,210000,8839000,30973000,2364000,1396000,968000,639000,384000,255000,3003000,267000,267000,267000,3270000,32716000,-5013000,27703000,27703000,30973000,-401000,317000,-205000,1066000,777000,-19000,-19000,20000,20000,778000,778000,778000,-356000,0,0.38155,-0.15404,-0.09178,-0.01447,-0.01295,7.37063,0.11804,0,-0.02963,-0.02963,0.32282,2.04693,-0.01434,9.75,5.1575
"8","2012_Q3",1.37492063492063,"Up",9327000,-4687000,4640000,-2624000,-2624000,2016000,-5000,-3000,-2000,2011000,2011000,1246000,1246000,1246000,1246000,4402000,4402000,5551000,5551000,11255000,3948000,982000,25156000,1096000,7250000,4712000,201000,8346000,33502000,3561000,2162000,1399000,801000,558000,243000,4415000,133000,133000,133000,4548000,32721000,-3767000,28954000,28954000,33502000,1246000,324000,685000,-1207000,1048000,-119000,-119000,2000,2000,931000,931000,931000,2340000,52999.9999999999,0.49748,0.21615,0.13359,0.0430299999999999,0.03719,5.69785,0.15708,0.00158,0.09199,0.09197,0.68863,2.13773,0.0427600000000002,-1.85855,-2.15724
"9","2012_Q4",1.34451612903226,"Down",8113000,-4084000,4029000,-2634000,-2634000,1395000,-3000,0,-3000,1392000,1392000,884000,884000,884000,884000,6232000,6232000,4609000,4609000,12316000,3457000,937000,26614000,1193000,7327000,4712000,338000,8520000,35134000,4328000,2551000,1777000,816000,593000,223000,5179000,112000,112000,112000,5291000,32726000,-2883000,29843000,29843000,35134000,884000,334000,458000,525000,2201000,-211000,-371000,0,0,1830000,1830000,1830000,1729000,35000,0.49661,0.17195,0.10896,0.02962,0.02516,5.13883,0.17729,0.001,0.06526,0.06524,0.59894,2.20316,0.02948,-3.58415,-4.44229
"10","2013_Q1",1.4985,"Up",5767000,-3038000,2729000,-2574000,-2574000,155000,1000,0,1000,156000,156000,336000,336000,336000,336000,6581000,6581000,2062000,2062000,13345000,5344000,915000,27332000,1113000,5515000,2978000,330000,6628000,33960000,2783000,1132000,1651000,894000,627000,267000,3695000,81000,81000,81000,3776000,32731000,-2547000,30184000,30184000,33960000,336000,380000,-65999.9999999999,-72000,578000,-26000,-230000,1000,1000.00000000001,349000,349000,349000,535000,18000,0.47321,0.02688,0.05826,0.01113,0.00989000000000001,7.39702,0.1251,0.00053,0.02481,0.02481,0.42579,2.22855,0.0111,-12.26729,-42.34194
