"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","assets_held_for_sale","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q3",24.2715625,"Down",5806758000,-4772721000,1034037000,-922240000,-922240000,111797000,-70245000,-70245000,41552000,-55509000,-13957000,565000,-13392000,-13392000,-13392000,-13392000,115406000,115406000,1271192000,1271192000,1182495000,259983000,69836000,21923000,168224000,2829076000,1754684000,4411875000,3898096000,450125000,63654000,6166559000,8995635000,1763824000,1365131000,398693000,73077000,2013725000,3798189000,835860000,455198000,380662000,4634049000,6647774000,2784817000,-346335000,-90621000,2347861000,2347861000,8995635000,-13392000,105139000,49679000,22522000,163948000,-23117000,-79737000,-954520000,0,0,843607000,-110913000,-26702000,-26702000,-26702000,216936000,3871266000,215776000,0.17807,0.01925,-0.00231,-0.0057,-0.00149,-16.11231,1.4049,2.83142,0.43035,-0.07046,-0.07135,30.54947,12.35214,1.1352,-0.0019,0.03058,17.31322,33.59536
"2","2016_Q4",24.0066666666667,"Down",5840963000,-4808426000,1032537000,-902785000,-902785000,129752000,-48955000,-48955000,80797000,-26145000,54652000,78359000,133011000,133011000,133011000,133011000,149976000,149976000,1346535000,1346535000,1218765000,256724000,68040000,24685000,163999000,2.972e+09,1735495000,4400796000,3899514000,410036000,63324000,6136291000,9108291000,1836809000,1422492000,414317000,75230000,2088050000,3756120000,770742000,395822000,374920000,4526862000,6614912000,2789288000,-213324000,-82585000,2493379000,2493379000,9108291000,133011000,106038000,-60845000,-39935000,138269000,-36127000,-520751000,-107345000,0,0,524397000,417052000,34570000,34570000,34570000,235790000,3831350000,81369000,0.17678,0.02221,0.02277,0.05335,0.0146,0.611749999999997,1.42334,2.65299,0.42064,0.60293,0.57526,26.47656,11.30226,0.36884,0.01875,0.01147,15.61294,28.37239
"3","2017_Q1",27.1159677419355,"Up",5678130000,-4651472000,1026658000,-891661000,-891661000,134997000,-44241000,-39241000,90756000,-14569000,76187000,883000,77070000,77070000,77070000,77070000,131090000,131090000,1226032000,1226032000,1223037000,209012000,72650000,21039000,115323000,2789171000,1767611000,4387668000,3908484000,386881000,57898000,6155279000,8944450000,1750611000,1294796000,455815000,75962000,1969285000,3705751000,731764000,380835000,350929000,4437515000,6406800000,2793473000,-136460000,-119363000,2537650000,2537650000,8944450000,77070000,107015000,8988000,-83755000,109318000,-52795000,-80575000,-825054000,3150000,3150000,767987000,-53917000,-25174000,-25174000,-25174000,242012000,3781713000,104579000,0.18081,0.02377,0.01357,0.03037,0.00862,1.35694,1.41634,2.5247,0.4228,0.34919,0.3415,25.72645,11.49758,0.47383,0.01093,0.01483,15.08447,27.04225
"4","2017_Q2",28.451746031746,"Up",5788425000,-4797117000,991308000,-913591000,-913591000,77717000,-41206000,-41886000,36511000,-1873000,34638000,-7822000,26816000,26816000,26816000,26816000,151817000,151817000,1371503000,1371503000,1197984000,272367000,87514000,21039000,163814000,2993671000,1789437000,4394488000,3922360000,369122000,68470000,6183925000,9177596000,1840655000,1473026000,367629000,82234000,2095207000,3772270000,735737000,393663000,342074000,4508007000,6603214000,2802732000,-109644000,-118706000,2574382000,2574382000,9177596000,26816000,107758000,21339000,-34311000,121602000,-69401000,-131902000,-548041000,10346000,10346000,568765000,31070000,20770000,20770000,20770000,185475000,3854504000,89585000,0.17126,0.01343,0.00463,0.01042,0.00292,3.34073,1.42882,2.56497,0.41999,0.12114,0.11849,26.1489,11.62963,0.4047,0.00374,0.0125,19.96327,47.64321
"5","2017_Q3",27.3925396825397,"Down",6158654000,-5104605000,1054049000,-926451000,-926451000,127598000,-42323000,-41003000,85275000,-704000,84571000,-19113000,65458000,65458000,65458000,65458000,149972000,149972000,1366470000,1366470000,1236167000,268914000,80754000,21638000,166522000,3021523000,1786657000,4399916000,3957166000,363237000,48529000,6186573000,9208096000,1947382000,1526190000,421192000,103903000,2213066000,3623397000,738175000,404444000,333731000,4361572000,6574638000,2794470000,-44186000,-116826000,2633458000,2633458000,9208096000,65458000,106034000,16401000,58977000,246870000,-36887000,-87055000,-686890000,8327000,8327000,516886000,-161677000,-1862000,-1862000,-1862000,233632000,3727300000,274835000,0.17115,0.02072,0.01063,0.02486,0.00711,4.19865,1.36531,2.49658,0.40479,0.29386,0.28863,27.64778,11.82227,1.2338,0.00922,0.03871,15.31181,28.03593
"6","2017_Q4",28.3215873015873,"Up",6204194000,-5105632000,1098562000,-908641000,-908641000,189921000,-42400000,-43210000,147521000,-702000,146819000,-51268000,95551000,95551000,95551000,95551000,147362000,147362000,1410694000,1410694000,1304154000,271961000,73520000,21538000,176903000,3134171000,1794313000,4429750000,3967344000,373717000,57738000,6224063000,9358234000,1966171000,1519309000,446862000,106052000,2246250000,3596647000,770153000,420106000,350047000,4366800000,6613050000,2807141000,51365000,-113322000,2745184000,2745184000,9358234000,95551000,80893000,25215000,-63699000,137960000,-54336000,-102351000,-635940000,8308000,8308000,589436000,-38196000,-2587000,-2587000,-2587000,270814000,3702699000,204047000,0.17707,0.03061,0.0154,0.03481,0.01021,2.13548,1.39529,2.40896,0.39566,0.42693,0.42305,27.72112,12.26583,0.91171,0.01324,0.02827,13.12834,18.72008
"7","2018_Q1",32.6849180327869,"Up",5995727000,-4921646000,1074081000,-882317000,-882317000,191764000,-58071000,-43901000,133693000,4279000,137972000,118203000,256175000,256175000,256175000,256175000,1.19e+08,1.19e+08,1.302e+09,1.302e+09,1.208e+09,1.9e+08,8e+07,5e+06,1.05e+08,2.819e+09,1.801e+09,4.417e+09,3.967e+09,3.64e+08,6.5e+07,6.218e+09,9.037e+09,1.74e+09,1.289e+09,4.51e+08,2.63e+08,2.003e+09,3.648e+09,6.35e+08,2.63e+08,3.72e+08,4.283e+09,6.286e+09,2.722e+09,1.24e+08,-9.5e+07,2.751e+09,2.751e+09,9.037e+09,256175000,83315000,-142955000,46033000,242568000,-35376000,-34692000,-802129000,-272981000,7019000,838913000,-236197000,-28321000,-28321000,-28321000,275079000,3.911e+09,167533000,0.17914,0.03198,0.04273,0.09312,0.02835,0.65398,1.40739,2.28499,0.43278,1.15599,1.14528,27.05573,12.41389,0.75599,0.03511,0.02296,13.78513,19.77431
"8","2018_Q2",35.39296875,"Up",5.823e+09,-4.831e+09,9.92e+08,-8.87e+08,-8.87e+08,1.05e+08,-4e+07,-4.3e+07,6.5e+07,-2e+06,6.3e+07,4e+06,6.7e+07,6.7e+07,6.7e+07,6.7e+07,85286000,85286000,1370804000,1370804000,1207080000,267942000,90229000,5178000,172535000,2931112000,1827588000,4415074000,3967322000,353751000,74292000,6242662000,9173774000,1922456000,1542624000,379832000,120737000,2218225000,3509757000,599905000,291766000,308139000,4109662000,6327887000,2741168000,190831000,-86112000,2845887000,2845887000,9173774000,6.7e+07,8.1e+07,3.8e+07,6000000.00000001,1.92e+08,-5.6e+07,-5.7e+07,-1.042e+09,11000000.0000001,1.1e+07,8.63e+08,-1.68e+08,-3.3e+07,-3.3e+07,-3.3e+07,1.86e+08,3630494000,1.32e+08,0.17036,0.01803,0.01151,0.02354,0.0073,1.97015,1.32138,2.22352,0.39575,0.31151,0.30845,27.07362,13.23175,0.61372,0.00947,0.01865,19.06026,33.76389
"9","2018_Q3",34.5742857142857,"Down",6158012000,-5044232000,1113780000,-909762000,-909762000,204018000,-44570000,-47845000,159448000,835000,160283000,-34433000,125850000,125850000,125850000,125850000,100203000,100203000,1338894000,1338894000,1208250000,265602000,95885000,5178000,164539000,2912949000,1822597000,4399709000,3966863000,343884000,77175000,6222306000,9135255000,1851187000,1454172000,397015000,101458000,2099865000,3497847000,517571000,305213000,212358000,4015418000,6115283000,2760845000,316364000,-57237000,3019972000,3019972000,9135255000,125850000,84420000,30577000,-122193000,118654000,-59272000,-58571000,-1340384000,14721000,14721000,1279945000,-45718000,14365000,14365000,14365000,288438000,3599305000,141406000,0.18087,0.03313,0.02044,0.04167,0.01378,1.12361,1.38721,2.02495,0.394,0.58311,0.5779,28.53216,13.99255,0.65518,0.01763,0.01981,12.13121,17.15095
"10","2018_Q4",30.8431746031746,"Down",6152784000,-5044449000,1108335000,-929487000,-929487000,178848000,-38671000,-41843000,140177000,360000,140537000,-26251000,114286000,114286000,114286000,114286000,88082000,88082000,1390462000,1390462000,1300585000,293703000,99737000,7817000,186149000,3072832000,1810231000,4390839000,3966863000,334017000,83302000,6201070000,9273902000,1934973000,1520871000,414102000,100398000,2208937000,3410237000,508003000,311971000,196032000,3918240000,6127177000,2771323000,430650000,-55248000,3146725000,3146725000,9273902000,114286000,85029000,18969000,-84918000,133366000,-49532000,-49532000,-939277000,7524999.99999999,7525000,835791000,-95961000,-12127000,-12127000,-12127000,263877000,3510635000,155678000,0.18014,0.02907,0.01857,0.03632,0.01232,1.36218,1.39109,1.94716,0.37855,0.52758,0.52399,28.40307,14.52621,0.71866,0.01595,0.02173,12.97026,19.13666
