"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","commissions_fees_earned","other_non_interest_income","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","goodwill","other_intangible_assets","deferred_tax_assets_short_term","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","net_change_in_deposits","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"23","2016_Q2",17.81421875,"Up",117451000,98057000,105284000,-7227000,19394000,13046000,6338000,111774000,-45648000,-45648000,66126000,66126000,43000,66169000,-24742000,41427000,41427000,41427000,41427000,158072000,1506823000,6779906000,-72306000,6852212000,210764000,377983000,20598000,69564000,266691000,9397451000,6577519000,5014954000,1562565000,121906000,1397059000,73185000,8169669000,863529000,357788000,6465000,1227782000,1227782000,9397451000,41427000,2722000,5677000,81526000,-55294000,76058000,1950000,9827000,-225784000,-5500000,-219507000,-10537000,-7699000,139010000,-75076000,45698000,-97751000,-97751000,-97751000,68848000,1518965000,40246000,0.56301,0.35272,0.03374,0.00441,0.97149,6.65401,0.16164,0.29509,0.29446,0.83661,8.74551,0.28667,0.07506,0.00553,0.00428,0.25435,19.76663,20.5803
"24","2016_Q3",18.34828125,"Up",122835000,101041000,108490000,-7449000,21794000,14119000,7660000,117143000,-47587000,-47587000,69556000,69556000,-22000,69534000,-26025000,43509000,43509000,43509000,43509000,185394000,1509503000,6947815000,-74341000,7022156000,207932000,377983000,19835000,61613000,271526000,9582126000,6712948000,5067476000,1645472000,111072000,1441715000,51476000,8317211000,864964000,389014000,10937000,1264915000,1264915000,9582126000,43509000,2730000,5692000,101565000,-132226000,21270000,5042000,1942000,-164475000,6525000,-150966000,-12283000,21000.0000000019,135429000,33851000,157018000,27322000,27322000,27322000,72286000,1552787000,-28873000,0.56626,0.35421,0.0344,0.00454,-0.66361,6.57531,0.16205,0.30993,0.30935,0.87501,9.01052,-0.20567,0.0875,0.00582,-0.00301,0.28231,18.91643,19.65888
"25","2016_Q4",20.7814285714286,"Up",125257000,103653000,111375000,-7722000,21604000,14031000,7573000,119721000,-51026000,-51026000,68695000,68695000,410000,69105000,-25485000,43620000,43620000,43620000,43620000,296160000,1508813000,7035921000,-76370000,7112291000,208137000,377983000,19073000,56435000,259866000,9764238000,6840293000,5122826000,1717467000,109350000,1481195000,37382000,8468220000,867715000,419999000,8304000,1296018000,1296018000,9764238000,43620000,2630000,5536000,104829000,-89874000,66741000,777000,-6463000,-95124000,-7938000,-108748000,-12635000,189000,127345000,37874000,152773000,110766000,110766000,110766000,71325000,1590545000,7713000,0.54843,0.34824,0.03366,0.00447,0.17682,6.53403,0.16289,0.3106,0.30998,0.89191,9.22847,0.05492,0.08997,0.00576,0.00079,0.28966,18.1477,18.84249
"26","2017_Q1",23.6103225806452,"Up",126232000,103207000,111388000,-8181000,23025000,14053000,8328000,124529000,-47494000,-47494000,77035000,77035000,803000,77838000,-29248000,48590000,48590000,48590000,48590000,216649000,1357096000,7307697000,-80002000,7387699000,205301000,377983000,18311000,61298000,262580000,9808465000,6942427000,5247243000,1695184000,121290000,1366024000,51234000,8480975000,871142000,455948000,399999.999999999,1327490000,1327490000,9808465000,48590000,2562000,1703000,80448000,-79328000,53975000,3127000,136083000,-261372000,357000,-121805000,-12641000,-833000,102134000,-100341000,-11681000,-79511000,-79511000,-79511000,79597000,1487314000,32644000,0.61027,0.38493,0.0366,0.00495,0.67183,6.38873,0.15164,0.34593,0.34511,0.89869,9.45082,0.2324,0.09,0.00624,0.00333,0.26016,15.96373,16.49465
"27","2017_Q2",21.4903174603175,"Down",127225000,104815000,114494000,-9679000,22410000,14899000,7088000,123311000,-55141000,-55141000,68170000,68170000,4060000,72230000,-25374000,46856000,46856000,46856000,46856000,417089000,1527189000,7769334000,-80311000,7849645000,212813000,420941000,21885000,67063000,279454000,10717468000,7567207000,5704211000,1862996000,123793000,1515775000,69125000,9275900000,950416000,490142000,1010000,1441568000,1441568000,10717468000,46856000,2674000,3914000,87003000,-77568000,62879000,529000,-143815000,-25059000,41805000,-126540000,-12662000,102000,181025000,95831000,264101000,200440000,200440000,200440000,70844000,1639568000,19179000,0.53582,0.36829,0.0325,0.00437,0.40932,6.43459,0.15298,0.33047,0.32883,0.89731,10.16728,0.13527,0.0893,0.00555,0.00179,0.27023,17.25593,17.9328
"28","2017_Q3",20.7973015873016,"Down",130558000,107352000,122863000,-15511000,23206000,14542000,8284000,130171000,-51003000,-51003000,79168000,79168000,1211000,80379000,-30282000,50097000,50097000,50097000,50097000,460488000,1654592000,7754337000,-80138000,7834475000,207071000,420941000,21019000,68368000,285412000,10872228000,7767388000,5809711000,1957677000,133741000,1457316000,37751000,9396196000,942252000,527338000,6442000,1476032000,1476032000,10872228000,50097000,2962000,387000,106889000,-139721000,20614000,6717000,-121194000,6430999.99999997,1700000,-106346000,-12901000,-9736000,200181000,-345614000,129131000,43399000,43399000,43399000,82130000,1591057000,-20592000,0.60638,0.38371,0.03394,0.00461,-0.41104,6.36585,0.14634,0.34962,0.34778,0.91114,10.30094,-0.14371,0.09003,0.00579,-0.00189,0.25752,13.7656,14.28063
"29","2017_Q4",20.3255555555556,"Down",129065000,106769000,123913000,-17144000,22296000,14898000,7262000,94042000,-70846000,-70846000,23196000,23196000,-839000,22357000,-7536000,14821000,14821000,14821000,14821000,552320000,1810630000,10174573000,-111620000,10286193000,239990000,929129000,50982000,121787000,372011000,14255967000,10448770000,7893305000,2555465000,149531000,1412168000,38782000,12049251000,1676379000,526448000,3889000,2206716000,2206716000,14255967000,14821000,2998000,35023000,27991000,-86551000,-5718000,1686000,-59751000,-59757000,183452000,65630000,-15711000,-9055000,155685000,-98369000,31920000,91832000,91832000,91832000,26194000,1561699000,-51135000,0.17972,0.11483,0.00672,0.00104,-3.45017,5.46026,0.10955,0.10274,0.10223,0.89469,15.29712,-0.35447,0.10891,0.00214,-0.00359,1.06005,38.53474,43.51522
"30","2018_Q1",20.9480327868852,"Up",164083000,136969000,158981000,-22012000,27114000,16710000,9211000,159157000,-63218000,-63218000,95939000,95939000,178000,96117000,-72808000,23309000,23309000,23309000,23309000,635933000,1888273000,10220922000,-110266000,10331188000,237439000,927949000,49351000,76564000,389220000,14449760000,10388502000,8003250000,2385252000,147789000,1667219000,41959000,12245469000,1677054000,530658000,-3421000,2204291000,2204291000,14449760000,23309000,8082000,4926000,131589000,-104487000,63419000,4611000,-92338000,-45204000,-19567000,-152498000,-19099000,-1054000,-60268000,253113000,172692000,83613000,83613000,83613000,104021000,1815008000,76953000,0.5847,0.14206,0.01057,0.00161,3.30143,5.55529,0.12561,0.13404,0.1335,0.9436,12.67628,0.44254,0.10983,0.00293,0.00533,0.81938,11.33497,12.28984
"31","2018_Q2",20.31515625,"Down",161420000,136209000,160976000,-24767000,25211000,16230000,8981000,159820000,-63380000,-63380000,96440000,96440000,594000,97034000,-23970000,73064000,73064000,73064000,73064000,510601000,1906749000,10215524000,-110212000,10325736000,235607000,927949000,47726000,78328000,398920000,14323229000,10396615000,7923013000,2473602000,150315000,1483273000,54845000,12085048000,1672877000,585586000,-20282000,2238181000,2238181000,14323229000,73064000,3317000,1600000,92720000,-67622000,103079000,-550000,-43430000,-7887000,22284000,-29583000,-19126000,-6214000,8113000,-181601000,-198828000,-125332000,-125332000,-125332000,99757000,1633588000,55555000,0.59745,0.45263,0.03264,0.0051,0.76036,5.3995,0.11405,0.42049,0.41899,0.92898,12.8808,0.31972,0.11007,0.00644,0.00388,0.26177,11.25723,11.64441
"32","2018_Q3",20.5077777777778,"Up",164977000,138612000,166561000,-27949000,26365000,16577000,9788000,162255000,-63228000,-63228000,99027000,99027000,1308000,100335000,-24310000,76025000,76025000,76025000,76025000,495743000,1923105000,10786454000,-111516000,10897970000,234634000,956418000,46101000,78435000,402730000,14924120000,10736033000,8212480000,2523553000,139750000,1678353000,55971000,12610107000,1695082000,642540000,-23609000,2314013000,2314013000,14924120000,76025000,2924000,2722000,107144000,-111555000,77260000,7512000,-24161000,-189964000,-382333000,-588946000,-19071000,-7843000,339418000,184324000,496828000,-14858000,-14858000,-14858000,101951000,1818103000,22218000,0.60025,0.46082,0.03285,0.00509,0.29225,5.44945,0.12182,0.43843,0.43704,0.95142,13.34487,0.12813,0.10998,0.00637,0.00149,0.25085,12.97054,13.35353
