"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","commissions_fees_earned","other_non_interest_income","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","goodwill","other_intangible_assets","deferred_tax_assets_short_term","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","net_change_in_deposits","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"33","2018_Q4",16.8493650793651,"Down",170976000,145910000,180051000,-34141000,25066000,16033000,9033000,170976000,-66123000,-66123000,104853000,104853000,781000,105634000,-25350000,80284000,80284000,80284000,80284000,532057000,1943696000,10722624000,-110191000,10832815000,233652000,958408000,44484000,79548000,397769000,14912738000,10624738000,8141881000,2482857000,142146000,1732447000,72381000,12571712000,1669847000,701900000,-30721000,2341026000,2341026000,14912738000,80284000,2915000,0,62591000,-70658000,75132000,5712000,-34390000,86066000,7572000,64960000,-20924000,-27856000,-111295000,56297000,-103778000,36314000,36314000,36314000,107768000,1874593000,68172000,0.61326,0.46956,0.03429,0.00538,0.84914,5.37017,0.1257,0.46022,0.45917,0.9801,13.41962,0.39079,0.11994,0.00679,0.00457,0.26062,12.45765,12.80398
"34","2019_Q1",16.5701639344262,"Down",163126000,140282000,177780000,-37498000,22844000,14602000,8242000,163126000,-70773000,-70773000,92353000,92353000,164000,92517000,-21487000,71030000,71030000,71030000,71030000,657939000,1978638000,10963088000,-108791000,11071879000,233261000,958408000,42896000,73275000,394608000,15302438000,10899778000,8498546000,2401232000,143679000,1841183000,67912000,12952552000,1611517000,752184000,-13815000,2349886000,2349886000,15302438000,71030000,10049000,0,43499000,-76147000,48431000,-1375000,-17255000,-207773000,393999.99999994,-226009000,-20746000,-60909000,275040000,-63130000,303460000,125882000,125882000,125882000,102402000,1984862000,46367000,0.56615,0.43543,0.03023,0.00464,0.65278,5.51199,0.12971,0.41054,0.40983,0.94283,13.58174,0.26799,0.11991,0.006,0.00303,0.29207,12.95798,14.36795
"35","2019_Q2",16.7471428571429,"Up",162822000,139470000,179487000,-40017000,23352000,12964000,10182000,162822000,-69057000,-69057000,93765000,93765000,320000,94085000,-22735000,71350000,71350000,71350000,71350000,562470000,2013123000,10872578000,-106357000,10978935000,279012000,958408000,41310000,64061000,386839000,15179501000,11067452000,8548277000,2519175000,152239000,1474154000,124172000,12818017000,1562676000,803629000,-4821000,2361484000,2361484000,15179501000,71350000,4939000,0,69441000,-65984000,79746000,858000,-25043000,113378000,-1375000,87818000,-20364000,-51685000,167674000,-358658000,-263033000,-95469000,-95469000,-95469000,98704000,1626393000,56313000,0.57587,0.43821,0.03021,0.0047,0.78925,5.42795,0.10714,0.42072,0.42072,0.96008,13.9245,0.33205,0.12008,0.00604,0.00371,0.28541,10.77892,11.3467
"36","2019_Q3",16.92421875,"Up",163827000,140987000,181287000,-40300000,22840000,14436000,8346000,162502000,-67624000,-67624000,94878000,94878000,226000,95104000,-22940000,72164000,72164000,72164000,72164000,557302000,2053939000,10947063000,-106066000,11053129000,278821000,958408000,39723000,58517000,392727000,15287575000,11347316000,8771620000,2575696000,142541000,1268617000,107695000,12866169000,1552674000,853964000,14768000,2421406000,2421406000,15287575000,72164000,4908000,1325000,113237000,-151815000,39819000,-615000,-8932000,-65987000.0000001,624999.999999996,-74908999.9999999,-21829000,-12687000,279864000,-215426000,29922000,-5167999.99999997,-5167999.99999997,-5167999.99999997,99786000,1411158000,-29704000,0.57914,0.44049,0.0298,0.00472,-0.41162,5.31351,0.09231,0.43011,0.43011,0.97644,14.43203,-0.17704,0.1301,0.00615,-0.00194,0.30249,8.55687,8.99952
"37","2019_Q4",17.1946875,"Up",166825000,142977000,182082000,-39105000,23848000,15202000,8910000,166825000,-67764000,-67764000,99061000,99061000,901000,99962000,-27199000,72763000,72763000,72763000,72763000,442296000,2087508000,10667642000,-104304000,10771946000,277966000,958408000,38136000,53436000,374893000,14901935000,11047370000,8653163000,2394207000,207038000,1060806000,117332000,12432546000,1544527000,904980000,19882000,2469389000,2469389000,14901935000,72763000,4842000,0,120561000,-130065000,68101000,2658000,-16633000,307436000,-575000,292886000,-21747000,-10793000,-299946000,-143507000,-475993000,-115006000,-115006000,-115006000,103903000,1267844000,3695000,0.5938,0.43616,0.02947,0.00488,0.05078,5.03466,0.08508,0.43528,0.43528,0.99798,14.77243,0.0221,0.1301,0.00634,0.00025,0.29887,7.94537,8.33373
"38","2020_Q1",15.9087096774194,"Down",166934000,139783000,175132000,-35349000,27151000,17414000,9737000,166934000,-71342000,-71342000,95592000,95592000,878000,96470000,-23208000,73262000,73262000,73262000,73262000,490601000,2083838000,10767588000,-102122000,10869710000,280103000,958408000,36572000,44301000,370636000,15032047000,11278383000,8911292000,2367091000,148727000,990996000,102410000,12520516000,1538755000,956555000,16221000,2511531000,2511531000,15032047000,73262000,4738000,0,136353000,-154604000,59749000,-3609000,5438000,-87618000,1650000,-84138999.9999999,-21687000,-8316000,231013000,722639000,72695000.0000001,48305000,48305000,48305000,100330000,1139723000,-34675000,0.57263,0.43887,0.02917,0.00487,-0.473299999999998,4.98521,0.07582,0.43953,0.43953,1.00151,15.0678,-0.20803,0.13011,0.00632,-0.00231,0.29602,6.46987,6.79054999999999
"39","2020_Q2",13.0152380952381,"Down",167770000,139725000,172175000,-32450000,28045000,12687000,15358000,73172000,-70474000,-70474000,2698000,2698000,-5118000,-2420000,2927000,507000,507000,507000,507000,571435000,2.098e+09,11156059000,-228923000,11384982000,281795000,973025000,35055000,77110000,339253000,15531732000,11514914000,9089878000,2425036000,126884000,1321184000,138479000,13101461000,1517802000,891498000,20971000,2430271000,2430271000,15531732000,507000,4750000,94598000,110435000,-98172000,112118000,-2074000,-46247000,-107422000,46028000,-530926000,-21608000,-23435000,236531000,-5e+06,499642000,80834000,80834000,80834000,7448000,1448068000,-95725000,0.01608,0.00302,0.00021,3e-05,-188.80671,5.39095,0.09323,0.00305,0.00305,1.01058,14.63895,-0.57661,0.13016,0.00142,-0.00616,42.61933,117.70046,324.91957
"40","2020_Q3",15.01875,"Up",172482000,148667000,171598000,-22931000,23815000,11962000,11853000,151827000,-70958000,-70958000,80869000,80869000,1208000,82077000,-19250000,62827000,62827000,62827000,62827000,1215656000,2238005000,11717403000,-238340000,11955743000,279498000,973025000,33569000,74333000,363917000,16895406000,13177936000,9764209000,3413727000,162858000,901371000,161095000,14403260000,1520283000,932856000,39007000,2492146000,2492146000,16895406000,62827000,5762000,20655000,211733000,-281972000,19005000,775000,-98020000,-536292000,1230000.00000001,-632307000,-21469000,3.72529029846191e-09,1663022000,0,1257523000,644221000,644221000,644221000,86631000,1064229000,-175316000,0.46885,0.36425,0.02521,0.00372,-2.79046,5.77946,0.06299,0.3804,0.3804,1.04432,15.0891,-1.06148,0.12999,0.00499,-0.01038,0.341720000000002,-1.74795,-1.87250000000006
"41","2020_Q4",17.08515625,"Up",176996000,146138000,166633000,-20495000,30858000,13449000,17409000,162996000,-71001000,-71001000,91995000,91995000,-1618000,90377000,-21057000,69320000,69320000,69320000,69320000,1043337000,2361900000,11443246000,-248224000,11691470000,280364000,973025000,32149000,75167000,340570000,16549758000,12937466000,9729499000,3207967000,158447000,773561000,139485000,14008959000,1521755000,980699000,38345000,2540799000,2540799000,16549758000,69320000,4724000,1.4e+07,212998000,-231995000,69047000,-1507000,-120577000,275080000,0,152996000,-21477000,0,-240470000,14720000,-394362000,-172319000,-172319000,-172319000,96719000,932008000,-115726000,0.51976,0.39165,0.02728,0.00419,-1.66945,5.5136,0.05632,0.41962,0.41962,1.07142,15.38033,-0.70053,0.13001,0.00549,-0.00699,0.30982,-1.15106,-1.21016
"42","2021_Q1",22.7634426229508,"Up",176968000,148025000,165556000,-17531000,28943000,13969000,14974000,176968000,-74241000,-74241000,102727000,102727000,4942000,107669000,-25875000,81794000,81794000,81794000,81794000,1263788000,2577300000,10975248000,-245473000,11220721000,278614000,973025000,30728000,70249000,229852000,16398804000,12725790000,9459037000,3266753000,168931000,770326000,127999000,13793046000,1520617000,1039370000,44120000,2605758000,2605758000,16398804000,81794000,4846000,0,276201000,-271283000,91558000,-247000,-110437000,468980000,0,358296000,-23123000,-1660000,-211676000,10484000,-229403000,220451000,220451000,220451000,107573000,939257000,-138082000,0.58048,0.4622,0.03139,0.00499,-1.68817,5.2933,0.05728,0.49537,0.49537,1.07177,15.77119,-0.83626,0.14004,0.0064,-0.00842,0.2827,-3.01684,-3.15916
"43","2021_Q2",25.7065079365079,"Up",186991000,148088000,162651000,-14563000,38903000,12610000,26293000,186991000,-72866000,-72866000,114125000,114125000,6373000,120498000,-28896000,91602000,91602000,91602000,91602000,2478548000,2539123000,10535561000,-242932000,10778493000,278620000,973025000,29307000,77145000,328912000,17240241000,13512594000,9652872000,3859722000,162929000,770515000,148999000,14595037000,1517937000,1107818000,19449000,2645204000,2645204000,17240241000,91602000,4728000,-8302481.27654875,187233000,-162479000,121084000,450000,-100297000,441905000,418000,342476000,-23154000,-6448000,786804000,-6002000,751200000,1214760000,1214760000,1214760000,118853000,933444000,-14280000,0.61032,0.48987,0.03463,0.00531,-0.15589,5.51755,0.05414,0.5543,0.55367,1.13152,16.00661,-0.08641,0.14011,0.00666,-0.00083,0.25277,-13.00013,-13.5387
"44","2021_Q3",21.27453125,"Down",169377000,141252000,154481000,-13229000,28125000,14775000,13350000,174129000,-72982000,-72982000,101147000,101147000,2995000,104142000,-25072000,79070000,79070000,79070000,79070000,2941253000,3053712000,9958724000,-240451000,10199175000,278502000,973025000,27886000,72273000,321817000,17627192000,13891341000,9814771000,4076570000,150540000,770707000,118415000,14931003000,1503260000,1163810000,29119000,2696189000,2696189000,17627192000,79070000,4807000,-4751999.99999999,232566000,-220359000,91332000,-1280000,-513607000,559933000,0,45046000,-23078000,-16953000,378747000,-12389000,326327000,462705000,462705000,462705000,105954000,921247000,-90613000,0.59717,0.46683,0.02933,0.00449,-1.14598,5.53782,0.05226,0.47847,0.47792,1.02493,16.31513,-0.54832,0.13965,0.00579,-0.00514,0.29187,-19.06493,-19.97099
"45","2021_Q4",23.7128125,"Up",168786000,144611000,157060000,-12449000,24175000,14471000,9704000,168786000,-70291000,-70291000,98495000,98495000,-294000,98201000,-23209000,74992000,74992000,74992000,74992000,3280256000,3150608000,9662427000,-238673000,9901100000,276972000,973025000,26466000,69724000,325578000,17765056000,14003371000,9864222000,4139149000,141002000,770900000,113721000,15028994000,1492588000,1215831000,26003000,2736062000,2736062000,17765056000,74992000,4922000,0,219738000,-210633000,89019000,-663000,-111325000,293730000,0,181742000,-22971000,-11279000,112030000,-9538000,68242000,339003000,339003000,339003000,103417000,911902000,-84670000,0.58355,0.4443,0.02741,0.00422,-1.12905,5.49293,0.05133,0.45766,0.45642,1.03007,16.68765,-0.51672,0.14019,0.00551,-0.00477,0.30631,-22.90101,-24.04542
"46","2022_Q1",22.9232258064516,"Down",173711000,139020000,150979000,-11959000,34691000,16871000,17820000,173711000,-80492000,-80492000,93219000,93219000,715000,93934000,-20577000,73357000,73357000,73357000,73357000,3650315000,3224942000,9599375000,-236714000,9836089000,275760000,973025000,19191720.3388519,78059441.2739585,256940000,18052138000,14260570000,10132692000,4127878000,140886000,771093000,113868000,15286417000,1489010000,1266249000,10462000,2765721000,2765721000,18052138000,73357000,5024000,0,193217000,-183653000,87945000,-1190000,-1340000,57926000,0,55396000,-22939000,-7426000,257199000,-116000,226718000,370059000,370059000,370059000,98243000,911979000,-66023000,0.53663,0.42229,0.02652,0.00406,-0.90002,5.5271,0.05052,0.44768,0.44647,1.06012,16.87866,-0.40293,0.13999,0.00533,-0.00366,0.3127,-27.87309,-29.3753
"47","2022_Q2",21.0974193548387,"Down",159103000,131148000,144903000,-13755000,27955000,13873000,14082000,159103000,-76033000,-76033000,83070000,83070000,1851000,84921000,-20029000,64892000,64892000,64892000,64892000,3619458000,3562210000,9817946000,-234768000,10052714000,274503000,973025000,23624000,116605000,230624000,18617995000,14580934000,10269534000,4311400000,151151000,1067868000,131339000,15931292000,1485524000,1304098000,-104557000,2686703000,2686703000,18617995000,64892000,5092000,1471473.49229479,144056000,-124554000,89486000,-1103000,-501132000,28438000,-242617000,-716414000,-27043000,-3959000,320364000,10265000,596071000,-30857000,-30857000,-30857000,88162000,1219019000,-17466000,0.52211,0.40786,0.02415,0.00349,-0.26915,5.92968,0.06548,0.39602,0.39495,0.97098,16.38644,-0.10659,0.16504,0.00494,-0.00094,0.41674,-27.22759,-28.89658
"48","2022_Q3",22.8246875,"Up",245129000,198758000,217013000,-18255000,46371000,22625000,23746000,186544000,-116751000,-116751000,69793000,69793000,-50521000,19272000,-3294000,15978000,15978000,15978000,15978000,2816376000,5370101000,13629606000,-294267000,13923873000,415056000,1398400000,63410000,208585000,351634000,24253168000,19580072000,13543489000,6036583000,118573000,858455000,197503000,20754603000,2426271000,1286146000,-215905000,3498565000,3498565000,24253168000,15978000,10388000,11410000,136430000,-161077000,13129000,-3619000,-116872000,-152373000,1101515000,586034000,-33930000,-22466000,-856072000,-111447000,-1402245000,-803082000,-803082000,-803082000,80181000,977028000,-81221000,0.28472,0.06518,0.00457,0.00066,-5.0833,5.93232,0.04028,0.07768,0.07756,1.19178,16.99952,-0.39488,0.16496,0.00206,-0.00335,2.12354,-22.93995,-26.35433
