"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",10.6606349206349,"Up",3863000,-3667000,196000,-7318000,-3523000,-3795000,-7122000,-2342000,-2452000,110000,-9464000,-311000,-9775000,-9775000,-9775000,-9775000,-9775000,59331000,59331000,50736278.5207407,1810000,1810000,1778000,1107000,1107000,64026000,24359000,9484000,1138000,33843000,97869000,9927000,6097000,3830000,2550000,19663000,24613000,4414000,47060000,66723000,177834000,-146686000,-550311.548035303,31146000,31146000,97869000,-9775000,990000,3431000,1367000,-3987000,-832000,-832000,1000,1000,38017000,33198000,33198000,33198000,-6132000,29633000,0.05074,-1.84364,-2.53042,-0.31384,-0.09988,3.25617,2.14227,0.30278,-0.97613,-0.97613,0.38576,3.11023,-0.11447,4.84312,4.1699
"2","2011_Q3",9.940625,"Down",3637000,-3114000,523000,-9052000,-4465000,-4587000,-8529000,-662000,-640000,-22000,-9191000,429000,-8762000,-8762000,-8762000,-8762000,-8762000,47205000,27450000,19755000,1055000,1055000,1884000,3460000,1391000,53604000,24633000,8855000,1075000,33488000,87092000,8693000,5052000,3641000,2458000,17479000,24100000,4334000,46678000,64157000,178385000,-155448000,-161103.849345101,22935000,22935000,87092000,-8762000,1011000,-1351000,-1821000,-10923000,-1203000,-20958000,7.27595761418343e-12,7.27595761418343e-12,0,-31881000,-31881000,-31881000,-7518000,28906000,0.1438,-2.34506,-2.40913,-0.38204,-0.10061,3.06677,2.79734,0.3319,-0.50843,-0.50843,0.21104,1.33085,-0.11538,2.43403,2.1455
"3","2011_Q4",8.49,"Down",3956000,-3357000,599000,-9332000,-4972000,-4360000,-8733000,-892000,-865000,-27000,-9625000,117000,-9508000,-9508000,-9508000,-9508000,-9508000,37068000,16402000,20666000,1496000,1496000,1667000,3169000,1482000,43400000,25825000,8384000,1180000,34209000,77609000,9311000,4313000,4998000,2354000,17829000,23460000,5613000,45905000,63734000,178838000,-164956000,-5000,13875000,13875000,77609000,-9508000,1029000,1026000,-1041000,-8494000,-1649000,-2565000,-1000,-1000,11000,-11048000,-11048000,-11048000,-7704000,28609000,0.15142,-2.20753,-2.40344,-0.68526,-0.12251,2.43424,4.59344,0.36863,-0.5518,-0.5518,0.22959,0.80524,-0.14418,1.098,0.96862
"4","2012_Q1",10.2024193548387,"Up",4233000,-6601000,-2368000,-9330000,-7199000,-2131000,-11698000,-558000,-568000,10000,-12256000,-3027000,-15283000,-15283000,-15283000,-15283000,-15283000,76153000,46168000,29985000,2113000,2113000,1245000,3138000,1839000,82649000,25103000,5738000,479000,30841000,113490000,10599000,3440000,7159000,13054000,31911000,13236000,4820000,33310000,65221000,228495000,-180239000,15000,48269000,48269000,113490000,-15283000,1284000,4252000,2151000,-7596000,-2469000,-11768000,136000,136000,49130000,29766000,29766000,29766000,-10414000,28332000,-0.55941,-2.76352,-3.61044,-0.31662,-0.13466,2.58998,1.3512,0.24964,-0.71847,-0.71847,0.199,2.26917,-0.17012,4.59199,4.08796
"5","2012_Q2",11.6539682539683,"Up",7804000,-6495000,1309000,-12446000,-11152000,-1294000,-11137000,-475000,-451000,-24000,-11612000,-282000,-11894000,-11894000,-11894000,-11894000,-11894000,54830000,25213000,29617000,860000,860000,5078000,1496000,1496000,62264000,26492000,5508000,762000,3.2e+07,94264000,9342000,2302000,7040000,7231000,19158000,12790000,4717000,37864000,57022000,229360000,-192133000,17000,37242000,37242000,94264000,-11894000,1380000,2058000,-9089000,-17545000,-2901000,-2530000,153000,153000,-880000,-20955000,-20955000,-20955000,-9757000,27659000,0.16773,-1.42709,-1.52409,-0.31937,-0.12618,3.25003,1.53112,0.29342,-0.46887,-0.46887,0.30764,1.46811,-0.15309,2.78477,2.43971
"6","2012_Q3",16.591746031746,"Up",12344000,-6685000,5659000,-12285000,-10413000,-1872000,-6626000,-465000,-426000,-39000,-7091000,-1205000,-8296000,-8296000,-8296000,-8296000,-8296000,84285000,21445000,62840000,3214000,3214000,9299000,3278000,1431000,100076000,29966000,12811000,586000,42777000,142853000,9719000,440000,9279000,4353000,15236000,7172000,2538000,33112000,48348000,294838000,-200429000,98000,94505000,94505000,142853000,-8296000,1405000,401000,-13739000,-20229000,-4365000,-47542000,230000,230000,64003000,-3767999.99999999,-3767999.99999999,-3767999.99999999,-5221000,27104000,0.45844,-0.53678,-0.67207,-0.08778,-0.05807,6.56839,0.51159,0.18973,-0.26802,-0.26802,0.3988,3.05321,-0.06442,10.95212,8.62979
"7","2012_Q4",16.6103225806452,"Up",8486000,-9287000,-801000,-14905000,-11378000,-3527000,-15706000,-417000,-369000,-48000,-16123000,378000,-15745000,-15745000,-15745000,-15745000,-15745000,66949000,8709000,58240000,2459000,2459000,11906000,3815000,2024000,85129000,35319000,12378000,548000,47697000,132826000,17825000,4789000,13036000,1166000,19828000,6742000,2399000,32553000,52381000,296557000,-216174000,64000,80445000,80445000,132826000,-15745000,1417000,1724000,1427000,-11177000,-6258000,-1809000,250000,250000,250000,-12736000,-12736000,-12736000,-14289000,26648000,-0.09439,-1.85081,-1.85541,-0.19572,-0.11854,4.29337,0.65114,0.20062,-0.48539,-0.48539,0.26161,2.47996,-0.13831,2.82042,2.56596
"8","2013_Q1",22.303,"Up",10450000,-9672000,778000.000000001,-16607000,-13363000,-3244000,-15829000,-286000,-286000,0,-16115000,-231000,-16346000,-16346000,-16346000,-16346000,-16346000,41050000,10126000,30924000,4352000,4352000,12077000,3443000,1920000,60922000,39116000,12016000,511000,51132000,112054000,12361000,2569000,9792000,972000,14156000,5995000,2275000,32043000,46199000,298350000,-232520000,27000,65855000,65855000,112054000,-16346000,1446000,2024000,-8303000,-21179000,-4732000,22359000,237000,237000,237000,1417000,1417000,1417000,-14383000,26871000,0.07445,-1.51474,-1.56421,-0.24821,-0.14588,4.30362,0.70153,0.2398,-0.50187,-0.50187,0.32085,2.02195,-0.16558,0.985819999999999,0.895759999999999
"9","2013_Q2",28.9284375,"Up",11587000,-11391000,196000,-18841000,-12936000,-5905000,-18645000,-1451000,-1446000,-5000,-20096000,-3484000,-23580000,-23138000,-23138000,-23138000,-23138000,110246000,26272000,83974000,5243000,5243000,10760000,2740000,2740000,128989000,41130000,15122000,3845000,56252000,185241000,10873000,1001000,9872000,972000,12698000,6171000,2694000,102751000,115449000,325408000,-255658000,44000,69792000,69792000,185241000,-23138000,1431000,8095000,-177000,-13789000,-2932000,-56251000,877000,877000,86186000,16146000,16146000,16146000,-17214000,97433000,0.01692,-1.60913,-1.99689,-0.33153,-0.12491,10.15821,1.65419,0.52598,-0.70738,-0.70738,0.35424,2.13371,-0.13344,0.74434,0.68721
"10","2013_Q3",36.4409375,"Up",17141000,-10214000,6927000,-18938000,-14081000,-4857000,-12011000,-1859000,-1842000,-17000,-13870000,-161000,-14031000,-14031000,-14031000,-14031000,-14031000,95956000,8626000,87330000,7756000,7756000,14221000,3557000,2559000,121490000,42065000,14875000,3712000,56940000,178430000,13972000,1712000,12260000,972000.000000004,15835000,5977000,2743000,103453000,119288000,328820000,-269689000,13000,59142000,59142000,178430000,-14031000,1286000,2415000,-2980000,-13310000,-1740000,-5523000,1187000,1187000,1187000,-17646000,-17646000,-17646000,-10725000,98367000,0.40412,-0.70072,-0.81856,-0.23724,-0.07864,7.67225,2.01698,0.55129,-0.42412,-0.42412,0.51813,1.7877,-0.08582,-0.2248,-0.20073
