"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"21","2015_Q4",89.02953125,"Down",15999500,-711600,15287900,-5907300,-5907300,9380600,-700100,-700100,8680500,8641700,-3302100,5339600,5339600,5339600,5339600,1287200,1060700,1314200,1314200,59600,19873200,757500,18260700,22534200,1218800,21994700,1026900,24240400,46774600,4348200,1208400,3139800,2064500,4985600,2139200,11398300,2784900,1536100,1248800,71388100,82786400,-36412800,-36011800,-36011800,46774600,5339600,108600,-769800,685200,5363600,-7133300,5440700,-1734600,-289100,-3400000,0,0,-3689100,-60100,-60100,-60100,9489200,70667700,6343200,0.95552,0.58631,0.33374,-0.14827,0.11416,1.18795,1.97698,-2.29887,1.51081,1.2935,1.23082,3.87582,-8.72373,1.53662,0.07003,0.15034,0.16942,0.05414,7.31152,7.39617
"22","2016_Q1",87.9075409836066,"Down",16947500,-597500,16350000,-6685700,-6685700,9664300,-661200,-661200,9003100,9029400,-3375000,5654400,5654400,5654400,5654400,1234500,1006700,1416900,1416900,45200,21734700,677800,17766500,24431300,1121500,21246000,607500,22975000,47406300,3519000,1643300,1875700,2028700,1963200,1963200,7510900,6252700,1421600,1216300,70569200,78080100,-31047400,-30673800,-30673800,47406300,5654400,109800,1995100,-3597100,4162200,-3688500,4555500,867000,-289000,-4299999.99999999,-477600.000000007,114600,-5083200,-54000.0000000001,-54000.0000000001,-54000.0000000001,9774100,66345200,5863500,0.96474,0.57025,0.33364,-0.18434,0.11928,1.03698,3.25278,-2.5455,1.3995,1.36935,1.30537,4.10424,-7.42839,1.41998,0.06999,0.14177,0.13986,0.05111,6.66155,6.73724
"23","2016_Q2",89.72078125,"Up",16180300,-697400,15482900,-7458700,-7458700,8024200,-651200,-651200,7373000,7387400,-2824500,4562900,4562900,4562900,4562900,1433100,1213000,1345800,1345800,80300,19083700,946300,18137400,21942900,1032200,20172900,607500,21812600,43755500,5939100,2070000,2258900,1990000,2017100,2017100,9946200,6148300,1375300,1158200,61067300,71013500,-27234800,-27258000,-27258000,43755500,4562900,109200,509600,5434800,10616500,-4754400,5343400,606100,-288700,-9400000,-1327600,150200,-11016300,206300,206300,206300,8133400,56909000,11638300,0.9569,0.49592,0.282,-0.1674,0.10428,2.55064,2.20616,-2.60524,1.30061,1.1091,1.05772,3.93292,-6.62555,2.8289,0.07017,0.13552,0.3251,0.06327,6.82075,6.91357
"24","2016_Q3",93.834375,"Up",16299800,-588300,15711500,-6396300,-6396300,9315200,-584300,-584300,8730900,8738800,-3344500,5394300,5394300,5394300,5394300,1256100,1058800,1388800,1388800,81200,18070800,790400,16511500,20796900,935700,20477700,607500,22020900,42817800,3375100,990100,2385000,1990000,1804200,1804200,7169300,6153800,1438000,1101000,57575300,64744600,-22251600,-21926800,-21926800,42817800,5394300,108100,483500,-3436500,2549400,-5862700,7131200,1303600,-411100,-3500000,-96099.9999999995,0,-4007200,-154200,-154200,-154200,9423300,53411500,3468600,0.96391,0.57149,0.33094,-0.24601,0.12598,0.64301,2.90083,-2.95276,1.24741,1.31234,1.24904,3.96547,-5.33442,0.84385,0.10001,0.15424,0.0921600000000001,0.07621,5.53473,5.59896
"25","2016_Q4",104.423650793651,"Up",16734300,-499100,16235200,-5826900,-5826900,10408300,-558600,-558600,9849700,9879400,-3785200,6094200,6094200,6094200,6094200,1325000,1120900,1555300,1555300,95600,17994300,921000,16304100,20970200,847700,21070300,607500,22525500,43495700,3763400,1118900,2644500,1990000,1671700,1671700,7425100,6164200,1451200,1036100,51788200,59213300,-16569500,-15717600,-15717600,43495700,6094200,103300,735900,-93300,6840100,-5861900,5275300,-586600,-412100,-5800000,20700,20700,-6191400,62100,62100,62100,10511600,47614000,8341600,0.97018,0.62197,0.36417,-0.38773,0.14011,1.36878,2.82423,-3.76732,1.09468,1.48027,1.40803,4.06473,-3.81778,2.02616,0.1001,0.17095,0.21917,0.06762,4.40361,4.44732
"26","2017_Q1",105.765967741935,"Up",17365900,-316600,17049300,-6477500,-6477500,10571800,-560900,-560900,10010900,9940400,-3774200,6166200,6166200,6166200,6166200,1452800,1252900,1479200,1479200,87500,19774300,1050700,17044800,22793800,769600,24410700,607500,25787800,48581600,3503100,1692000,1811100,1990000,1864700,1864700,7357800,5749300,1423800,993600,49075800,56433600,-10818200,-7852000,-7852000,48581600,6166200,99900,-123400,-486400,5656300,-9800700,5256900,-4543800,-414900,-2300000,1135000,1135000,-980500.000000002,132000,132000,132000,10671700,45316500,4158800,0.98177,0.60877,0.35508,-0.7853,0.12692,0.67445,3.09791,-7.18716,0.93279,1.48585,1.41391,4.1846,-1.89207,1.00213,0.09998,0.15229,0.09624,0.06729,4.11028,4.14912
"27","2017_Q2",116.982063492063,"Up",17623800,-715000,16908800,-7774800,-7774800,9134000,-497300,-497300,8636700,8638100,-3221700,5416400,5416400,5416400,5416400,1930900,1723400,1513400,1513400,106200,17251300,809400,16441900,20801800,683000,25303700,607500,26594200,47396000,4454500,1249800,1797100,1990000,1912700,1912700,8357200,5691500,1422100,937500,41320500,49677700,-5818300,-2281700,-2281700,47396000,5550800,98500,497900,2576500,8723700,-7524800,7289500,-235300,-416500,-7700000,88600,88600,-8027900,460500,460500,460500,9232500,37619000,7505900,0.95943,0.51828,0.30733,-2.37384,0.11428,1.38577,2.48909,-21.77223,0.79372,1.29979,1.21703,4.22924,-0.54755,1.80121,0.09995,0.14217,0.18294,0.0769,3.86549,3.90717
"28","2017_Q3",121.219047619048,"Up",16749500,-499100,16250400,-7127700,-7127700,9122700,-446200,-446200,8676500,8688000,-2914800,5773200,5773200,5773200,5773200,1288400,1071900,1597200,1597200,99400,18296800,468800,16497800,21281800,625100,24524000,607500,25756600,47038400,4005200,1409500,2595700,1990000,1589100,1589100,7584300,5791200,1445100,873900,34822700,42407000,-508700.000000002,4631400,4631400,47038400,5530700,90200,1109000,-2067500,4662400,-6051700,6693000,641300,-463600,-6600000,1108400,1108400,-5955200,-651500,-651500,-651500,9212900,31021500,4008500,0.9702,0.54466,0.34468,1.24653,0.12273,0.69433,2.80603,9.15641,0.65949,1.37392,1.28761,3.98609,1.10219,0.95395,0.11033,0.15049,0.09672,0.0803,3.22733,3.25924
"29","2017_Q4",122.441428571429,"Up",17598200,-728300,16869900,-6986800,-6986800,9883100,-585900,-585900,9297200,9310500,-3558000,5752500,5752500,5752500,5752500,1060700,1060700,1708100,1708100,67000,18937900,865400,16351000,21773700,547700,24249500,607500,25404700,47178400,4380700,1474600,2906100,3236100,1649300,1649300,9266100,5751900,1458200,808400,77302000,86568100,-39389700,-39389700,-39389700,47178400,5860600,87000,643100,-738500,5852200,-5730600,6095600,582200,-463700,43800000,-49771900,132200,-6435600,-1200,-1200,-1200,9970100,74786200,7059000,0.95862,0.5616,0.32688,-0.14604,0.12193,1.22712,2.34982,-2.19773,1.58518,1.4293,1.33332,4.37256,-9.78701,1.75392,0.11521,0.15107,0.17155,0.08061,7.39466,7.45975
"30","2018_Q1",122.598196721311,"Up",17785800,-490200,17295600,-6621400,-6621400,10674200,-824100,-824100,9850100,9814900,-2176500,7638400,7638400,7638400,7638400,1073200,1073200,1796000,1796000,97100,18485700,901600,15422300,21452000,486800,25945300,957900,27390000,48842000,3910300,2073000,1837300,3806900,1714900,1714900,9432100,9760800,8595300,845000,75123400,84555500,-37189700,-35713500,-35713500,48842000,7638400,79700,-615700,-1133000,5969400,-6168700,5265700,-903000,-421200,-5564800,982100.000000007,980500,-5003900,62500,62500,62500,10753900,69169500,5628700,0.97244,0.60015,0.42947,-0.21388,0.15639,0.7369,2.27436,-2.36761,1.41619,1.99416,1.85794,4.64334,-9.32373,1.46949,0.10996,0.18649,0.13024,0.05514,6.33224,6.37952
"31","2018_Q2",127.2078125,"Up",18161000,-742500,17418500,-7249300,-7249300,10169200,-744800,-744800,9424400,9329400,-2369000,6960400,6960400,6960400,6960400,1800600,1800600,1592800,1592800,79700,16355500,653300,15702200,19828600,581200,26309300,1005700,27896200,47724800,4200600,2067600,2101900,4848200,3016900,3016900,12065700,8984500,7306000,1358000,64296200,76361900,-30652500,-28637100,-28637100,47724800,6960400,75800,-133000,3395700,10298900,-6367000,5881000,-486000,-423200,-8695700,48400,48400,-9070500,742400,742400,742400,10245000,60159900,9642700,0.95912,0.55995,0.38326,-0.24306,0.14584,1.38537,1.64339,-2.66654,1.26056,1.80916,1.68754,4.72044,-7.4434,2.50635,0.11,0.18228,0.23805,0.0608,5.69637,5.73883
"32","2018_Q3",141.488412698413,"Up",18159800,-681000,17478800,-7295100,-7295100,10183700,-669200,-669200,9514500,9405500,-2262500,7143000,7143000,7143000,7143000,1232900,1232900,1502000,1502000,150100,17916900,765800,17151100,20801900,630400,26380400,1004300,28015100,48817000,4954500,1502900,3214400,4873200,3047200,3047200,12874900,8816000,7294500,1161300,56699900,69574800,-24087400,-20757800,-20757800,48817000,7143000,79300,528300,343599.999999999,8094200,-6826900,4957200,-1869700,-577900,-7012400,798100,798100,-6792200,-567700,-567700,-567700,10263000,52757100,6042200,0.9625,0.56078,0.39334,-0.34411,0.14632,0.84589,1.61569,-3.35174,1.08071,1.85126,1.72806,4.7065,-5.37983,1.56597,0.14978,0.18917,0.14804,0.0809,5.02038,5.05948
"33","2018_Q4",142.283492063492,"Up",19118500,-811500,18307000,-6927300,-6927300,11379700,-577900,-577900,10801800,10857400,-2493100,8364300,8364300,8364300,8364300,1187200,1187200,1756900,1756900,128200,18699100,1075400,17623700,21771400,725500,26949600,1048000,28723100,50494500,5620800,1445000,3273000,5791700,1713100,1713100,13125600,10199100,8561400,1211900,49077600,62203200,-16306100,-11708700,-11708700,50494500,8364300,78600,899000,-116400,9225500,-7498300,5465300,-2033000,-583000,-7472100,766900,1325100,-7288200,-95700,-95700,-95700,11458300,44670200,6336700,0.95755,0.59522,0.4375,-0.71437,0.16565,0.75759,1.6587,-5.31256,0.88465,2.15216,2.00855,4.91924,-3.01268,1.63045,0.15001,0.2073,0.14682,0.0697,3.79489,3.8211
"34","2019_Q1",153.082459016393,"Up",17071800,-506100,16565700,-6534500,-6495900,10031200,-488800,-455600,9542400,9690800,-2033000,7657800,7657800,7657800,7657800,2496000,2496000,1553100,1553100,107600,20094600,901600,18627500,24251300,866200,20455500,1090100,22411800,46663100,4480400,1351800,3128600,6258000,1744900,1744900,12483300,10659900,8432400,1079200,38988300,51471600,-9234100,-4808500,-4808500,46663100,7657800,80400,1632700,-2052500,7318400,19998700,-15156100,4842600,-585800,-15469800,-640100.000000001,648100,-10827200,1333800,1333800,1333800,10111600,34586400,30090800,0.97035,0.58759,0.44856,-1.59255,0.16411,3.92943,1.9427,-10.70429,0.74119,1.96012,1.83347,4.36977,-1.2308,7.70217,0.14994,0.20386,0.74413,0.0765,3.17362,3.19906
"35","2019_Q2",166.786825396825,"Up",18331200,-571500,17759700,-7683100,-7683100,10076600,-442500,-442500,9634100,9624000,-2351800,7272200,7272200,7272200,7272200,1066800,1066800,1455500,1455500,113800,18340600,954100,17386500,20976700,908800,17786000,7160300,25855100,46831800,6051600,1717800,2669100,6306800,1750700,1750700,14109100,15984600,8247900,6587800,54217800,68326900,-21495100,-21495100,-21495100,46831800,7272200,80100,825700,5988000,14166000,-1840100,-27922549.5657419,-1840100,-586100,10687500,-23871500,156600,-13770100,-1444200,-1444200,-1444200,10156700,44540000,16656400,0.96882,0.5497,0.39671,-0.33832,0.15528,2.29042,1.48675,-3.17872,0.95106,1.86138,1.73211,4.69201,-5.50184,4.26333,0.15002,0.20134,0.42676,0.08059,4.28025,4.31427
"36","2019_Q3",157.4290625,"Down",17404200,-681200,16723000,-6806800,-6806800,9916200,-506400,-506400,9409800,9340500,-2038600,7301900,7301900,7301900,7301900,1101200,1101200,1510300,1510300,114400,18450000,853000,15988700,21175900,1936400,17059200,5984600,24980200,46156100,3950700,1167400,2783300,6408800,1725500,1725500,12085000,16161800,8093900,6879900,47901500,59986500,-15136000,-13830400,-13830400,46156100,7301900,85900,1199200,961000,9548000,-3991500,-27589185.4473611,-3991500,-942800,-6312500,788799.999999993,788800,-5522100,34400,34400,34400,10002100,38148500,9010200,0.96086,0.56976,0.41955,-0.52796,0.1582,1.23395,1.75225,-4.33729,0.82651,1.9357,1.79267,4.61377,-3.66637,2.38856,0.24993,0.20367,0.22258,0.12912,3.70395,3.73604
"37","2019_Q4",168.5003125,"Up",19680900,-671700,19009200,-6790000,-6790000,12219200,-405700,-405700,11813500,11869000,-2755200,9113800,9113800,9113800,9113800,7487200,7487200,1594400,1594400,69700,15832000,1012500,14427800,24983300,2863700,15644900,5015600,23524200,48507500,4165300,1185300,2980000,6499000,1730900,1730900,12395200,14956500,8031900,6924600,39238300,51633500,-6977000,-3126000,-3126000,48507500,9113800,110700,-688800,5818200,14353900,-2240200,-19502503.6052998,-2240200,-954800,-6812500,2049600,2049600,-5717700,6396000,6396000,6396000,12329900,30780800,18663100,0.96587,0.62087,0.46308,-2.91548,0.18788,2.04778,2.01556,-16.51743,0.63456,2.39279,2.24185,5.16714,-0.82072,4.89992,0.25068,0.23629,0.43798,0.10476,1.8892,1.90631
"38","2020_Q1",175.594516129032,"Up",17882600,-545300,17337300,-6418200,-6496500,10919100,-309100,-376500,10610000,10633900,-2172500,8461400,8461400,8461400,8461400,25130300,25130300,1669500,1669500,86000,14316100,968100,12850100,41201900,2772600,12505500,5362200,20640300,61842200,3798100,1015000,2783100,6416800,1717000,1717000,11931900,14756300,7858500,6897800,37462000,49393900,518999.999999998,12448300,12448300,61842200,8461400,123400,460300,3534200,12579300,7902400,-9009000,-1106600,-965400,-812500,7923300,7923300,6145400,17618100,17618100,17618100,11042500,29122500,24651600,0.96951,0.6106,0.47316,0.67972,0.13682,2.91342,3.45309,3.96792,0.47092,2.18383,2.08124,4.61538,3.21283,6.36242,0.24916,0.16736,0.43765,0.11409,0.36153,0.36562
"39","2020_Q2",136.997777777778,"Down",18600000,-717700,17882300,-7780500,-7165100,10101800,-519300,-525200,9582500,9582500,-2265500,7317000,7317000,7317000,7317000,28347000,28347000,980500,980500,105200,13694100,1221900,12472200,43126800,2680700,8921700,5162600,16765000,59891800,5048800,1071200,2342000,6422400,1714400,1714400,13185600,14403300,7765600,6637700,76554400,89740000,-29848200,-29848200,-29848200,59891800,7317000,123100,1074600,5848500,14363200,-31200,-1706000,-1737200,-912200,39187500,-48841600,145900,-9409300,3216700,3216700,3216700,10224900,68573500,18307700,0.96141,0.54311,0.39339,-0.24514,0.12217,2.50208,3.27075,-3.00655,1.14496,1.97139,1.87052,5.01132,-8.04188,4.93257,0.24577,0.15489,0.34459,0.12467,3.93417,3.98211
"40","2020_Q3",150.8828125,"Up",12389500,-346100,12043400,-4861700,-5477100,7181700,-526100,-520200,6655600,6151700,-1096500,5055200,5055200,5055200,5055200,1287900,1287900,1893800,1893800,83800,12705500,966900,11738600,15971000,2560100,7152500,5942800,15655400,31626400,7568300,1831600,2455900,6210800,1694300,1694300,15473400,13935100,7469100,6466000,34719200,50192600,-24977500,-18566200,-18566200,31626400,5055200,122900,-100500,3801400,8879000,-2500.00000000093,-952200,-954700,-184500,-40812500,6013600,6013600,-34983400,-27059100,-27059100,-27059100,7304600,26994900,12200000,0.97207,0.57966,0.40802,-0.27228,0.15984,2.41336,1.03216,-2.70344,0.85356,1.37062,1.32898,3.35918,-5.03388,3.3078,0.05002,0.23429,0.54552,0.0365,3.51929,3.57951
"41","2020_Q4",166.9378125,"Up",18277000,-598200,17678800,-5684900,-5520600,11993900,-336500,-364200,11657400,12161300,-2802500,9358800,9358800,9358800,9358800,8267400,8267400,1947600,1947600,85100,11723000,1158800,10564200,22023100,2439100,5090800,6285600,13815500,35838600,4223200,1272700,2478000,5758600,1675200,1675200,11657000,13560600,7270000,6290600,33015300,44672300,-16551500,-8833700,-8833700,35838600,9358800,120700,-163800,-785800,8529900,300,-470000,-469700,-932800,-1062500,914600,914600,-1080700,6979500,6979500,6979500,12114600,25213300,14131600,0.96727,0.65623,0.51205,-1.05944,0.26114,1.50998,1.88926,-5.05703,0.70352,2.50873,2.426,4.89936,-2.36797,3.78814,0.25005,0.34374,0.47199,0.09967,1.3988,1.41288
"42","2021_Q1",170.883442622951,"Up",16795300,-441900,16353400,-5419300,-5662900,10934100,-312200,-327900,10621900,10621900,-2529600,8092300,8092300,8092300,8092300,6659000,6659000,1581900,1581900,106600,9928900,995200,8712500,18276400,2332800,4573600,6160400,13066800,31343200,4393600,1769600,2624000,5332700,1657400,1657400,11383700,13131500,7050900,6080600,31338200,42721900,-20660500,-11378700,-11378700,31343200,8092300,118000,531500,2707400,11449200,-11700,-985800,-997500,-12201300,-1062499.99999999,1178700,1178700,-12085100,-1633400,-1633400,-1633400,11052100,23539400,16277400,0.97369,0.65102,0.48182,-0.71118,0.25818,2.01147,1.60549,-3.75455,0.75102,2.15933,2.08576,4.48161,-3.03626,4.34342,3.25576,0.80237,0.64357,1.50777,1.52735,1.54383
