"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","derivative_hedging_assets_short_term","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","liabilities_from_derivatives_hedging_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q2",9.01396825396825,"Up",1994699000,-1864419000,130280000,-48204000,-27411000,-3955000,-16838000,82076000,-7906000,-7906000,-8016000,110000,74170000,74170000,-1038000,73132000,73132000,73132000,75335000,5156000,5156000,284179000,284179000,201466000,61880000,35944000,25936000,552681000,115361000,53274000,15891000,37383000,93553325.3174884,168635000,721316000,197937000,153373000,44564000,90714000,65932000,48553000,17379000,354583000,250103000,16096000,1638000,14458000,266199000,620782000,149664000,-49130000,100534000,100534000,721316000,73132000,5179000,1343000,10849000,90503000,-5600000,-5600000,-5600000,-5742000,-74224000,-77000,-79994000,4767000,4767000,34000,4801000,87255000,340817000,93542000,0.06531,0.04115,0.03777,0.74935,0.10444,1.24168,1.55868,6.17485,0.47249,2.8725,2.8725,76.05733,3.83333,3.56673,0.17713,0.20449,3.8469,4.08964
"2","2014_Q3",10.01375,"Up",979661000,-953788000,25873000,-30612000,-11124000,-4130000,-15358000,-4738999.99999999,-6546000,-6546000,-6713000,167000,-11285000,-11285000,681000,-10604000,-10604000,-10604000,-9494000,1238000,1238000,153194000,153194000,148079000,76368000,55888000,20480000,378879000,113977000,53058000,15675000,37383000,61914662.6587442,167035000,545914000,106180000,67241000,38939000,205999.99999997,89215000,76165000,13050000,195601000,250662000,16290000,1674000,14616000,266952000,462553000,140797000,-57436000,83361000,83361000,545914000,-10604000,5370000,143999.999999998,126256000,121166000,-5550000,-5550000,-5550000,-5597000.00000001,-110665000,85000.0000000075,-118910000,-3341000,-3341000,44999.9999999999,-3296000,631000,250868000,120656000,0.02641,-0.00484,-0.00969,-0.11389,-0.01739,-12.70866,1.937,5.54879,0.45954,-0.362,-0.362,37.35421,3.17853,4.60058,-0.00332000000000002,0.34422,395.61014,-52.67567
"3","2014_Q4",9.514375,"Down",897408000,-860669000,36739000,-33697000,-14923000,-4373000,-14401000,3042000,-6695000,-6695000,-6819000,124000,-3653000,-3653000,-1649000,-5302000,-5302000,-5302000,-10718000,385000,385000,153492000,153492000,269734000,147828000,96730000,51098000,571439000,113813000,52086000,14703000,37383000,42312554.2195814,165899000,737338000,144288000,103971000,40317000,150387000,114924000,103589000,11335000,409599000,244656000,16369000,1629000,14740000,261025000,670624000,132136000,-65422000,66714000,66714000,737338000,-5302000,5588000,7146000,-118879000,-111447000,-2164000,-2164000,-2164000,-2259000,123470000,-109000,114729000,1023000,1023000,-70000,953000,8630000,395043000,-110764000,0.04094,0.00339,-0.01194,-0.16066,-0.01454,10.33439,1.39512,10.05222,0.53577,-0.40867,-0.40867,34.21792,2.54379,-4.2234,-0.00436,-0.23166,45.73094,129.73636
"4","2015_Q1",10.0473770491803,"Up",1197994000,-1076155000,121839000,-44525000,-22962000,-5167000,-16396000,77314000,-8223000,-7935000,-8103000,168000,69091000,69091000,-3503000,65588000,65588000,65588000,63611000,4080000,4080000,289424000,289424000,390555000,283201000,229890000,53311000,967260000,250126000,122454000,27626000,63288000,31540000,372580000,1339840000,262425000,198609000,63816000,398527000,104516000,89176000,15340000,765468000,423780000,34698000,15826000,18872000,458478000,1223946000,165489000,-49595000,115894000,115894000,1339840000,65588000,6304000,4567000,-161117000,-84658000,-5266000,-5266000,-5266000,-119496000,305310000,-124798000,203167000,-987000.000000002,-987000.000000002,563000,-423999.999999998,83618000,822307000,-79262000,0.1017,0.06454,0.0531,0.54887,0.04748,-1.24604,1.26362,10.56091,0.61374,2.42547,2.42547,45.67919,4.41901,-3.02224,0.0421,-0.08147,9.7853,10.58317
"5","2015_Q2",11.42,"Up",1598358000,-1490373000,107985000,-56256000,-32381000,-4992000,-18883000,51729000,-7140000,-7654000,-7766000,112000,44589000,44589000,-650000,43939000,43939000,43939000,43939000,21609000,21609000,342174000,342174000,217912000,220374000,169298000,51076000,802069000,251336000,115263000,25585000,63288000,26390000,366599000,1168668000,181482000,124972000,56510000,259682000,67654000,55685000,11969000,508818000,473953000,34195000,15190000,19005000,508148000,1016966000,185089000,-33387000,151702000,151702000,1168668000,43939000,5898000,3606000,68975000,122418000,-3527000,-3527000,-3527000,-3288000,-87432000,-14027000,-101459000,17671000,17671000,-142000,17529000,57627000,733635000,123725000,0.06756,0.03236,0.02749,0.28964,0.0376,2.81584,1.57634,6.70371,0.62775,1.67538,1.67538,60.94496,5.78436,4.7176,0.04778,0.13455,12.35577,13.76454
"6","2015_Q3",10.1159375,"Down",661743000,-616059000,45684000,-41744000,-18918000,-5185000,-17641000,3940000,-6342000,-6342000,-6459000,117000,-2402000,-2402000,-148000,-2550000,-2550000,-2550000,-2599000,9230000,9230000,164110000,164110000,208758000,176775000,134221000,42554000,558873000,250649000,112604000,24382000,63288000,24934000,363253000,922126000,119772000,74305000,45467000,208234000,81215000,70309000,10906000,409221000,338994000,34111000,15433000,18678000,373105000,782326000,178944000,-39144000,139800000,139800000,922126000,-2550000,6066000,677000,183400000,187593000,-3417000,-3417000,-3417000,-3518000,-186607000,-9934000.00000001,-196541000,-12466000,-12466000,87000,-12379000,10006000,547228000,190137000,0.06904,0.00595,-0.00393,-0.01859,-0.00282000000000001,-73.15775,1.3657,5.59604,0.59344,-0.0991000000000002,-0.0991000000000002,25.23208,5.33054,7.24987,-0.0036,0.26366,53.76754,136.54772
"7","2015_Q4",10.00796875,"Down",558022000,-498537000,59485000,-42952000,-19894000,-5188000,-17870000,16533000,-6261000,-6261000,-6399000,138000,10272000,10272000,-1692000,8580000,8580000,8580000,8475000,14975000,14975000,139726000,139726000,229416000,192766000,150060000,42706000,576883000,250658000,110437000,23184000,63288000,23965000,361095000,937978000,137383000,90941000,46442000,231068000,67337000,54399000,12938000,435788000,328761000,35104000,16532000,18572000,363865000,799653000,178418000,-40093000,138325000,138325000,937978000,8580000,6069000,3024000,-10022000,7651000,-4100000,-4100000,-4100000,-4141000,12719000,-10416000,2303000,5813000,5813000,-68000,5745000,22602000,559829000,10172000,0.1066,0.02963,0.01519,0.06127,0.00904,1.20024,1.32377,5.78097,0.59685,0.32315,0.32315,21.27723,5.27429,0.38786,0.01156,0.01387,24.10645,32.95554
"8","2016_Q1",8.45459016393443,"Down",663791000,-583955000,79836000,-45261000,-23210000,-4977000,-17074000,34575000,-6870000,-6654000,-6743000,89000,27705000,27705000,674000,28379000,28379000,28379000,28212000,30974000,30974000,160848000,160848000,241320000,214720000,157714000,57006000,647862000,250909000,101561000,22113000,63288000,16160000,352470000,1000332000,139227000,91387000,47840000,1213000,383699000,37178000,346521000,524139000,287387000,31321000,15062000,16259000,318708000,842847000,188113000,-30628000,157485000,157485000,1000332000,28379000,5860000,2596000,-66884000,-30049000,-3855000,-3855000,-3855000,-3618000,60471000,-10739000,49732000,16065000,16065000,-66000,15999000,40435000,288600000,-30978000,0.12027,0.05209,0.0425,0.17914,0.0282,-1.09803999999999,1.23605,5.35192,0.2885,1.07572,1.07572,25.31017,6.00486,-1.18118,0.05909,-0.06489,6.37136000000001,7.45121999999999
"9","2016_Q2",10.59515625,"Up",722907000,-639620000,83287000,-45990000,-24130000,-5031000,-16829000,37297000,-6951000,-6856000,-6983000,127000,30346000,30346000,-525000,29821000,29821000,29821000,29546000,8269000,8269000,167752000,167752000,151956000,188744000,134087000,54657000,516721000,250342000,115937000,21073000,63288000,31576000,366279000,8.83e+08,108167000,67236000,40931000,92647000,34200000,25784000,8416000,235014000,439305000,31618000,14969000,16649000,470923000,705937000,198716000,-21653000,177063000,177063000,8.83e+08,29821000,5957000,356000,80300000,116434000,-3622000,-3622000,-3622000,-32646000,-89259000,-17259000,-106518000,-22730000,-22730000,25000,-22705000,43254000,531952000,120457000,0.11521,0.05159,0.04087,0.16687,0.03346,4.07693,2.19868,3.98693,0.60244,1.12658,1.12658,27.56425,6.75136,4.59299,0.03989,0.16264,12.10716,14.04089
"10","2016_Q3",11.53515625,"Up",477487000,-441107000,36380000,-40399000,-18234000,-5641000,-16524000,-4019000,-6299000,-6299000,-6511000,212000,-10318000,-10318000,573000,-9745000,-9745000,-9745000,-10126000,11172000,11172000,117084000,117084000,160394000,125982000,82043000,43939000,414632000,250647000,112610000,26032000,70550000,16028000,363257000,777889000,99408000,60427000,38981000,1467000.00000003,56988999.9999999,51282000,5707000,157864000,432893000,30701000,14452000,16249000,463594000,621458000,187923000,-31492000,156431000,156431000,777889000,-9745000,6659000,243000,119577000,116734000,-3228000,-3228000,-3228000,-3138000.00000001,-99027000,-11674000,-110701000,2895000,2895000,8000,2903000,2640000,434360000,118416000,0.07619,-0.00842,-0.02121,-0.06473,-0.01302,-11.69425,2.62651,3.97273,0.55838,-0.3861,-0.3861,18.20645,5.96467,4.51517,-0.01629,0.19054,160.29848,-105.29684
