"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q4",9.11171875,"Down",82600000,-75191000,7409000,-70159000,-66868000,-2240000,-1051000,-62750000,-8562000,-8475000,-87000,-71312000,-71312000,-903000,-72215000,-72215000,69447000,-2768000,-27658000,263006000,263006000,53717000,53717000,51907000,30281000,8375000,17274000,398911000,34743000,2149372000,23756000,87555000,2038061000,2184115000,2583026000,143544000,97908000,45636000,25191000,62651000,52590000,10061000,231386000,475452000,1053240000,524950000,174631000,353659000,1528692000,1760078000,636527000,-72226000,-2695000,561606000,261342000,822948000,2583026000,-72215000,18386000,4916000,21583000,-27330000,-3728000,-151055000,-154783000,39333000,288375000,328509000,146396000,146396000,146396000,-44364000,500643000,-25606000,0.0897,-0.75969,-0.33484,-0.03361,-0.01071,0.92581,1.72401,2.13875,0.19382,-0.40834,-0.40834,1.21951,8.29159,-0.37805,-0.01164,-0.01077,-5.35653,-3.78704
"2","2016_Q1",7.18606557377049,"Down",99639000,-96946000,2693000,-67855000,-64166000,-2638000,-1051000,-65162000,-9562000,-9198000,-364000,-74724000,-74293000,-13000,-74306000,-74306000,59283000,-15023000,-15023000,203864000,203864000,60275000,60275000,71258000,24318000,5917000,18401000,359715000,44866000,2330011000,22705000,87543000,2219763000,2374877000,2734592000,153279000,104133000,49146000,27622000,71580000,59726000,11854000,252481000,545084000,1130328000,559066000,190146000,381116000,1675412000,1927893000,642239000,-87249000,-921000.000000001,554069000,252630000,806699000,2734592000,-74306000,20314000,10681000,9976999.99999999,-33334000,-4611000,-186026000,-195637000,65075000,104394000,169829000,-59142000,-59142000,-59142000,-44848000,572706000,-39469000,0.02703,-0.65398,-0.15077,-0.01862,-0.00549,2.62724,1.42472,2.38985,0.20943,-0.1473,-0.1473,0.97695,5.43258,-0.38699,-0.00599,-0.01573,-8.22427,-5.66038
"3","2016_Q2",6.6128125,"Down",98743000,-95612000,3131000,-69951000,-66436000,-2463000,-1052000,-66820000,-10983000,-11515000,532000,-77803000,-77803000,-1010274.62726505,-77803000,-77803000,90937000,13134000,13134000,208313000,208313000,56774000,56774000,94682000,23149000,13903000,9246000,382918000,51897000,2506765000,21653000,87543000,2397569000,2558662000,2941580000,147527000,93701000,53826000,30880000,77728000,65820000,11908000,256135000,644350000,1167875000,577220000,222596000,368059000,1812225000,2068360000,646102000,-74115000,-6194000,565793000,307427000,873220000,2941580000,-77803000,21596000,7734000,-28922000,-77395000,-5023000,-164629000,-169652000,104327000,146717000,251496000,4449000,4449000,4449000,-45224000,675230000,-25362818.9049803,0.03171,-0.67671,0.13301,0.01504,0.00446,1.48103685850344,1.49499,2.36866,0.22955,0.12969,0.12602,0.97502,5.58681,-0.231153814730326,0.00484,-0.00988438513812989,-10.32454,-6.98768
"4","2016_Q3",5.60390625,"Down",122538000,-100208000,22330000,-70754000,-67330000,-2373000,-1051000,-48424000,-13093000,-13063000,-30000,-61517000,-61517000,-3210000,-64727000,-64727000,97370000,32643000,32643000,207220000,207220000,56572000,56572000,88207000,22417000,12380000,10037000,374416000,53348000,2709080000,20602000,87543000,2600935000,2762428000,3136844000,145696000,93681000,52015000,32122000,78561000,65745000,12816000,256379000,765234000,1223057000,579590000,278661000,364806000,1988291000,2244670000,654239000,-41472000,-5909000,606858000,285316000,892174000,3136844000,-64727000,24968000,8910000,9831000,-21018000,-3185000,-167843000,-176028000,116983000,75806000,195953000,-1093000.00000001,-1093000.00000001,-1093000.00000001,-23456000,797356000,-13600000,0.18223,-0.39518,0.26639,0.03659,0.01041,-0.41663,1.4604,2.51596,0.25419,0.32013,0.31157,1.20172,5.9514,-0.13337,0.01121,-0.00467,-25.15928,-12.18685
"5","2016_Q4",5.53507936507937,"Down",112033000,-98034000,13999000,-65032000,-61523000,-2458000,-1051000,-51033000,-13999000,-13957000,-42000,-65032000,-65032000,-9936000,-74968000,-74968000,91846000,16878000,16878000,207477000,207477000,51031000,51031000,85941000,24533000,12589000,11944000,368982000,52861000,2934325000,19551000,87543000,2827231000,2987186000,3356168000,146032000,88669000,57363000,38074000,82547000,67553000,14994000,266653000,818482000,1274832000,582276000,334127000,358429000,2093314000,2359967000,660720000,-24594000,-5187000,630939000,365262000,996201000,3356168000,-74968000,27006000,17608000,1536000,-28818000,-2189000,-197823000,-200012000,56810000,171189000,229087000,257000,257000,257000,-24027000,856556000,-14744000,0.12495,-0.45552,0.15065,0.01694,0.00503,-0.87356,1.38375,2.36897,0.25522,0.16433,0.1606,1.0908,6.1431,-0.14355,0.0054,-0.00471,-27.01457,-12.71881
"6","2017_Q1",5.56274193548387,"Up",120584000,-105385000,15199000,-63826000,-59869000,-2905000,-1052000,-48627000,-14329000,-14709000,380000,-62956000,-62956000,-22847000,-85803000,-85803000,114835000,29032000,29032000,206364000,206364000,60258000,60258000,67326000,35397000,9802000,25595000,369345000,48471000,3155002000,18499000,87543000,3048960000,3203473000,3572818000,125279000,66018000,59261000,32179000,87326000,70849000,16477000,244784000,896835000,1369106000,583401000,415397000,370308000,2265941000,2510725000,668086000,4438000,437000,672961000,389132000,1062093000,3572818000,-85803000,30535000,32670000,-751000,-23349000,-2147000,-197273000,-199420000,77792000,141204000,221656000,-1113000,-1113000,-1113000,-18092000,929014000,1857000,0.12604,-0.40326,0.24076,0.02733,0.00813,0.0639600000000001,1.50886,2.36394,0.26002,0.28045,0.27446,1.16485,6.50085,0.01794,0.00864,0.000549999999999999,-39.94307,-14.86109
"7","2017_Q2",5.39634920634921,"Down",105109000,-92044000,13065000,-61787000,-57740000,-2996000,-1051000,-48722000,-21033000,-20558000,-475000,-69755000,-69755000,-5400000,-75155000,-75155000,85037000,9882000,9882000,203791000,203791000,54065000,54065000,59603000,23615000,11585000,12030000,341074000,44925000,2933029000,17448000,87543000,2828038000,2977954000,3319028000,114195000,65520000,48675000,33389000,91313000,74284000,17029000,238897000,944179000,987406000,578425000,41068000,367913000,1931585000,2170482000,672906000,20161000,236000,693303000,455243000,1148546000,3319028000,-75155000,29948000,15419000,-7692000,-37480000,-2610000,-159754000,-162364000,47360000,151126000,197419000,-2425000,-2425000,-2425000,-18774000,977568000,-23676000,0.1243,-0.46354,0.09402,0.0086,0.00298,-2.39587,1.4277,1.88976,0.29453,0.09498,0.09282,1.01029,6.66394,-0.22757,0.00317,-0.0076,-41.21535,-15.88147
"8","2017_Q3",6.81571428571429,"Up",130622000,-106227000,24395000,-65045000,-60284000,-3710000,-1051000,-40650000,-22179000,-21971000,-208000,-62829000,-62829000,-10781000,-73610000,-73610000,91956000,18346000,18346000,211321000,211321000,64030000,64030000,52744000,28247000,12575000,15672000,356342000,41774000,3090986000,16397000,87543000,2987046000,3132760000,3489102000,128297000,75336000,52961000,282771000,89682000,70601000,19081000,500750000,770094000,1004975000,578484000,54376000,372115000,1775069000,2275819000,679077000,45282000,-3132000,721227000,492056000,1213283000,3489102000,-73610000,31706000,20433000,9780000,-11691000,-1854000,-180225000,-182079000,78244000,125891000,204777000,11007000,11007000,11007000,-8944000,1052865000,9763000,0.18676,-0.3112,0.14045,0.01512,0.00526,0.53216,0.71162,1.87575,0.30176,0.17457,0.1709,1.24292,6.86275,0.0929,0.00561,0.00298,-94.09034,-20.70219
"9","2017_Q4",5.74873015873016,"Down",144546000,-116887000,27659000,-72834000,-67846000,-3936000,-1052000,-45175000,-23123000,-23217000,94000,-68298000,-68298000,-14517000,-82815000,-82815000,110822000,28007000,28007000,216142000,216142000,73031000,73031000,63323000,39028000,13907000,25121000,391524000,38819000,3287410000,15345000,87543000,3184522000,3326229000,3717753000,163222000,108689000,54533000,285248000,95621000,74793000,20828000,544091000,853317000,1030244000,581517000,68975000,379752000,1883561000,2427652000,684409000,73064000,-3537000,753936000,536165000,1290101000,3717753000,-82815000,32423000,22338000,13195000,-14859000,-1492000,-218414000,-219906000,83881000,153851000,237950000,3185000,3185000,3185000,-12752000,1138565000,13468000,0.19135,-0.31253,0.19376,0.02171,0.00753,0.48088,0.71959,1.88175,0.30625,0.26476,0.25554,1.36644,7.12719,0.12732,0.0081,0.00389,-72.33556,-20.41888
"10","2018_Q1",6.75081967213115,"Up",149422000,-132927000,16495000,-64152000,-58665000,-4437000,-1050000,-47657000,-6057000,-4772000,-1285000,-53714000,-53714000,-1440000,-55154000,-55154000,123444000,68290000,68290000,202525000,202525000,60359000,60359000,94427000,59552000,9202000,50350000,416863000,36402000,3509871000,14294000,87543000,3408034000,3546273000,3963136000,212423000,115193000,97230000,37143000,61579000,42609000,18970000,311145000,1279227000,1008447000,522243000,83119000,403085000,2287674000,2598819000,682961000,202734000,-4113000,881582000,482735000,1364317000,3963136000,-55154000,42284000,20429000,-4540000,3019000,-2e+06,-245978000,-247978000,183495000,44616000,229353000,-15606000,-15606000,-15606000,-5373000,1316370000,-10473000,0.11039,-0.31894,0.45703,0.05005,0.01723,-0.15336,1.33977,1.90485,0.33215,0.63934,0.62417,1.3989,8.25343,-0.09805,0.01851,-0.00284,-207.30411,-23.37212
