"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",1.04063492063492,"Down",1327127,-1111527,215600,-1084080,-969558,-114522,-868480,-3402,-3402,-871882,-871882,-871882,-871882,-871882,-2658,-874540,69894022.5677548,69894022.5677548,-6846221.42138572,-6846221.42138572,5856402.93425856,3989701.91004937,-4338509.85162078,72893905.990677,3819346.05757186,-4090435.3607617,-4090435.3607617,-271013.238875253,72622892.7518018,-6147178.60918091,-8156538.81141622,2009360.20223531,1421225.33000562,1421225.33000562,-4725953.27917529,11824434.2506255,11824434.2506255,11824434.2506255,7098480.97145026,100449836.827423,-34917094.0452804,65524411.7803515,65524411.7803515,72622892.7518018,-871882,231790,38316,-38499,-640275,-1892,-2106,-11919,-654300,-654300,-654300,-636690,0,0.16246,-0.65441,-0.65897,4.49732975249318,3.35190218039635,117.74892319386,-1.52749840342189,0,-0.0348,-0.0348,0.05281,2.28494658571668,4.0339424867636,175.713390560049,114.79697184164
"2","2011_Q3",1.10453125,"Up",1244922,-1117005,127917,-762553,-896821,134268,-634636,-13433,-13433,-648069,-228069,-228069,-228069,-228069,-2658,-230727,31314401.7838774,31314401.7838774,-2625533.21069286,-2625533.21069286,2855608.46712928,2342723.45502468,-1827425.42581039,33887200.4953385,3624087.02878593,-1403699.18038085,-1403699.18038085,2220425.88056237,36107626.3759009,-2368750.30459045,-3425087.40570811,1056337.10111766,645350.165002811,645350.165002811,-1723400.13958764,5386716.12531277,5386716.12531277,5386716.12531277,3663315.98572513,72130703.9137115,-39678062.5226402,32444310.3901757,32444310.3901757,36107626.3759009,-228069,241652,-386545,-274413,-647375,-31084,-31272,2424444,1745797,1745797,1745797,-392984,0,0.10275,-0.50978,-0.18533,1.93279987624659,1.43344609019818,54.6369215969302,-0.590314201710946,0,-0.00917999999999999,-0.00917999999999999,0.04954,1.16386829285834,1.7308612433818,79.0313452800245,51.5171159208201
"3","2011_Q4",0.81,"Down",1410694,-1053268,357426,-1050914,-862798,-188116,-693488,-173777,-173777,-867265,-1030265,-1030265,-1030265,-1030265,-2658,-1032923,10369675.9279591,10369675.9279591,-242833.403564287,-242833.403564287,1300586.82237643,1236365.15167489,-436405.47527013,12663794.4984462,3418957.67626198,-25457.7267936169,-25457.7267936169,3393512.62685412,16057307.1253003,-244222.768196818,-767263.135236037,523040.367039219,246008.055000937,246008.055000937,1785.28680411889,1948993.70843759,1948993.70843759,1948993.70843759,1950778.99524171,56936597.6379038,-42821738.5075467,14106528.1300586,14106528.1300586,16057307.1253003,-1030265,400767,221348,-112568,-520718,-72425,-72594,-13001,-606313,-606313,-606313,-292721,0,0.25337,-0.49159,-0.73221,0.499089958748864,0.362822030066059,19.7893338656434,-0.0395847339036486,0,-0.0411,-0.0411,0.05613,0.532126097619446,0.444800414460601,25.8136350933415,16.80824530694
"4","2012_Q1",0.596935483870968,"Down",1256230,-799756,456474,-1222858,-925895,-296963,-766384,-22613,-22613,-788997,-711997,-711997,-711997,-711997,-2658,-714655,2112254,2112254,792835,792835,749849,567055,141154,4221993,3208911,457991,457991,3666902,7888895,666138,372259,293879,108060,108060,774198,662181,662181,662181,1436379,51206680,-44745833,6452516,6452516,7888895,-711997,247539,119837,-265921,-610542,-32095,-51897,610640,-51798.9999999995,-51798.9999999995,-51798.9999999995,-518845,0,0.36337,-0.61007,-0.56889,-0.11076,-0.09059,5.45338,0.22261,0,-0.02844,-0.02844,0.04999,0.25675,-0.10045,4.07107,2.75613
"5","2012_Q2",0.739365079365079,"Up",1213417,-1147075,66342,-1168659,-967345,-201314,-1102317,93,93,-1102224,-1102224,-1102224,-1102224,-1102224,-2658,-1104882,1594545,1594545,972429,972429,761906,231221,211857,3560101,2998900,460349,460349,3459249,7019350,802066,548804,253262,116367,116367,918433,677192,677192,677192,1595625,51280113,-45848057,5423725,5423725,7019350,-1102224,223520,94365,242253,-542086,-6795,-15867,40244,-517709,-517709,-517709,-878797,0,0.05467,-0.90844,-0.91055,-0.20371,-0.15741,3.87628,0.29419,0,-0.04171,-0.04171,0.04581,0.20477,-0.1811,1.81446,1.44654
"6","2012_Q3",0.940634920634921,"Up",1228655,-1029757,198898,-990949,-801288,-189661,-792051,-2694,-2694,-794745,-628745,-628745,-628745,-628745,-2658,-631403,3381123,3381123,828864,828864,806184,139388,118774,5155559,2791495,500462,500462,3291957,8447516,628811,354882,273929,132060,132060,760871,1010543,1010543,1010543,1771414,53161235,-46476802,6676102,6676102,8447516,-628745,228334,-167644,96045.0000000001,-472010,-11253,-11833,2270421,1786578,1786578,1786578,-563717,0,0.16188,-0.64465,-0.5139,-0.09458,-0.07474,6.77586,0.26534,0,-0.02208,-0.02208,0.04297,0.23348,-0.08214,5.99791,4.26882
"7","2012_Q4",0.635645161290323,"Down",1317371,-1113150,204221,-967170,-834933,-132237,-762949,-3123,-3123,-766072,-552977,-552977,-552977,-552977,-2658,-555635,2524397,2524397,853097,853097,441194,187984,168509,4006672,2591649,992032,992032,3583681,7590353,586107,345818,240289,40000,40000,626107,813148,813148,813148,1439255,53189208,-47029779,6151098,6151098,7590353,-552977,217985,-170442,-304689,-810123,-7952,-41387,-5216,-856726,-856726,-856726,-544964,0,0.15502,-0.57915,-0.42178,-0.09033,-0.0732,6.39934,0.23398,0,-0.01896,-0.01896,0.04496,0.20991,-0.07978,4.63223,3.30874
"8","2013_Q1",0.665666666666667,"Up",1311645,-1077902,233743,-1174396,-967029,-207367,-940653,-55211,-55211,-995864,-1204959,-1204959,-1204959,-1204959,-2658,-1207617,2672711,2672711,865056,865056,444345,154041,144116,4136153,2416853,952476,952476,3369329,7505482,596992,389105,207887,52000,52000,648992,1038298,1038298,1038298,1687290,54061261,-48234738,5818192,5818192,7505482,-1204959,254518,302898,23986.9999999999,-623556,-29057,-26428,798298,148314,148314,148314,-686135,0,0.17821,-0.71716,-0.92069,-0.20756,-0.1609,6.3732,0.29,0,-0.04012,-0.04012,0.04357,0.19327,-0.17613,3.89531,2.84134
"9","2013_Q2",0.5396875,"Down",1056232,-1076657,-20425,-1102381,-960909,-141472,-1122806,138,138,-1122668,-993668,-993668,-993668,-993668,-2658,-996326,5028727,5028727,845098,845098,410464,212088,200948,6496377,2210460,952266,952266,3162726,9659103,514385,347606,166779,64000,64000,578385,925717,925717,925717,1504102,57391738,-49228406,8155001,8155001,9659103,-993668,213472,-32146,-126287,-938629,0,-6869,3301514,2356016,2356016,2356016,-909334,0,-0.01934,-1.06303,-0.94328,-0.12217,-0.10315,11.23193,0.18444,0,-0.02942,-0.02942,0.03119,0.2408,-0.10972,5.53012,4.47871
"10","2013_Q3",0.624375,"Up",975457,-1134083,-158626,-940829,-791653,-149176,-1099455,128,127.999999999993,-1099327,-1154327,-1154327,-1154327,-1154327,-2658,-1156985,4440703,4440703,656168,656168,402912,236379,228368,5736162,2028682,951943,951943,2980625,8716787,620813,393225,227588,76000,76000,696813,997509,997509,997509,1694322,57413529,-50382733,7022465,7022465,8716787,-1154327,188723,35669.0000000001,355568,-574367,-3.63797880709171e-12,-6622,-7035.00000000093,-588024,-588024,-588024,-910732,0,-0.16262,-1.12712,-1.1861,-0.16475,-0.13273,8.232,0.24127,0,-0.03343,-0.03343,0.02818,0.2029,-0.14426,4.87597,4.039
