"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",3.69952380952381,"Up",16961000,14306000,23189000,-8883000,2655000,466000,1493000,-8400000,8561000,-11634000,-11634000,-3073000,-3073000,-3073000,430000,-2643000,-2643000,-2643000,-2963000,148048007.885803,617755.690927073,-193444756.376729,1752930630.33546,-144219334.686629,1897149965.02209,27393726.524035,-311069439.705396,1440691642.36431,829831338.928746,1019815661.96186,-189984323.033116,415628648.334648,222721090.047192,84823529.3143979,1553004606.62498,22799437.772095,173307021.53435,-395135429.638801,86716006.0716781,-112312964.260678,-112312964.260678,1440691642.36431,55413520.7162643,719121.731506689,-7718075.04531619,-294346247.843463,70307398.6062796,-175624281.834728,-80664881.3068142,466703889.01006,-91161384.4563906,294877623.246855,193366.572096282,2067697396.57597,140766.300119883,1417936056.18619,-473810087.322895,3012157498.31149,3131410839.72361,3131410839.72361,3131410839.72361,11393045.3918496,0,-43704040.7749262,-0.18118,-0.17469,-2.5434975533835,-0.277667326321229,-40.4485927881258,24.1920303787157,0.399151918218893,-0.34845,-0.34845,1.99462,-14.5941182718682,-5.12423520348794,-0.0225141541446333,-0.291930797797534,-0.0058163301498624,-0.00154652536336483,-1254.59540780738,-1238.1776568062
"2","2010_Q3",3.3046875,"Down",16417000,14421000,22696000,-8275000,1996000,447000,1544000,-6200000,10217000,-11442000,-11442000,-1225000,-1225000,-1225000,862000,-363000,-363000,-363000,-684000,68390670.8724281,2059269.70182777,69345729.9324113,1515746536.17891,-93331645.166202,1609078181.34511,27922187.4794854,-121864367.842878,1572618075.92763,1064651980.762,1104786819.71299,-40134838.950995,291891879.111812,146451248.025169,51516282.3010122,1554511390.19999,21503966.811784,173512611.484987,-216853162.474027,39943269.904895,18106685.7276383,18106685.7276383,1572618075.92763,11083840.2387548,612040.577168896,7260641.65156127,-69907415.9478209,-3147533.79790681,-54098427.2782427,-23569293.7689381,141083963.003353,33690205.1812031,151204874.415618,65122.1906987606,612611465.525324,36922.1000399611,446710685.395397,-119170029.107632,940254166.103828,1037360613.2412,1037360613.2412,1037360613.2412,-2387318.2027168,-1.49011611938477e-08,-43187346.9249754,-0.07462,-0.04166,-1.20830336180453,-0.130275907371322,-5.67324092937528,17.7625548686484,0.27065035638341,-0.0804399999999998,-0.0804400000000002,1.93064,0.240033588336978,-5.07425173449598,-0.00758471804821111,-0.136753092158685,-0.0144793760799266,-0.000395508454454942,-679.949045497268,-660.659947629975
"3","2010_Q4",3.81953125,"Up",16223000,13934000,21734000,-7800000,2289000,452000,1738000,-10400000,5823000,-11898000,-11898000,-6075000,-6075000,-6075000,718000,-5357000,-5357000,-5357000,-5682000,24321001.5771605,24532351.1381854,218688398.724654,1340640826.06709,-61902866.9373257,1402543693.00442,28042195.304807,-13323637.9410792,1630642028.47286,1207042117.78575,1149912432.39237,57129685.3933769,205567829.66693,95544218.0094384,30023105.8628796,1538177271.325,20596487.554419,173683604.30687,-114737685.92776,12922351.2143356,92464757.1478644,92464757.1478644,1630642028.47286,-5357000,569000,10400000,22151000,-26532000,1231000,1255000,4645000,70301000,76201000,1000,-5005000,-1000,11704000,7982000,14681000,92113000,92113000,92113000,-5506000,0,-31501000,-0.37447,-0.35024,-0.419407510676699,-0.0438709652642459,5.544,13.9273180757431,0.184151383643779,-0.6679,-0.6679,1.90697,8.67057884562637,-3.70286,-0.00012,-0.0458761595595068,-0.0144472660299725,0.00018,-304.043727061475,-285.17865786124
"4","2011_Q1",5.98290322580645,"Up",15992000,13688000,20524000,-6836000,2304000,1619000,685000,-6800000,9192000,-12182000,-12182000,-2990000,-2990000,-2990000,-1963000,-4953000,-4953000,-4953000,-5282000,6674000,57524000,281918000,1217262000,-45368000,1262630000,27873000,35228000,1632421000,1273832000,1160888000,112944000,149969000,6.5e+07,17684000,1506485000,20077000,173815000,-68781000,825000,125936000,125936000,1632421000,-4953000,565000,6800000,31379000,-20494000,13297000,5595000,-11814000,57433000,51214000,0,-95027000,-1.81898940354586e-12,-78032000,750000.000000007,-172309000,-107798000,-107798000,-107798000,-2425000,214969000,-15361000,-0.18697,-0.33029,-0.04194,-0.00324,2.90818,11.96231,0.13169,-0.62022,-0.62022,1.87781,12.43017,-1.80372,-1.21972744404619e-19,-0.00324,-0.00941,0,-85.89485,-69.66388
"5","2011_Q2",5.74698412698413,"Down",15201000,13449000,19159000,-5710000,1752000,422000,1330000,-2200000,13001000,-11581000,-11581000,1420000,1420000,1420000,0,1420000,1420000,1420000,1088000,6284666.14094649,90521216.2872715,286369283.758449,1135258557.97764,-39162044.3542247,1174420602.33186,27533851.5650643,44465795.9803597,1595612490.50905,1281851877.40475,1143409022.53588,138442854.868874,118407890.111023,49818593.9968539,11838964.7123735,1461917326.225,19945504.148527,173901798.564377,-58975104.6907466,-1177033.73811187,133695164.284045,133695164.284045,1595612490.50905,1420000,575000,2200000,9769000,-6277000,7687000,2131000,13041000,46215000,61387000,0,-71000,22000,-20188000,-36147000,-56384000,12690000,12690000,12690000,1995000,0,-2151000,0.09341,0.07157,0.0589691702255665,0.0068294884214153,-1.97702,11.143520641419,0.105301205452074,0.12652,0.12246,1.76773,13.2514595514579,-0.25014,0,0.00721538651983559,-0.00305757799000917,0,15.4821881871585,27.9542934537468
"6","2011_Q3",5.6871875,"Down",14861000,13158000,18460000,-5302000,1703000,401000,1302000,-1700000,13161000,-10443000,-10443000,2718000,2718000,2718000,0,2718000,2718000,2718000,2381000,13988000,113011000,259377000,1084279000,-38720000,1122999000,27144000,35065000,1537874000,1247932000,1103171000,144761000,104197000,4.5e+07,9828000,1406957000,20202000,173939000,-65312000,2088000,130917000,130917000,1537874000,2718000,574000,1700000,6871000,-4529000,7334000,2650000,10009000,75409000,88068000,0,-30012000,38000,-5712000,-9605000,-45291000,50111000,50111000,50111000,3292000,149197000,1413000,0.18289,0.16022,0.01819,0.00155,0.59345,10.74694,0.09702,0.27672,0.26836,1.72712,12.8671,0.16422,1.73472347597681e-18,0.00155000000000001,0.000920000000000001,-2.16840434497101e-19,41.07199,49.74577
"7","2011_Q4",6.00142857142857,"Up",14099000,12295000,17044000,-4749000,1804000,405000,1399000,-1100000,12999000,-9975000,-9975000,3024000,3024000,3024000,0,3024000,3024000,3024000,2682000,18890000,106813000,233178000,1054686000,-39351000,1094037000,26865000,32666000,1477985000,1185333000,1041311000,144022000,102330000,4.5e+07,8589000,1341252000,20266000,173972000,-62630000,5125000,136733000,136733000,1477985000,3024000,545000,1100000,12669000,-16716000,622000,2918000,29057000,30569000,62544000,0,-7000,1000,-62599000,-1857000,-64462000,-1296000,-1296000,-1296000,3569000,147330000,-10229000,0.21448,0.19023,0.01961,0.00181,-3.81394,9.80928,0.09968,0.3117,0.30244,1.6386,13.53592,-1.18883,0,0.00181,-0.00692,0,35.98767,42.47354
"8","2012_Q1",8.19032258064516,"Up",14358000,12335000,16406000,-4071000,2023000,1537000,486000,-1900000,12458000,-9496000,-9496000,2962000,2962000,2962000,27361000,30323000,30323000,30323000,29991000,12402000,63970000,233473000,1035890000,-36532000,1072422000,26802000,56289000,1433229000,1112075000,965044000,147031000,105559000,4.5e+07,5596000,1268230000,20331000,173979000,-32639000,3328000,164999000,164999000,1433229000,30323000,506000,1900000,-6316000,-19550000,6863000,2807000,-203000.000000004,13119000,15723000,-1620000,-279999.999999993,-2.91038304567337e-11,-73258000,3241000,-71917000,-49331000,-49331000,-49331000,3468000,150559000,-40636000,0.2063,2.0888,0.18176,0.02093,-1.35494,7.68629,0.10505,3.48594,3.37446,1.66887,16.81518,-4.72324,0.1883,0.02206,-0.02835,0.05402,39.83766,46.64315
"9","2012_Q2",10.2639682539683,"Up",13803000,11869000,15553000,-3684000,1934000,386000,1548000,0,13803000,-9654000,-9654000,4149000,4149000,4149000,-1269000,2880000,2880000,2880000,2552000,13642000,71366000,210869000,1020731000,-30943000,1051674000,26467000,54094000,1401596000,1093434000,941817000,151617000,90430000,4.5e+07,5648000,1234512000,20396000,174010000,-30087000,2765000,167084000,167084000,1401596000,2880000,510000,0,15933000,-16389000,2934000,9644000,22133000,7951000,39728000,-263000,-20000,18000,-18641000,-15120000,-34026000,8636000,8636000,8636000,4659000,135430000,-817000,0.30059,0.18489,0.01527,0.00182,-0.32014,7.38857,0.09663,0.29656,0.28383,1.60398,17.04587,-0.09494,0.03056,0.00201,-0.00058,0.10306,26.14037,29.35358
"10","2012_Q3",11.4580952380952,"Up",13451000,11511000,14930000,-3419000,1940000,378000,1562000,3e+06,16451000,-10604000,-10604000,5847000,5847000,5847000,-1856000,3991000,3991000,3991000,3288000,18405000,64061000,188864000,1031307000,-29689000,1060996000,26164000,52549000,1385245000,1105630000,941098000,164532000,85821000,3.5e+07,9132000,1235583000,0,174026000,-26799000,2435000,149662000,149662000,1385245000,3991000,578000,-3e+06,16416000,-12951000,5034000,1715000,22711000,-8510000,15916000,-99000.0000000002,-9991000,2.3283064365387e-10,12196000,-25598000,-23492000,-2541999.99999999,-2541999.99999999,-2541999.99999999,6425000,120821000,-2955000,0.43469,0.24444,0.02197,0.00237,-0.89872,8.25582,0.08722,0.381870000000001,0.36307,1.56222,17.38198,-0.3432,0.0115,0.00245,-0.00213,0.03011,15.94023,17.51599
"11","2012_Q4",10.29,"Down",13641000,11584000,14768000,-3184000,2057000,378000,1679000,4e+05,14041000,-10185000,-10185000,3856000,3856000,3856000,-1240000,2616000,2616000,2616000,2617000,15311000,88684000,197311000,1007526000,-27762000,1035288000,26100000,49493000,1388364000,1107566000,940676000,166890000,93021000,3.5e+07,8219000,1243806000,0,166728000,-24183000,2013000,144558000,144558000,1388364000,2616000,581000,-4e+05,24692000,-28253000,-764000,979000,-8237000,27842000,20584000,-134000,10000,-7312000,1936000,7209000,1709000,21529000,21529000,21529000,4437000,128021000,-21597000,0.28268,0.19185,0.0181,0.00188,-8.25258,8.6042,0.09221,0.3035,0.3028,1.58196,16.76457,-2.50463,0.01554,0.00198,-0.01556,0.0512,25.4023,29.22977
"12","2013_Q1",11.214,"Up",13800000,11737000,14666000,-2929000,2063000,1608000,455000,-3e+05,13500000,-9181000,-9181000,4319000,4319000,4319000,-1271000,3048000,3048000,3048000,3048000,20302000,115701000,200323000,1012512000,-28677000,1041189000,25919000,44295000,1422926000,1135204000,944963000,190241000,97755000,3.5e+07,8377000,1276336000,4.65661287307739e-10,166074000,-21134000,1650000,146590000,146590000,1422926000,3048000,569000,3e+05,31312000,-25402000,9827000,5439000,-3891000,-11046000,-9498000,-774000,1000,70000,27638000,4744000,31679000,32008000,32008000,32008000,4888000,132755000,-13804000,0.31297,0.22087,0.02079,0.00214,-4.52887,8.70684,0.0933,0.35187,0.35001,1.59311,16.92276,-1.59357,0.08935,0.00269,-0.0097,0.25394,23.00593,26.03681
"13","2013_Q2",11.37,"Up",13281000,11454000,14209000,-2755000,1827000,374000,1453000,1500000,14781000,-8570000,-8570000,6211000,6211000,6197000,-1797000,4400000,4400000,4400000,4400000,14382000,100395000,202360000,996921000,-26035000,1022956000,25665000,41733000,1385355000,1092790000,903313000,189477000,101734000,3.5e+07,6139000,1235663000,0,165353000,-16734000,1073000,149692000,149692000,1385355000,4400000,553000,-1500000,15310000,-15464000,3299000,2559000,-2670000,14779000,14668000,-864000,81000,16000,-42414000,3988000,-39193000,-21226000,-21226000,-21226000,6764000,136734000,-4344000,0.46766,0.3313,0.02939,0.00318,-0.98727,8.2547,0.0987,0.50542,0.50467,1.52556,17.19476,-0.49898,0.09925,0.0038,-0.00314,0.19636,18.0887,19.69924
