"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","deferred_tax_assets_short_term","total_current_assets","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2014_Q2",17.2049206349206,"Up",51500000,-23800000,27700000,-3.7e+07,-29700000,-7300000,-9300000,-12200000,-15800000,2800000,8e+05,-21500000,80200000,58700000,-8800000,49900000,49900000,-37400000,12500000,10500000,504493905.862801,504493905.862801,287296241.223961,287296241.223961,-5845226505.50797,-5845226505.50797,-5053436358.4212,2894597019.90855,20627282992.5026,20627282992.5026,23521880012.4111,18468443653.9899,2286144042.18219,77036358.6408623,1697943359.68724,2286144042.18219,12616468381.9288,12616468381.9288,14902612424.111,-2038972836.37193,729217374.79714,791570711.733075,-518184749.697366,4084015979.57624,3565831229.87888,18468443653.9899,49900000,7300000,-69100000,-2.5e+07,-36900000,-357700000,1e+07,-367700000,-367700000,-147400000,-576700000,-7800000,487500000,1.539e+09,-2500000,-9500000,2009200000,1395600000,1395600000,-7e+05,1394900000,-2e+06,0,-375900000,0.53786,-0.18058,0.20388,0.188853825858181,0.0676404407051672,-35.8,-166.022954219426,4.55673244603023,0.869359711588667,0.11913,0.11742,0.58428,-36.1303576823642,-4.26468,0.08849,0.075943702882849,6.7280263909776,0.74286,1944.12817525242,-85143.7696264063
"2","2014_Q3",18.26359375,"Up",91800000,-21800000,7e+07,-66700000,-41400000,-25300000,3300000,7300000,-25800000,3.1e+07,2100000,10600000,78500000,89100000,-25400000,63700000,63700000,-25300000,38400000,36300000,327746952.931401,327746952.931401,150948120.611981,150948120.611981,-478213252.753983,-478213252.753983,481820.789398193,1509698509.95428,9677241496.25128,9677241496.25128,11186940006.2056,11187421826.995,1157622021.0911,40939391.2751266,888321679.843622,1157622021.0911,6803884190.96442,6803884190.96442,7961506212.05551,-476136418.185965,291308687.39857,338935355.866537,154107625.151317,3071807989.78812,3225915614.93944,11187421826.995,63700000,25300000,-46900000,59900000,1.02e+08,-917100000,5e+06,-922100000,-922100000,-151600000,-1.11e+09,-10300000,90899999.9999999,200000.000000238,-1e+05,-66100000,14700000,-993299999.999999,-993299999.999999,19900000,-973400000,28600000,0,-803200000,0.76253,0.03595,0.39542,0.0659469129290905,0.0218102203525836,-22.12672,-64.8608971097132,2.48944622301512,0.620764855794334,0.40719,0.31997,1.02975,-11.1740138411821,-9.00979,0.11554,0.0261218514414245,2.8663031954888,0.28375,876.06755262621,-33697.2686732032
"3","2014_Q4",18.6796875,"Up",113700000,-38900000,74800000,-75300000,-40600000,-34700000,-5e+05,-19500000,-29700000,12100000,-1900000,-2e+07,23600000,3600000,-6600000,-3e+06,-3e+06,2800000,-2e+05,-2200000,218315650.977134,218315650.977134,80216040.2039935,80216040.2039935,2678062249.08201,2678062249.08201,2976593940.26313,771032836.651425,3740547165.41709,3740547165.41709,4511580002.06852,7488173942.33165,526940673.697032,20402271.7281725,437640559.947874,526940673.697032,3886194730.32147,3886194730.32147,4413135404.0185,486187860.604678,44336229.1328567,83311785.2888458,613835875.050439,2461202663.26271,3075038538.31315,7488173942.33165,-3e+06,34700000,-13400000,2300000,20600000,-247100000,1300000,-248400000,-248400000,23100000,-262200000,-10300000,471700000,-4e+05,-3e+05,-23700000,437300000,195700000,195700000,-8400000,187300000,34200000,0,-2.04e+08,0.65787,-0.0044,-0.01935,0.00593230430969683,0.000113406784194536,92.72727,-7.80923570323774,1.42352874100504,0.503054951931445,-0.02464,-0.03253,1.27363,3.30689871960597,-2.28513,0.11538,0.00233728381380816,0.769801065162934,-4.68182,298.451734208737,-7357.16720440105
"4","2015_Q1",19.3018032786885,"Up",141600000,-52600000,8.9e+07,-8.7e+07,-49800000,-37200000,2e+06,-19700000,-32100000,8300000,4100000,-17700000,-11200000,-28900000,8400000,-20500000,-20500000,-8300000,-28800000,-30800000,174600000,174600000,55600000,55600000,4228100000,4228100000,4458300000,492200000,1381600000,1381600000,1873800000,6332100000,264900000,11700000,253200000,264900000,3023300000,3023300000,3288200000,991300000,-6.2e+07,-28200000,901100000,2142800000,3043900000,6332100000,-20500000,37200000,-42600000,38300000,12400000,-415600000,8400000,-4.24e+08,-4.24e+08,-89200000,-524300000,-10500000,270100000,470800000,-5300000,-28200000,702200000,190300000,190300000,-39600000,150700000,39200000,3023300000,-346500000,0.62853,0.01412,-0.21751,-0.01012,-0.00486,11.25,16.83012,1.08026,0.47746,-0.34131,-0.32179,1.56914,9.98551,-3.83973,0.11636,-0.00335,-0.05711,-0.340909999999999,72.67092,1424.35
"5","2015_Q2",18.7284126984127,"Down",137700000,-47700000,9e+07,-73700000,-37100000,-36600000,16300000,-20400000,-32400000,11200000,8e+05,-4100000,-8300000,-12400000,8100000,-4300000,-4300000,2800000,-1500000,-3500000,1.95e+08,1.95e+08,57600000,57600000,4776400000,4776400000,5.029e+09,486800000,1164800000,1164800000,1651600000,6680600000,242300000,11107576.0906092,242300000,242300000,3375100000,3375100000,3617400000,1182500000,-7.8e+07,-48500000,1.056e+09,2007200000,3063200000,6680600000,-4300000,36600000,-18200000,-30700000,-16600000,-722700000,34400000,-757100000,-757100000,-60500000,-792200000,-10700000,4.72e+08,1.84e+08,-3100000,-75500000,569800000,-2.39e+08,-2.39e+08,-28800000,-267800000,52900000,3375100000,-708600000,0.65359,0.11837,-0.02542,-0.00114,-0.00052,202.45714,20.75526,1.18092,0.50521,-0.03823,-0.03823,1.50413,11.53495,-7.74022,0.11688,0.00112,-0.11006,-3.05714,60.11531,195.09816
"6","2015_Q3",18.12734375,"Down",140500000,-46300000,94200000,-95600000,-57600000,-3.8e+07,-1400000,-18200000,-3.8e+07,1.7e+07,2800000,-19600000,85600000,6.6e+07,-36100000,29900000,29900000,1900000,31800000,31200000,188600000,188600000,64300000,64300000,4986700000,4986700000,5239600000,551400000,1.556e+09,1.556e+09,2107400000,7.347e+09,3.2e+08,14900000,305100000,3.2e+08,3980400000,3980400000,4300400000,1209100000,-60200000,-33600000,1115300000,1931300000,3046600000,7.347e+09,29900000,3.8e+07,-81600000,67600000,53900000,2.4e+08,469600000,-229600000,-229600000,-107300000,19300000,-12900000,372400000,19700000,-8200000,-138700000,240500000,313700000,313700000,9e+06,322700000,36600000,3980400000,380300000,0.67046,-0.00995999999999997,0.22206,0.01024,0.00425,12.1890999999999,16.37375,1.41154,0.54177,0.30061,0.26821,1.35369,10.7457,3.66412,0.12429,0.00628,0.05412,0.41346,103.60109,-2708.42857
"7","2015_Q4",18.17609375,"Up",159200000,-53200000,1.06e+08,-91300000,-46400000,-44900000,14700000,-31400000,-4.3e+07,15900000,-4300000,-16700000,26300000,9600000,-4500000,5100000,5100000,10300000,15400000,14900000,153800000,153800000,56200000,56200000,5463500000,5463500000,5673500000,499600000,1119600000,1119600000,1619200000,7292700000,368800000,19900000,348900000,368800000,3999100000,3999100000,4367900000,1214400000,-58900000,-36400000,1119100000,1805700000,2924800000,7292700000,5100000,44900000,-20100000,4.7e+07,76900000,-527900000,19400000,-547300000,-547300000,72200000,-482300000,-14100000,42600000,-1e+05,-1e+05,-59600000,-31200000,-436600000,-436600000,-14400000,-4.51e+08,59600000,3999100000,-416800000,0.66583,0.09234,0.09359,0.00509,0.00204,-27.97315,15.38368,1.4934,0.54837,0.13702,0.1371,1.46395,10.29089,-3.83276,0.12966,0.00419,-0.0602,0.94631,64.51846,261.585030000001
"8","2016_Q1",14.7085245901639,"Down",166300000,-53300000,1.13e+08,-111600000,-64800000,-46800000,1400000,8200000,-43300000,53300000,-1800000,9600000,39600000,49200000,-20900000,28300000,28300000,7e+05,2.9e+07,28500000,731600000,731600000,54700000,54700000,5797500000,5797500000,6583800000,444900000,566900000,566900000,1011800000,7595600000,414200000,22200000,3.92e+08,414200000,4316300000,4316300000,4730500000,1225700000,-44200000,-47700000,1133800000,1731300000,2865100000,7595600000,28300000,46800000,-48500000,37400000,6.4e+07,-294400000,99200000.0000001,-393600000,-393600000,100100000,-228400000,-14100000,394800000,0,9.31322574615479e-10,-4.1e+07,339700000,175300000,175300000,14700000,1.9e+08,48200000,4316300000,-187900000,0.67949,0.00842,0.17138,0.00995,0.00375,-6.59298,15.89522,1.65108,0.56826,0.26156,0.23425,1.52623,10.40554,-1.72447,0.1294,0.00593,-0.02616,0.49474,74.37137,2560.5
"9","2016_Q2",15.49625,"Up",172100000,-56900000,115200000,-105900000,-57600000,-48300000,9300000,-24700000,-44600000,19200000,7e+05,-15400000,36400000,2.1e+07,-5e+05,20500000,20500000,-27400000,-6900000,-7400000,180900000,180900000,68300000,68300000,5826100000,5826100000,6075300000,456700000,1126400000,1126400000,1583100000,7658400000,423900000,15900000,4.08e+08,423900000,4468600000,4468600000,4892500000,1229400000,-68400000,-46800000,1114200000,1651700000,2765900000,7658400000,20500000,48300000,-42100000,-35600000,-8900000,5800000,1.08e+08,-102200000,-102200000,166700000,148400000,-14300000,135100000,-13100000,-13100000,-81700000,2.6e+07,165500000,165500000,1e+06,166500000,57600000,4468600000,28300000,0.66938,0.05404,-0.043,-0.00268,-0.00097,-3.82432,14.33192,1.76886,0.58349,-0.06776,-0.06776,1.5758,10.20193,0.25912,0.13093,0.00095,0.00391,-1.93243,74.43924,461.043009999999
"10","2016_Q3",16.025625,"Up",176600000,-65600000,1.11e+08,-103100000,-54100000,-4.9e+07,7900000,-32400000,-45800000,8400000,5e+06,-24500000,18300000,-6200000,3900000,-2300000,-2300000,1199999.99999999,-1100000,-1700000,183500000,183500000,79100000,79100000,5894500000,5894500000,6157100000,453200000,1.086e+09,1.086e+09,1539200000,7696300000,436500000,17500000,4.19e+08,436500000,4695700000,4695700000,5132200000,1216600000,-88100000,-56600000,1071900000,1492200000,2564100000,7696300000,-2300000,4.9e+07,-38500000,11200000,19400000,-269900000,75400000,-345300000,-345300000,24300000,-267800000,-16700000,343900000,-29700000,-29700000,-50500000,2.47e+08,-1400000,-1400000,-40700000,-42100000,56900000,4695700000,-205700000,0.62854,0.04473,-0.00962999999999996,-0.00066,-0.00022,121,14.10561,2.00156,0.61012,-0.01559,-0.01559,1.61932,9.82873,-1.88615,0.15313,0.00207,-0.02833,-9.82353,79.30053,571.16456
