"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2017_Q3",91.3690476190476,"Down",238057000,-163520000,74537000,-105575000,-100192000,-5383000,-31038000,-485000,-3052000,-31523000,-31523000,-105000,-31628000,-31628000,-31628000,-31628000,61628000,61628000,526000,526000,46923000,14069000,12556000,123146000,233356000,2787000,2787000,236143000,359289000,118976000,67659000,51317000,14331000,133307000,216857000,7691000,7691000,224548000,357855000,28941000,-222376000,1434000,1434000,359289000,-31628000,5383000,1518000,-26925000,-51652000,-36668000,-35073000,703000,703000,89392000,87186000,461000,461000,461000,-25655000,216857000,-89143000,0.31311,-0.13038,-0.13286,-22.05579,-0.08803,2.81848,0.92378,249.55021,0.60357,-7.03647,-7.03647,52.96199,-43.03466,-19.83219,-0.13996,-0.39447,-6.05063,-5.00126
"2","2017_Q4",62.3904761904762,"Down",210638000,-164444000,46194000,-114696000,-99988000,-8774000,-68502000,-18832000,-1281000,-87334000,-87334000,133000,-87201000,-87201000,-87201000,-87201000,266294000,266294000,822000,822000,43519000,12391000,11087000,323026000,239002000,2770000,2770000,241772000,564798000,82699000,41203000,41496000,19762000,102461000,194303000,7837000,7837000,202140000,304601000,569774000,-309577000,260197000,260197000,564798000,-87201000,8774000,30229000,-3876000,-52074000,-24340000,-24340000,35000,35000,283389000,281080000,204666000,204666000,204666000,-59728000,194303000,-88077000,0.21931,-0.32521,-0.41399,-0.33513,-0.15439,1.01005,3.15267,1.17066,0.34402,-7.02773,-7.02773,16.97581,20.96988,-7.09833,-0.18861,-0.1905,1.20531,1.05093
"3","2018_Q1",43.9180327868852,"Down",187653000,-131469000,56184000,-93721000,-78441000,-8501000,-37537000,-1581000,-1581000,-39118000,-39118000,-2000,-39120000,-39120000,-39120000,-39120000,228514000,228514000,1945000,1945000,41927000,10363000,7824000,282749000,230828000,4132000,4132000,234960000,517709000,63063000,30448000,32615000,27646000,90709000,195034000,8116000,8116000,203150000,293859000,572547000,-348697000,223850000,223850000,517709000,-39120000,8501000,6811000,-5869000,-29677000,-8011000,-9606000,194000,194000,-49000,-92000,-39375000,-39375000,-39375000,-29036000,195034000,-42914000,0.2994,-0.20003,-0.20847,-0.17476,-0.07556,1.09698,3.1171,1.31275,0.37673,-3.05917,-3.05917,14.67438,17.50497,-3.35585,-0.09162,-0.1005,1.15305,0.89192
"4","2018_Q2",39.39375,"Down",196690000,-129332000,67358000,-97221000,-88817000,-8404000,-29863000,-1777000,-1777000,-31640000,-31640000,-25000,-31665000,-31665000,-31665000,-31665000,203517000,203517000,1832000,1832000,39745000,11835000,10672000,256929000,227110000,3631000,3631000,230741000,487670000,65269000,27680000,37589000,22883000,88152000,195679000,7013000,7013000,202692000,290844000,577580000,-380754000,196826000,196826000,487670000,-31665000,8404000,4793000,-1992000,-20460000,-4647000,-4522000,46000,46000,-60999.9999999702,-14999.9999999702,-24997000,-24997000,-24997000,-21459000,195679000,-28073000,0.34246,-0.15183,-0.16099,-0.16088,-0.06493,0.88656,2.91461,1.47767,0.40125,-2.47912,-2.47912,15.39931,15.40996,-2.1979,-0.07926,-0.07027,0.36525,0.26247
"5","2018_Q3",36.4952380952381,"Down",179556000,-116156000,63400000,-94366000,-85681000,-8685000,-30966000,-1848000,-1848000,-32814000,-32814000,-22000,-32836000,-32836000,-32836000,-32836000,180822000,180822000,1619000,1619000,37194000,11838000,10322000,231473000,222249000,3312000,3312000,225561000,457034000,65151000,27077000,38074000,19333000,84484000,196334000,7098000,7098000,203432000,287916000,582708000,-413590000,169118000,169118000,457034000,-32836000,8685000,6136000,-128000,-18143000,-4321000,-4571000,106000,106000,-87000,19000,-22695000,-22695000,-22695000,-22281000,196334000,-26708000,0.35309,-0.17246,-0.18287,-0.19416,-0.07185,0.81338,2.73984,1.70246,0.42958,-2.56347,-2.56347,14.01771,13.20283,-2.08506,-0.08814,-0.07169,-0.6962,-0.50094
"6","2018_Q4",17.6815873015873,"Down",150621000,-102406000,48215000,-80195000,-71596000,-8599000,-31980000,-1943000,-1943000,-33923000,-33923000,-19000,-33942000,-33942000,-33942000,-33942000,162902000,162902000,769000,769000,33393000,10830000,9851000,207894000,216838000,3477000,3477000,220315000,428209000,63307000,27056000,36251000,21584000,126215000,155372000,6551000,6551000,161923000,288138000,587603000,-447532000,140071000,140071000,428209000,-33942000,8599000,4954000,4992000,-15397000,-3077000,-2522000,67000,67000,-68000,-999.999999996275,-17920000,-17920000,-17920000,-23381000,196696000,-21447000,0.32011,-0.21232,-0.22535,-0.24232,-0.07927,0.63187,1.64714,2.05709,0.45935,-2.6338,-2.6338,11.68773,10.86908,-1.66422,-0.09886,-0.06247,-1.44536,-1.05672
"7","2019_Q1",18.1352459016393,"Up",140733000,-85602000,55131000,-76700000,-65701000,-8829000,-21569000,-2115000,-2115000,-23684000,-23684000,-22000,-23706000,-23706000,-23706000,-23706000,95615000,95615000,494000,494000,33634000,12259000,12259000,142002000,209515000,3382000,3382000,212897000,354899000,55167000,22573000,32594000,12372000,67539000,154299000,13759000,13759000,168058000,235597000,590538000,-471238000,119300000,119300000,354897000,-23706000,8829000,2409000,-10432000,-22900000,-1994000,-2674000,-4000,-4000,-58000,-42392000,-67966000,-67966000,-67966000,-12740000,154299000,-25144000,0.39174,-0.15326,-0.16845,-0.19871,-0.0668,1.06066,2.10252,1.97483,0.43477,-1.83231,-1.83231,10.8777,9.22107,-1.94346,-0.0825,-0.0875,-4.60628,-2.72076
"8","2019_Q2",12.1115873015873,"Down",141890000,-82704000,59186000,-62216000,-53382000,-8604000,-3030000,-2232000,-2232000,-5262000,-5262000,-13000,-5275000,-5275000,-5275000,-5275000,99114000,99114000,341000,341000,33036000,8704000,7773000,141195000,202326000,5375000,5375000,207701000,348896000,53591000,22357000,31234000,10305000,63896000,154389000,13167000,13167000,167556000,231452000,593617000,-476173000,117444000,117444000,348896000,-5275000,8604000,2399000,-589999.999999998,5138000,-1667000,-1668000,102000,102000,-66000,29000,3498999.99999999,3498999.99999999,3498999.99999999,5574000,154389000,3330000,0.41713,-0.02135,-0.03718,-0.04492,-0.01512,-0.63128,2.20976,1.97074,0.44251,-0.40619,-0.40619,10.92605,9.04362,0.256419999999999,-0.01851,0.01168,9.91658,-18.24257
"9","2019_Q3",8.1190625,"Down",119166000,-71473000,47693000,-53203000,-44831000,-8372000,-5510000,-2226000,-2226000,-7736000,-7736000,-12000,-7748000,-7748000,-7748000,-7748000,95644000,95644000,491000,491000,33704000,9048000,9048000,138887000,194916000,4739000,4739000,199655000,338542000,51076000,24827000,26249000,8624000,59700000,154508000,12923000,12923000,167431000,227131000,595330000,-483921000,111409000,111409000,338540000,-7748000,8372000,1525000,-4791000,-2642000,-1034000,-749000,-8000,-8000,-54000,-79000,-3470000,-3470000,-3470000,2862000,154508000,-2951000,0.40022,-0.04624,-0.06502,-0.06955,-0.02289,0.38087,2.32642,2.03871,0.45639,-0.59469,-0.59469,9.1464,8.55103,-0.2265,-0.02779,-0.01058,20.56744,-10.68312
"10","2019_Q4",7.57359375,"Down",99490000,-67393000,32097000,-56024000,-47460000,-7303000,-23927000,-2260000,-2260000,-26187000,-26187000,-9000,-26196000,-26196000,-26196000,-26196000,85866000,85866000,683000,683000,31154000,9062000,9062000,126765000,187559000,5721000,5721000,193280000,320045000,57608000,28179000,29429000,7671000,93859000,126045000,12653000,12653000,138698000,232557000,597603000,-510117000,87486000,87486000,320043000,-26196000,7303000,3549000,7276000,-8068000,-821000,-1105000,-40000,-40000,-65000,-104999.999999998,-9278000,-9278000,-9278000,-16624000,154625000,-10160000,0.32262,-0.2405,-0.2633,-0.29943,-0.08185,0.38785,1.35059,2.65822,0.48314,-1.99445,-1.99445,7.57474,6.66081,-0.77354,-0.10282,-0.03988,-4.13613,-2.8737
