"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2018_Q2",13.40875,"Down",106587000,-53830000,52757000,-32829000,-25832000,-1934000,19928000,-2578000,-3019000,-3019000,355000,86000,17350000,-642000,16708000,-6490000,10218000,10218000,10218000,10218000,62875000,62875000,43583000,43583000,31665000,12256000,3338000,8918000,150379000,2457000,786603000,317522000,466787000,2294000,789060000,939439000,32510000,17455000,531000,14524000,711000,35832000,191701000,102386000,78680000,23706000,294087000,329919000,612143000,-1943000,-680000,609520000,609520000,939439000,10218000,1934000,4802000,-8121000,8833000,-661000,-661000,-661000,-2418000,-1816044.46502969,-150976841.193296,-151013474.474905,-430218296.004868,-115968376.327771,6415000,6415000,-41000,6374000,21862000,192412000,19570000,0.49497,0.18696,0.09587,0.01676,0.01088,1.91525,4.19678,0.54128,0.20482,0.14479,0.14343,1.51035,8.63697,0.27731,0.0113,0.02164,5.92521,6.50025
"2","2018_Q3",17.3942857142857,"Up",109347000,-59090000,50257000,-35265000,-27742000,-1948000,14992000,-2180000,-3093000,-3093000,601000,312000,12812000,1791000,14603000,26791000,41394000,41394000,41394000,41394000,79010000,79010000,41355000,41355000,25813000,15319000,4025000,11294000,161497000,2289000,789617000,315896000,471427000,2294000,791906000,953403000,29648000,12322000,547000,16779000,714000,33379000,191522000,76790000,52517000,24273000,268312000,301691000,613042000,39451000,-781000,651712000,651712000,953403000,41394000,1948000,-29498000,2674000,16518000,-225000,-225000,-225000,-225000,-5e+05,231000,231000,-117232432.001623,-269000,16024000,16024000,111000,16135000,16940000,192236000,-7402000,0.45961,0.1371,0.37856,0.06352,0.04342,-0.17882,4.83828,0.46292,0.20163,0.58646,0.56065,1.54921,9.23333,-0.10487,0.04496,-0.00804,6.68394,7.55243
"3","2018_Q4",18.8734920634921,"Up",107233000,-55949000,51284000,-36833000,-30129000,-1911000,14451000,-3817000,-3057000,-3057000,-837000,77000,10634000,-649000,9985000,-2848000,7137000,7137000,7137000,7137000,88361000,88361000,41661000,41661000,24955000,15127000,4216000,10911000,170104000,2460000,787991000,314270000,471427000,2294000,790451000,960555000,25708000,10127000,527000,15054000,664000,28951000,191084000,80358000,55033000,25325000,271442000,300393000,614056000,46588000,-482000,660162000,660162000,960555000,7137000,1911000,5562000,-3738000,10872000,-461000,-461000,-461000,-461000,-5e+05,0,0,-319000,-819000.000000007,9592000,9592000,-241000,9351000,16362000,191748000,15011000,0.47825,0.13476,0.06656,0.01081,0.00743,2.10326,5.87558,0.45503,0.19962,0.10112,0.09715,1.51926,9.35305,0.21267,0.00766,0.0161,6.31873,7.15431
"4","2019_Q1",19.9698360655738,"Up",108262000,-82194000,26068000,-11298000,-25024000,-1705000,14770000,-3064000,-3382000,-3382000,-22000,340000,11706000,89000,11795000,-89000.0000000037,11706000,11706000,11706000,11706000,111971000,111971000,36622000,36622000,30001000,7146000,2069000,5077000,185740000,2565000,786300000,312643000,471427000,2230000,788865000,974605000,27615000,11158000,582000,15875000,648000,30583000,190935000,80486000,54475000,26011000,271421000,302004000,615105000,58294000,-798000,672601000,672601000,974605000,11706000,1879000,550000.000000004,10680000,24815000,-409000,-423000,-423000,-409000,-5e+05,121000,121000,-120000,-499000,23907000,23907000,-297000,23610000,16649000,191583000,27009000,0.24079,0.13643,0.10813,0.0174,0.01201,2.30728,6.07331,0.44901,0.19658,0.16583,0.15365,1.53362,9.52795,0.3826,0.01239,0.02859,4.78179,5.39012
"5","2019_Q2",22.6726984126984,"Up",120931000,-61820000,59111000,-36357000,-29187000,-1886000,22754000,-2834000,-2480000,-3261000,-398000,44000,19920000,-38000,19882000,-4625000,15257000,15257000,15257000,15257000,210761000,210761000,37132000,37132000,38056000,10757000,4108000,6649000,296706000,2799000,785846000,311017000,471427000,3402000,788645000,1085351000,31691000,16875000,546000,14270000,650000,32341000,190767000,59665000,58937000,728000,250432000,282773000,729683000,73551000,-656000,802578000,802578000,1085351000,15257000,1886000,5257000,-9452000,12948000,-494000,-494000,-494000,-494000,-5e+05,113517000,113517000,-26468000,86549000,99003000,99003000,-213000,98790000,24640000,191417000,19319000,0.4888,0.18816,0.12616,0.01901,0.01406,1.26624,9.1743,0.35233,0.17636,0.1974,0.18432,1.56463,10.38394,0.24995,0.01448,0.01834,-0.78506,-0.85014
"6","2019_Q3",27.9134375,"Up",123800000,-66166000,57634000,-38342000,-30585000,-1939000,19292000,-2253000,-2460000,-3344000,130000,77000,17039000,-290000.000000001,16749000,-4027000,12722000,12722000,12722000,12722000,218897000,218897000,45318000,45318000,45803000,9119000,2448000,6671000,319137000,2874000,783708000,309391000,471427000,2890000,786582000,1105719000,34161000,17247000,2531000,14383000,653000,34814000,190598000,63593000,62930000,663000,254191000,289005000,731403000,86273000,-835000,816714000,816714000,1105719000,12722000,1939000,5625000,-11403000,8883000,-393000,-393000,-393000,-393000.000000004,-5e+05,181000,308000,-5000,-324000,8166000.00000001,8166000.00000001,-30000,8136000,21231000,191251000,13462000,0.46554,0.15583,0.10276,0.01558,0.01151,1.05817,9.16692,0.35386,0.17297,0.15534,0.14906,1.51159,9.97204,0.16437,0.01187,0.01256,-1.30215,-1.43303
"7","2019_Q4",26.35625,"Down",139468000,-74204000,65264000,-43996000,-35820000,-1929000,21268000,-2460000,-2362000,-3428000,-153000,55000,18808000,-758000,18050000,-4584000,13466000,13466000,13466000,13466000,247618000,247618000,42809000,42809000,41574000,7188000,3318000,3870000,339189000,2460000,782960000,307765000,471427000,3768000,785420000,1124609000,38645000,17326000,1478000,19841000,655000,39300000,190429000,64894000,64301000,593000,255323000,294623000,7.33e+08,99739000,-1089000,829986000,829986000,1124609000,13466000,1929000,3308000,12095000,30798000,110000,110000,110000,110000,-499999.999999996,-1380000.00000001,157000,-4000,-1884000,29024000,29024000,-303000,28721000,23197000,191084000,39986000,0.46795,0.15249,0.09655,0.01622,0.01197,2.9694,8.63076,0.35497,0.16991,0.16442,0.15665,1.70294,10.13435,0.48824,0.0124,0.03682,-2.43713,-2.65817
"8","2020_Q1",21.8756451612903,"Down",139559000,-103885000,35674000,-18675000,-34282000,-1742000,16999000,-2510000,-2499000,-3594000,-31000,20000,14489000,-77693000,-63204000,-3475000,-66679000,-66679000,-66679000,-66679000,266341000,266341000,44240000,44240000,38085000,8941000,2882000,6059000,357607000,2456000,781587000,306139000,471427000,4021000,784043000,1141650000,47356000,15730000,1693000,29933000,676000,48032000,190259000,65915000,65383000,532000,256174000,304206000,734595000,105830000,-836000,837444000,837444000,1141650000,-66679000,1890000,75662000,9540000,20413000,-260000,-260000,-260000,-1010000.00000003,-5e+05,-293000,188000,-172000.000000002,-965000,18438000,18438000,285000,18723000,18889000,190935000,31644000,0.25562,0.12181,-0.47778,-0.07962,-0.05841,-0.47457,7.44518,0.36326,0.16724,-0.81467,-0.76741,1.70511,10.23177,0.38662,-0.06093,0.02892,-3.99206,-4.43591
"9","2020_Q2",17.7122222222222,"Down",152153000,-89947000,62206000,-39032000,-36579000,-2453000,23174000,-3537000,-3590000,-4969000,16000,37000,19637000,-26159000,-6522000,1729000,-4793000,-4793000,-4793000,-4793000,72711000,72711000,69593000,69593000,90378000,19958000,7570000,12388000,252640000,13080000,1750341000,1153157000,567464000,29720000,1763421000,2016061000,89440000,34413000,3229000,51798000,5291000,94731000,638034000,99615000,77512000,22103000,737649000,832380000,1085625000,101037000,-836000,1183681000,1183681000,2016061000,-4793000,2525000,1451000,-7111000,-7928000,-280000,-280000,-280000,-985731000,458922000,352750000,352750000,-11601000,800071000,-193588000,-193588000,-42000,-193630000,25699000,643325000,16579000,0.40884,0.15231,-0.0315,-0.00405,-0.00238,-3.459,2.66692,0.70321,0.3191,-0.05343,-0.05343,1.69608,13.19473,0.18481,-0.00249,0.00861,22.20374,24.62303
"10","2020_Q3",23.24328125,"Up",227101000,-141707000,85394000,-59431000,-55144000,-4287000,25963000,-10690000,-10504000,-10589000,-194000,8000,15273000,50258000,65531000,-3922000,61609000,61609000,61609000,61609000,46115000,46115000,89966000,89966000,79552000,20001000,5183000,14818000,235634000,12008000,1753706000,1149410000,570716000,33580000,1765714000,2001348000,74025000,38018000,1868000,34139000,264000.000000002,74289000,624076000,105950000,77683000,28267000,730026000,804315000,1088461000,111694000,-977000,1197033000,1197033000,2001348000,61609000,4594000,-41935000,-31226000,-6958000,-201000,-201000,-201000,-200999.999999762,-20079000,723000,723000,-10000,-19366000,-26525000,-26525000,-71000,-26596000,30557000,624340000,3052000,0.37602,0.11432,0.27128,0.05147,0.03078,0.0495399999999999,3.17186,0.67192,0.31196,0.64621,0.58405,2.38202,12.55548,0.03201,0.03197,0.00158,18.92283,22.27112
