"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","foreign_exchange_gain_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",13.8561904761905,"Down",31603000,-7063000,24540000,-11781000,-6985000,-1326000,-5659000,-3363000,-1433000,12759000,240000,-180000,-268000,88000,103000,12999000,12999000,-615000,12384000,12384000,12384000,12384000,-284617664.78321,-324805301.431702,40187636.6484925,-65835713.1921244,-65835713.1921244,-44147612.46141,-19873381.8260526,-394600990.436744,-15157615.5133871,-15157615.5133871,-913573728.670765,-154907166.793455,-785704727.422696,30901628.7252223,-3863463.17983629,-928731344.184152,-1323332334.6209,302171287.817842,302171287.817842,37953564.65055,-62295358.1041333,-58675227.7462806,277829494.364259,-188704944.368976,-8859234.183599,-10989458.2076106,-197564178.552575,80265315.8116838,-1150063791.94624,-9735808.31066212,-243671082.48595,-1403546682.73733,-1403597650.43258,-1323332334.6209,-21182919.3332521,3590678.83031022,83880714.6588984,-258205913.625466,-191917439.469509,-15029.1510257234,18895760.4917301,-1027554.99205447,92328488.684769,-4643297.77800891,61079127.2687539,-111942551.709025,-111942551.709025,15226914.233749,-96715637.4752763,20341811.284092,0,-163119145.385007,0.77651,0.40373,0.39186,-0.23768325276708,-0.259629415519854,-8.40760335414508,-15.2543925899922,1.66485929929425,0.0440818085544645,0.39442,0.32577,1.00653,-23.1251739965501,-4.83523736686189,0.0282883446318357,-0.277452036825522,1.44923463362285,0.0569699738606266,6.72475294429545,7.15173164136649
"2","2010_Q3",16.19125,"Up",32207000,-7427000,24780000,-11772000,-6754000,-1748000,-5006000,-3571000,-1447000,13008000,1558000,-119000,-246000,127000,233000,14566000,14566000,-556000,14010000,14010000,14010000,14010000,-112574154.551045,-136381894.096908,23807739.5458627,-19523180.369133,-19523180.369133,-19213193.312752,-6622470.30722804,-151310528.23293,-3388261.60713976,-3388261.60713976,-332485921.957741,-51093822.2898427,-291576987.958771,11501535.3201185,-1316647.02924602,-335874183.564881,-487184711.797811,150682420.169516,150682420.169516,24671234.4802933,-23148724.3222044,-23494321.464683,152204930.327605,-69348970.3301207,-2243524.89791947,-3808177.71072567,-71592495.2280402,80612435.0995647,-475191289.037993,19684435.5676469,-112187110.659174,-567769964.126578,-567797146.897376,-487184711.797811,6974360.2222493,2088892.94343674,19851238.2196328,-78072637.8751553,-49158146.4898365,-321343.050341908,-4302413.1694233,-513777.496027233,18866496.2282563,-1188158.81493809,561709.089584643,-52898850.5696751,-52898850.5696751,6151638.07791633,-46747212.4917588,16066937.0946973,0,-40280048.4616689,0.7694,0.40389,0.435,-0.0730610681424425,-0.0942870216105889,-2.07804778471503,-6.35636004799586,0.992060292956936,0.109624297895714,0.40077,0.35672,0.92131,-7.85843013149338,-1.19759578895396,0.0141441723159179,-0.0983477529736118,0.710815804598851,0.0284849869303133,3.5049355702909,3.7493502087288
"3","2010_Q4",20.49734375,"Up",33281000,-7418000,25863000,-12781000,-7934000,-1685000,-6249000,-3294000,-1553000,13082000,4367000,-73000,-236000,163000,523000,17449000,17449000,-768000,16681000,16681000,16681000,16681000,-13928932.9566419,-26808210.2863404,12879277.3296985,9897307.36157512,9897307.36157512,-3475822.49228201,1271073.63478949,-7507448.08734882,3934776.89732259,3934776.89732259,34435904.265847,15650816.641309,16471754.5154608,2090325.74504445,223007.364032742,38370681.1631695,30863233.0758207,61618407.5635685,61618407.5635685,15755212.93011,448978.379173331,-4088495.54925612,77822598.8728518,-2698738.87379528,1949553.1632802,877558.358477875,-749185.710515082,77073413.1623368,-58843108.3892473,45273788.3378676,-32554666.4971901,-46199986.5474667,-46210180.086516,30863233.0758207,16681000,1553000,-3904000,-4292000,10038000,-426000,-7547000,-171259.165342411,-8159000,531690.444398218,-13756000,-11265000,-11265000,1637000,-9628000,14635000,0,10685000,0.77711,0.39308,0.50122,0.0238683494465841,0.00471111689602915,0.64055,-1.08369751799845,0.556791359858851,0.128625361710893,0.48222,0.4275,0.9621,1.62286620068998,0.30889,0.00471472410530596,0.00809209263489556,0.273673426724569,0.00949499564343777,1.47132208885909,1.5913338282733
"4","2011_Q1",22.4556451612903,"Up",35097000,-7691000,27406000,-13748000,-8764000,-1613000,-7151000,-3379000,-1605000,13658000,982000,-11000,-152000,141000,352000,14640000,14640000,1304000,15944000,15944000,15944000,15944000,29697000,23397000,6300000,26028000,26028000,5057000,5057000,60782000,7806000,7806000,234712000,53126000,180602000,0,984000,242518000,303300000,19880000,19880000,10370000,12369000,3759000,42619000,25205000,4208000,3545000,29413000,72032000,156823000,67642000,6879000,231268000,231268000,303300000,15944000,1605000,-3862000,4251000,17938000,-429000,-267000,0,-7713000,1001000,-5708000,11963000,11963000,171000,12134000,15263000,35575000,17781000,0.78086,0.38915,0.45428,0.06894,0.05257,1.11522,1.42617,0.31147,0.11729,0.45757,0.40863,1.00723,6.63705,0.51029,0,0.05882,0.0656,0,0.38511,0.43037
"5","2011_Q2",18.5939682539683,"Down",40050000,-7307000,32743000,-17109000,-10613000,-2852000,-7761000,-4619000,-1877000,15634000,1099000,-15000,-215000,2e+05,1468000,16733000,16733000,-1569000,15164000,15164000,15164000,15164000,36682644.3188806,33714986.7621135,2967657.55676716,32471147.5461416,32471147.5461416,8377774.164094,5985058.7884035,77531566.0291163,9219907.70089247,9219907.70089247,315862615.244718,69130977.7862303,242974248.494846,2562558.08498518,1194830.87865575,325082522.94561,402614088.974726,10367947.4788105,10367947.4788105,7680095.68996333,16482590.5402756,4264915.18308537,34530633.7090494,28321496.2912651,5019815.61223993,4671397.21384071,33341311.903505,67871945.6125544,229649286.129749,87398820.5540441,17766638.8323967,334738745.515822,334742143.362172,402614088.974726,15164000,1877000,1098000,-7826000,10313000,-524000,5581000,0,-1509000,704519.851867261,-3903000,11991000,11991000,201000,12192000,17511000,0,10730000,0.81755,0.39036,0.37863,0.0779888835178053,0.0644946277013236,0.7076,2.03581750599948,0.208513713380383,0.0918232127630357,0.39747,0.39744,1.04978,8.50245626643667,0.28125,0,0.0707884691217015,0.0143880244251436,0,0.00749680371363709,0.0191462239089006
"6","2011_Q3",15.2396875,"Down",42267000,-8914000,33353000,-14748000,-7955000,-3261000,-4694000,-4802000,-1991000,18605000,903000,-30000,-159000,129000,1397000,19508000,19508000,2840000,22348000,22348000,22348000,22348000,25407000,23627000,1780000,32829000,32829000,8479000,5305000,66715000,9171000,9171000,325408000,71465000,245749000,7110000,1084000,334579000,401294000,17983000,17983000,6850000,16661000,1646000,41494000,20610000,4873000,4734000,25483000,66977000,217478000,105154000,11761000,334317000,334317000,401294000,22348000,1991000,-5501000,592000,19430000,-811000,567999.999999999,0,-8512000,127000,-32175000,-12177000,-12177000,215000,-11962000,20596000,27460000,17537000,0.7891,0.44018,0.52873,0.06685,0.05569,0.78472,1.60782,0.20034,0.06843,0.5707,0.48998,1.07937,8.53742,0.44784,0,0.06095,0.04783,0,0.0996800000000002,0.11035
"7","2011_Q4",16.2152380952381,"Up",42602000,-8710000,33892000,-15938000,-9225000,-3440000,-5785000,-4964000,-1749000,17954000,-315000,-118000,-218000,1e+05,-230000,17639000,17639000,-1103000,16536000,16536000,16536000,16536000,15604000,13941000,1663000,31242000,31242000,7537000,4410000,54383000,8718000,8718000,317906000,68873000,237863000,10196000,974000,326624000,381007000,24613000,24613000,6821000,19058000,2428000,50492000,20409000,4786000,4647000,25195000,75687000,183268000,121690000,438000,305320000,305320000,381007000,16536000,1749000,-4325000,8160000,22120000,-528000,-411000,0,-233000,-57000,-30640000,-8931000,-8931000,-743000,-9674000,19703000,27230000,28438000,0.79555,0.42144,0.38815,0.05416,0.0434,1.71976,1.07706,0.24789,0.07147,0.44291,0.40894,1.14107,8.17785,0.7617,-1.73472347597681e-18,0.04902,0.0843,-3.46944695195361e-18,0.59006,0.64754
"8","2012_Q1",21.0991935483871,"Up",44050000,-8658000,35392000,-18837000,-12117000,-4089000,-8028000,-4823000,-1897000,16555000,3060000,-39000,-167000,128000,1667000,19615000,19615000,-2285000,17330000,17330000,17330000,17330000,25201000,23696000,1505000,31133000,31133000,7483000,4502000,63817000,8834000,8834000,338531000,68839000,259218000,9412000,1062000,347365000,411182000,16163000,16163000,6832000,26784000,10058000,49779000,40218000,5070000,4742000,45288000,95067000,183156000,137559000,-4524000,316115000,316115000,411182000,17330000,1897000,-830000,382000,18779000,-966000,-19058000,-1461000,19786000,574000,11825000,11546000,11546000,-1803000,9743000,18452000,47050000,20153000,0.80345,0.37582,0.39342,0.05482,0.04215,1.1629,1.28201,0.30074,0.11443,0.47711,0.44034,1.21273,8.70289,0.55483,0.04022,0.05103,0.05473,0.0843,1.1841,1.31978
"9","2012_Q2",17.2838095238095,"Down",43827000,-9029000,34798000,-16469000,-10256000,-3812000,-6444000,-4272000,-1941000,18329000,-382000,-86000,-253000,167000,-296000,17947000,17947000,-2262000,15685000,15685000,15685000,15685000,37870000,37140000,730000,29351000,29351000,7564000,4747000,74785000,9399000,9399000,345280000,68753000,264504000,10970000,1053000,354679000,429464000,22593000,22593000,9185000,16609000,119000,48387000,41117000,4708000,4639000,45825000,94212000,183745000,151780000,-197000,335252000,335252000,429464000,15685000,1941000,47000,-3938000,13735000,-673000,306000,-1464000,-45000,27000,-1468000,12573000,12573000,871000,13444000,20270000,50302000,17921000,0.79399,0.41821,0.35788,0.04679,0.03652,1.14256,1.54556,0.28102,0.11713,0.43032,0.39686,1.20239,9.19759,0.49166,0.04016,0.04394,0.04592,0.09334,0.61332,0.67827
"10","2012_Q3",20.3711111111111,"Up",47716000,-9157000,38559000,-20848000,-12873000,-4296000,-8577000,-5814000,-2161000,17711000,2651000,-202000,-312000,110000,2591000,20362000,20362000,-2295000,18067000,18067000,18067000,18067000,26771000,25313000,1458000,33096000,33096000,8734000,6102000,68601000,10319000,10319000,410558000,81650000,320238000,5432000,3238000,420877000,489478000,27444000,27444000,11528000,18456000,116999.999999998,57428000,69220000,22209000,20965000,91429000,148857000,180584000,168015000,-7902000,340621000,340621000,489478000,18067000,2161000,-471000,1231000,20988000,-406000,-49403000,-1832000,30370000,23000,19865000,-8550000,-8550000,-3277000,-11827000,19872000,80748000,22992000,0.80809,0.37118,0.37864,0.05304,0.03691,1.2726,1.19456,0.43702,0.16497,0.48951,0.46532,1.29284,9.22892,0.62295,0.04964,0.04486,0.05183,0.1014,2.71623,3.04765
