"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q2",3288085.71428571,"Down",5780000,-1649000,4131000,-8187000,-7596000,-591000,-4056000,-543000,-527000,-4599000,-114000,-4713000,-4713000,-4713000,-4713000,-4713000,13257000,13257000,2566000,2566000,11628000,2012000,1578000,29463000,3624000,10761000,4563000,35000,14385000,43848000,6239000,2275000,3964000,22371000,1015000,1015000,1015000,23386000,165098000,-144636000,20462000,20462000,43848000,-4713000,558000,1734000,420000,-2001000,-548000,-590000,-1800000,13569000,10978000,10978000,10978000,-3498000,16132000,0.71471,-0.70173,-0.8154,-0.23033,-0.10748,1.31702,1.1429,0.36791,-426871.55976,-426871.55976,523513.17959,1853309.11431,-0.12532,-0.8219,-0.70883
"2","2014_Q3",1748431.40625,"Down",5836000,-1603000,4233000,-14861000,-11820000,-3041000,-10628000,-567000,-549000,-11195000,-2044000,-13239000,-13239000,-13239000,-13239000,-13239000,11550000,11550000,3060000,3060000,12671000,1464000,1464000,28745000,3949000,10636000,4438000,35000,14585000,43330000,4950000,2584000,2366000,23850000,3402000,681000,4618000,28468000,172737000,-157875000,14862000,14862000,43330000,-13239000,589000,9692000,-3446000,-6404000,-801000,-367000,5365000,5064000,-1707000,-1707000,-1707000,-10039000,20116000,0.72533,-1.82111,-2.26851,-0.8908,-0.30554,1.20524,1.91549,0.46425,-576168.67047,-576168.67047,253985.97786,646802.53648,-0.34495,-0.85327,-0.80598
"3","2014_Q4",638747.4375,"Down",5998000,-1939000,4059000,-9696000,-7726000,-1970000,-5637000,-1182000,-1104000,-6819000,1887000,-4932000,-4932000,-4932000,-4932000,-4932000,10360000,10360000,3166000,3166000,12632000,1632000,1632000,27790000,4048000,10511000,4313000,35000,14559000,42349000,4979000,1326000,3653000,23963000,2711000,666000,6429000,30392000,174764000,-162807000,11957000,11957000,42349000,-4932000,596000,822000,486000,-3028000,-648000,-648000,3500000,2486000,-1190000,-1190000,-1190000,-5041000,22702000,0.67673,-0.93981,-0.82227,-0.41248,-0.11646,1.1597,2.54177,0.53607,-210072.93078,-210072.93078,255477.98841,509294.81617,-0.13198,-2.44832,-2.18946
"4","2015_Q1",374241.245901639,"Down",5151000,-2719000,2432000,-6278000,-5138000,-1140000,-3846000,-1652000,-1458000,-5498000,-4200000,-9698000,-9698000,-9698000,-9698000,-9698000,18247000,18247000,2513000,2513000,11675000,1247000,1247000,33682000,3515000,10386000,4188000,35000,13901000,47583000,3924000,778000,3146000,22994000,14621000,651000,17682000,40676000,179412000,-172505000,6907000,6907000,47583000,-9698000,597000,4679000,1333000,-3089000,-132000,-132000,11245000,11108000,7887000,7887000,7887000,-3249000,22131000,0.47214,-0.74665,-1.88274,-1.40408,-0.20381,1.46482,5.8891,0.4651,-293492.46504,-293492.46504,155885.71741,209027.88781,-0.22213,-1.19544,-1.00988
"5","2015_Q2",179911.714285714,"Down",4743000,-1522000,3221000,-7227000,-5384000,-1843000,-4006000,-1103000,-1100000,-5109000,-272000,-5381000,-5381000,-5381000,-5381000,-5381000,14882000,14882000,2568000,2568000,11197000,1464000,1464000,30111000,3286000,10261000,4063000,35000,13547000,43658000,4334000,1217000,3117000,23491000,13876000,631000,16986000,40477000,181187000,-177886000,3181000,3181000,43658000,-5381000,553000,1403000,454000,-2971000,-274000,-274000,0,-120000,-3365000,-3365000,-3365000,-3453000,22267000,0.67911,-0.84461,-1.13451,-1.69161,-0.12325,1.28181,12.72461,0.51003,-108053.21513,-108053.21513,95241.85084,63876.09688,-0.13684,-2.13872,-1.84348
"6","2015_Q3",265430.25,"Up",4780000,-1363000,3417000,-6013000,-4460000,-1553000,-2596000,-1169000,-1134000,-3765000,-2168000,-5933000,-5933000,-5933000,-5933000,-5933000,12394000,12394000,2509000,2509000,10611000,1312000,1312000,26826000,3009000,10136000,3938000,35000,13145000,39971000,4024000,831000,3193000,23790000,5241000,652000,8020000,31810000,192101000,-183940000,8161000,8161000,39971000,-5933000,538000,2878000,165000,-2352000,-136000,-136000,0,-1.86264514923096e-09,-2488000,-2488000,-2488000,-2058000,22545000,0.71485,-0.5431,-1.24121,-0.72699,-0.14843,1.12762,3.89781,0.56403,-58758.97144,-58758.97144,47339.94328,80824.53496,-0.16505,-4.93246,-3.91025
"7","2015_Q4",104423.34375,"Down",4835000,-1640000,3195000,-6001000,-4325000,-1676000,-2806000,-1128000,-1147000,-3934000,-6199000,-10133000,-10133000,-10133000,-10133000,-10133000,11268000,11268000,2376000,2376000,9700000,1171000,1171000,24515000,2668000,10010000,3812000,35000,12678000,37193000,4026000,912000,3114000,23999000,14911000,628000,14911000,38910000,192355000,-194072000,-1717000,-1717000,37193000,-10133000,549000,-2024000,9866000,-1742000,-63000,-63000,-3658000,679000,-1126000,-1126000,-1126000,-2257000,19973000,0.66081,-0.58035,-2.09576,5.90157,-0.27244,1.0215,-22.66162,0.53701,-79487.03298,-79487.03298,37927.54411,-13468.78867,-0.30551,-3.85689,-3.10228
"8","2016_Q1",75935.8032786885,"Down",5095000,-1725000,3370000,-6003000,-4688000,-1315000,-2633000,-953000,-958000,-3586000,1121000,-2465000,-2465000,-2465000,-2465000,-2465000,11485000,11485000,2660000,2660000,9131000,229000,229000,23505000,2472000,9885000,3687000,35000,12357000,35862000,4064000,643000,3421000,20429000,1201000,603000,1201000,21630000,210769000,-196537000,14232000,14232000,35862000,-2465000,513000,732999.999999999,-779000,-1998000,-185000,-185000,-3403000,2400000,217000,217000,217000,-2120000,16365000,0.66143,-0.51678,-0.48381,-0.1732,-0.06874,1.15057,1.51981,0.45633,-12097.0947,-12097.0947,25003.93408,69844.15893,-0.07752,-2.30189,-1.8534
"9","2016_Q2",52962.1875,"Down",4173000,-893000,3280000,-5764000,-4156000,-1608000,-2484000,-893000,-893000,-3377000,-11000,-3388000,-3388000,-3388000,-3388000,-3388000,7943000,7943000,1848000,1848000,8492000,705000,705000,18988000,2333000,9760000,3562000,35000,12093000,31081000,4185000,982000,3203000,18970000,1178000,574000,1178000,20148000,210858000,-199925000,10933000,10933000,31081000,-3388000,514000,494000,915000,-1465000,-243000,-243000,-1834000,-1834000,-3542000,-3542000,-3542000,-1970000,14785000,0.78601,-0.59526,-0.81189,-0.30989,-0.10901,1.00095,1.84286,0.47569,-10911.83934,-10911.83934,13440.1138,35212.26077,-0.12597,-3.4731,-2.75443
"10","2016_Q3",31630.89375,"Down",4023000,-1017000,3006000,-5507000,-3954000,-1553000,-2501000,-2354000,-2360000,-4855000,-209000,-5064000,-5064000,-5064000,-5064000,-5064000,5155000,5155000,1950000,1950000,8144000,531000,531000,15780000,2090000,9635000,3437000,35000,11725000,27505000,5429000,1960000,3469000,16129000,1154000,580000,1623000,17752000,214742000,-204989000,9753000,9753000,27505000,-5064000,508000,2263000,1379000,-914000,-84000,-84000,-1788000,-1790000,-2788000,-2788000,-2788000,-1993000,11150000,0.7472,-0.62168,-1.25876,-0.51922,-0.18411,0.97836,1.82016,0.40538,-14295.43058,-14295.43058,11356.73721,27532.25403,-0.22959,-3.00803,-2.39704
